,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
464003,1071,KBR,KBR,15.76,16.37,15.73,16.19,0.56,3.58,"1,784,629",21.7,13.36,0.32,1.98,5.27,-18.36,Thursday,Thursday,2018/03/29
464004,1065,KBR,KBR,17.0,17.55,16.68,17.26,0.07,0.41,"1,871,323",21.70,13.36,0.32,1.85,5.62,-12.96,Wednesday,Wednesday,2018/04/11
464005,1067,KBR,KBR,17.71,17.77,16.97,17.03,-0.23,-1.33,"1,552,526",21.70,13.36,0.32,1.88,5.55,-14.12,Thursday,Thursday,2018/04/12
464006,1059,KBR,KBR,17.32,17.54,17.0,17.15,-0.02,-0.12,"2,053,818",21.70,13.36,0.32,1.87,5.59,-13.51,Tuesday,Tuesday,2018/04/17
464007,1063,KBR,KBR,17.18,17.37,17.06,17.1,-0.05,-0.29,"1,966,391",21.7,13.36,0.32,1.87,5.57,-13.77,Wednesday,Wednesday,2018/04/18
464008,1068,KBR,KBR,17.06,17.43,17.0,17.28,0.18,1.05,"2,294,478",21.70,13.36,0.32,1.85,5.63,-12.86,Thursday,Thursday,2018/04/19
464009,1060,KBR,KBR,17.19,17.5,16.53,16.62,-0.66,-3.82,"3,145,050",21.70,13.36,0.32,1.93,5.41,-16.19,Friday,Friday,2018/04/20
464010,1064,KBR,KBR,16.83,16.98,16.24,16.27,-0.47,-2.81,"1,872,319",21.70,13.36,0.32,1.97,5.30,-17.95,Tuesday,Tuesday,2018/04/24
464011,1067,KBR,KBR,16.17,16.23,15.82,15.99,-0.28,-1.72,"2,746,190",21.7,13.36,0.32,2.00,5.21,-19.36,Wednesday,Wednesday,2018/04/25
464012,1067,KBR,KBR,17.11,17.21,16.54,16.77,0.17,1.02,"3,113,475",21.70,13.36,0.32,1.91,4.42,-15.43,Friday,Friday,2018/04/27
464013,1063,KBR,KBR,16.88,17.06,16.69,16.69,-0.08,-0.48,"2,228,609",21.70,13.36,0.32,1.92,4.40,-15.83,Monday,Monday,2018/04/30
464014,1072,KBR,KBR,16.75,17.02,16.57,16.95,0.26,1.56,"2,497,606",21.70,13.36,0.32,1.89,4.46,-14.52,Tuesday,Tuesday,2018/05/01
464015,1069,KBR,KBR,16.79,16.84,16.26,16.45,-0.37,-2.20,"1,631,022",21.70,13.36,0.32,1.95,4.33,-17.04,Thursday,Thursday,2018/05/03
464016,1068,KBR,KBR,16.14,16.57,16.07,16.46,0.01,0.06,"2,476,345",21.7,13.36,0.32,1.94,4.34,-16.99,Friday,Friday,2018/05/04
464017,1072,KBR,KBR,16.49,16.6,16.18,16.39,-0.07,-0.43,"1,716,124",21.7,13.36,0.32,1.95,4.32,-17.35,Monday,Monday,2018/05/07
464018,1065,KBR,KBR,16.42,16.98,16.42,16.85,0.46,2.81,"1,559,004",21.7,13.36,0.32,1.90,4.44,-15.03,Tuesday,Tuesday,2018/05/08
464019,1074,KBR,KBR,16.99,17.19,16.9,16.97,0.12,0.71,"2,001,162",21.7,13.36,0.32,1.89,4.47,-14.42,Wednesday,Wednesday,2018/05/09
464020,1072,KBR,KBR,16.96,17.07,16.87,16.94,-0.03,-0.18,"1,146,571",21.70,13.36,0.32,1.89,4.46,-14.57,Thursday,Thursday,2018/05/10
464021,1070,KBR,KBR,17.0,17.06,16.79,16.88,-0.06,-0.35,"1,395,031",21.70,13.36,0.32,1.90,4.45,-14.88,Friday,Friday,2018/05/11
464022,1070,KBR,KBR,16.88,17.15,16.82,16.86,-0.02,-0.12,"2,333,063",21.7,13.36,0.32,1.90,4.44,-14.98,Monday,Monday,2018/05/14
464023,1071,KBR,KBR,16.73,17.05,16.59,16.9,0.04,0.24,"1,247,533",21.7,13.36,0.32,1.89,4.45,-14.78,Tuesday,Tuesday,2018/05/15
464024,1073,KBR,KBR,16.92,17.23,16.89,17.02,0.12,0.71,"2,356,199",21.70,13.36,0.32,1.88,4.48,-14.17,Wednesday,Wednesday,2018/05/16
464025,1071,KBR,KBR,17.03,17.57,17.03,17.44,0.42,2.47,"1,584,194",21.70,13.36,0.32,1.83,4.59,-12.05,Thursday,Thursday,2018/05/17
464026,1071,KBR,KBR,17.48,17.65,17.33,17.33,-0.11,-0.63,"1,004,670",21.7,13.36,0.32,1.85,4.56,-12.61,Friday,Friday,2018/05/18
464027,1072,KBR,KBR,17.5,17.92,17.48,17.83,0.50,2.89,"2,307,551",21.70,13.36,0.32,1.79,4.70,-10.09,Monday,Monday,2018/05/21
464028,1068,KBR,KBR,17.66,18.06,17.59,17.89,0.06,0.34,"2,437,278",21.7,13.36,0.32,1.79,4.71,-9.78,Tuesday,Tuesday,2018/05/22
464029,1075,KBR,KBR,17.66,17.71,16.85,17.21,-0.68,-3.80,"1,988,270",21.70,13.36,0.32,1.86,4.53,-13.21,Wednesday,Wednesday,2018/05/23
464030,1075,KBR,KBR,17.12,17.32,16.98,17.23,0.02,0.12,"923,174",21.70,13.36,0.32,1.86,4.54,-13.11,Thursday,Thursday,2018/05/24
464031,1078,KBR,KBR,17.2,17.49,17.07,17.49,0.26,1.51,"1,724,295",21.70,13.36,0.32,1.83,4.61,-11.80,Friday,Friday,2018/05/25
464032,1077,KBR,KBR,17.29,17.65,17.29,17.62,0.13,0.74,"1,364,535",21.70,13.36,0.32,1.82,4.64,-11.14,Tuesday,Tuesday,2018/05/29
464033,1080,KBR,KBR,17.9,18.86,17.74,18.76,1.14,6.47,"3,922,061",21.7,13.36,0.32,1.71,4.94,-5.40,Wednesday,Wednesday,2018/05/30
464034,1080,KBR,KBR,18.7,18.91,18.22,18.42,-0.34,-1.81,"2,125,394",21.70,13.49,0.32,1.74,4.85,-7.11,Thursday,Thursday,2018/05/31
464035,1079,KBR,KBR,18.6,18.75,18.36,18.44,0.02,0.11,"893,420",21.70,14.08,0.32,1.74,4.86,-7.01,Friday,Friday,2018/06/01
464036,1073,KBR,KBR,18.52,18.73,18.39,18.66,0.22,1.19,"1,505,861",21.7,14.08,0.32,1.71,4.92,-5.90,Monday,Monday,2018/06/04
464037,1073,KBR,KBR,18.61,18.82,18.52,18.73,0.07,0.38,"1,252,252",21.70,14.08,0.32,1.71,4.93,-5.55,Tuesday,Tuesday,2018/06/05
464038,1078,KBR,KBR,18.79,18.79,18.41,18.64,-0.09,-0.48,"1,048,569",21.7,14.20,0.32,1.72,4.91,-6.00,Wednesday,Wednesday,2018/06/06
464039,1077,KBR,KBR,18.64,18.67,18.28,18.64,...,...,"1,080,976",21.7,14.40,0.32,1.72,4.91,-6.00,Thursday,Thursday,2018/06/07
464040,1071,KBR,KBR,18.62,18.75,18.41,18.73,0.09,0.48,"1,014,306",21.70,14.40,0.32,1.71,4.93,-5.55,Friday,Friday,2018/06/08
464041,1077,KBR,KBR,18.7,18.72,18.46,18.65,-0.08,-0.43,"1,086,074",21.70,14.40,0.32,1.72,4.91,-5.95,Monday,Monday,2018/06/11
464042,1072,KBR,KBR,18.66,18.7,18.3,18.32,-0.33,-1.77,"825,784",21.70,14.40,0.32,1.75,4.83,-7.61,Tuesday,Tuesday,2018/06/12
464043,1070,KBR,KBR,18.39,18.5,18.25,18.29,-0.03,-0.16,"1,159,334",21.7,14.4,0.32,1.75,4.82,-7.77,Wednesday,Wednesday,2018/06/13
464044,1073,KBR,KBR,18.7,18.7,18.16,18.28,0.07,0.38,"1,555,465",21.70,14.40,0.32,1.75,4.82,-7.82,Thursday,Thursday,2018/06/14
464045,1072,KBR,KBR,18.14,18.21,17.55,17.81,-0.47,-2.57,"2,456,954",21.70,14.40,0.32,1.80,4.69,-10.19,Friday,Friday,2018/06/15
464046,1072,KBR,KBR,17.69,18.04,17.67,18.03,0.22,1.24,"1,155,755",21.70,14.40,0.32,1.77,4.75,-9.08,Monday,Monday,2018/06/18
464047,1072,KBR,KBR,17.8,18.2,17.74,18.12,0.09,0.50,"1,126,003",21.7,14.4,0.32,1.77,4.77,-8.62,Tuesday,Tuesday,2018/06/19
464048,1078,KBR,KBR,18.22,18.35,17.97,18.32,0.20,1.10,"946,459",21.7,14.40,0.32,1.75,4.83,-7.61,Wednesday,Wednesday,2018/06/20
464049,1074,KBR,KBR,18.32,18.32,17.96,18.03,-0.29,-1.58,"869,768",21.7,14.4,0.32,1.77,4.75,-9.08,Thursday,Thursday,2018/06/21
464050,1076,KBR,KBR,18.34,18.52,18.17,18.26,0.23,1.28,"2,233,038",21.7,14.4,0.32,1.75,4.81,-7.92,Friday,Friday,2018/06/22
464051,1080,KBR,KBR,18.05,18.14,17.71,17.85,-0.41,-2.25,"855,020",21.70,14.40,0.32,1.79,4.70,-9.98,Monday,Monday,2018/06/25
464052,1076,KBR,KBR,17.97,18.36,17.32,18.18,0.33,1.85,"1,740,142",21.70,14.40,0.32,1.76,4.79,-8.32,Tuesday,Tuesday,2018/06/26
464053,1084,KBR,KBR,18.19,18.44,17.95,18.15,-0.03,-0.17,"1,407,182",21.70,14.40,0.32,1.76,4.78,-8.47,Wednesday,Wednesday,2018/06/27
464054,1084,KBR,KBR,18.08,18.1,17.75,17.86,-0.29,-1.60,"1,684,530",21.70,14.40,0.32,1.79,4.70,-9.93,Thursday,Thursday,2018/06/28
464055,1085,KBR,KBR,18.01,18.28,17.92,17.92,0.06,0.34,"895,152",21.7,14.40,0.32,1.79,4.72,-9.63,Friday,Friday,2018/06/29
464056,1082,KBR,KBR,17.73,17.98,17.46,17.77,-0.15,-0.84,"1,817,688",21.7,14.40,0.32,1.80,4.68,-10.39,Monday,Monday,2018/07/02
464057,1076,KBR,KBR,17.92,18.07,17.79,17.85,0.08,0.45,"422,133",21.70,14.40,0.32,1.79,4.70,-9.98,Tuesday,Tuesday,2018/07/03
464058,1084,KBR,KBR,17.99,18.18,17.76,18.08,0.23,1.29,"1,016,165",21.7,14.40,0.32,1.77,4.76,-8.83,Thursday,Thursday,2018/07/05
464059,1084,KBR,KBR,18.04,18.32,17.98,18.27,0.19,1.05,"648,050",21.7,14.40,0.32,1.75,4.81,-7.87,Friday,Friday,2018/07/06
464060,1089,KBR,KBR,18.45,18.7,18.37,18.45,0.18,0.99,"696,806",21.7,14.40,0.32,1.73,4.86,-6.96,Monday,Monday,2018/07/09
464061,1084,KBR,KBR,18.45,18.7,18.41,18.59,0.14,0.76,"1,086,027",21.7,14.40,0.32,1.72,4.90,-6.25,Tuesday,Tuesday,2018/07/10
464062,1080,KBR,KBR,18.52,19.09,18.28,18.77,0.18,0.97,"3,680,812",21.7,14.40,0.32,1.70,4.94,-5.35,Wednesday,Wednesday,2018/07/11
464063,1082,KBR,KBR,18.97,19.07,18.47,18.9,0.13,0.69,"1,713,960",21.7,14.40,0.32,1.69,4.98,-4.69,Thursday,Thursday,2018/07/12
464064,1085,KBR,KBR,18.88,19.47,18.78,19.23,0.33,1.75,"2,287,669",21.7,14.40,0.32,1.66,5.07,-3.03,Friday,Friday,2018/07/13
464065,1077,KBR,KBR,19.13,19.26,18.53,18.68,-0.55,-2.86,"1,629,876",21.7,14.40,0.32,1.71,4.92,-5.80,Monday,Monday,2018/07/16
464066,1076,KBR,KBR,18.63,18.94,18.54,18.69,0.01,0.05,"910,259",21.7,14.40,0.32,1.71,4.92,-5.75,Tuesday,Tuesday,2018/07/17
464067,1081,KBR,KBR,18.66,18.99,18.52,18.91,0.22,1.18,"1,072,671",21.7,14.4,0.32,1.69,4.98,-4.64,Wednesday,Wednesday,2018/07/18
464068,1078,KBR,KBR,18.81,19.1,18.67,18.96,0.05,0.26,"830,011",21.7,14.40,0.32,1.69,4.99,-4.39,Thursday,Thursday,2018/07/19
464069,1075,KBR,KBR,18.93,18.94,18.61,18.65,-0.31,-1.64,"877,669",21.7,14.4,0.32,1.72,4.91,-5.95,Friday,Friday,2018/07/20
464070,1082,KBR,KBR,18.71,18.73,18.44,18.62,-0.03,-0.16,"958,394",21.7,14.40,0.32,1.72,4.90,-6.10,Monday,Monday,2018/07/23
464071,1081,KBR,KBR,18.78,18.91,18.44,18.53,-0.09,-0.48,"844,717",21.70,14.40,0.32,1.73,4.88,-6.56,Tuesday,Tuesday,2018/07/24
464072,1084,KBR,KBR,18.47,18.64,18.2,18.61,0.08,0.43,"1,063,909",21.70,14.40,0.32,1.72,4.90,-6.15,Wednesday,Wednesday,2018/07/25
464073,1085,KBR,KBR,18.6,18.91,18.58,18.7,0.09,0.48,"1,149,624",21.7,14.40,0.32,1.71,4.93,-5.70,Thursday,Thursday,2018/07/26
464074,1083,KBR,KBR,18.73,18.89,18.6,18.71,0.01,0.05,"2,012,372",21.70,14.40,0.32,1.71,4.93,-5.65,Friday,Friday,2018/07/27
464075,1082,KBR,KBR,19.75,20.16,19.09,19.35,0.64,3.42,"3,670,311",21.70,14.40,0.32,1.65,5.10,-2.42,Monday,Monday,2018/07/30
