,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
465530,1078,Kenon Holdings,KEN,16.2,16.69,16.2,16.25,-0.46,-2.75,"5,464",33.22,11.11,...,...,...,-24.94,Thursday,Thursday,2018/03/29
465531,1072,Kenon Holdings,KEN,16.4,16.48,16.03,16.03,-1.50,-8.56,"1,271",33.22,11.41,...,...,...,-25.96,Wednesday,Wednesday,2018/04/11
465532,1074,Kenon Holdings,KEN,16.55,16.55,15.95,15.95,-0.08,-0.50,"2,737",33.22,11.41,...,...,...,-26.33,Thursday,Thursday,2018/04/12
465533,1066,Kenon Holdings,KEN,16.05,16.05,15.17,15.66,-0.39,-2.43,"16,430",33.22,11.41,...,...,...,-27.67,Tuesday,Tuesday,2018/04/17
465534,1070,Kenon Holdings,KEN,15.32,15.74,14.85,15.51,-0.15,-0.96,"16,289",33.22,11.49,...,...,...,-28.36,Wednesday,Wednesday,2018/04/18
465535,1075,Kenon Holdings,KEN,15.51,15.66,15.19,15.66,0.15,0.97,"6,280",33.22,11.49,...,...,...,-27.67,Thursday,Thursday,2018/04/19
465536,1067,Kenon Holdings,KEN,15.51,15.65,15.51,15.52,-0.14,-0.89,475,33.22,11.51,...,...,...,-28.31,Friday,Friday,2018/04/20
465537,1071,Kenon Holdings,KEN,15.66,15.67,15.66,15.67,-0.09,-0.57,509,33.22,11.78,...,...,...,-27.62,Tuesday,Tuesday,2018/04/24
465538,1074,Kenon Holdings,KEN,15.68,15.68,15.65,15.68,0.01,0.06,978,33.22,11.78,...,...,...,-27.58,Wednesday,Wednesday,2018/04/25
465539,1074,Kenon Holdings,KEN,15.59,15.6,15.59,15.6,0.27,1.76,307,33.22,12.01,...,...,...,-27.94,Friday,Friday,2018/04/27
465540,1070,Kenon Holdings,KEN,15.64,15.91,15.3,15.44,-0.16,-1.03,"2,920",33.22,12.06,...,...,...,-28.68,Monday,Monday,2018/04/30
465541,1079,Kenon Holdings,KEN,15.42,15.5,15.35,15.5,0.06,0.39,"1,018",33.22,12.06,...,...,...,-28.41,Tuesday,Tuesday,2018/05/01
465542,1076,Kenon Holdings,KEN,16.1,16.1,15.6,15.6,0.25,1.63,700,33.22,12.06,...,...,...,-27.94,Thursday,Thursday,2018/05/03
465543,1075,Kenon Holdings,KEN,15.6,15.65,15.6,15.65,0.05,0.32,400,33.22,12.06,...,...,...,-27.71,Friday,Friday,2018/05/04
465544,1079,Kenon Holdings,KEN,15.54,15.54,15.12,15.12,-0.53,-3.39,333,33.22,12.06,...,...,...,-30.16,Monday,Monday,2018/05/07
465545,1072,Kenon Holdings,KEN,14.98,15.35,14.98,15.35,0.23,1.52,"1,540",33.22,12.06,...,...,...,-29.10,Tuesday,Tuesday,2018/05/08
465546,1081,Kenon Holdings,KEN,15.3,15.3,15.2,15.26,-0.09,-0.59,824,33.22,12.06,...,...,...,-29.52,Wednesday,Wednesday,2018/05/09
465547,1079,Kenon Holdings,KEN,15.35,15.35,15.15,15.15,-0.11,-0.72,477,33.22,12.06,...,...,...,-30.02,Thursday,Thursday,2018/05/10
465548,1077,Kenon Holdings,KEN,15.65,15.65,15.19,15.19,0.04,0.26,"4,005",33.22,12.06,...,...,...,-29.84,Friday,Friday,2018/05/11
465549,1077,Kenon Holdings,KEN,15.36,15.58,15.36,15.58,0.39,2.57,"2,454",33.22,12.06,...,...,...,-28.04,Monday,Monday,2018/05/14
465550,1078,Kenon Holdings,KEN,15.38,15.5,15.38,15.5,-0.08,-0.51,"7,840",33.22,12.06,...,...,...,-28.41,Tuesday,Tuesday,2018/05/15
465551,1080,Kenon Holdings,KEN,15.4,15.46,15.4,15.46,-0.04,-0.26,"13,104",33.22,12.06,...,...,...,-28.59,Wednesday,Wednesday,2018/05/16
465552,1078,Kenon Holdings,KEN,15.39,15.73,15.39,15.69,0.23,1.49,"1,230",33.22,12.06,...,...,...,-27.53,Thursday,Thursday,2018/05/17
465553,1078,Kenon Holdings,KEN,15.66,15.68,15.63,15.63,-0.06,-0.38,"2,274",33.22,12.06,...,...,...,-27.81,Friday,Friday,2018/05/18
465554,1079,Kenon Holdings,KEN,15.6,15.6,15.6,15.6,-0.03,-0.19,151,33.22,12.13,...,...,...,-27.94,Monday,Monday,2018/05/21
465555,1075,Kenon Holdings,KEN,15.69,16.0,15.54,15.76,0.16,1.03,"2,721",33.22,12.13,...,...,...,-27.21,Tuesday,Tuesday,2018/05/22
465556,1082,Kenon Holdings,KEN,16.01,16.1,15.73,15.76,...,...,"1,401",33.22,12.13,...,...,...,-27.21,Wednesday,Wednesday,2018/05/23
465557,1082,Kenon Holdings,KEN,15.72,15.74,15.72,15.74,-0.02,-0.13,297,33.22,12.13,...,...,...,-27.30,Thursday,Thursday,2018/05/24
465558,1085,Kenon Holdings,KEN,15.17,15.46,15.17,15.46,-0.28,-1.78,263,33.22,12.13,...,...,...,-28.59,Friday,Friday,2018/05/25
465559,1084,Kenon Holdings,KEN,15.46,15.9,15.45,15.9,0.44,2.85,"2,438",33.22,12.13,...,...,...,-26.56,Tuesday,Tuesday,2018/05/29
465560,1087,Kenon Holdings,KEN,16.25,16.25,15.79,15.79,-0.11,-0.69,"1,102",33.22,12.13,...,...,...,-27.07,Wednesday,Wednesday,2018/05/30
465561,1086,Kenon Holdings,KEN,15.9,15.9,15.71,15.71,-0.08,-0.51,491,33.22,12.13,...,...,...,-27.44,Friday,Friday,2018/06/01
465562,1080,Kenon Holdings,KEN,15.77,15.77,15.77,15.77,0.06,0.38,106,33.22,12.13,...,...,...,-27.16,Monday,Monday,2018/06/04
465563,1080,Kenon Holdings,KEN,16.25,16.25,15.86,15.86,0.09,0.57,942,33.22,12.13,...,...,...,-26.74,Tuesday,Tuesday,2018/06/05
465564,1085,Kenon Holdings,KEN,15.87,15.87,15.87,15.87,0.01,0.06,523,33.22,12.13,...,...,...,-26.70,Wednesday,Wednesday,2018/06/06
465565,1078,Kenon Holdings,KEN,15.92,15.95,15.71,15.9,0.03,0.21,"3,431",33.22,12.13,...,...,...,-26.54,Friday,Friday,2018/06/08
465566,1084,Kenon Holdings,KEN,16.3,16.3,16.16,16.17,0.27,1.68,"6,697",33.22,12.13,...,...,...,-25.31,Monday,Monday,2018/06/11
465567,1079,Kenon Holdings,KEN,16.45,16.5,15.56,15.64,-0.53,-3.28,"1,258",33.22,12.55,...,...,...,-27.76,Tuesday,Tuesday,2018/06/12
465568,1077,Kenon Holdings,KEN,15.82,16.0,15.62,16.0,0.36,2.30,"3,216",33.22,12.67,...,...,...,-26.10,Wednesday,Wednesday,2018/06/13
465569,1080,Kenon Holdings,KEN,16.02,16.02,15.89,15.89,-0.11,-0.69,"4,164",33.22,12.77,...,...,...,-26.61,Thursday,Thursday,2018/06/14
465570,1079,Kenon Holdings,KEN,15.5,15.82,15.45,15.82,-0.07,-0.44,"3,890",33.22,12.79,...,...,...,-26.93,Friday,Friday,2018/06/15
465571,1079,Kenon Holdings,KEN,15.82,15.82,15.33,15.55,-0.27,-1.71,"3,685",33.22,12.79,...,...,...,-28.18,Monday,Monday,2018/06/18
465572,1079,Kenon Holdings,KEN,15.33,15.59,15.15,15.41,-0.14,-0.92,"17,053",33.22,12.79,...,...,...,-28.83,Tuesday,Tuesday,2018/06/19
465573,1085,Kenon Holdings,KEN,15.47,15.57,15.36,15.57,0.17,1.09,"2,949",33.22,12.79,...,...,...,-28.06,Wednesday,Wednesday,2018/06/20
465574,1081,Kenon Holdings,KEN,15.35,15.54,15.13,15.33,-0.24,-1.57,"3,516",33.22,12.79,...,...,...,-29.19,Thursday,Thursday,2018/06/21
465575,1083,Kenon Holdings,KEN,15.46,15.46,15.46,15.46,0.13,0.85,203,33.22,12.79,...,...,...,-28.59,Friday,Friday,2018/06/22
465576,1087,Kenon Holdings,KEN,15.25,15.4,15.21,15.21,-0.26,-1.65,"2,130",33.22,12.79,...,...,...,-29.77,Monday,Monday,2018/06/25
465577,1083,Kenon Holdings,KEN,15.53,15.53,15.18,15.18,-0.03,-0.16,"1,379",33.22,12.89,...,...,...,-29.88,Tuesday,Tuesday,2018/06/26
465578,1091,Kenon Holdings,KEN,15.08,15.77,15.0,15.29,0.11,0.72,"4,495",33.22,12.99,...,...,...,-29.38,Wednesday,Wednesday,2018/06/27
465579,1091,Kenon Holdings,KEN,15.64,15.64,15.17,15.17,-0.12,-0.78,"4,656",33.22,12.99,...,...,...,-29.93,Thursday,Thursday,2018/06/28
465580,1092,Kenon Holdings,KEN,15.25,15.25,15.0,15.0,-0.17,-1.12,"2,148",33.22,12.99,...,...,...,-30.72,Friday,Friday,2018/06/29
465581,1089,Kenon Holdings,KEN,14.95,14.96,14.45,14.54,-0.46,-3.07,"3,305",33.22,12.99,...,...,...,-32.84,Monday,Monday,2018/07/02
