,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
468200,964,Kraft Heinz,KHC,61.79,62.62,61.68,62.29,0.92,1.50,"4,516,852",93.88,59.95,2.50,4.01,6.95,-19.89,Thursday,Thursday,2018/03/29
468201,949,Kraft Heinz,KHC,60.85,61.83,60.78,61.54,0.29,0.47,"3,684,698",93.88,59.48,2.50,4.06,6.87,-20.86,Wednesday,Wednesday,2018/04/11
468202,952,Kraft Heinz,KHC,61.53,61.71,60.78,60.94,-0.60,-0.97,"5,053,347",93.88,59.48,2.50,4.10,6.80,-21.63,Thursday,Thursday,2018/04/12
468203,955,Kraft Heinz,KHC,61.69,61.81,61.09,61.69,0.50,0.82,"4,378,480",93.88,59.48,2.50,4.05,6.89,-20.67,Tuesday,Tuesday,2018/04/17
468204,959,Kraft Heinz,KHC,61.66,61.8,60.35,60.79,-0.90,-1.46,"5,178,026",93.88,59.48,2.50,4.11,6.78,-21.82,Wednesday,Wednesday,2018/04/18
468205,959,Kraft Heinz,KHC,60.75,60.89,59.63,59.73,-1.06,-1.74,"7,228,173",93.88,59.48,2.50,4.19,6.67,-23.19,Thursday,Thursday,2018/04/19
468206,957,Kraft Heinz,KHC,59.85,60.16,57.55,58.22,-1.51,-2.53,"9,333,176",93.88,57.55,2.50,4.29,6.50,-25.13,Friday,Friday,2018/04/20
468207,957,Kraft Heinz,KHC,57.95,58.0,56.11,56.53,-1.15,-1.99,"8,150,933",93.88,56.11,2.50,4.42,6.31,-27.30,Tuesday,Tuesday,2018/04/24
468208,957,Kraft Heinz,KHC,56.52,57.4,56.29,56.85,0.32,0.57,"6,588,023",93.88,56.11,2.50,4.40,6.34,-26.89,Wednesday,Wednesday,2018/04/25
468209,953,Kraft Heinz,KHC,57.43,58.26,57.36,57.66,0.33,0.58,"3,866,057",93.88,56.11,2.50,4.34,6.44,-25.85,Friday,Friday,2018/04/27
468210,957,Kraft Heinz,KHC,57.9,58.16,56.36,56.38,-1.28,-2.22,"5,428,942",93.88,56.11,2.50,4.43,6.29,-27.49,Monday,Monday,2018/04/30
468211,954,Kraft Heinz,KHC,56.32,56.44,55.3,55.7,-0.68,-1.21,"6,136,982",93.88,55.3,2.50,4.49,6.22,-28.37,Tuesday,Tuesday,2018/05/01
468212,948,Kraft Heinz,KHC,56.27,56.4,54.94,54.95,0.75,1.38,"9,988,488",93.88,54.11,2.50,4.55,6.13,-29.33,Thursday,Thursday,2018/05/03
468213,955,Kraft Heinz,KHC,55.0,58.45,54.69,58.01,3.06,5.57,"9,071,845",93.88,54.11,2.50,4.31,6.42,-25.40,Friday,Friday,2018/05/04
468214,957,Kraft Heinz,KHC,58.5,59.24,58.19,58.83,0.82,1.41,"7,238,385",93.88,54.11,2.50,4.25,6.51,-24.34,Monday,Monday,2018/05/07
