,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
470590,944,Kamada,KMDA,4.65,4.65,4.55,4.6,...,...,"9,254",8.61,3.75,...,...,27.06,-3.16,Thursday,Thursday,2018/03/29
470591,929,Kamada,KMDA,4.65,4.7,4.65,4.65,...,...,"4,847",8.61,3.75,...,...,27.35,-2.11,Wednesday,Wednesday,2018/04/11
470592,932,Kamada,KMDA,4.65,4.8,4.65,4.8,0.15,3.23,"12,931",8.61,3.75,...,...,28.24,1.05,Thursday,Thursday,2018/04/12
470593,936,Kamada,KMDA,4.6,4.7,4.55,4.65,-0.05,-1.06,"20,292",8.61,3.75,...,...,27.35,-2.11,Tuesday,Tuesday,2018/04/17
470594,939,Kamada,KMDA,4.7,4.75,4.65,4.65,...,...,"27,379",8.61,3.75,...,...,27.35,-2.11,Wednesday,Wednesday,2018/04/18
470595,939,Kamada,KMDA,4.65,4.7,4.5,4.6,-0.05,-1.08,"11,619",8.61,3.75,...,...,27.06,-3.16,Thursday,Thursday,2018/04/19
470596,938,Kamada,KMDA,4.55,4.65,4.55,4.55,-0.05,-1.09,"17,634",8.61,3.75,...,...,26.76,-4.21,Friday,Friday,2018/04/20
470597,938,Kamada,KMDA,4.6,4.7,4.6,4.7,0.18,3.87,"8,970",8.61,3.75,...,...,27.65,-1.05,Tuesday,Tuesday,2018/04/24
470598,938,Kamada,KMDA,4.65,4.75,4.6,4.65,-0.05,-1.06,"12,751",8.61,3.75,...,...,27.35,-2.11,Wednesday,Wednesday,2018/04/25
470599,934,Kamada,KMDA,4.65,4.75,4.65,4.75,0.10,2.15,675,8.61,3.75,...,...,27.94,...,Friday,Friday,2018/04/27
470600,938,Kamada,KMDA,4.7,4.75,4.7,4.75,...,...,"4,392",8.61,3.75,...,...,27.94,...,Monday,Monday,2018/04/30
470601,935,Kamada,KMDA,4.7,4.7,4.56,4.65,-0.10,-2.11,"1,003",8.61,3.75,...,...,27.35,-2.11,Tuesday,Tuesday,2018/05/01
470602,928,Kamada,KMDA,4.55,4.72,4.5,4.7,0.10,2.17,"26,907",8.61,3.75,...,...,27.65,-1.05,Thursday,Thursday,2018/05/03
470603,936,Kamada,KMDA,4.65,4.75,4.65,4.65,-0.05,-1.06,"3,266",8.61,3.75,...,...,27.35,-2.11,Friday,Friday,2018/05/04
470604,938,Kamada,KMDA,4.65,4.7,4.6,4.65,...,...,"20,928",8.61,3.75,...,...,27.35,-2.11,Monday,Monday,2018/05/07
470605,941,Kamada,KMDA,4.6,4.65,4.5,4.6,-0.05,-1.08,"39,873",8.61,3.75,...,...,27.06,-3.16,Tuesday,Tuesday,2018/05/08
470606,939,Kamada,KMDA,4.5,4.6,4.5,4.55,-0.05,-1.09,"25,271",8.61,3.75,...,...,26.76,-4.21,Wednesday,Wednesday,2018/05/09
470607,931,Kamada,KMDA,4.58,4.6,4.57,4.6,0.05,1.10,"15,700",8.61,3.75,...,...,27.06,-3.16,Thursday,Thursday,2018/05/10
470608,939,Kamada,KMDA,4.65,4.7,4.6,4.65,0.05,1.09,"2,609",8.61,3.75,...,...,27.35,-2.11,Friday,Friday,2018/05/11
470609,939,Kamada,KMDA,4.59,4.75,4.55,4.75,0.10,2.15,"41,168",8.61,3.75,...,...,27.94,...,Monday,Monday,2018/05/14
470610,938,Kamada,KMDA,4.85,4.85,4.55,4.65,-0.10,-2.11,"94,796",8.61,3.75,...,...,27.35,-2.11,Tuesday,Tuesday,2018/05/15
470611,943,Kamada,KMDA,4.7,5.0,4.7,5.0,0.35,7.53,"34,065",8.61,3.75,...,...,29.41,5.26,Wednesday,Wednesday,2018/05/16
470612,937,Kamada,KMDA,4.95,4.95,4.85,4.85,-0.15,-3.00,"6,914",8.61,3.75,...,...,28.53,2.11,Thursday,Thursday,2018/05/17
470613,937,Kamada,KMDA,4.85,4.9,4.8,4.9,0.05,1.03,"2,512",8.61,3.75,...,...,28.82,3.16,Friday,Friday,2018/05/18
470614,937,Kamada,KMDA,5.0,5.0,4.9,4.95,0.05,1.02,"9,589",8.61,3.75,...,...,15.97,4.21,Monday,Monday,2018/05/21
470615,938,Kamada,KMDA,5.0,5.04,4.9,4.95,...,...,"6,538",8.61,3.75,...,...,15.97,4.21,Tuesday,Tuesday,2018/05/22
470616,935,Kamada,KMDA,4.86,4.9,4.8,4.85,-0.10,-2.02,"4,263",8.61,3.75,...,...,15.65,2.11,Wednesday,Wednesday,2018/05/23
470617,939,Kamada,KMDA,4.8,4.95,4.8,4.95,0.10,2.06,"4,412",8.61,3.75,...,...,15.97,4.21,Thursday,Thursday,2018/05/24
470618,940,Kamada,KMDA,4.95,4.95,4.95,4.95,...,...,947,8.61,3.75,...,...,15.97,4.21,Friday,Friday,2018/05/25
470619,937,Kamada,KMDA,4.9,4.9,4.78,4.85,-0.10,-2.02,"10,193",8.61,3.75,...,...,15.65,2.11,Tuesday,Tuesday,2018/05/29
470620,939,Kamada,KMDA,4.85,4.95,4.85,4.85,...,...,"7,040",8.61,3.75,...,...,15.65,2.11,Wednesday,Wednesday,2018/05/30
470621,934,Kamada,KMDA,4.85,5.05,4.85,5.05,0.20,4.12,"44,872",8.61,3.75,...,...,16.29,6.32,Thursday,Thursday,2018/05/31
470622,940,Kamada,KMDA,5.1,5.1,5.05,5.1,0.05,0.99,"4,191",8.49,3.75,...,...,16.45,7.37,Friday,Friday,2018/06/01
470623,940,Kamada,KMDA,5.1,5.15,5.05,5.15,0.05,0.98,"5,185",8.40,3.75,...,...,16.61,8.42,Monday,Monday,2018/06/04
