,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
472921,957,Kinsale Capital Group,KNSL,51.65,51.94,50.88,51.33,-0.05,-0.10,"98,686",55.10,30.78,0.28,0.55,44.25,14.07,Thursday,Thursday,2018/03/29
472922,942,Kinsale Capital Group,KNSL,52.65,53.24,52.49,52.97,0.34,0.65,"38,577",55.10,31.56,0.28,0.53,45.66,17.71,Wednesday,Wednesday,2018/04/11
472923,945,Kinsale Capital Group,KNSL,53.4,53.66,52.61,52.69,-0.28,-0.53,"73,336",55.1,31.56,0.28,0.53,45.42,17.09,Thursday,Thursday,2018/04/12
472924,948,Kinsale Capital Group,KNSL,53.62,54.05,52.94,52.98,-0.37,-0.69,"36,358",55.10,31.56,0.28,0.53,45.67,17.73,Tuesday,Tuesday,2018/04/17
472925,952,Kinsale Capital Group,KNSL,53.35,53.35,52.07,52.16,-0.81,-1.54,"74,658",55.1,31.56,0.28,0.54,44.97,15.92,Wednesday,Wednesday,2018/04/18
472926,952,Kinsale Capital Group,KNSL,52.14,53.53,52.05,53.28,1.11,2.14,"131,804",55.10,31.56,0.28,0.53,45.93,18.40,Thursday,Thursday,2018/04/19
472927,950,Kinsale Capital Group,KNSL,53.29,54.49,52.97,53.52,0.24,0.45,"403,554",55.10,31.56,0.28,0.52,46.14,18.93,Friday,Friday,2018/04/20
472928,950,Kinsale Capital Group,KNSL,54.38,55.45,52.53,52.97,-1.00,-1.85,"95,745",55.45,32.0,0.28,0.53,45.66,17.71,Tuesday,Tuesday,2018/04/24
472929,950,Kinsale Capital Group,KNSL,52.94,53.46,52.47,52.62,-0.35,-0.66,"71,593",55.45,32.0,0.28,0.53,45.36,16.93,Wednesday,Wednesday,2018/04/25
472930,946,Kinsale Capital Group,KNSL,52.57,53.23,51.89,52.15,-0.47,-0.89,"36,285",55.45,32.00,0.28,0.54,44.96,15.89,Friday,Friday,2018/04/27
472931,950,Kinsale Capital Group,KNSL,52.25,52.71,51.55,51.55,-0.60,-1.15,"51,138",55.45,32.0,0.28,0.54,44.44,14.56,Monday,Monday,2018/04/30
472932,947,Kinsale Capital Group,KNSL,51.48,52.42,51.0,51.25,-0.30,-0.58,"50,004",55.45,32.0,0.28,0.55,44.18,13.89,Tuesday,Tuesday,2018/05/01
472933,941,Kinsale Capital Group,KNSL,50.37,51.05,49.63,50.43,-0.04,-0.08,"133,152",55.45,32.00,0.28,0.56,43.47,12.07,Thursday,Thursday,2018/05/03
472934,948,Kinsale Capital Group,KNSL,50.2,53.15,50.2,51.97,1.54,3.05,"144,310",55.45,32.00,0.28,0.54,44.80,15.49,Friday,Friday,2018/05/04
472935,950,Kinsale Capital Group,KNSL,51.53,52.13,50.74,50.94,-1.03,-1.98,"79,717",55.45,32.0,0.28,0.55,42.10,13.20,Monday,Monday,2018/05/07
472936,954,Kinsale Capital Group,KNSL,51.25,51.91,51.2,51.84,0.90,1.77,"53,627",55.45,32.00,0.28,0.54,42.84,15.20,Tuesday,Tuesday,2018/05/08
472937,951,Kinsale Capital Group,KNSL,51.89,52.83,51.6,52.57,0.73,1.41,"40,938",55.45,32.00,0.28,0.53,43.45,16.82,Wednesday,Wednesday,2018/05/09
472938,944,Kinsale Capital Group,KNSL,52.72,54.28,51.77,52.62,0.05,0.10,"70,312",55.45,32.0,0.28,0.53,43.49,16.93,Thursday,Thursday,2018/05/10
472939,952,Kinsale Capital Group,KNSL,52.71,53.98,52.4,52.84,0.22,0.42,"78,106",55.45,32.0,0.28,0.53,43.67,17.42,Friday,Friday,2018/05/11
472940,952,Kinsale Capital Group,KNSL,53.0,53.0,51.04,51.08,-1.76,-3.33,"39,497",55.45,33.03,0.28,0.55,42.21,13.51,Monday,Monday,2018/05/14
472941,950,Kinsale Capital Group,KNSL,51.05,51.52,50.68,50.96,-0.12,-0.23,"92,485",55.45,33.03,0.28,0.55,42.12,13.24,Tuesday,Tuesday,2018/05/15
472942,956,Kinsale Capital Group,KNSL,51.03,52.56,51.0,51.85,0.89,1.75,"71,822",55.45,33.03,0.28,0.54,42.85,15.22,Wednesday,Wednesday,2018/05/16
472943,950,Kinsale Capital Group,KNSL,52.02,53.34,51.25,53.16,1.31,2.53,"62,027",55.45,33.03,0.28,0.53,43.93,18.13,Thursday,Thursday,2018/05/17
