,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
475002,1237,Michael Kors Holdings,KORS,61.66,62.33,61.5,62.08,0.87,1.42,"1,761,795",69.95,32.38,...,...,18.42,-1.38,Thursday,Thursday,2018/03/29
475003,1232,Michael Kors Holdings,KORS,64.91,66.1,64.77,65.1,-0.13,-0.20,"1,198,098",69.95,32.38,...,...,19.32,3.42,Wednesday,Wednesday,2018/04/11
475004,1234,Michael Kors Holdings,KORS,65.17,66.42,65.03,66.08,0.98,1.51,"1,135,337",69.95,32.38,...,...,19.61,4.97,Thursday,Thursday,2018/04/12
475005,1227,Michael Kors Holdings,KORS,66.17,67.0,65.67,66.84,1.34,2.05,"1,557,395",69.95,32.38,...,...,19.83,6.18,Tuesday,Tuesday,2018/04/17
475006,1230,Michael Kors Holdings,KORS,66.99,67.33,65.32,65.54,-1.30,-1.94,"1,613,885",69.95,32.38,...,...,19.45,4.11,Wednesday,Wednesday,2018/04/18
475007,1236,Michael Kors Holdings,KORS,65.61,65.99,65.08,65.71,0.17,0.26,"1,195,816",69.95,32.38,...,...,19.50,4.38,Thursday,Thursday,2018/04/19
475008,1229,Michael Kors Holdings,KORS,65.58,66.18,64.8,65.01,-0.70,-1.07,"1,747,010",69.95,32.38,...,...,19.29,3.27,Friday,Friday,2018/04/20
475009,1231,Michael Kors Holdings,KORS,68.26,68.67,67.19,67.69,-0.16,-0.24,"1,989,278",69.95,32.38,...,...,20.09,7.53,Tuesday,Tuesday,2018/04/24
475010,1234,Michael Kors Holdings,KORS,67.83,67.84,66.66,66.91,-0.78,-1.15,"1,560,584",69.95,32.38,...,...,19.85,6.29,Wednesday,Wednesday,2018/04/25
475011,1234,Michael Kors Holdings,KORS,68.46,69.94,68.41,69.06,0.58,0.85,"1,524,064",69.95,32.38,...,...,20.49,9.71,Friday,Friday,2018/04/27
475012,1229,Michael Kors Holdings,KORS,69.76,70.0,68.42,68.42,-0.64,-0.93,"1,512,644",70.00,32.38,...,...,20.30,8.69,Monday,Monday,2018/04/30
475013,1240,Michael Kors Holdings,KORS,67.61,67.7,65.52,66.4,-2.02,-2.95,"2,550,487",70.00,32.38,...,...,19.70,5.48,Tuesday,Tuesday,2018/05/01
475014,1234,Michael Kors Holdings,KORS,64.05,64.05,61.08,61.42,-4.05,-6.19,"4,102,009",70.00,32.38,...,...,18.23,-2.43,Thursday,Thursday,2018/05/03
475015,1235,Michael Kors Holdings,KORS,61.38,61.95,60.78,61.56,0.14,0.23,"2,222,407",70.0,32.38,...,...,18.27,-2.21,Friday,Friday,2018/05/04
475016,1240,Michael Kors Holdings,KORS,61.61,61.78,60.22,61.55,-0.01,-0.02,"2,198,071",70.0,32.38,...,...,18.26,-2.22,Monday,Monday,2018/05/07
475017,1231,Michael Kors Holdings,KORS,61.62,62.18,60.99,61.39,-0.16,-0.26,"1,890,280",70.0,32.38,...,...,18.22,-2.48,Tuesday,Tuesday,2018/05/08
475018,1242,Michael Kors Holdings,KORS,61.44,62.71,61.34,62.38,0.99,1.61,"1,734,821",70.0,32.38,...,...,18.51,-0.91,Wednesday,Wednesday,2018/05/09
475019,1240,Michael Kors Holdings,KORS,62.36,63.03,62.06,62.9,0.52,0.83,"1,224,387",70.00,32.38,...,...,18.66,-0.08,Thursday,Thursday,2018/05/10
475020,1237,Michael Kors Holdings,KORS,62.86,63.34,62.41,63.08,0.18,0.29,"1,634,848",70.00,32.38,...,...,18.72,0.21,Friday,Friday,2018/05/11
475021,1239,Michael Kors Holdings,KORS,63.62,63.85,62.97,63.19,0.11,0.17,"1,447,073",70.0,32.38,...,...,18.75,0.38,Monday,Monday,2018/05/14
475022,1238,Michael Kors Holdings,KORS,62.72,64.57,62.71,64.45,1.26,1.99,"1,648,423",70.0,32.38,...,...,19.12,2.38,Tuesday,Tuesday,2018/05/15
475023,1241,Michael Kors Holdings,KORS,65.03,66.37,64.69,65.79,1.34,2.08,"2,258,868",70.00,32.38,...,...,19.52,4.51,Wednesday,Wednesday,2018/05/16
