,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
483168,982,Lawson Products,LAWS,26.6,26.6,24.95,25.25,-0.85,-3.26,"18,819",28.00,18.70,0.48,1.90,7.79,2.02,Thursday,Thursday,2018/03/29
483169,968,Lawson Products,LAWS,25.0,25.45,25.0,25.25,0.25,1.00,"15,258",28.00,18.70,0.48,1.90,7.79,2.02,Wednesday,Wednesday,2018/04/11
483170,970,Lawson Products,LAWS,25.7,25.7,25.0,25.2,-0.05,-0.20,"8,550",28.0,18.7,0.48,1.90,7.78,1.82,Thursday,Thursday,2018/04/12
483171,974,Lawson Products,LAWS,26.0,26.0,25.05,25.3,-0.20,-0.78,"7,413",28.00,18.70,0.48,1.90,7.81,2.22,Tuesday,Tuesday,2018/04/17
483172,978,Lawson Products,LAWS,25.15,25.35,24.9,25.15,-0.15,-0.59,"9,183",28.0,18.7,0.48,1.91,7.76,1.62,Wednesday,Wednesday,2018/04/18
483173,978,Lawson Products,LAWS,26.0,26.0,24.43,24.95,-0.20,-0.80,"10,860",28.00,18.70,0.48,1.92,7.70,0.81,Thursday,Thursday,2018/04/19
483174,975,Lawson Products,LAWS,23.5,25.15,23.5,24.55,-0.40,-1.60,"6,246",28.00,18.70,0.48,1.96,7.48,-0.81,Friday,Friday,2018/04/20
483175,976,Lawson Products,LAWS,24.2,24.25,23.85,23.9,-0.10,-0.42,"13,100",28.0,18.7,0.48,2.01,7.29,-3.43,Tuesday,Tuesday,2018/04/24
483176,975,Lawson Products,LAWS,24.15,24.91,23.55,23.7,-0.20,-0.84,"12,420",28.0,18.7,0.48,2.03,7.23,-4.24,Wednesday,Wednesday,2018/04/25
483177,971,Lawson Products,LAWS,23.55,23.55,22.3,22.3,-1.05,-4.50,"12,030",28.00,18.70,0.48,2.15,6.80,-9.90,Friday,Friday,2018/04/27
483178,975,Lawson Products,LAWS,22.25,23.15,22.25,23.15,0.85,3.81,"12,454",28.0,18.7,0.48,2.07,7.06,-6.46,Monday,Monday,2018/04/30
483179,972,Lawson Products,LAWS,23.0,23.0,22.2,22.85,-0.30,-1.30,"11,224",28.0,18.7,0.48,2.10,6.97,-7.68,Tuesday,Tuesday,2018/05/01
