,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
493474,1158,Linde,LIN,161.74,165.60,161.31,165.47,3.73,2.31,"16,055,598",...,...,...,...,...,...,Wednesday,Wednesday,2018/10/31
493475,1159,Linde,LIN,164.66,165.48,161.94,162.00,-3.47,-2.10,"6,876,905",165.6,161.31,...,...,...,...,Thursday,Thursday,2018/11/01
493476,1157,Linde,LIN,160.66,161.81,155.44,159.84,-2.16,-1.33,"5,577,904",165.6,155.44,...,...,...,...,Friday,Friday,2018/11/02
493477,1157,Linde,LIN,157.65,162.19,157.45,161.99,2.15,1.35,"4,412,792",165.6,155.44,...,...,33.75,...,Monday,Monday,2018/11/05
493478,1158,Linde,LIN,161.83,166.35,161.67,165.53,3.54,2.19,"2,443,158",166.35,155.44,...,...,34.49,...,Tuesday,Tuesday,2018/11/06
493479,1153,Linde,LIN,164.54,166.85,164.23,166.85,1.32,0.80,"3,509,672",166.85,155.44,...,...,34.76,...,Wednesday,Wednesday,2018/11/07
493480,1155,Linde,LIN,164.50,166.15,162.93,165.30,-1.55,-0.93,"3,657,116",166.85,155.44,...,...,34.44,...,Thursday,Thursday,2018/11/08
493481,1151,Linde,LIN,162.99,163.94,160.55,161.52,-3.78,-2.29,"2,173,765",166.85,155.44,...,...,33.65,...,Friday,Friday,2018/11/09
493482,1154,Linde,LIN,160.06,162.3,158.91,159.22,-2.30,-1.42,"1,816,618",166.85,155.44,...,...,33.17,...,Monday,Monday,2018/11/12
493483,1153,Linde,LIN,160.22,160.33,156.53,156.93,-2.29,-1.44,"1,694,495",166.85,155.44,...,...,32.69,...,Tuesday,Tuesday,2018/11/13
493484,1151,Linde,LIN,158.19,158.24,153.00,153.36,-3.57,-2.27,"2,265,508",166.85,153.00,...,...,31.95,...,Wednesday,Wednesday,2018/11/14
493485,1155,Linde,LIN,156.09,156.30,152.56,155.18,1.82,1.19,"2,704,622",166.85,152.56,...,...,32.33,...,Thursday,Thursday,2018/11/15
493486,1152,Linde,LIN,153.74,158.46,153.40,158.08,2.90,1.87,"2,607,789",166.85,152.56,...,...,32.93,...,Friday,Friday,2018/11/16
493487,1162,Linde,LIN,158.61,161.45,158.44,159.50,1.42,0.90,"2,228,616",166.85,152.56,...,...,33.23,...,Monday,Monday,2018/11/19
493488,1156,Linde,LIN,157.49,160.19,157.24,157.87,-1.63,-1.02,"2,124,278",166.85,152.56,...,...,32.89,...,Tuesday,Tuesday,2018/11/20
493489,1145,Linde,LIN,159.24,161.24,158.55,159.06,1.19,0.75,"1,745,297",166.85,152.56,...,...,33.14,...,Wednesday,Wednesday,2018/11/21
493490,1143,Linde,LIN,156.86,158.01,156.02,156.19,-2.87,-1.80,"938,827",166.85,152.56,...,...,...,...,Friday,Friday,2018/11/23
493491,1158,Linde,LIN,157.04,158.22,156.88,157.32,1.13,0.72,"2,177,787",166.85,152.56,...,...,...,...,Monday,Monday,2018/11/26
493492,1153,Linde,LIN,155.66,156.65,151.52,152.55,-4.77,-3.03,"2,189,456",166.85,151.52,...,...,...,...,Tuesday,Tuesday,2018/11/27
493493,1157,Linde,LIN,153.53,156.48,151.7,156.29,3.74,2.45,"1,696,645",166.85,151.52,...,...,...,...,Wednesday,Wednesday,2018/11/28
493494,1156,Linde,LIN,155.51,159.84,155.35,159.31,3.02,1.93,"2,557,814",166.85,151.52,...,...,...,...,Thursday,Thursday,2018/11/29
493495,1159,Linde,LIN,157.02,160.61,156.94,159.05,-0.26,-0.16,"3,421,624",166.85,151.52,...,...,47.70,...,Friday,Friday,2018/11/30
493496,1151,Linde,LIN,162.3,164.42,159.92,164.35,5.30,3.33,"2,713,700",166.85,151.52,...,...,49.29,...,Monday,Monday,2018/12/03
493497,1158,Linde,LIN,163.95,164.29,160.45,160.83,-3.52,-2.14,"2,622,000",166.85,151.52,...,...,48.24,...,Tuesday,Tuesday,2018/12/04
493498,1156,Linde,LIN,158.53,159.02,153.0,155.98,-4.85,-3.02,"4,578,402",166.85,151.52,...,...,46.78,...,Thursday,Thursday,2018/12/06
493499,1147,Linde,LIN,156.22,158.52,152.36,152.72,-3.26,-2.09,"2,296,578",166.85,151.52,...,...,45.80,...,Friday,Friday,2018/12/07
493500,1155,Linde,LIN,156.03,157.54,154.11,156.91,4.19,2.74,"2,437,529",166.85,151.52,...,...,47.06,...,Monday,Monday,2018/12/10
493501,1154,Linde,LIN,161.16,162.46,156.65,157.46,0.55,0.35,"2,486,351",166.85,151.52,...,...,46.66,...,Tuesday,Tuesday,2018/12/11
493502,1154,Linde,LIN,161.65,162.14,159.46,160.55,3.09,1.96,"2,360,190",166.85,151.52,...,...,47.58,...,Wednesday,Wednesday,2018/12/12
493503,1154,Linde,LIN,160.4,161.3,157.3,158.09,-2.46,-1.53,"2,329,689",166.85,151.52,...,...,46.85,...,Thursday,Thursday,2018/12/13
493504,1150,Linde,LIN,157.38,158.47,156.05,156.93,-1.16,-0.73,"2,299,232",166.85,151.52,...,...,46.50,...,Friday,Friday,2018/12/14
493505,1153,Linde,LIN,157.19,159.44,155.59,157.33,1.23,0.79,"2,681,349",166.85,151.52,...,...,46.62,...,Monday,Monday,2018/12/17
493506,1149,Linde,LIN,158.42,158.89,156.63,157.61,0.28,0.18,"1,925,564",166.85,151.52,...,...,46.70,...,Tuesday,Tuesday,2018/12/18
493507,1153,Linde,LIN,157.40,158.5,155.21,155.83,-1.78,-1.13,"2,486,595",166.85,151.52,...,...,46.18,...,Wednesday,Wednesday,2018/12/19
493508,1146,Linde,LIN,154.48,156.4,152.44,154.05,-1.78,-1.14,"2,928,969",166.85,151.52,...,...,45.65,...,Thursday,Thursday,2018/12/20
493509,1150,Linde,LIN,156.01,157.48,153.03,153.11,-0.94,-0.61,"4,921,052",166.85,151.52,...,...,45.37,...,Friday,Friday,2018/12/21
493510,1145,Linde,LIN,152.7,153.41,148.13,148.13,-4.98,-3.25,"2,079,054",166.85,148.13,...,...,43.90,...,Monday,Monday,2018/12/24
493511,1156,Linde,LIN,148.75,152.77,145.95,152.74,4.61,3.11,"2,523,332",166.85,145.95,...,...,45.83,...,Wednesday,Wednesday,2018/12/26
493512,1150,Linde,LIN,152.05,156.41,150.6,156.41,3.67,2.40,"2,466,494",166.85,145.95,...,...,31.73,...,Thursday,Thursday,2018/12/27
