,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
495237,429,LiveXLive Media,LIVX,3.8,3.85,3.75,3.80,-0.05,-1.30,"11,888",30.00,3.43,...,...,...,-13.64,Thursday,Thursday,2018/03/29
495238,420,LiveXLive Media,LIVX,3.79,3.79,3.7,3.7,-0.02,-0.54,"4,854",30.00,3.43,...,...,...,-15.91,Wednesday,Wednesday,2018/04/11
495239,419,LiveXLive Media,LIVX,3.75,3.77,3.75,3.77,0.07,1.89,"4,727",30.0,3.43,...,...,...,-14.32,Thursday,Thursday,2018/04/12
495240,422,LiveXLive Media,LIVX,3.77,3.8,3.77,3.8,-0.03,-0.78,"9,686",30.0,3.43,...,...,...,-13.64,Tuesday,Tuesday,2018/04/17
495241,427,LiveXLive Media,LIVX,3.8,3.83,3.8,3.83,0.03,0.79,"8,756",30.00,3.43,...,...,...,-12.95,Wednesday,Wednesday,2018/04/18
495242,411,LiveXLive Media,LIVX,3.8,3.8,3.79,3.8,-0.03,-0.78,"3,962",30.0,3.43,...,...,...,-13.64,Thursday,Thursday,2018/04/19
495243,418,LiveXLive Media,LIVX,3.8,3.8,3.7,3.7,-0.10,-2.63,"4,059",30.00,3.43,...,...,...,-15.91,Friday,Friday,2018/04/20
495244,423,LiveXLive Media,LIVX,3.7,3.7,3.51,3.7,...,...,"9,097",30.0,3.43,...,...,...,-15.91,Tuesday,Tuesday,2018/04/24
495245,414,LiveXLive Media,LIVX,3.6,3.7,3.6,3.7,...,...,"6,846",30.00,3.43,...,...,...,-15.91,Wednesday,Wednesday,2018/04/25
495246,411,LiveXLive Media,LIVX,3.71,3.8,3.71,3.8,0.10,2.70,"3,703",30.0,3.43,...,...,...,-13.64,Friday,Friday,2018/04/27
495247,430,LiveXLive Media,LIVX,3.8,3.85,3.67,3.85,0.05,1.32,"16,797",30.0,3.43,...,...,...,-12.50,Monday,Monday,2018/04/30
495248,411,LiveXLive Media,LIVX,3.66,3.8,3.63,3.8,-0.05,-1.30,"20,921",30.00,3.43,...,...,...,-13.64,Tuesday,Tuesday,2018/05/01
495249,418,LiveXLive Media,LIVX,3.8,3.8,3.58,3.8,...,...,"6,615",30.00,3.43,...,...,...,-13.64,Thursday,Thursday,2018/05/03
495250,414,LiveXLive Media,LIVX,3.75,3.85,3.75,3.85,0.05,1.32,"4,047",30.00,3.43,...,...,...,-12.50,Friday,Friday,2018/05/04
495251,440,LiveXLive Media,LIVX,3.60,3.85,3.5,3.85,...,...,"5,510",30.00,3.43,...,...,...,-12.50,Monday,Monday,2018/05/07
495252,417,LiveXLive Media,LIVX,3.85,3.9,3.51,3.9,0.05,1.30,"7,071",30.0,3.43,...,...,...,-11.36,Tuesday,Tuesday,2018/05/08
495253,434,LiveXLive Media,LIVX,3.95,3.95,3.56,3.63,-0.27,-6.92,"7,485",30.0,3.43,...,...,...,-17.50,Wednesday,Wednesday,2018/05/09
