,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
520976,1102,Microchip Technology,MCHP,91.93,92.61,90.45,91.36,0.20,0.22,"4,049,797",101.48,71.40,1.45,1.59,93.95,3.96,Thursday,Thursday,2018/03/29
520977,1086,Microchip Technology,MCHP,87.62,90.0,87.47,88.5,-0.23,-0.26,"2,084,097",101.48,71.71,1.45,1.64,91.01,0.71,Wednesday,Wednesday,2018/04/11
520978,1088,Microchip Technology,MCHP,89.16,89.91,88.54,89.06,0.56,0.63,"2,774,052",101.48,71.91,1.45,1.63,91.59,1.34,Thursday,Thursday,2018/04/12
520979,1093,Microchip Technology,MCHP,86.84,89.63,86.75,89.07,2.84,3.29,"2,905,855",101.48,72.56,1.45,1.63,91.60,1.35,Tuesday,Tuesday,2018/04/17
520980,1097,Microchip Technology,MCHP,88.67,89.25,87.5,88.0,-1.07,-1.20,"2,122,998",101.48,73.87,1.45,1.65,90.50,0.14,Wednesday,Wednesday,2018/04/18
520981,1098,Microchip Technology,MCHP,86.3,86.72,84.47,85.14,-2.86,-3.25,"3,106,619",101.48,73.87,1.45,1.71,87.56,-3.12,Thursday,Thursday,2018/04/19
520982,1095,Microchip Technology,MCHP,86.5,87.6,84.45,85.68,0.54,0.63,"3,481,843",101.48,73.87,1.45,1.69,88.11,-2.50,Friday,Friday,2018/04/20
520983,1095,Microchip Technology,MCHP,85.34,85.51,81.28,82.44,-1.96,-2.32,"4,314,036",101.48,74.55,1.45,1.76,84.78,-6.19,Tuesday,Tuesday,2018/04/24
520984,1097,Microchip Technology,MCHP,82.66,84.09,81.56,82.98,0.54,0.66,"2,601,385",101.48,74.55,1.45,1.75,85.34,-5.58,Wednesday,Wednesday,2018/04/25
520985,1092,Microchip Technology,MCHP,85.58,86.05,83.53,84.66,-0.24,-0.28,"1,364,806",101.48,74.55,1.45,1.72,87.06,-3.66,Friday,Friday,2018/04/27
520986,1094,Microchip Technology,MCHP,84.75,85.33,83.42,83.66,-1.00,-1.18,"1,703,412",101.48,74.55,1.45,1.74,86.03,-4.80,Monday,Monday,2018/04/30
520987,1091,Microchip Technology,MCHP,83.19,85.11,83.0,85.02,1.36,1.63,"1,568,009",101.48,74.55,1.45,1.71,87.43,-3.25,Tuesday,Tuesday,2018/05/01
520988,1088,Microchip Technology,MCHP,83.98,86.31,82.64,86.11,1.33,1.57,"3,065,442",101.48,74.55,1.45,1.69,88.55,-2.01,Thursday,Thursday,2018/05/03
520989,1093,Microchip Technology,MCHP,85.47,87.76,85.47,87.51,1.40,1.63,"2,168,225",101.48,74.55,1.45,1.66,89.99,-0.42,Friday,Friday,2018/05/04
520990,1099,Microchip Technology,MCHP,88.51,89.71,87.65,88.74,1.23,1.41,"3,594,846",101.48,74.86,1.45,1.64,91.26,0.98,Monday,Monday,2018/05/07
520991,1099,Microchip Technology,MCHP,89.9,90.96,86.52,90.65,1.91,2.15,"4,411,442",101.48,75.18,1.45,1.60,93.22,3.15,Tuesday,Tuesday,2018/05/08
520992,1100,Microchip Technology,MCHP,91.0,91.92,89.1,91.86,1.21,1.33,"2,630,295",101.48,75.80,1.45,1.58,93.73,4.53,Wednesday,Wednesday,2018/05/09
520993,1091,Microchip Technology,MCHP,91.64,93.25,91.64,93.16,1.30,1.42,"1,709,117",101.48,75.8,1.45,1.56,95.06,6.01,Thursday,Thursday,2018/05/10
520994,1098,Microchip Technology,MCHP,93.5,94.22,92.51,92.95,-0.21,-0.23,"1,395,267",101.48,75.8,1.45,1.56,94.85,5.77,Friday,Friday,2018/05/11
520995,1098,Microchip Technology,MCHP,94.1,94.7,93.19,93.46,0.51,0.55,"1,568,018",101.48,75.8,1.45,1.56,95.37,6.35,Monday,Monday,2018/05/14
520996,1097,Microchip Technology,MCHP,94.69,94.73,92.35,93.36,-0.10,-0.11,"2,949,881",101.48,75.8,1.45,1.56,95.27,6.24,Tuesday,Tuesday,2018/05/15
520997,1104,Microchip Technology,MCHP,93.09,93.97,93.06,93.51,0.15,0.16,"1,378,218",101.48,75.8,1.45,1.55,95.42,6.41,Wednesday,Wednesday,2018/05/16
520998,1096,Microchip Technology,MCHP,93.21,94.0,92.64,93.37,-0.14,-0.15,"1,608,340",101.48,75.80,1.45,1.56,95.28,6.25,Thursday,Thursday,2018/05/17
520999,1096,Microchip Technology,MCHP,92.5,93.56,91.93,92.8,-0.21,-0.22,"1,327,338",101.48,75.8,1.45,1.57,94.69,5.60,Friday,Friday,2018/05/18
521000,1095,Microchip Technology,MCHP,93.92,94.63,92.98,93.81,1.01,1.09,"1,146,711",101.48,75.80,1.45,1.55,95.72,6.75,Monday,Monday,2018/05/21
521001,1098,Microchip Technology,MCHP,93.55,95.0,93.41,94.33,0.52,0.55,"1,603,881",101.48,75.8,1.45,1.54,96.26,7.34,Tuesday,Tuesday,2018/05/22
521002,1094,Microchip Technology,MCHP,93.24,94.14,92.73,94.08,-0.25,-0.27,"1,466,071",101.48,75.80,1.45,1.55,96.00,7.06,Wednesday,Wednesday,2018/05/23
521003,1098,Microchip Technology,MCHP,93.98,94.97,93.44,94.85,0.77,0.82,"1,255,943",101.48,75.80,1.45,1.53,96.79,7.93,Thursday,Thursday,2018/05/24
521004,1100,Microchip Technology,MCHP,94.81,95.94,94.79,95.81,0.96,1.01,"1,359,588",101.48,75.80,1.45,1.52,97.77,9.02,Friday,Friday,2018/05/25
521005,1096,Microchip Technology,MCHP,94.86,95.98,94.35,95.23,-0.58,-0.61,"1,771,511",101.48,75.80,1.45,1.53,97.17,8.36,Tuesday,Tuesday,2018/05/29
521006,1101,Microchip Technology,MCHP,96.64,99.09,95.29,97.51,2.28,2.39,"2,965,157",101.48,75.80,1.45,1.49,99.50,10.96,Wednesday,Wednesday,2018/05/30
521007,1095,Microchip Technology,MCHP,97.23,98.74,97.02,97.38,-0.13,-0.13,"2,419,449",101.48,75.8,1.45,1.49,99.37,10.81,Thursday,Thursday,2018/05/31
521008,1102,Microchip Technology,MCHP,98.36,101.09,97.66,101.05,3.67,3.77,"2,813,466",101.48,75.80,1.45,1.44,103.11,14.99,Friday,Friday,2018/06/01
521009,1103,Microchip Technology,MCHP,101.05,101.73,100.39,101.41,0.36,0.36,"4,258,990",101.73,75.80,1.45,1.43,103.48,15.40,Monday,Monday,2018/06/04
521010,1098,Microchip Technology,MCHP,102.75,102.8,101.41,102.14,0.73,0.72,"1,887,780",102.8,75.8,1.45,1.42,104.22,16.23,Tuesday,Tuesday,2018/06/05
521011,1108,Microchip Technology,MCHP,102.28,103.37,101.69,103.31,1.17,1.15,"1,986,817",103.37,75.80,1.45,1.41,105.42,17.56,Wednesday,Wednesday,2018/06/06
521012,1105,Microchip Technology,MCHP,103.02,103.42,101.27,102.22,-1.09,-1.06,"2,095,706",103.42,75.80,1.45,1.42,104.31,16.32,Thursday,Thursday,2018/06/07
521013,1102,Microchip Technology,MCHP,101.37,104.2,100.79,102.15,-0.07,-0.07,"1,450,226",104.20,75.80,1.45,1.42,104.23,16.24,Friday,Friday,2018/06/08
521014,1101,Microchip Technology,MCHP,102.05,102.93,101.72,102.4,0.25,0.24,"1,199,836",104.2,75.8,1.45,1.42,104.49,16.52,Monday,Monday,2018/06/11
521015,1098,Microchip Technology,MCHP,102.52,103.02,101.83,102.69,0.29,0.28,"2,236,415",104.2,75.8,1.45,1.42,104.79,16.85,Tuesday,Tuesday,2018/06/12
521016,1099,Microchip Technology,MCHP,102.89,103.09,101.76,102.08,-0.61,-0.59,"2,322,648",104.2,75.8,1.45,1.42,104.16,16.16,Wednesday,Wednesday,2018/06/13
521017,1100,Microchip Technology,MCHP,102.64,103.27,102.08,102.57,0.49,0.48,"1,516,370",104.2,75.8,1.45,1.42,104.66,16.72,Thursday,Thursday,2018/06/14
521018,1097,Microchip Technology,MCHP,102.53,102.53,100.83,101.98,-0.59,-0.58,"2,342,448",104.20,75.80,1.45,1.43,104.06,16.04,Friday,Friday,2018/06/15
521019,1100,Microchip Technology,MCHP,101.24,101.88,100.5,101.64,-0.34,-0.33,"1,500,596",104.20,75.80,1.45,1.43,103.71,15.66,Monday,Monday,2018/06/18
521020,1095,Microchip Technology,MCHP,100.15,101.41,99.54,100.4,-1.24,-1.22,"1,702,029",104.2,75.8,1.45,1.45,102.45,14.25,Tuesday,Tuesday,2018/06/19
521021,1094,Microchip Technology,MCHP,101.23,101.58,100.35,101.23,0.83,0.83,"1,245,532",104.20,75.80,1.45,1.44,103.30,15.19,Wednesday,Wednesday,2018/06/20
521022,1100,Microchip Technology,MCHP,101.69,101.69,98.63,98.7,-2.53,-2.50,"1,391,538",104.2,75.8,1.45,1.47,100.71,12.31,Thursday,Thursday,2018/06/21
521023,1106,Microchip Technology,MCHP,98.98,99.4,96.37,96.92,-1.78,-1.80,"2,612,119",104.2,75.8,1.45,1.50,98.90,10.29,Friday,Friday,2018/06/22
521024,1103,Microchip Technology,MCHP,96.01,96.3,92.72,93.24,-3.68,-3.80,"3,121,204",104.2,75.8,1.45,1.56,95.14,6.10,Monday,Monday,2018/06/25
521025,1100,Microchip Technology,MCHP,93.76,94.25,92.7,93.14,-0.10,-0.11,"1,525,059",104.2,75.8,1.45,1.56,95.04,5.99,Tuesday,Tuesday,2018/06/26
521026,1103,Microchip Technology,MCHP,93.32,94.32,90.18,90.3,-2.84,-3.05,"2,584,463",104.20,75.80,1.45,1.61,92.14,2.75,Wednesday,Wednesday,2018/06/27
521027,1110,Microchip Technology,MCHP,89.93,91.26,89.93,90.44,0.14,0.16,"2,556,446",104.20,75.80,1.45,1.61,92.29,2.91,Thursday,Thursday,2018/06/28
521028,1113,Microchip Technology,MCHP,90.73,91.96,90.41,90.95,0.51,0.56,"3,000,642",104.20,75.80,1.45,1.60,92.81,3.49,Friday,Friday,2018/06/29
521029,1110,Microchip Technology,MCHP,90.22,91.53,89.2,91.47,0.52,0.57,"1,579,894",104.2,75.8,1.45,1.59,93.34,4.09,Monday,Monday,2018/07/02
521030,1099,Microchip Technology,MCHP,91.82,91.82,89.93,90.1,-1.37,-1.50,"1,043,756",104.2,76.02,1.45,1.61,91.94,2.53,Tuesday,Tuesday,2018/07/03
521031,1106,Microchip Technology,MCHP,91.23,92.34,90.83,92.13,2.03,2.25,"1,585,182",104.2,76.5,1.45,1.58,94.01,4.84,Thursday,Thursday,2018/07/05
521032,1103,Microchip Technology,MCHP,91.69,93.87,91.39,93.41,1.28,1.39,"1,641,343",104.2,77.21,1.45,1.56,95.32,6.29,Friday,Friday,2018/07/06
521033,1102,Microchip Technology,MCHP,93.75,94.01,92.36,93.38,-0.03,-0.03,"1,308,430",104.2,77.95,1.45,1.56,95.29,6.26,Monday,Monday,2018/07/09
521034,1108,Microchip Technology,MCHP,93.76,94.76,93.24,94.6,1.22,1.31,"1,485,779",104.2,78.33,1.45,1.54,96.53,7.65,Tuesday,Tuesday,2018/07/10
521035,1097,Microchip Technology,MCHP,93.4,94.2,91.59,92.01,-2.59,-2.74,"2,125,568",104.2,78.33,1.45,1.58,93.89,4.70,Wednesday,Wednesday,2018/07/11
521036,1101,Microchip Technology,MCHP,92.77,94.37,92.24,94.28,2.27,2.47,"2,085,041",104.2,78.33,1.45,1.54,96.20,7.28,Thursday,Thursday,2018/07/12
