,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
522936,1129,MongoDB,MDB,41.83,43.72,41.83,43.4,1.69,4.05,"584,986",46.26,24.62,...,...,...,46.23,Thursday,Thursday,2018/03/29
522937,1113,MongoDB,MDB,40.93,42.2,40.53,40.69,0.12,0.30,"347,429",46.26,24.62,...,...,...,37.10,Wednesday,Wednesday,2018/04/11
522938,1115,MongoDB,MDB,40.73,41.54,39.39,40.21,-0.48,-1.18,"492,613",46.26,24.62,...,...,...,35.48,Thursday,Thursday,2018/04/12
522939,1120,MongoDB,MDB,39.02,39.34,37.88,38.35,-1.11,-2.81,"3,599,044",46.26,24.62,...,...,...,29.21,Tuesday,Tuesday,2018/04/17
522940,1124,MongoDB,MDB,38.38,39.0,38.01,38.47,0.12,0.31,"990,595",46.26,24.62,...,...,...,29.62,Wednesday,Wednesday,2018/04/18
522941,1125,MongoDB,MDB,38.37,38.74,37.8,37.82,-0.65,-1.69,"938,819",46.26,24.62,...,...,...,27.43,Thursday,Thursday,2018/04/19
522942,1122,MongoDB,MDB,37.57,38.25,37.09,37.77,-0.05,-0.13,"608,046",46.26,24.62,...,...,...,27.26,Friday,Friday,2018/04/20
522943,1121,MongoDB,MDB,36.75,37.17,34.58,34.77,-1.98,-5.39,"981,636",46.26,24.62,...,...,...,17.15,Tuesday,Tuesday,2018/04/24
522944,1124,MongoDB,MDB,35.08,35.41,32.35,34.9,0.13,0.37,"1,594,801",46.26,24.62,...,...,...,17.59,Wednesday,Wednesday,2018/04/25
522945,1119,MongoDB,MDB,37.77,38.0,35.5,36.26,-1.13,-3.02,"844,343",46.26,24.62,...,...,...,22.17,Friday,Friday,2018/04/27
522946,1121,MongoDB,MDB,36.5,37.17,35.55,35.99,-0.27,-0.74,"692,023",46.26,24.62,...,...,...,21.26,Monday,Monday,2018/04/30
522947,1118,MongoDB,MDB,35.71,36.8,35.23,36.51,0.52,1.44,"960,122",46.26,24.62,...,...,...,23.01,Tuesday,Tuesday,2018/05/01
522948,1115,MongoDB,MDB,37.25,38.9,36.83,38.55,1.44,3.88,"1,001,935",46.26,24.62,...,...,...,29.89,Thursday,Thursday,2018/05/03
522949,1120,MongoDB,MDB,38.61,39.35,36.3,36.97,-1.58,-4.10,"1,246,206",46.26,24.62,...,...,...,24.56,Friday,Friday,2018/05/04
522950,1126,MongoDB,MDB,37.0,37.98,36.86,37.76,0.79,2.14,"561,884",46.26,24.62,...,...,...,27.22,Monday,Monday,2018/05/07
522951,1126,MongoDB,MDB,37.95,41.01,37.79,41.01,3.25,8.61,"2,335,986",46.26,24.62,...,...,...,38.17,Tuesday,Tuesday,2018/05/08
522952,1127,MongoDB,MDB,40.75,41.6,40.0,41.2,0.19,0.46,"573,070",46.26,24.62,...,...,...,38.81,Wednesday,Wednesday,2018/05/09
522953,1118,MongoDB,MDB,41.44,41.52,40.33,40.75,-0.45,-1.09,"437,284",46.26,24.62,...,...,...,37.30,Thursday,Thursday,2018/05/10
522954,1125,MongoDB,MDB,41.41,44.42,41.37,43.21,2.46,6.04,"1,039,162",46.26,24.62,...,...,...,45.59,Friday,Friday,2018/05/11
522955,1125,MongoDB,MDB,45.0,46.56,43.25,43.32,0.11,0.25,"1,004,865",46.56,24.62,...,...,...,45.96,Monday,Monday,2018/05/14
522956,1124,MongoDB,MDB,42.96,42.96,41.1,42.06,-1.26,-2.91,"803,015",46.56,24.62,...,...,...,41.71,Tuesday,Tuesday,2018/05/15
522957,1131,MongoDB,MDB,41.93,42.5,41.32,42.14,0.08,0.19,"405,561",46.56,24.62,...,...,...,41.98,Wednesday,Wednesday,2018/05/16
522958,1123,MongoDB,MDB,42.0,42.22,40.61,41.49,-0.65,-1.54,"526,239",46.56,24.62,...,...,...,39.79,Thursday,Thursday,2018/05/17
522959,1123,MongoDB,MDB,41.94,43.95,41.94,43.38,1.89,4.56,"539,493",46.56,24.62,...,...,...,46.16,Friday,Friday,2018/05/18
522960,1122,MongoDB,MDB,43.88,44.41,43.11,43.53,0.15,0.35,"392,137",46.56,24.62,...,...,...,46.66,Monday,Monday,2018/05/21
522961,1125,MongoDB,MDB,43.78,44.2,42.72,43.25,-0.28,-0.64,"321,093",46.56,24.62,...,...,...,45.72,Tuesday,Tuesday,2018/05/22
522962,1121,MongoDB,MDB,43.0,44.75,42.24,44.45,1.20,2.77,"443,594",46.56,24.62,...,...,...,49.76,Wednesday,Wednesday,2018/05/23
522963,1125,MongoDB,MDB,44.58,45.43,43.73,44.45,...,...,"479,668",46.56,24.62,...,...,...,49.76,Thursday,Thursday,2018/05/24
522964,1127,MongoDB,MDB,44.45,45.44,44.39,44.99,0.54,1.21,"403,206",46.56,24.62,...,...,...,51.58,Friday,Friday,2018/05/25
522965,1122,MongoDB,MDB,45.2,45.85,43.66,45.76,0.77,1.71,"555,079",46.56,24.62,...,...,...,54.18,Tuesday,Tuesday,2018/05/29
522966,1127,MongoDB,MDB,46.0,46.5,45.67,46.3,0.54,1.18,"832,017",46.56,24.62,...,...,...,56.00,Wednesday,Wednesday,2018/05/30
522967,1121,MongoDB,MDB,46.47,47.39,45.59,47.13,0.83,1.79,"640,947",47.39,24.62,...,...,...,58.79,Thursday,Thursday,2018/05/31
522968,1128,MongoDB,MDB,47.14,47.48,46.1,46.52,-0.61,-1.29,"944,360",47.48,24.62,...,...,...,56.74,Friday,Friday,2018/06/01
522969,1130,MongoDB,MDB,46.91,48.81,46.72,48.25,1.73,3.72,"1,486,280",48.81,24.62,...,...,...,62.57,Monday,Monday,2018/06/04
522970,1125,MongoDB,MDB,48.56,49.8,48.32,49.24,0.99,2.05,"1,057,429",49.8,24.62,...,...,...,65.90,Tuesday,Tuesday,2018/06/05
522971,1135,MongoDB,MDB,49.55,52.02,49.36,51.26,2.02,4.10,"1,481,911",52.02,24.62,...,...,...,72.71,Wednesday,Wednesday,2018/06/06
522972,1132,MongoDB,MDB,50.74,51.9,48.6,49.58,-1.68,-3.28,"1,682,335",52.02,24.62,...,...,...,67.05,Thursday,Thursday,2018/06/07
522973,1129,MongoDB,MDB,49.54,54.03,49.1,51.92,2.34,4.72,"940,464",54.03,24.62,...,...,...,74.93,Friday,Friday,2018/06/08
522974,1128,MongoDB,MDB,51.02,54.24,50.61,53.86,1.94,3.74,"1,844,142",54.24,24.62,...,...,...,81.47,Monday,Monday,2018/06/11
522975,1125,MongoDB,MDB,54.18,57.35,54.01,56.23,2.37,4.40,"1,599,125",57.35,24.62,...,...,...,89.45,Tuesday,Tuesday,2018/06/12
522976,1126,MongoDB,MDB,57.0,57.91,55.25,57.21,0.98,1.74,"1,242,137",57.91,24.62,...,...,...,92.76,Wednesday,Wednesday,2018/06/13
522977,1127,MongoDB,MDB,57.2,59.54,57.1,58.61,1.40,2.45,"960,941",59.54,24.62,...,...,...,97.47,Thursday,Thursday,2018/06/14
522978,1124,MongoDB,MDB,58.14,59.53,56.72,59.23,0.62,1.06,"1,122,848",59.54,24.62,...,...,...,99.56,Friday,Friday,2018/06/15
522979,1127,MongoDB,MDB,58.26,59.44,57.28,59.2,-0.03,-0.05,"871,119",59.54,24.62,...,...,...,99.46,Monday,Monday,2018/06/18
522980,1122,MongoDB,MDB,57.93,58.88,57.03,58.79,-0.41,-0.69,"1,260,622",59.54,24.62,...,...,...,98.08,Tuesday,Tuesday,2018/06/19
522981,1121,MongoDB,MDB,58.89,59.48,58.35,58.42,-0.37,-0.63,"612,975",59.54,24.62,...,...,...,96.83,Wednesday,Wednesday,2018/06/20
522982,1127,MongoDB,MDB,58.2,58.51,54.52,56.86,-1.56,-2.67,"1,050,918",59.54,24.62,...,...,...,91.58,Thursday,Thursday,2018/06/21
522983,1133,MongoDB,MDB,57.0,57.33,54.82,56.94,0.08,0.14,"837,253",59.54,24.62,...,...,...,91.85,Friday,Friday,2018/06/22
522984,1130,MongoDB,MDB,54.97,55.35,51.35,53.45,-3.49,-6.13,"1,552,354",59.54,24.62,...,...,...,80.09,Monday,Monday,2018/06/25
522985,1127,MongoDB,MDB,52.77,53.05,51.41,51.52,-1.93,-3.61,"1,486,933",59.54,24.62,...,...,...,73.58,Tuesday,Tuesday,2018/06/26
522986,1130,MongoDB,MDB,51.47,52.5,47.82,48.0,-3.52,-6.83,"1,876,945",59.54,24.62,...,...,...,61.73,Wednesday,Wednesday,2018/06/27
522987,1137,MongoDB,MDB,48.11,50.08,47.69,49.21,1.21,2.52,"908,602",59.54,24.62,...,...,...,65.80,Thursday,Thursday,2018/06/28
522988,1140,MongoDB,MDB,49.78,50.57,48.79,49.63,0.42,0.85,"726,816",59.54,24.62,...,...,...,67.22,Friday,Friday,2018/06/29
