,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
527920,1096,Mesoblast ADR,MESO,5.76,5.8,5.71,5.78,0.02,0.35,"15,768",12.50,4.74,...,...,...,-1.03,Thursday,Thursday,2018/03/29
527921,1080,Mesoblast ADR,MESO,5.82,6.08,5.82,6.01,0.21,3.62,"208,398",12.50,4.74,...,...,...,2.91,Wednesday,Wednesday,2018/04/11
527922,1082,Mesoblast ADR,MESO,6.04,6.34,6.04,6.21,0.20,3.33,"105,381",12.5,4.74,...,...,...,6.34,Thursday,Thursday,2018/04/12
527923,1087,Mesoblast ADR,MESO,6.14,6.19,6.0,6.1,...,...,"32,254",12.50,4.74,...,...,...,4.45,Tuesday,Tuesday,2018/04/17
527924,1091,Mesoblast ADR,MESO,6.1,6.14,5.97,5.99,-0.11,-1.80,"23,181",12.5,4.74,...,...,...,2.57,Wednesday,Wednesday,2018/04/18
527925,1092,Mesoblast ADR,MESO,5.93,5.93,5.69,5.88,-0.11,-1.84,"22,893",12.50,4.74,...,...,...,0.68,Thursday,Thursday,2018/04/19
527926,1089,Mesoblast ADR,MESO,5.82,5.82,5.69,5.69,-0.19,-3.23,"8,837",12.50,4.74,...,...,...,-2.57,Friday,Friday,2018/04/20
527927,1089,Mesoblast ADR,MESO,5.61,5.61,5.47,5.49,-0.12,-2.14,"28,217",12.5,4.74,...,...,...,-5.99,Tuesday,Tuesday,2018/04/24
527928,1091,Mesoblast ADR,MESO,5.53,5.58,5.44,5.54,0.05,0.91,"24,536",12.5,4.74,...,...,...,-5.14,Wednesday,Wednesday,2018/04/25
527929,1086,Mesoblast ADR,MESO,5.65,5.78,5.55,5.71,0.09,1.60,"23,252",12.21,4.74,...,...,...,-2.23,Friday,Friday,2018/04/27
527930,1088,Mesoblast ADR,MESO,5.7,5.7,5.48,5.5,-0.21,-3.68,"24,089",12.02,4.74,...,...,...,-5.82,Monday,Monday,2018/04/30
527931,1085,Mesoblast ADR,MESO,5.61,5.65,5.53,5.63,0.13,2.36,"5,431",11.94,4.74,...,...,...,-3.60,Tuesday,Tuesday,2018/05/01
527932,1082,Mesoblast ADR,MESO,5.64,5.83,5.61,5.7,0.07,1.23,"23,821",11.49,4.74,...,...,...,-2.40,Thursday,Thursday,2018/05/03
527933,1087,Mesoblast ADR,MESO,5.7,5.73,5.6,5.73,0.03,0.53,"17,755",11.49,4.74,...,...,...,-1.88,Friday,Friday,2018/05/04
527934,1093,Mesoblast ADR,MESO,5.72,5.74,5.5,5.55,-0.18,-3.14,"24,713",11.49,4.74,...,...,...,-4.97,Monday,Monday,2018/05/07
527935,1093,Mesoblast ADR,MESO,5.65,5.7,5.56,5.56,0.01,0.18,"23,548",11.49,4.74,...,...,...,-4.79,Tuesday,Tuesday,2018/05/08
527936,1094,Mesoblast ADR,MESO,5.58,5.61,5.52,5.6,0.04,0.72,"14,836",11.49,4.74,...,...,...,-4.11,Wednesday,Wednesday,2018/05/09
527937,1085,Mesoblast ADR,MESO,5.64,5.64,5.48,5.51,-0.09,-1.61,"17,701",11.49,4.74,...,...,...,-5.65,Thursday,Thursday,2018/05/10
527938,1092,Mesoblast ADR,MESO,5.5,5.54,5.46,5.54,0.03,0.54,"15,099",11.49,4.74,...,...,...,-5.14,Friday,Friday,2018/05/11
527939,1092,Mesoblast ADR,MESO,5.55,5.65,5.5,5.51,-0.03,-0.54,"14,850",9.64,4.74,...,...,...,-5.65,Monday,Monday,2018/05/14
527940,1091,Mesoblast ADR,MESO,5.43,5.43,5.25,5.27,-0.24,-4.36,"18,790",9.64,4.74,...,...,...,-9.76,Tuesday,Tuesday,2018/05/15
527941,1098,Mesoblast ADR,MESO,5.32,5.36,5.26,5.34,0.07,1.33,"17,744",9.64,4.74,...,...,...,-8.56,Wednesday,Wednesday,2018/05/16
