,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
535363,43,AG Mortgage Investment Trust,MITT,17.29,17.53,17.29,17.37,0.16,0.93,"200,883",19.95,16.31,1.90,10.94,4.62,-8.63,Thursday,Thursday,2018/03/29
535364,43,AG Mortgage Investment Trust,MITT,17.41,17.47,17.3,17.34,-0.05,-0.29,"44,410",19.95,16.31,1.90,10.96,4.61,-8.78,Wednesday,Wednesday,2018/04/11
535365,43,AG Mortgage Investment Trust,MITT,17.33,17.37,17.19,17.19,-0.15,-0.87,"45,156",19.95,16.31,1.90,11.05,4.57,-9.57,Thursday,Thursday,2018/04/12
535366,43,AG Mortgage Investment Trust,MITT,17.3,17.37,17.21,17.36,0.16,0.93,"76,765",19.95,16.31,1.90,10.94,4.62,-8.68,Tuesday,Tuesday,2018/04/17
535367,42,AG Mortgage Investment Trust,MITT,17.41,17.52,17.34,17.41,0.05,0.29,"85,778",19.95,16.31,1.90,10.91,4.63,-8.42,Wednesday,Wednesday,2018/04/18
535368,42,AG Mortgage Investment Trust,MITT,17.35,17.45,17.28,17.31,-0.10,-0.57,"53,113",19.95,16.31,1.90,10.98,4.60,-8.94,Thursday,Thursday,2018/04/19
535369,42,AG Mortgage Investment Trust,MITT,17.27,17.43,17.27,17.39,0.08,0.46,"69,407",19.95,16.31,1.90,10.93,4.63,-8.52,Friday,Friday,2018/04/20
535370,42,AG Mortgage Investment Trust,MITT,17.51,17.66,17.4,17.61,0.13,0.74,"117,741",19.95,16.31,1.90,10.79,4.68,-7.36,Tuesday,Tuesday,2018/04/24
535371,42,AG Mortgage Investment Trust,MITT,17.57,17.68,17.46,17.59,-0.02,-0.11,"106,533",19.95,16.31,1.90,10.80,4.68,-7.47,Wednesday,Wednesday,2018/04/25
535372,42,AG Mortgage Investment Trust,MITT,17.8,17.83,17.73,17.79,0.01,0.06,"74,436",19.95,16.31,1.90,10.68,4.73,-6.42,Friday,Friday,2018/04/27
535373,42,AG Mortgage Investment Trust,MITT,17.8,17.83,17.67,17.68,-0.11,-0.62,"103,675",19.95,16.31,1.90,10.75,4.70,-7.00,Monday,Monday,2018/04/30
535374,42,AG Mortgage Investment Trust,MITT,17.72,17.73,17.46,17.71,0.03,0.17,"81,916",19.95,16.31,1.90,10.73,4.71,-6.84,Tuesday,Tuesday,2018/05/01
535375,42,AG Mortgage Investment Trust,MITT,17.81,18.1,17.74,18.03,0.36,2.04,"141,131",19.95,16.31,1.90,10.54,4.80,-5.16,Thursday,Thursday,2018/05/03
535376,42,AG Mortgage Investment Trust,MITT,18.0,18.44,18.0,18.4,0.37,2.05,"106,109",19.95,16.31,1.90,10.33,5.84,-3.21,Friday,Friday,2018/05/04
535377,42,AG Mortgage Investment Trust,MITT,18.49,18.52,18.36,18.44,0.04,0.22,"110,580",19.95,16.31,1.90,10.30,5.85,-3.00,Monday,Monday,2018/05/07
535378,42,AG Mortgage Investment Trust,MITT,18.27,18.44,18.01,18.12,-0.32,-1.74,"123,309",19.95,16.31,1.90,10.49,5.75,-4.68,Tuesday,Tuesday,2018/05/08
535379,42,AG Mortgage Investment Trust,MITT,18.12,18.12,17.93,18.09,-0.03,-0.17,"110,834",19.95,16.31,1.90,10.50,5.74,-4.84,Wednesday,Wednesday,2018/05/09
535380,42,AG Mortgage Investment Trust,MITT,18.22,18.25,18.08,18.15,0.06,0.33,"119,529",19.95,16.31,1.90,10.47,5.76,-4.52,Thursday,Thursday,2018/05/10
535381,42,AG Mortgage Investment Trust,MITT,18.24,18.24,18.02,18.07,-0.08,-0.44,"161,933",19.95,16.31,1.90,10.51,5.74,-4.94,Friday,Friday,2018/05/11
535382,42,AG Mortgage Investment Trust,MITT,18.1,18.14,18.03,18.06,-0.01,-0.06,"111,382",19.95,16.31,1.90,10.52,5.73,-5.00,Monday,Monday,2018/05/14
535383,42,AG Mortgage Investment Trust,MITT,18.03,18.24,18.03,18.17,0.11,0.61,"106,014",19.95,16.31,1.90,10.46,5.77,-4.42,Tuesday,Tuesday,2018/05/15
535384,42,AG Mortgage Investment Trust,MITT,18.3,18.48,18.24,18.44,0.27,1.49,"193,903",19.95,16.31,1.90,10.30,5.85,-3.00,Wednesday,Wednesday,2018/05/16
535385,42,AG Mortgage Investment Trust,MITT,18.55,18.55,18.44,18.52,0.08,0.43,"117,290",19.95,16.31,1.90,10.26,5.88,-2.58,Thursday,Thursday,2018/05/17
535386,42,AG Mortgage Investment Trust,MITT,18.62,18.7,18.47,18.69,0.17,0.92,"78,580",19.95,16.31,1.90,10.17,5.93,-1.68,Friday,Friday,2018/05/18
535387,42,AG Mortgage Investment Trust,MITT,18.72,18.84,18.56,18.83,0.14,0.75,"146,409",19.95,16.31,1.90,10.09,5.98,-0.95,Monday,Monday,2018/05/21
535388,42,AG Mortgage Investment Trust,MITT,18.85,18.92,18.73,18.89,0.06,0.32,"119,516",19.95,16.31,1.90,10.06,6.00,-0.63,Tuesday,Tuesday,2018/05/22
535389,42,AG Mortgage Investment Trust,MITT,18.7,18.89,18.53,18.85,-0.04,-0.21,"104,832",19.95,16.31,1.90,10.08,5.98,-0.84,Wednesday,Wednesday,2018/05/23
535390,42,AG Mortgage Investment Trust,MITT,18.86,18.9,18.75,18.78,-0.07,-0.37,"56,469",19.95,16.31,1.90,10.12,5.96,-1.21,Thursday,Thursday,2018/05/24
535391,42,AG Mortgage Investment Trust,MITT,18.71,18.8,18.65,18.75,-0.03,-0.16,"60,177",19.95,16.31,1.90,10.13,5.95,-1.37,Friday,Friday,2018/05/25
535392,42,AG Mortgage Investment Trust,MITT,18.7,18.95,18.7,18.91,0.16,0.85,"124,238",19.95,16.31,1.90,10.05,6.00,-0.53,Tuesday,Tuesday,2018/05/29
535393,42,AG Mortgage Investment Trust,MITT,18.97,19.04,18.86,19.02,0.11,0.58,"112,897",19.95,16.31,1.90,9.99,6.04,0.05,Wednesday,Wednesday,2018/05/30
535394,42,AG Mortgage Investment Trust,MITT,19.03,19.03,18.81,18.88,-0.14,-0.74,"115,613",19.95,16.31,1.90,10.06,5.99,-0.68,Thursday,Thursday,2018/05/31
535395,42,AG Mortgage Investment Trust,MITT,18.95,19.0,18.73,18.89,0.01,0.05,"92,988",19.95,16.31,1.90,10.06,6.00,-0.63,Friday,Friday,2018/06/01
535396,42,AG Mortgage Investment Trust,MITT,18.99,18.99,18.85,18.94,0.05,0.26,"67,953",19.95,16.31,1.90,10.03,6.01,-0.37,Monday,Monday,2018/06/04
535397,42,AG Mortgage Investment Trust,MITT,18.9,18.96,18.83,18.89,-0.05,-0.26,"88,178",19.95,16.31,1.90,10.06,6.00,-0.63,Tuesday,Tuesday,2018/06/05
535398,42,AG Mortgage Investment Trust,MITT,18.9,18.94,18.81,18.92,0.03,0.16,"56,921",19.95,16.31,1.90,10.04,6.01,-0.47,Wednesday,Wednesday,2018/06/06
