,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
537315,799,Herman Miller,MLHR,31.45,32.2,31.45,31.95,0.75,2.40,"735,536",41.84,29.25,0.72,2.25,14.89,-20.22,Thursday,Thursday,2018/03/29
537316,786,Herman Miller,MLHR,32.1,32.35,31.95,32.1,-0.10,-0.31,"196,369",41.84,29.25,0.72,2.24,14.96,-19.85,Wednesday,Wednesday,2018/04/11
537317,788,Herman Miller,MLHR,32.2,32.65,32.05,32.5,0.40,1.25,"331,638",41.84,29.25,0.72,2.22,15.15,-18.85,Thursday,Thursday,2018/04/12
537318,792,Herman Miller,MLHR,33.25,33.25,32.8,33.05,-0.05,-0.15,"391,643",41.84,29.25,0.72,2.18,15.40,-17.48,Tuesday,Tuesday,2018/04/17
537319,794,Herman Miller,MLHR,33.05,33.15,32.7,32.8,-0.25,-0.76,"418,815",41.84,29.25,0.72,2.20,15.29,-18.10,Wednesday,Wednesday,2018/04/18
537320,796,Herman Miller,MLHR,32.8,32.8,32.1,32.35,-0.45,-1.37,"407,365",41.84,29.25,0.72,2.23,15.08,-19.23,Thursday,Thursday,2018/04/19
537321,794,Herman Miller,MLHR,32.2,32.25,31.55,31.9,-0.45,-1.39,"333,184",41.84,29.25,0.72,2.26,14.87,-20.35,Friday,Friday,2018/04/20
537322,794,Herman Miller,MLHR,31.85,32.05,31.48,31.75,...,...,"381,094",41.84,29.25,0.72,2.27,14.80,-20.72,Tuesday,Tuesday,2018/04/24
537323,793,Herman Miller,MLHR,31.8,31.93,31.15,31.35,-0.40,-1.26,"332,538",41.84,29.25,0.72,2.30,14.61,-21.72,Wednesday,Wednesday,2018/04/25
537324,792,Herman Miller,MLHR,31.65,31.68,31.15,31.3,-0.20,-0.63,"257,786",41.84,29.25,0.72,2.30,14.59,-21.85,Friday,Friday,2018/04/27
537325,793,Herman Miller,MLHR,31.3,31.6,30.6,30.7,-0.60,-1.92,"807,481",41.84,29.25,0.72,2.35,14.31,-23.35,Monday,Monday,2018/04/30
537326,791,Herman Miller,MLHR,30.6,31.45,30.35,31.4,0.70,2.28,"459,306",41.84,29.25,0.72,2.29,14.63,-21.60,Tuesday,Tuesday,2018/05/01
537327,785,Herman Miller,MLHR,31.75,32.1,31.45,31.95,0.15,0.47,"303,116",41.84,29.25,0.72,2.25,14.89,-20.22,Thursday,Thursday,2018/05/03
537328,792,Herman Miller,MLHR,31.9,32.35,31.5,32.2,0.25,0.78,"269,190",41.84,29.25,0.72,2.24,15.01,-19.60,Friday,Friday,2018/05/04
537329,795,Herman Miller,MLHR,32.1,32.25,31.8,31.9,-0.30,-0.93,"240,294",41.84,29.25,0.72,2.26,14.87,-20.35,Monday,Monday,2018/05/07
537330,797,Herman Miller,MLHR,31.85,32.4,31.6,32.15,0.25,0.78,"313,596",41.84,29.25,0.72,2.24,14.98,-19.73,Tuesday,Tuesday,2018/05/08
537331,797,Herman Miller,MLHR,32.3,32.3,31.75,32.1,-0.05,-0.16,"236,152",41.84,29.25,0.72,2.24,14.96,-19.85,Wednesday,Wednesday,2018/05/09
537332,792,Herman Miller,MLHR,32.2,32.35,31.95,32.2,0.10,0.31,"136,441",41.84,29.25,0.72,2.24,15.01,-19.60,Thursday,Thursday,2018/05/10
537333,796,Herman Miller,MLHR,32.15,32.4,32.0,32.2,...,...,"150,619",41.84,29.25,0.72,2.24,15.01,-19.60,Friday,Friday,2018/05/11
537334,796,Herman Miller,MLHR,32.35,32.6,31.95,32.05,-0.15,-0.47,"194,066",41.84,29.25,0.72,2.25,14.94,-19.98,Monday,Monday,2018/05/14
537335,795,Herman Miller,MLHR,32.05,32.38,31.8,32.25,0.20,0.62,"275,812",41.84,29.25,0.72,2.23,15.03,-19.48,Tuesday,Tuesday,2018/05/15
537336,800,Herman Miller,MLHR,32.3,33.2,32.3,32.9,0.65,2.02,"269,592",41.84,29.25,0.72,2.19,15.33,-17.85,Wednesday,Wednesday,2018/05/16
537337,796,Herman Miller,MLHR,33.0,33.2,32.9,33.05,0.15,0.46,"135,898",41.84,29.25,0.72,2.18,15.40,-17.48,Thursday,Thursday,2018/05/17
537338,795,Herman Miller,MLHR,33.15,33.6,33.1,33.25,0.20,0.61,"286,974",41.84,29.25,0.72,2.17,15.50,-16.98,Friday,Friday,2018/05/18
537339,796,Herman Miller,MLHR,33.35,33.9,33.1,33.3,0.05,0.15,"203,395",41.84,29.25,0.72,2.16,15.52,-16.85,Monday,Monday,2018/05/21
537340,795,Herman Miller,MLHR,33.4,33.4,32.65,32.7,-0.60,-1.80,"139,931",41.84,29.25,0.72,2.20,15.24,-18.35,Tuesday,Tuesday,2018/05/22
537341,794,Herman Miller,MLHR,32.65,32.75,32.45,32.6,-0.10,-0.31,"164,555",41.84,29.25,0.72,2.21,15.19,-18.60,Wednesday,Wednesday,2018/05/23
537342,797,Herman Miller,MLHR,32.7,33.1,32.15,32.45,-0.15,-0.46,"229,501",41.84,29.25,0.72,2.22,15.12,-18.98,Thursday,Thursday,2018/05/24
537343,796,Herman Miller,MLHR,32.45,33.05,32.45,32.7,0.25,0.77,"184,739",41.84,29.25,0.72,2.20,15.24,-18.35,Friday,Friday,2018/05/25
537344,793,Herman Miller,MLHR,32.55,33.05,32.55,32.85,0.15,0.46,"204,170",41.84,29.25,0.72,2.19,15.31,-17.98,Tuesday,Tuesday,2018/05/29
537345,797,Herman Miller,MLHR,33.05,33.7,33.05,33.55,0.70,2.13,"319,546",41.84,29.25,0.72,2.15,15.64,-16.23,Wednesday,Wednesday,2018/05/30
537346,791,Herman Miller,MLHR,33.65,33.8,32.63,32.75,-0.62,-1.86,"268,954",41.84,29.25,0.72,2.20,15.26,-18.23,Thursday,Thursday,2018/05/31
537347,797,Herman Miller,MLHR,32.95,33.1,32.75,32.85,0.10,0.31,"173,500",41.84,29.25,0.72,2.19,15.31,-17.98,Friday,Friday,2018/06/01
537348,797,Herman Miller,MLHR,33.0,33.2,32.75,33.1,0.25,0.76,"157,949",41.84,29.25,0.72,2.18,15.43,-17.35,Monday,Monday,2018/06/04
537349,794,Herman Miller,MLHR,33.15,33.6,32.88,33.6,0.50,1.51,"140,200",41.84,29.25,0.72,2.14,15.66,-16.10,Tuesday,Tuesday,2018/06/05
537350,801,Herman Miller,MLHR,33.6,33.85,33.25,33.45,-0.15,-0.45,"223,708",41.84,29.25,0.72,2.15,15.59,-16.48,Wednesday,Wednesday,2018/06/06
537351,804,Herman Miller,MLHR,33.6,34.5,33.6,34.15,0.70,2.09,"260,798",41.84,29.25,0.72,2.11,15.91,-14.73,Thursday,Thursday,2018/06/07
537352,797,Herman Miller,MLHR,34.65,34.75,34.15,34.55,0.40,1.17,"289,562",41.84,29.25,0.72,2.08,16.10,-13.73,Friday,Friday,2018/06/08
