,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
542198,1257,Monmouth Real Estate Investment Cl A,MNR,15.29,15.4,14.99,15.04,-0.24,-1.57,"382,956",18.45,13.87,0.68,4.52,34.57,-15.51,Thursday,Thursday,2018/03/29
542199,1253,Monmouth Real Estate Investment Cl A,MNR,15.05,15.22,15.05,15.17,0.06,0.40,"184,155",18.45,13.87,0.68,4.48,34.87,-14.78,Wednesday,Wednesday,2018/04/11
542200,1254,Monmouth Real Estate Investment Cl A,MNR,15.22,15.23,14.96,15.01,-0.16,-1.05,"386,144",18.45,13.87,0.68,4.53,34.50,-15.67,Thursday,Thursday,2018/04/12
542201,1247,Monmouth Real Estate Investment Cl A,MNR,15.16,15.63,15.16,15.49,0.34,2.24,"520,755",18.45,13.87,0.68,4.39,35.60,-12.98,Tuesday,Tuesday,2018/04/17
542202,1251,Monmouth Real Estate Investment Cl A,MNR,15.56,15.56,15.39,15.41,-0.08,-0.52,"205,122",18.45,13.87,0.68,4.41,35.42,-13.43,Wednesday,Wednesday,2018/04/18
542203,1257,Monmouth Real Estate Investment Cl A,MNR,15.42,15.42,15.19,15.28,-0.13,-0.84,"207,687",18.45,13.87,0.68,4.45,35.12,-14.16,Thursday,Thursday,2018/04/19
542204,1249,Monmouth Real Estate Investment Cl A,MNR,15.24,15.31,15.11,15.12,-0.16,-1.05,"219,466",18.45,13.87,0.68,4.50,34.75,-15.06,Friday,Friday,2018/04/20
542205,1252,Monmouth Real Estate Investment Cl A,MNR,15.15,15.17,15.03,15.1,-0.01,-0.07,"187,446",18.45,13.87,0.68,4.50,34.70,-15.17,Tuesday,Tuesday,2018/04/24
542206,1255,Monmouth Real Estate Investment Cl A,MNR,15.07,15.2,14.95,15.15,0.05,0.33,"241,808",18.45,13.87,0.68,4.49,34.82,-14.89,Wednesday,Wednesday,2018/04/25
542207,1254,Monmouth Real Estate Investment Cl A,MNR,15.34,15.47,15.32,15.38,0.06,0.39,"192,207",18.45,13.87,0.68,4.42,35.35,-13.60,Friday,Friday,2018/04/27
542208,1249,Monmouth Real Estate Investment Cl A,MNR,15.4,15.77,15.4,15.63,0.25,1.63,"440,843",18.45,13.87,0.68,4.35,35.92,-12.19,Monday,Monday,2018/04/30
