,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
545028,1258,Monsanto,MON,117.11,117.87,116.0,116.69,-0.06,-0.05,"2,514,041",124.2,113.15,2.16,1.85,21.53,-0.08,Thursday,Thursday,2018/03/29
545029,1254,Monsanto,MON,125.56,125.66,124.93,125.2,0.19,0.15,"8,389,179",126.80,114.19,2.16,1.73,22.36,7.21,Wednesday,Wednesday,2018/04/11
545030,1255,Monsanto,MON,125.2,125.75,125.13,125.31,0.11,0.09,"5,111,280",126.80,114.19,2.16,1.72,22.38,7.30,Thursday,Thursday,2018/04/12
545031,1248,Monsanto,MON,125.7,125.9,125.45,125.45,-0.25,-0.20,"2,762,884",126.80,114.19,2.16,1.72,22.40,7.42,Tuesday,Tuesday,2018/04/17
545032,1252,Monsanto,MON,125.5,125.56,124.82,124.95,-0.50,-0.40,"4,023,786",126.8,114.19,2.16,1.73,22.31,7.00,Wednesday,Wednesday,2018/04/18
545033,1258,Monsanto,MON,124.9,125.08,124.27,124.6,-0.35,-0.28,"3,820,171",126.80,114.19,2.16,1.73,22.25,6.70,Thursday,Thursday,2018/04/19
545034,1250,Monsanto,MON,124.98,125.39,124.85,125.0,0.40,0.32,"3,655,499",126.80,114.19,2.16,1.73,22.32,7.04,Friday,Friday,2018/04/20
545035,1253,Monsanto,MON,125.05,125.12,124.51,124.74,-0.31,-0.25,"2,415,264",126.80,114.19,2.16,1.73,22.27,6.82,Tuesday,Tuesday,2018/04/24
545036,1256,Monsanto,MON,125.0,125.0,124.35,124.68,-0.06,-0.05,"2,159,524",126.8,114.19,2.16,1.73,22.26,6.76,Wednesday,Wednesday,2018/04/25
545037,1255,Monsanto,MON,124.93,125.24,124.86,125.07,0.08,0.06,"1,983,958",126.80,114.19,2.16,1.73,22.33,7.10,Friday,Friday,2018/04/27
545038,1250,Monsanto,MON,124.98,125.44,124.94,125.37,0.30,0.24,"1,661,149",126.80,114.19,2.16,1.72,22.39,7.36,Monday,Monday,2018/04/30
545039,1261,Monsanto,MON,125.38,125.61,125.22,125.61,0.24,0.19,"2,800,636",126.80,114.19,2.16,1.72,22.43,7.56,Tuesday,Tuesday,2018/05/01
545040,1255,Monsanto,MON,125.06,125.18,124.65,125.1,-0.10,-0.08,"3,686,550",126.80,114.19,2.16,1.73,22.34,7.12,Thursday,Thursday,2018/05/03
