,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
546311,1267,Movado Group,MOV,38.0,42.25,37.7,38.4,5.20,15.66,"1,281,312",42.25,20.50,0.52,1.35,37.28,19.25,Thursday,Thursday,2018/03/29
546312,1260,Movado Group,MOV,38.95,39.25,38.7,39.0,...,...,"200,190",42.25,20.50,0.80,2.05,...,21.12,Wednesday,Wednesday,2018/04/11
546313,1263,Movado Group,MOV,39.25,39.88,38.9,39.6,0.60,1.54,"157,382",42.25,20.50,0.80,2.02,...,22.98,Thursday,Thursday,2018/04/12
546314,1254,Movado Group,MOV,40.3,40.3,39.48,39.8,-0.15,-0.38,"235,399",42.25,20.50,0.80,2.01,...,23.60,Tuesday,Tuesday,2018/04/17
546315,1259,Movado Group,MOV,39.95,40.25,39.5,39.6,-0.20,-0.50,"128,429",42.25,20.5,0.80,2.02,...,22.98,Wednesday,Wednesday,2018/04/18
546316,1265,Movado Group,MOV,39.45,39.65,38.65,39.25,-0.35,-0.88,"61,039",42.25,20.50,0.80,2.04,...,21.89,Thursday,Thursday,2018/04/19
546317,1256,Movado Group,MOV,39.1,39.2,38.75,38.9,-0.35,-0.89,"84,689",42.25,20.50,0.80,2.06,...,20.81,Friday,Friday,2018/04/20
546318,1261,Movado Group,MOV,38.85,39.0,38.08,38.3,-0.35,-0.91,"238,571",42.25,20.50,0.80,2.09,...,18.94,Tuesday,Tuesday,2018/04/24
546319,1265,Movado Group,MOV,38.2,40.0,38.1,39.7,1.40,3.66,"179,926",42.25,20.50,0.80,2.02,...,23.29,Wednesday,Wednesday,2018/04/25
546320,1261,Movado Group,MOV,40.2,40.6,39.8,39.9,-0.15,-0.37,"128,747",42.25,20.50,0.80,2.01,...,23.91,Friday,Friday,2018/04/27
546321,1259,Movado Group,MOV,40.05,40.3,39.45,39.45,-0.45,-1.13,"83,307",42.25,20.50,0.80,2.03,...,22.52,Monday,Monday,2018/04/30
546322,1271,Movado Group,MOV,39.2,39.2,37.85,38.6,-0.85,-2.15,"238,887",42.25,20.50,0.80,2.07,...,19.88,Tuesday,Tuesday,2018/05/01
546323,1262,Movado Group,MOV,38.35,38.6,37.89,38.25,-0.25,-0.65,"84,187",42.25,20.50,0.80,2.09,...,18.79,Thursday,Thursday,2018/05/03
546324,1264,Movado Group,MOV,38.0,38.67,37.85,38.5,0.25,0.65,"141,109",42.25,20.50,0.80,2.08,...,19.57,Friday,Friday,2018/05/04
546325,1270,Movado Group,MOV,38.65,39.05,38.1,38.95,0.45,1.17,"113,791",42.25,20.50,0.80,2.05,...,20.96,Monday,Monday,2018/05/07
546326,1260,Movado Group,MOV,38.85,39.3,38.55,39.25,0.30,0.77,"121,969",42.25,20.5,0.80,2.04,...,21.89,Tuesday,Tuesday,2018/05/08
546327,1272,Movado Group,MOV,39.3,39.7,38.85,39.45,0.20,0.51,"98,642",42.25,20.50,0.80,2.03,...,22.52,Wednesday,Wednesday,2018/05/09
546328,1268,Movado Group,MOV,39.45,40.0,39.05,39.8,0.35,0.89,"93,909",42.25,20.50,0.80,2.01,...,23.60,Thursday,Thursday,2018/05/10
546329,1266,Movado Group,MOV,39.75,40.2,39.48,39.5,-0.30,-0.75,"87,286",42.25,20.50,0.80,2.03,...,22.67,Friday,Friday,2018/05/11
546330,1268,Movado Group,MOV,39.55,39.9,39.38,39.4,-0.10,-0.25,"79,458",42.25,20.50,0.80,2.03,...,22.36,Monday,Monday,2018/05/14
546331,1268,Movado Group,MOV,39.35,39.85,39.1,39.5,0.10,0.25,"108,170",42.25,20.50,0.80,2.03,...,22.67,Tuesday,Tuesday,2018/05/15
546332,1271,Movado Group,MOV,39.7,40.12,39.35,40.05,0.55,1.39,"132,955",42.25,20.50,0.80,2.00,...,24.38,Wednesday,Wednesday,2018/05/16
546333,1269,Movado Group,MOV,40.05,40.8,40.05,40.65,0.60,1.50,"118,785",42.25,20.50,0.80,1.97,...,26.24,Thursday,Thursday,2018/05/17
546334,1269,Movado Group,MOV,40.8,41.05,39.6,40.8,0.15,0.37,"148,050",42.25,20.50,0.80,1.96,...,26.71,Friday,Friday,2018/05/18
546335,1270,Movado Group,MOV,40.95,41.1,40.83,40.95,0.15,0.37,"72,264",42.25,20.50,0.80,1.95,...,27.17,Monday,Monday,2018/05/21
546336,1265,Movado Group,MOV,41.1,41.1,39.7,39.8,-1.15,-2.81,"123,503",42.25,20.50,0.80,2.01,...,23.60,Tuesday,Tuesday,2018/05/22
546337,1271,Movado Group,MOV,39.4,40.25,39.15,39.5,-0.30,-0.75,"190,348",42.25,20.50,0.80,2.03,...,22.67,Wednesday,Wednesday,2018/05/23
546338,1272,Movado Group,MOV,39.5,41.2,39.5,41.05,1.55,3.92,"248,750",42.25,20.50,0.80,1.95,...,27.48,Thursday,Thursday,2018/05/24
546339,1274,Movado Group,MOV,41.15,41.35,40.55,40.75,-0.30,-0.73,"104,137",42.25,20.50,0.80,1.96,...,26.55,Friday,Friday,2018/05/25
546340,1272,Movado Group,MOV,40.4,42.3,40.4,42.2,1.45,3.56,"382,331",42.30,20.50,0.80,1.90,...,31.06,Tuesday,Tuesday,2018/05/29
546341,1274,Movado Group,MOV,46.05,49.85,45.7,49.2,7.00,16.59,"1,147,538",49.85,20.50,0.80,1.63,...,52.80,Wednesday,Wednesday,2018/05/30
546342,1272,Movado Group,MOV,49.3,49.7,48.9,49.1,-0.10,-0.20,"360,146",49.85,21.00,0.80,1.63,...,52.48,Thursday,Thursday,2018/05/31
