,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
546700,1135,Motorcar Parts of America,MPAA,21.28,21.8,21.07,21.43,0.27,1.28,"120,128",31.57,20.11,...,...,24.92,-14.25,Thursday,Thursday,2018/03/29
546701,1119,Motorcar Parts of America,MPAA,21.99,22.35,21.54,21.8,-0.28,-1.27,"72,557",31.57,20.11,...,...,25.35,-12.77,Wednesday,Wednesday,2018/04/11
546702,1121,Motorcar Parts of America,MPAA,21.9,22.12,21.75,22.01,0.21,0.96,"78,753",31.57,20.11,...,...,25.59,-11.92,Thursday,Thursday,2018/04/12
546703,1126,Motorcar Parts of America,MPAA,22.21,22.63,22.08,22.15,0.06,0.27,"181,755",31.57,20.11,...,...,25.76,-11.36,Tuesday,Tuesday,2018/04/17
546704,1130,Motorcar Parts of America,MPAA,22.26,22.5,22.05,22.13,-0.02,-0.09,"79,540",31.57,20.11,...,...,25.73,-11.44,Wednesday,Wednesday,2018/04/18
546705,1132,Motorcar Parts of America,MPAA,22.12,22.24,21.51,21.62,-0.51,-2.30,"69,800",31.57,20.11,...,...,25.14,-13.49,Thursday,Thursday,2018/04/19
546706,1129,Motorcar Parts of America,MPAA,21.51,21.72,21.03,21.05,-0.57,-2.64,"89,695",31.57,20.11,...,...,24.48,-15.77,Friday,Friday,2018/04/20
546707,1128,Motorcar Parts of America,MPAA,20.06,20.06,19.02,19.12,-0.86,-4.30,"162,447",31.57,19.02,...,...,22.23,-23.49,Tuesday,Tuesday,2018/04/24
546708,1131,Motorcar Parts of America,MPAA,18.94,19.98,18.64,18.88,-0.24,-1.26,"95,326",31.57,18.64,...,...,21.95,-24.45,Wednesday,Wednesday,2018/04/25
546709,1126,Motorcar Parts of America,MPAA,19.3,19.41,19.06,19.4,0.16,0.83,"81,290",31.57,18.63,...,...,22.56,-22.37,Friday,Friday,2018/04/27
546710,1128,Motorcar Parts of America,MPAA,19.43,19.52,18.96,19.04,-0.36,-1.86,"107,147",31.57,18.63,...,...,22.14,-23.81,Monday,Monday,2018/04/30
546711,1125,Motorcar Parts of America,MPAA,18.97,19.26,18.53,19.24,0.20,1.05,"140,571",31.55,18.53,...,...,22.37,-23.01,Tuesday,Tuesday,2018/05/01
546712,1122,Motorcar Parts of America,MPAA,20.06,21.0,19.81,20.29,0.13,0.64,"259,012",31.55,18.53,...,...,23.59,-18.81,Thursday,Thursday,2018/05/03
546713,1127,Motorcar Parts of America,MPAA,20.23,20.92,20.11,20.77,0.48,2.37,"151,789",31.55,18.53,...,...,24.15,-16.89,Friday,Friday,2018/05/04
546714,1133,Motorcar Parts of America,MPAA,20.81,21.33,20.75,21.26,0.49,2.36,"116,146",31.55,18.53,...,...,24.72,-14.93,Monday,Monday,2018/05/07
546715,1133,Motorcar Parts of America,MPAA,21.25,21.4,21.08,21.11,-0.15,-0.71,"238,179",31.55,18.53,...,...,24.55,-15.53,Tuesday,Tuesday,2018/05/08
546716,1134,Motorcar Parts of America,MPAA,21.14,21.4,21.05,21.19,0.08,0.38,"159,468",31.55,18.53,...,...,24.64,-15.21,Wednesday,Wednesday,2018/05/09
546717,1125,Motorcar Parts of America,MPAA,21.3,21.3,21.07,21.23,0.04,0.19,"104,013",31.55,18.53,...,...,24.69,-15.05,Thursday,Thursday,2018/05/10
546718,1132,Motorcar Parts of America,MPAA,21.22,21.49,21.18,21.28,0.05,0.24,"61,375",31.55,18.53,...,...,24.74,-14.85,Friday,Friday,2018/05/11
546719,1132,Motorcar Parts of America,MPAA,21.31,21.61,21.23,21.48,0.20,0.94,"72,392",31.55,18.53,...,...,24.98,-14.05,Monday,Monday,2018/05/14
546720,1131,Motorcar Parts of America,MPAA,21.39,21.74,21.28,21.38,-0.10,-0.47,"57,565",31.53,18.53,...,...,24.86,-14.45,Tuesday,Tuesday,2018/05/15
546721,1138,Motorcar Parts of America,MPAA,21.4,22.22,21.4,21.91,0.53,2.48,"126,440",31.38,18.53,...,...,25.48,-12.32,Wednesday,Wednesday,2018/05/16
546722,1130,Motorcar Parts of America,MPAA,21.9,22.11,21.46,21.75,-0.16,-0.73,"167,474",30.67,18.53,...,...,25.29,-12.97,Thursday,Thursday,2018/05/17
546723,1130,Motorcar Parts of America,MPAA,21.87,21.91,21.48,21.61,-0.14,-0.64,"160,741",30.67,18.53,...,...,25.13,-13.53,Friday,Friday,2018/05/18
546724,1129,Motorcar Parts of America,MPAA,21.68,22.0,21.44,21.67,0.06,0.28,"127,249",30.67,18.53,...,...,25.20,-13.29,Monday,Monday,2018/05/21
546725,1132,Motorcar Parts of America,MPAA,21.78,22.2,21.23,21.46,-0.21,-0.97,"405,442",30.67,18.53,...,...,24.95,-14.13,Tuesday,Tuesday,2018/05/22
546726,1128,Motorcar Parts of America,MPAA,21.4,21.56,21.08,21.43,-0.03,-0.14,"461,873",30.67,18.53,...,...,24.92,-14.25,Wednesday,Wednesday,2018/05/23
546727,1132,Motorcar Parts of America,MPAA,21.44,21.59,21.33,21.4,-0.03,-0.14,"176,397",30.67,18.53,...,...,24.88,-14.37,Thursday,Thursday,2018/05/24
546728,1134,Motorcar Parts of America,MPAA,21.37,21.52,21.19,21.3,-0.10,-0.47,"256,328",30.67,18.53,...,...,24.77,-14.77,Friday,Friday,2018/05/25
546729,1129,Motorcar Parts of America,MPAA,21.17,21.91,20.76,20.96,-0.34,-1.60,"242,764",30.67,18.53,...,...,24.37,-16.13,Tuesday,Tuesday,2018/05/29
546730,1134,Motorcar Parts of America,MPAA,20.98,21.77,20.95,21.52,0.56,2.67,"223,870",30.67,18.53,...,...,25.02,-13.89,Wednesday,Wednesday,2018/05/30
