,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
547150,1112,Mid Penn Bancorp,MPB,31.4,32.2,30.95,31.95,0.50,1.59,"8,206",37.90,25.10,0.60,1.88,19.13,-3.47,Thursday,Thursday,2018/03/29
547151,1096,Mid Penn Bancorp,MPB,33.6,34.85,33.39,34.8,0.80,2.35,"11,641",37.90,25.10,0.60,1.72,20.84,5.14,Wednesday,Wednesday,2018/04/11
547152,1098,Mid Penn Bancorp,MPB,34.75,35.42,34.3,35.3,0.50,1.44,"5,869",37.9,25.1,0.60,1.70,21.14,6.65,Thursday,Thursday,2018/04/12
547153,1103,Mid Penn Bancorp,MPB,35.3,35.3,35.15,35.25,-0.05,-0.14,"2,200",37.90,25.10,0.60,1.70,21.11,6.50,Tuesday,Tuesday,2018/04/17
547154,1107,Mid Penn Bancorp,MPB,34.75,35.2,34.6,35.2,-0.05,-0.14,"3,673",37.9,25.1,0.60,1.70,21.08,6.34,Wednesday,Wednesday,2018/04/18
547155,1108,Mid Penn Bancorp,MPB,35.2,35.85,35.2,35.55,0.35,0.99,"5,578",37.90,25.10,0.60,1.69,21.29,7.40,Thursday,Thursday,2018/04/19
547156,1105,Mid Penn Bancorp,MPB,35.7,35.9,35.6,35.9,0.35,0.98,"4,173",37.90,25.10,0.60,1.67,21.50,8.46,Friday,Friday,2018/04/20
547157,1105,Mid Penn Bancorp,MPB,35.95,35.95,34.8,35.95,...,...,"4,713",37.9,25.1,0.60,1.67,21.53,8.61,Tuesday,Tuesday,2018/04/24
547158,1107,Mid Penn Bancorp,MPB,35.45,35.8,34.45,35.75,-0.20,-0.56,"4,739",37.9,25.1,0.60,1.68,21.41,8.01,Wednesday,Wednesday,2018/04/25
547159,1102,Mid Penn Bancorp,MPB,35.45,36.75,35.45,36.42,0.63,1.75,"29,304",37.90,25.10,0.60,1.65,21.81,10.05,Friday,Friday,2018/04/27
547160,1104,Mid Penn Bancorp,MPB,36.4,36.4,36.15,36.35,-0.07,-0.21,"2,791",37.9,25.1,0.60,1.65,26.53,9.82,Monday,Monday,2018/04/30
547161,1101,Mid Penn Bancorp,MPB,36.35,36.35,35.75,35.75,-0.60,-1.65,"3,187",37.9,25.1,0.60,1.68,26.09,8.01,Tuesday,Tuesday,2018/05/01
547162,1098,Mid Penn Bancorp,MPB,36.15,36.2,35.6,36.15,0.20,0.56,"2,135",37.90,25.10,0.60,1.66,26.39,9.21,Thursday,Thursday,2018/05/03
547163,1103,Mid Penn Bancorp,MPB,36.3,36.4,36.0,36.35,0.20,0.55,"5,223",37.90,25.10,0.60,1.65,26.53,9.82,Friday,Friday,2018/05/04
547164,1109,Mid Penn Bancorp,MPB,36.15,36.15,35.75,36.05,-0.30,-0.83,"2,731",37.9,25.1,0.60,1.66,26.31,8.91,Monday,Monday,2018/05/07
547165,1109,Mid Penn Bancorp,MPB,35.4,36.3,35.4,36.15,0.25,0.70,"4,739",37.90,25.10,0.60,1.66,26.39,9.21,Tuesday,Tuesday,2018/05/08
547166,1110,Mid Penn Bancorp,MPB,36.2,36.2,35.6,36.0,-0.15,-0.41,"1,559",37.90,25.10,0.60,1.67,26.28,8.76,Wednesday,Wednesday,2018/05/09
547167,1101,Mid Penn Bancorp,MPB,36.2,36.2,34.87,36.2,0.20,0.56,"4,276",37.9,25.1,0.60,1.66,26.42,9.37,Thursday,Thursday,2018/05/10
547168,1108,Mid Penn Bancorp,MPB,36.2,36.2,35.05,35.7,-0.50,-1.38,"5,350",37.9,25.1,0.60,1.68,26.06,7.85,Friday,Friday,2018/05/11
547169,1108,Mid Penn Bancorp,MPB,35.1,36.35,34.3,35.45,-0.25,-0.70,"12,651",37.9,25.1,0.60,1.69,25.88,7.10,Monday,Monday,2018/05/14
547170,1107,Mid Penn Bancorp,MPB,35.7,36.15,35.0,35.25,-0.20,-0.56,"9,944",37.9,25.1,0.60,1.70,25.73,6.50,Tuesday,Tuesday,2018/05/15
547171,1114,Mid Penn Bancorp,MPB,35.45,35.45,34.65,34.9,-0.35,-0.99,"3,532",37.9,25.1,0.60,1.72,25.47,5.44,Wednesday,Wednesday,2018/05/16
547172,1106,Mid Penn Bancorp,MPB,35.25,35.25,33.95,34.2,-0.70,-2.01,"4,121",37.90,25.10,0.60,1.75,24.96,3.32,Thursday,Thursday,2018/05/17
547173,1106,Mid Penn Bancorp,MPB,34.0,35.3,34.0,35.3,1.10,3.22,"3,612",37.9,25.1,0.60,1.70,25.77,6.65,Friday,Friday,2018/05/18
547174,1105,Mid Penn Bancorp,MPB,35.3,35.65,35.3,35.65,0.35,0.99,"2,215",37.90,25.10,0.60,1.68,26.02,7.70,Monday,Monday,2018/05/21
547175,1108,Mid Penn Bancorp,MPB,35.55,35.6,34.8,35.6,-0.05,-0.14,"2,208",37.9,25.1,0.60,1.69,25.99,7.55,Tuesday,Tuesday,2018/05/22
547176,1104,Mid Penn Bancorp,MPB,35.45,35.5,34.85,35.2,-0.40,-1.12,"2,892",37.90,25.10,0.60,1.70,25.69,6.34,Wednesday,Wednesday,2018/05/23
547177,1108,Mid Penn Bancorp,MPB,35.45,35.6,35.25,35.35,0.15,0.43,"2,760",37.90,25.10,0.60,1.70,25.80,6.80,Thursday,Thursday,2018/05/24
547178,1110,Mid Penn Bancorp,MPB,36.1,36.1,34.1,34.2,-1.15,-3.25,"3,798",37.90,25.10,0.60,1.75,24.96,3.32,Friday,Friday,2018/05/25
547179,1105,Mid Penn Bancorp,MPB,34.3,36.4,34.16,36.4,2.20,6.43,"7,654",37.90,25.10,0.60,1.65,26.57,9.97,Tuesday,Tuesday,2018/05/29
547180,1110,Mid Penn Bancorp,MPB,36.1,36.35,35.55,35.8,-0.60,-1.65,"3,489",37.90,25.10,0.60,1.68,26.13,8.16,Wednesday,Wednesday,2018/05/30
547181,1104,Mid Penn Bancorp,MPB,36.1,36.15,35.25,35.9,0.10,0.28,"8,061",37.9,25.1,0.60,1.67,26.20,8.46,Thursday,Thursday,2018/05/31
547182,1111,Mid Penn Bancorp,MPB,35.90,36.25,35.55,36.25,0.35,0.97,"4,957",37.90,25.10,0.60,1.66,26.46,9.52,Friday,Friday,2018/06/01
547183,1112,Mid Penn Bancorp,MPB,36.15,36.3,36.0,36.15,-0.10,-0.28,"5,270",37.90,25.10,0.60,1.66,26.39,9.21,Monday,Monday,2018/06/04
547184,1107,Mid Penn Bancorp,MPB,36.0,36.25,35.6,36.05,-0.10,-0.28,"5,173",37.9,25.1,0.60,1.66,26.31,8.91,Tuesday,Tuesday,2018/06/05
547185,1117,Mid Penn Bancorp,MPB,35.8,36.2,35.6,35.6,-0.45,-1.25,"4,015",37.90,25.10,0.60,1.69,25.99,7.55,Wednesday,Wednesday,2018/06/06
547186,1114,Mid Penn Bancorp,MPB,35.7,35.7,35.3,35.4,-0.20,-0.56,"3,938",37.90,25.10,0.60,1.69,25.84,6.95,Thursday,Thursday,2018/06/07
547187,1111,Mid Penn Bancorp,MPB,35.7,35.7,35.0,35.2,-0.20,-0.56,"3,873",37.90,25.10,0.60,1.70,25.69,6.34,Friday,Friday,2018/06/08
547188,1110,Mid Penn Bancorp,MPB,35.2,35.8,35.05,35.15,-0.05,-0.14,"10,901",37.9,25.1,0.60,1.71,25.66,6.19,Monday,Monday,2018/06/11
547189,1107,Mid Penn Bancorp,MPB,35.05,35.4,34.9,35.0,-0.15,-0.43,"6,144",37.9,25.1,0.60,1.71,25.55,5.74,Tuesday,Tuesday,2018/06/12
547190,1108,Mid Penn Bancorp,MPB,35.4,35.5,34.55,34.55,-0.45,-1.29,"5,072",37.9,25.1,0.60,1.74,25.22,4.38,Wednesday,Wednesday,2018/06/13
547191,1109,Mid Penn Bancorp,MPB,34.85,35.2,34.35,34.6,0.05,0.14,"11,286",37.9,25.1,0.60,1.73,25.26,4.53,Thursday,Thursday,2018/06/14
547192,1106,Mid Penn Bancorp,MPB,34.55,35.5,34.45,35.1,0.50,1.45,"6,647",37.90,25.10,0.60,1.71,25.62,6.04,Friday,Friday,2018/06/15
547193,1109,Mid Penn Bancorp,MPB,34.95,34.95,34.4,34.85,-0.25,-0.71,"6,447",37.90,25.10,0.60,1.72,25.44,5.29,Monday,Monday,2018/06/18
547194,1104,Mid Penn Bancorp,MPB,34.7,35.5,34.6,34.9,0.05,0.14,"9,397",37.9,25.1,0.60,1.72,25.47,5.44,Tuesday,Tuesday,2018/06/19
547195,1103,Mid Penn Bancorp,MPB,35.15,35.45,34.3,34.3,-0.60,-1.72,"10,023",37.90,25.10,0.60,1.75,25.04,3.63,Wednesday,Wednesday,2018/06/20
547196,1109,Mid Penn Bancorp,MPB,34.35,34.9,34.0,34.65,0.35,1.02,"19,504",37.9,25.1,0.60,1.73,25.29,4.68,Thursday,Thursday,2018/06/21
547197,1115,Mid Penn Bancorp,MPB,34.5,35.25,33.88,35.0,0.35,1.01,"373,764",37.9,25.1,0.60,1.71,25.55,5.74,Friday,Friday,2018/06/22
547198,1112,Mid Penn Bancorp,MPB,34.6,35.25,34.6,35.1,0.10,0.29,"12,929",37.9,25.1,0.60,1.71,25.62,6.04,Monday,Monday,2018/06/25
547199,1109,Mid Penn Bancorp,MPB,35.25,36.25,35.25,35.6,0.50,1.42,"34,254",37.9,25.1,0.60,1.69,25.99,7.55,Tuesday,Tuesday,2018/06/26
547200,1112,Mid Penn Bancorp,MPB,35.25,35.45,35.0,35.1,-0.50,-1.40,"11,687",37.90,25.70,0.60,1.71,25.62,6.04,Wednesday,Wednesday,2018/06/27
547201,1119,Mid Penn Bancorp,MPB,35.05,35.45,34.9,35.0,-0.10,-0.28,"6,102",37.90,25.70,0.60,1.71,25.55,5.74,Thursday,Thursday,2018/06/28
547202,1122,Mid Penn Bancorp,MPB,34.9,35.4,34.7,34.9,-0.10,-0.29,"3,333",37.90,25.70,0.60,1.72,25.47,5.44,Friday,Friday,2018/06/29
547203,1119,Mid Penn Bancorp,MPB,34.5,34.8,33.65,34.0,-0.90,-2.58,"8,443",37.9,25.7,0.60,1.76,24.82,2.72,Monday,Monday,2018/07/02
547204,1108,Mid Penn Bancorp,MPB,34.1,34.1,33.6,33.8,-0.20,-0.59,"2,211",37.9,25.7,0.60,1.78,24.67,2.11,Tuesday,Tuesday,2018/07/03
547205,1115,Mid Penn Bancorp,MPB,33.6,34.2,33.5,34.1,0.30,0.89,"3,869",37.9,25.7,0.60,1.76,24.89,3.02,Thursday,Thursday,2018/07/05
547206,1112,Mid Penn Bancorp,MPB,33.95,34.0,33.85,34.0,-0.10,-0.29,"1,719",37.9,25.7,0.60,1.76,24.82,2.72,Friday,Friday,2018/07/06
547207,1111,Mid Penn Bancorp,MPB,34.15,34.2,34.15,34.2,0.20,0.59,"2,111",37.9,26.0,0.60,1.75,24.96,3.32,Monday,Monday,2018/07/09
547208,1117,Mid Penn Bancorp,MPB,34.1,34.1,33.45,33.45,-0.75,-2.19,"3,299",37.9,26.0,0.60,1.79,24.42,1.06,Tuesday,Tuesday,2018/07/10
547209,1106,Mid Penn Bancorp,MPB,33.75,33.75,33.2,33.55,0.10,0.30,"2,769",37.9,26.05,0.60,1.79,24.49,1.36,Wednesday,Wednesday,2018/07/11
547210,1110,Mid Penn Bancorp,MPB,33.7,33.7,32.6,33.5,-0.05,-0.15,"1,638",37.9,26.05,0.60,1.79,24.45,1.21,Thursday,Thursday,2018/07/12
547211,1107,Mid Penn Bancorp,MPB,33.7,33.3,33.3,33.3,-0.20,-0.60,613,37.9,26.05,0.60,1.80,24.31,0.60,Friday,Friday,2018/07/13
547212,1109,Mid Penn Bancorp,MPB,33.25,33.7,33.25,33.7,0.40,1.20,"2,976",37.9,26.05,0.60,1.78,24.60,1.81,Monday,Monday,2018/07/16
547213,1105,Mid Penn Bancorp,MPB,33.15,33.8,33.15,33.65,-0.05,-0.15,"3,895",37.9,26.05,0.60,1.78,24.56,1.66,Tuesday,Tuesday,2018/07/17
547214,1113,Mid Penn Bancorp,MPB,33.6,33.65,33.4,33.65,...,...,"4,495",37.9,26.05,0.60,1.78,24.56,1.66,Wednesday,Wednesday,2018/07/18
547215,1118,Mid Penn Bancorp,MPB,33.25,33.45,33.16,33.4,-0.25,-0.74,"4,706",37.90,26.05,0.60,1.80,24.38,0.91,Thursday,Thursday,2018/07/19
547216,1110,Mid Penn Bancorp,MPB,33.35,33.45,33.0,33.2,-0.20,-0.60,"14,800",37.9,26.05,0.60,1.81,24.23,0.30,Friday,Friday,2018/07/20
547217,1113,Mid Penn Bancorp,MPB,33.11,33.11,33.0,33.0,-0.20,-0.60,748,37.9,26.05,0.60,1.82,24.09,-0.30,Monday,Monday,2018/07/23
547218,1118,Mid Penn Bancorp,MPB,32.7,33.95,29.86,33.5,0.50,1.52,"7,275",37.9,26.05,0.60,1.79,24.45,1.21,Tuesday,Tuesday,2018/07/24
547219,1111,Mid Penn Bancorp,MPB,33.5,33.9,33.25,33.5,...,...,"8,139",37.9,26.05,0.60,1.79,24.45,1.21,Wednesday,Wednesday,2018/07/25
547220,1115,Mid Penn Bancorp,MPB,33.9,33.9,33.4,33.85,0.35,1.04,"4,118",37.90,26.45,0.60,1.77,24.71,2.27,Thursday,Thursday,2018/07/26
547221,1117,Mid Penn Bancorp,MPB,33.7,33.7,32.75,32.75,-1.10,-3.25,"1,570",37.9,26.45,0.60,1.83,23.91,-1.06,Friday,Friday,2018/07/27
547222,1119,Mid Penn Bancorp,MPB,32.85,33.2,32.15,32.75,...,...,"4,136",37.9,26.45,0.60,1.83,25.79,-1.06,Monday,Monday,2018/07/30
547223,1117,Mid Penn Bancorp,MPB,32.75,32.8,32.69,32.8,0.05,0.15,"2,032",37.9,26.75,0.60,1.83,25.83,-0.91,Tuesday,Tuesday,2018/07/31
547224,1112,Mid Penn Bancorp,MPB,32.80,32.85,32.80,32.85,0.05,0.15,"1,700",37.9,26.75,0.60,1.83,25.87,-0.76,Wednesday,Wednesday,2018/08/01
547225,1113,Mid Penn Bancorp,MPB,32.85,32.85,32.7,32.7,-0.15,-0.46,"3,912",37.90,26.75,0.60,1.83,25.75,-1.21,Thursday,Thursday,2018/08/02
547226,1111,Mid Penn Bancorp,MPB,32.85,32.85,32.6,32.75,0.05,0.15,"6,029",37.90,26.75,0.60,1.83,25.79,-1.06,Friday,Friday,2018/08/03
547227,1110,Mid Penn Bancorp,MPB,32.5,32.55,31.8,31.8,-0.95,-2.90,"9,252",37.9,26.75,0.60,1.89,25.04,-3.93,Monday,Monday,2018/08/06
547228,1108,Mid Penn Bancorp,MPB,31.2,31.27,31.05,31.05,-0.60,-1.90,"2,378",37.9,26.75,0.60,1.93,24.45,-6.19,Tuesday,Tuesday,2018/08/07
547229,1109,Mid Penn Bancorp,MPB,31.0,31.7,30.93,31.2,0.15,0.48,"11,895",37.9,26.75,0.60,1.92,24.57,-5.74,Wednesday,Wednesday,2018/08/08
547230,1108,Mid Penn Bancorp,MPB,31.45,32.0,31.1,31.45,0.25,0.80,"15,707",37.9,26.75,0.60,1.91,24.76,-4.98,Thursday,Thursday,2018/08/09
547231,1110,Mid Penn Bancorp,MPB,31.25,31.25,30.85,31.0,-0.45,-1.43,"6,885",37.90,26.75,0.60,1.94,24.41,-6.34,Friday,Friday,2018/08/10
547232,1118,Mid Penn Bancorp,MPB,30.9,31.05,29.71,30.4,-0.60,-1.94,"11,570",37.90,26.85,0.60,1.97,23.94,-8.16,Monday,Monday,2018/08/13
547233,1115,Mid Penn Bancorp,MPB,30.4,30.45,29.98,30.0,-0.40,-1.32,"3,683",37.9,26.9,0.60,2.00,23.62,-9.37,Tuesday,Tuesday,2018/08/14
547234,1109,Mid Penn Bancorp,MPB,30.25,30.25,29.45,29.9,-0.10,-0.33,"8,657",37.9,26.9,0.60,2.01,23.54,-9.67,Wednesday,Wednesday,2018/08/15
547235,1112,Mid Penn Bancorp,MPB,29.75,30.8,29.6,30.6,0.70,2.34,"11,076",37.9,26.9,0.60,1.96,24.09,-7.55,Thursday,Thursday,2018/08/16
547236,1112,Mid Penn Bancorp,MPB,30.45,30.6,30.45,30.6,...,...,"3,645",37.9,26.9,0.60,1.96,24.09,-7.55,Friday,Friday,2018/08/17
547237,1116,Mid Penn Bancorp,MPB,30.6,31.25,30.6,31.1,0.50,1.63,"16,466",37.9,27.25,0.60,1.93,24.49,-6.04,Monday,Monday,2018/08/20
547238,1112,Mid Penn Bancorp,MPB,31.0,31.75,31.0,31.5,0.40,1.29,"14,345",37.9,27.25,0.60,1.90,24.80,-4.83,Tuesday,Tuesday,2018/08/21
547239,1104,Mid Penn Bancorp,MPB,31.5,31.75,31.5,31.6,0.10,0.32,"12,311",37.9,27.25,0.60,1.90,24.88,-4.53,Wednesday,Wednesday,2018/08/22
547240,1105,Mid Penn Bancorp,MPB,31.65,31.75,31.0,31.6,...,...,"24,597",37.9,27.25,0.60,1.90,24.88,-4.53,Thursday,Thursday,2018/08/23
547241,1109,Mid Penn Bancorp,MPB,31.6,31.63,30.3,30.3,-1.30,-4.11,"52,315",37.9,27.25,0.60,1.98,23.86,-8.46,Friday,Friday,2018/08/24
547242,1115,Mid Penn Bancorp,MPB,29.95,31.1,29.95,30.95,0.65,2.15,"22,700",37.9,27.25,0.60,1.94,24.37,-6.50,Monday,Monday,2018/08/27
547243,1113,Mid Penn Bancorp,MPB,31.1,31.4,30.55,30.95,...,...,"7,845",37.9,27.9,0.60,1.94,24.37,-6.50,Tuesday,Tuesday,2018/08/28
547244,1114,Mid Penn Bancorp,MPB,30.9,31.4,30.75,30.8,-0.15,-0.48,"8,314",37.90,27.90,0.60,1.95,24.25,-6.95,Wednesday,Wednesday,2018/08/29
547245,1114,Mid Penn Bancorp,MPB,30.8,31.15,30.35,30.6,-0.20,-0.65,"8,497",37.90,27.90,0.60,1.96,24.09,-7.55,Thursday,Thursday,2018/08/30
547246,1114,Mid Penn Bancorp,MPB,30.75,30.75,30.35,30.45,-0.15,-0.49,"4,540",37.9,27.9,0.60,1.97,23.98,-8.01,Friday,Friday,2018/08/31
547247,1115,Mid Penn Bancorp,MPB,30.45,31.0,30.05,30.9,0.45,1.48,"14,928",37.9,27.9,0.60,1.94,24.33,-6.65,Tuesday,Tuesday,2018/09/04
547248,1112,Mid Penn Bancorp,MPB,30.5,31.3,30.45,30.7,-0.20,-0.65,"14,157",37.9,27.9,0.60,1.95,24.17,-7.25,Wednesday,Wednesday,2018/09/05
547249,1113,Mid Penn Bancorp,MPB,30.8,31.0,30.3,30.6,-0.10,-0.33,"16,864",37.9,28.18,0.60,1.96,24.09,-7.55,Thursday,Thursday,2018/09/06
547250,1116,Mid Penn Bancorp,MPB,30.8,30.8,30.5,30.75,0.15,0.49,"9,930",37.9,28.18,0.60,1.95,24.21,-7.10,Friday,Friday,2018/09/07
547251,1111,Mid Penn Bancorp,MPB,30.75,30.75,30.3,30.5,-0.25,-0.81,"17,315",37.9,28.45,0.60,1.97,24.02,-7.85,Monday,Monday,2018/09/10
547252,1115,Mid Penn Bancorp,MPB,30.35,30.9,30.35,30.7,0.20,0.66,"14,969",37.90,28.75,0.60,1.95,24.17,-7.25,Tuesday,Tuesday,2018/09/11
547253,1115,Mid Penn Bancorp,MPB,30.55,30.73,30.2,30.6,-0.10,-0.33,"16,451",37.9,28.8,0.60,1.96,24.09,-7.55,Wednesday,Wednesday,2018/09/12
547254,1114,Mid Penn Bancorp,MPB,30.44,30.7,30.0,30.65,0.05,0.16,"14,146",37.90,28.85,0.60,1.96,24.13,-7.40,Thursday,Thursday,2018/09/13
547255,1118,Mid Penn Bancorp,MPB,30.6,31.15,30.45,31.15,0.50,1.63,"14,111",37.90,28.85,0.60,1.93,24.53,-5.89,Friday,Friday,2018/09/14
547256,1114,Mid Penn Bancorp,MPB,30.95,30.95,30.5,30.8,-0.35,-1.12,"11,674",37.90,28.85,0.60,1.95,24.25,-6.95,Monday,Monday,2018/09/17
547257,1107,Mid Penn Bancorp,MPB,30.55,31.3,30.55,31.15,0.35,1.14,"23,709",37.9,28.85,0.60,1.93,24.53,-5.89,Tuesday,Tuesday,2018/09/18
547258,1109,Mid Penn Bancorp,MPB,30.8,31.4,30.8,31.2,0.05,0.16,"17,457",37.90,28.85,0.60,1.92,24.57,-5.74,Wednesday,Wednesday,2018/09/19
547259,1120,Mid Penn Bancorp,MPB,31.15,31.57,31.13,31.4,0.20,0.64,"19,842",37.90,28.85,0.60,1.91,24.72,-5.14,Thursday,Thursday,2018/09/20
