,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
550565,1093,Mersana Therapeutics,MRSN,15.99,16.18,15.71,15.77,-0.15,-0.94,"186,388",21.01,12.45,...,...,...,-4.02,Thursday,Thursday,2018/03/29
550566,1077,Mersana Therapeutics,MRSN,16.62,17.37,16.18,16.39,-0.31,-1.86,"120,211",21.01,12.45,...,...,...,-0.24,Wednesday,Wednesday,2018/04/11
550567,1079,Mersana Therapeutics,MRSN,16.5,17.11,15.94,16.93,0.54,3.29,"109,575",21.01,12.45,...,...,...,3.04,Thursday,Thursday,2018/04/12
550568,1084,Mersana Therapeutics,MRSN,16.94,17.2,16.86,17.01,0.20,1.19,"136,984",21.01,12.45,...,...,...,3.53,Tuesday,Tuesday,2018/04/17
550569,1088,Mersana Therapeutics,MRSN,17.02,17.24,16.38,16.57,-0.44,-2.59,"54,472",21.01,12.45,...,...,...,0.85,Wednesday,Wednesday,2018/04/18
550570,1089,Mersana Therapeutics,MRSN,16.6,17.09,16.51,16.84,0.27,1.63,"33,939",21.01,12.45,...,...,...,2.50,Thursday,Thursday,2018/04/19
550571,1086,Mersana Therapeutics,MRSN,16.72,17.04,16.61,16.67,-0.17,-1.01,"16,733",21.01,12.45,...,...,...,1.46,Friday,Friday,2018/04/20
550572,1086,Mersana Therapeutics,MRSN,16.82,16.89,15.57,15.86,-0.99,-5.88,"41,932",21.01,12.45,...,...,...,-3.47,Tuesday,Tuesday,2018/04/24
550573,1088,Mersana Therapeutics,MRSN,16.03,17.22,15.77,16.76,0.90,5.67,"127,863",21.01,12.45,...,...,...,2.01,Wednesday,Wednesday,2018/04/25
550574,1083,Mersana Therapeutics,MRSN,17.38,18.25,17.18,18.03,0.78,4.52,"45,565",21.01,12.45,...,...,...,9.74,Friday,Friday,2018/04/27
550575,1085,Mersana Therapeutics,MRSN,17.79,18.37,17.0,17.02,-1.01,-5.60,"67,426",21.01,12.45,...,...,...,3.59,Monday,Monday,2018/04/30
550576,1082,Mersana Therapeutics,MRSN,16.98,16.98,15.63,16.65,-0.37,-2.17,"64,631",21.01,12.45,...,...,...,1.34,Tuesday,Tuesday,2018/05/01
550577,1079,Mersana Therapeutics,MRSN,17.41,17.57,16.69,16.78,-0.74,-4.22,"64,746",21.01,12.45,...,...,...,2.13,Thursday,Thursday,2018/05/03
550578,1084,Mersana Therapeutics,MRSN,16.8,16.98,15.75,16.33,-0.45,-2.68,"40,694",21.01,12.45,...,...,...,-0.61,Friday,Friday,2018/05/04
550579,1090,Mersana Therapeutics,MRSN,16.32,17.17,16.26,16.98,0.65,3.98,"27,320",21.01,12.45,...,...,...,3.35,Monday,Monday,2018/05/07
550580,1090,Mersana Therapeutics,MRSN,17.46,17.8,17.3,17.45,0.47,2.77,"84,056",21.01,12.45,...,...,...,6.21,Tuesday,Tuesday,2018/05/08
550581,1091,Mersana Therapeutics,MRSN,17.51,17.72,16.89,16.99,-0.46,-2.64,"44,489",21.01,12.45,...,...,...,3.41,Wednesday,Wednesday,2018/05/09
550582,1082,Mersana Therapeutics,MRSN,17.0,17.04,16.51,16.68,-0.31,-1.82,"53,027",21.01,12.45,...,...,...,1.52,Thursday,Thursday,2018/05/10
550583,1089,Mersana Therapeutics,MRSN,16.65,16.96,16.46,16.61,-0.07,-0.42,"67,968",21.01,12.45,...,...,...,1.10,Friday,Friday,2018/05/11
550584,1089,Mersana Therapeutics,MRSN,16.7,16.75,16.09,16.51,-0.10,-0.60,"56,278",21.01,12.45,...,...,...,0.49,Monday,Monday,2018/05/14
550585,1088,Mersana Therapeutics,MRSN,16.42,17.35,15.75,16.0,-0.51,-3.09,"127,854",21.01,12.45,...,...,...,-2.62,Tuesday,Tuesday,2018/05/15
550586,1095,Mersana Therapeutics,MRSN,16.07,16.75,14.34,16.74,0.74,4.62,"149,963",21.01,12.45,...,...,...,1.89,Wednesday,Wednesday,2018/05/16
550587,1087,Mersana Therapeutics,MRSN,16.75,18.7,16.21,18.53,1.79,10.69,"199,707",21.01,12.45,...,...,...,12.78,Thursday,Thursday,2018/05/17
550588,1087,Mersana Therapeutics,MRSN,18.54,19.25,18.54,19.01,0.48,2.59,"110,452",21.01,12.45,...,...,...,15.70,Friday,Friday,2018/05/18
550589,1086,Mersana Therapeutics,MRSN,19.18,19.18,18.47,19.16,0.15,0.79,"49,667",21.01,12.45,...,...,...,16.62,Monday,Monday,2018/05/21
550590,1089,Mersana Therapeutics,MRSN,19.29,20.2,19.19,20.06,0.90,4.70,"98,297",21.01,12.45,...,...,...,22.09,Tuesday,Tuesday,2018/05/22
550591,1085,Mersana Therapeutics,MRSN,20.04,21.82,19.43,21.67,1.61,8.03,"119,638",21.82,12.45,...,...,...,31.89,Wednesday,Wednesday,2018/05/23
550592,1089,Mersana Therapeutics,MRSN,21.63,22.08,21.0,22.0,0.33,1.52,"81,407",22.08,12.45,...,...,...,33.90,Thursday,Thursday,2018/05/24
550593,1091,Mersana Therapeutics,MRSN,21.92,22.8,21.91,22.68,0.68,3.09,"39,620",22.80,12.45,...,...,...,38.04,Friday,Friday,2018/05/25
550594,1087,Mersana Therapeutics,MRSN,22.69,23.96,21.42,21.48,-1.20,-5.29,"213,244",23.96,12.45,...,...,...,30.74,Tuesday,Tuesday,2018/05/29
550595,1092,Mersana Therapeutics,MRSN,21.5,21.83,20.18,20.43,-1.05,-4.89,"82,058",23.96,12.45,...,...,...,24.35,Wednesday,Wednesday,2018/05/30
550596,1086,Mersana Therapeutics,MRSN,20.45,21.16,20.27,20.93,0.50,2.45,"89,857",23.96,12.45,...,...,...,27.39,Thursday,Thursday,2018/05/31
550597,1093,Mersana Therapeutics,MRSN,21.05,23.26,20.64,20.7,-0.23,-1.10,"159,290",23.96,12.45,...,...,...,25.99,Friday,Friday,2018/06/01
550598,1094,Mersana Therapeutics,MRSN,20.85,20.85,15.28,15.94,-4.76,-23.00,"443,048",23.96,12.45,...,...,...,-2.98,Monday,Monday,2018/06/04
550599,1089,Mersana Therapeutics,MRSN,15.72,16.05,14.67,14.69,-1.25,-7.84,"182,951",23.96,12.45,...,...,...,-10.59,Tuesday,Tuesday,2018/06/05
550600,1099,Mersana Therapeutics,MRSN,14.78,16.0,14.55,15.08,0.39,2.65,"520,823",23.96,12.45,...,...,...,-8.22,Wednesday,Wednesday,2018/06/06
550601,1096,Mersana Therapeutics,MRSN,15.05,15.49,13.72,14.2,-0.88,-5.84,"223,931",23.96,12.45,...,...,...,-13.57,Thursday,Thursday,2018/06/07
550602,1093,Mersana Therapeutics,MRSN,14.14,14.97,14.04,14.68,0.48,3.38,"123,486",23.96,12.45,...,...,...,-10.65,Friday,Friday,2018/06/08
550603,1092,Mersana Therapeutics,MRSN,14.64,15.35,14.5,15.28,0.60,4.09,"124,545",23.96,12.45,...,...,...,-7.00,Monday,Monday,2018/06/11
550604,1089,Mersana Therapeutics,MRSN,15.3,16.47,15.19,16.04,0.76,4.97,"278,066",23.96,12.45,...,...,...,-2.37,Tuesday,Tuesday,2018/06/12
550605,1090,Mersana Therapeutics,MRSN,16.0,16.9,15.78,16.83,0.79,4.93,"180,925",23.96,12.45,...,...,...,2.43,Wednesday,Wednesday,2018/06/13
550606,1091,Mersana Therapeutics,MRSN,16.85,17.53,16.61,17.52,0.69,4.10,"147,218",23.96,12.45,...,...,...,6.63,Thursday,Thursday,2018/06/14
550607,1088,Mersana Therapeutics,MRSN,17.6,20.37,16.91,19.88,2.36,13.47,"279,878",23.96,12.45,...,...,...,21.00,Friday,Friday,2018/06/15
