,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
558124,1225,Meritor,MTOR,20.8,21.05,20.51,20.56,-0.05,-0.24,"1,239,515",29.54,14.97,...,...,6.92,-12.36,Thursday,Thursday,2018/03/29
558125,1220,Meritor,MTOR,20.2,20.55,20.02,20.41,0.11,0.54,"792,496",29.54,14.97,...,...,6.87,-13.00,Wednesday,Wednesday,2018/04/11
558126,1222,Meritor,MTOR,20.44,20.71,20.2,20.6,0.19,0.93,"389,968",29.54,14.97,...,...,6.94,-12.19,Thursday,Thursday,2018/04/12
558127,1215,Meritor,MTOR,21.24,21.41,20.79,20.97,-0.06,-0.29,"922,134",29.54,14.97,...,...,7.06,-10.61,Tuesday,Tuesday,2018/04/17
558128,1218,Meritor,MTOR,21.12,21.73,20.99,21.63,0.66,3.15,"1,183,761",29.54,14.97,...,...,7.28,-7.80,Wednesday,Wednesday,2018/04/18
558129,1224,Meritor,MTOR,21.73,21.78,21.36,21.64,0.01,0.05,"1,096,532",29.54,14.97,...,...,7.29,-7.76,Thursday,Thursday,2018/04/19
558130,1217,Meritor,MTOR,21.5,21.75,21.2,21.6,-0.04,-0.18,"1,191,693",29.54,14.97,...,...,7.27,-7.93,Friday,Friday,2018/04/20
558131,1219,Meritor,MTOR,21.61,21.71,20.21,20.63,-0.75,-3.51,"1,509,958",29.54,14.97,...,...,6.95,-12.06,Tuesday,Tuesday,2018/04/24
558132,1222,Meritor,MTOR,20.47,20.8,20.19,20.63,...,...,"805,707",29.54,14.97,...,...,6.95,-12.06,Wednesday,Wednesday,2018/04/25
558133,1222,Meritor,MTOR,20.26,20.41,19.81,19.89,-0.37,-1.83,"472,186",29.54,14.97,...,...,6.70,-15.22,Friday,Friday,2018/04/27
558134,1217,Meritor,MTOR,20.0,20.05,19.46,19.47,-0.42,-2.11,"958,472",29.54,14.97,...,...,6.56,-17.01,Monday,Monday,2018/04/30
558135,1228,Meritor,MTOR,19.66,19.66,18.94,19.44,-0.03,-0.15,"887,303",29.54,14.97,...,...,6.55,-17.14,Tuesday,Tuesday,2018/05/01
558136,1222,Meritor,MTOR,19.44,19.77,17.28,19.7,0.35,1.81,"2,206,331",29.54,14.97,...,...,6.63,-16.03,Thursday,Thursday,2018/05/03
558137,1223,Meritor,MTOR,19.52,20.2,19.43,20.15,0.45,2.28,"973,791",29.54,14.97,...,...,6.00,-14.11,Friday,Friday,2018/05/04
558138,1228,Meritor,MTOR,20.26,20.97,20.24,20.89,0.74,3.67,"1,243,816",29.54,14.97,...,...,6.22,-10.95,Monday,Monday,2018/05/07
558139,1219,Meritor,MTOR,20.79,21.29,20.57,20.79,-0.10,-0.48,"960,437",29.54,14.97,...,...,6.19,-11.38,Tuesday,Tuesday,2018/05/08
558140,1230,Meritor,MTOR,20.9,21.05,20.69,20.96,0.17,0.82,"806,357",29.54,14.97,...,...,6.24,-10.66,Wednesday,Wednesday,2018/05/09
558141,1228,Meritor,MTOR,21.04,21.14,20.9,21.01,0.05,0.24,"416,737",29.54,14.97,...,...,6.25,-10.44,Thursday,Thursday,2018/05/10
558142,1225,Meritor,MTOR,21.0,21.11,20.83,20.92,-0.09,-0.43,"767,237",29.54,14.97,...,...,6.23,-10.83,Friday,Friday,2018/05/11
558143,1227,Meritor,MTOR,20.99,21.36,20.99,21.11,0.19,0.91,"603,293",29.54,14.97,...,...,6.28,-10.02,Monday,Monday,2018/05/14
558144,1226,Meritor,MTOR,20.92,21.38,20.79,21.3,0.19,0.90,"663,702",29.54,14.97,...,...,6.34,-9.21,Tuesday,Tuesday,2018/05/15
558145,1229,Meritor,MTOR,21.37,22.03,21.37,21.71,0.41,1.92,"742,212",29.54,14.97,...,...,6.46,-7.46,Wednesday,Wednesday,2018/05/16
558146,1227,Meritor,MTOR,21.64,22.13,21.64,22.01,0.30,1.38,"1,018,167",29.54,14.97,...,...,6.55,-6.18,Thursday,Thursday,2018/05/17
558147,1227,Meritor,MTOR,22.06,22.14,21.98,22.02,0.01,0.05,"766,840",29.54,14.97,...,...,6.55,-6.14,Friday,Friday,2018/05/18
558148,1228,Meritor,MTOR,22.24,22.57,22.1,22.15,0.13,0.59,"416,841",29.54,14.97,...,...,6.59,-5.58,Monday,Monday,2018/05/21
558149,1224,Meritor,MTOR,22.19,22.36,21.92,21.94,-0.21,-0.95,"467,680",29.54,14.97,...,...,6.53,-6.48,Tuesday,Tuesday,2018/05/22
558150,1231,Meritor,MTOR,21.75,21.99,21.31,21.55,-0.39,-1.78,"537,596",29.54,14.97,...,...,6.41,-8.14,Wednesday,Wednesday,2018/05/23
558151,1232,Meritor,MTOR,21.49,21.65,21.24,21.45,-0.10,-0.46,"576,171",29.54,14.97,...,...,6.38,-8.57,Thursday,Thursday,2018/05/24
558152,1234,Meritor,MTOR,21.38,21.79,21.38,21.5,0.05,0.23,"556,032",29.54,14.97,...,...,6.40,-8.35,Friday,Friday,2018/05/25
558153,1232,Meritor,MTOR,21.28,21.45,20.34,20.76,-0.74,-3.44,"762,955",29.54,14.97,...,...,6.18,-11.51,Tuesday,Tuesday,2018/05/29
558154,1234,Meritor,MTOR,20.93,21.41,20.78,21.17,0.41,1.97,"649,369",29.54,14.97,...,...,6.30,-9.76,Wednesday,Wednesday,2018/05/30
558155,1231,Meritor,MTOR,21.18,21.3,20.37,20.75,-0.42,-1.98,"780,986",29.54,15.21,...,...,6.18,-11.55,Thursday,Thursday,2018/05/31
558156,1233,Meritor,MTOR,20.97,21.29,20.93,21.05,0.30,1.45,"483,243",29.54,15.21,...,...,6.26,-10.27,Friday,Friday,2018/06/01
558157,1226,Meritor,MTOR,21.13,21.24,20.99,21.07,0.02,0.10,"497,259",29.54,15.21,...,...,6.27,-10.19,Monday,Monday,2018/06/04
558158,1225,Meritor,MTOR,21.11,21.43,21.09,21.37,0.30,1.42,"475,010",29.54,15.21,...,...,6.36,-8.91,Tuesday,Tuesday,2018/06/05
558159,1230,Meritor,MTOR,21.47,22.18,21.47,21.9,0.53,2.48,"622,816",29.54,15.45,...,...,6.52,-6.65,Wednesday,Wednesday,2018/06/06
558160,1229,Meritor,MTOR,21.84,22.07,21.84,21.97,0.07,0.32,"566,071",29.54,15.45,...,...,6.54,-6.35,Thursday,Thursday,2018/06/07
558161,1224,Meritor,MTOR,21.95,22.13,21.49,21.61,-0.36,-1.64,"494,430",29.54,15.45,...,...,6.43,-7.89,Friday,Friday,2018/06/08
558162,1232,Meritor,MTOR,21.74,22.0,21.62,21.84,0.23,1.06,"377,235",29.54,15.45,...,...,6.50,-6.91,Monday,Monday,2018/06/11
558163,1227,Meritor,MTOR,21.86,21.94,21.44,21.54,-0.30,-1.37,"263,183",29.54,15.45,...,...,6.41,-8.18,Tuesday,Tuesday,2018/06/12
558164,1225,Meritor,MTOR,21.55,21.75,21.26,21.29,-0.25,-1.16,"416,510",29.54,15.45,...,...,6.34,-9.25,Wednesday,Wednesday,2018/06/13
558165,1227,Meritor,MTOR,21.35,21.53,21.07,21.36,0.07,0.33,"549,292",29.54,15.45,...,...,6.36,-8.95,Thursday,Thursday,2018/06/14
558166,1225,Meritor,MTOR,21.18,21.26,20.76,21.23,-0.13,-0.61,"554,913",29.54,15.45,...,...,6.32,-9.51,Friday,Friday,2018/06/15
558167,1225,Meritor,MTOR,21.05,21.43,20.86,21.42,0.19,0.89,"581,461",29.54,15.45,...,...,6.38,-8.70,Monday,Monday,2018/06/18
558168,1227,Meritor,MTOR,21.12,21.3,20.79,21.25,-0.17,-0.79,"829,854",29.54,15.45,...,...,6.32,-9.42,Tuesday,Tuesday,2018/06/19
558169,1231,Meritor,MTOR,21.47,21.86,21.28,21.77,0.52,2.45,"351,719",29.54,15.45,...,...,6.48,-7.20,Wednesday,Wednesday,2018/06/20
558170,1225,Meritor,MTOR,21.69,21.69,21.17,21.39,-0.38,-1.75,"603,007",29.54,15.45,...,...,6.37,-8.82,Thursday,Thursday,2018/06/21
558171,1227,Meritor,MTOR,21.60,22.2,21.45,21.47,0.08,0.37,"1,349,655",29.54,15.45,...,...,6.39,-8.48,Friday,Friday,2018/06/22
558172,1234,Meritor,MTOR,21.31,21.59,21.1,21.26,-0.21,-0.98,"728,644",29.54,15.46,...,...,6.33,-9.38,Monday,Monday,2018/06/25
