,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
559102,1139,MTS Systems,MTSC,52.3,52.7,51.1,51.65,-0.45,-0.86,"147,225",57.50,44.65,1.20,2.32,17.57,-3.82,Thursday,Thursday,2018/03/29
559103,1123,MTS Systems,MTSC,51.05,52.4,51.05,51.65,0.40,0.78,"83,000",57.50,44.65,1.20,2.32,17.57,-3.82,Wednesday,Wednesday,2018/04/11
559104,1125,MTS Systems,MTSC,51.85,52.3,50.95,51.0,-0.65,-1.26,"45,983",57.5,44.93,1.20,2.35,17.35,-5.03,Thursday,Thursday,2018/04/12
559105,1129,MTS Systems,MTSC,52.5,53.17,52.1,52.3,-0.05,-0.10,"92,082",57.50,45.23,1.20,2.29,17.79,-2.61,Tuesday,Tuesday,2018/04/17
559106,1134,MTS Systems,MTSC,52.4,53.7,52.25,53.35,1.05,2.01,"83,028",57.5,45.23,1.20,2.25,18.15,-0.65,Wednesday,Wednesday,2018/04/18
559107,1136,MTS Systems,MTSC,53.15,53.98,52.65,52.75,-0.60,-1.12,"48,479",57.50,45.23,1.20,2.27,17.94,-1.77,Thursday,Thursday,2018/04/19
559108,1133,MTS Systems,MTSC,52.7,52.85,51.95,52.25,-0.50,-0.95,"43,429",57.50,45.23,1.20,2.30,17.77,-2.70,Friday,Friday,2018/04/20
559109,1132,MTS Systems,MTSC,52.0,52.5,51.2,51.6,-0.20,-0.39,"36,798",57.5,45.23,1.20,2.33,17.55,-3.91,Tuesday,Tuesday,2018/04/24
559110,1135,MTS Systems,MTSC,51.6,52.2,42.0,52.2,0.60,1.16,"54,067",57.5,42.0,1.20,2.30,17.76,-2.79,Wednesday,Wednesday,2018/04/25
559111,1130,MTS Systems,MTSC,51.55,51.55,50.3,51.05,-0.43,-0.83,"22,912",57.50,42.00,1.20,2.35,17.36,-4.93,Friday,Friday,2018/04/27
559112,1132,MTS Systems,MTSC,51.05,51.35,50.66,50.8,-0.25,-0.49,"37,505",57.5,42.0,1.20,2.36,17.28,-5.40,Monday,Monday,2018/04/30
559113,1129,MTS Systems,MTSC,50.65,51.4,50.25,51.35,0.55,1.08,"37,095",57.5,42.0,1.20,2.34,17.47,-4.38,Tuesday,Tuesday,2018/05/01
559114,1125,MTS Systems,MTSC,51.6,52.0,51.2,51.5,-0.30,-0.58,"39,116",57.50,42.00,1.20,2.33,17.52,-4.10,Thursday,Thursday,2018/05/03
559115,1131,MTS Systems,MTSC,51.3,52.63,51.3,52.35,0.85,1.65,"26,196",57.50,42.00,1.20,2.29,17.81,-2.51,Friday,Friday,2018/05/04
559116,1137,MTS Systems,MTSC,52.3,52.7,51.75,52.0,-0.35,-0.67,"65,848",57.5,42.0,1.20,2.31,17.69,-3.17,Monday,Monday,2018/05/07
559117,1137,MTS Systems,MTSC,51.0,51.0,46.25,48.35,-3.65,-7.02,"218,875",57.50,42.00,1.20,2.48,16.45,-9.96,Tuesday,Tuesday,2018/05/08
559118,1138,MTS Systems,MTSC,48.55,49.15,47.83,49.1,0.75,1.55,"108,731",57.50,42.00,1.20,2.44,16.37,-8.57,Wednesday,Wednesday,2018/05/09
559119,1129,MTS Systems,MTSC,49.4,51.15,49.1,51.1,2.00,4.07,"106,145",57.5,42.0,1.20,2.35,17.03,-4.84,Thursday,Thursday,2018/05/10
559120,1136,MTS Systems,MTSC,51.3,52.9,51.3,51.95,0.85,1.66,"95,038",57.5,42.0,1.20,2.31,17.32,-3.26,Friday,Friday,2018/05/11
559121,1136,MTS Systems,MTSC,51.9,52.7,51.62,52.4,0.45,0.87,"128,130",57.5,42.0,1.20,2.29,17.47,-2.42,Monday,Monday,2018/05/14
559122,1135,MTS Systems,MTSC,52.25,52.75,51.6,52.15,-0.25,-0.48,"114,657",57.5,42.0,1.20,2.30,17.38,-2.89,Tuesday,Tuesday,2018/05/15
559123,1142,MTS Systems,MTSC,52.15,53.0,52.0,52.9,0.75,1.44,"93,285",57.5,42.0,1.20,2.27,17.63,-1.49,Wednesday,Wednesday,2018/05/16
559124,1134,MTS Systems,MTSC,52.65,54.1,52.65,54.05,1.15,2.17,"81,094",57.50,42.00,1.20,2.22,18.02,0.65,Thursday,Thursday,2018/05/17
559125,1134,MTS Systems,MTSC,54.05,54.8,53.35,53.98,-0.07,-0.14,"252,567",57.5,42.0,1.20,2.22,17.99,0.51,Friday,Friday,2018/05/18
559126,1133,MTS Systems,MTSC,54.2,54.95,54.2,54.35,0.38,0.69,"79,689",57.50,42.00,1.20,2.21,18.12,1.21,Monday,Monday,2018/05/21
559127,1136,MTS Systems,MTSC,54.5,54.8,53.6,53.65,-0.70,-1.29,"63,877",57.5,42.0,1.20,2.24,17.88,-0.09,Tuesday,Tuesday,2018/05/22
559128,1132,MTS Systems,MTSC,53.5,53.7,53.1,53.4,-0.25,-0.47,"44,884",57.50,42.00,1.20,2.25,17.80,-0.56,Wednesday,Wednesday,2018/05/23
559129,1135,MTS Systems,MTSC,53.35,54.4,52.55,52.9,-0.50,-0.94,"48,988",57.50,42.00,1.20,2.27,17.63,-1.49,Thursday,Thursday,2018/05/24
559130,1138,MTS Systems,MTSC,52.85,53.2,52.8,53.05,0.15,0.28,"45,614",57.50,42.00,1.20,2.26,17.68,-1.21,Friday,Friday,2018/05/25
559131,1133,MTS Systems,MTSC,52.7,53.45,52.45,53.4,0.35,0.66,"57,995",57.50,42.00,1.20,2.25,17.80,-0.56,Tuesday,Tuesday,2018/05/29
559132,1138,MTS Systems,MTSC,53.65,53.95,53.35,53.7,0.30,0.56,"92,103",57.50,42.00,1.20,2.23,17.90,...,Wednesday,Wednesday,2018/05/30
559133,1132,MTS Systems,MTSC,53.6,53.95,52.4,52.4,-1.30,-2.42,"71,099",57.5,42.0,1.20,2.29,17.47,-2.42,Thursday,Thursday,2018/05/31
559134,1139,MTS Systems,MTSC,52.80,53.2,52.35,52.8,0.40,0.76,"82,638",57.50,42.00,1.20,2.27,17.60,-1.68,Friday,Friday,2018/06/01
559135,1141,MTS Systems,MTSC,52.95,53.5,52.85,53.45,0.65,1.23,"78,260",57.50,42.00,1.20,2.25,17.82,-0.47,Monday,Monday,2018/06/04
559136,1136,MTS Systems,MTSC,53.4,54.2,53.0,54.15,0.70,1.31,"110,796",57.5,42.0,1.20,2.22,18.05,0.84,Tuesday,Tuesday,2018/06/05
559137,1146,MTS Systems,MTSC,54.3,55.15,54.3,55.0,0.85,1.57,"82,147",57.50,42.00,1.20,2.18,18.33,2.42,Wednesday,Wednesday,2018/06/06
559138,1143,MTS Systems,MTSC,55.0,55.65,54.8,55.6,0.60,1.09,"116,764",57.50,42.00,1.20,2.16,18.53,3.54,Thursday,Thursday,2018/06/07
559139,1140,MTS Systems,MTSC,55.6,55.85,54.5,54.5,-1.10,-1.98,"50,748",57.50,42.00,1.20,2.20,18.17,1.49,Friday,Friday,2018/06/08
559140,1139,MTS Systems,MTSC,54.55,54.85,54.15,54.35,-0.15,-0.28,"59,089",57.5,42.0,1.20,2.21,18.12,1.21,Monday,Monday,2018/06/11
559141,1136,MTS Systems,MTSC,54.55,55.2,54.2,54.9,0.55,1.01,"43,767",57.5,42.0,1.20,2.19,18.30,2.23,Tuesday,Tuesday,2018/06/12
559142,1137,MTS Systems,MTSC,54.85,55.05,54.55,54.55,-0.35,-0.64,"60,481",57.5,42.0,1.20,2.20,18.18,1.58,Wednesday,Wednesday,2018/06/13
559143,1138,MTS Systems,MTSC,54.75,54.95,54.35,54.95,0.40,0.73,"55,049",57.5,42.0,1.20,2.18,18.32,2.33,Thursday,Thursday,2018/06/14
559144,1135,MTS Systems,MTSC,54.65,55.4,54.55,54.6,-0.35,-0.64,"111,672",57.50,42.00,1.20,2.20,18.20,1.68,Friday,Friday,2018/06/15
559145,1138,MTS Systems,MTSC,54.45,54.8,54.0,54.75,0.15,0.27,"91,310",57.50,42.00,1.20,2.19,18.25,1.96,Monday,Monday,2018/06/18
559146,1133,MTS Systems,MTSC,54.4,54.65,52.77,54.6,-0.15,-0.27,"54,435",57.5,42.0,1.20,2.20,18.20,1.68,Tuesday,Tuesday,2018/06/19
559147,1132,MTS Systems,MTSC,54.8,55.4,54.15,54.85,0.25,0.46,"67,472",57.50,42.00,1.20,2.19,18.28,2.14,Wednesday,Wednesday,2018/06/20
559148,1138,MTS Systems,MTSC,54.6,54.6,53.25,53.45,-1.10,-2.02,"59,793",57.5,42.0,1.20,2.25,17.82,-0.47,Thursday,Thursday,2018/06/21
559149,1144,MTS Systems,MTSC,53.85,53.95,53.15,53.5,0.05,0.09,"98,306",57.5,42.0,1.20,2.24,17.83,-0.37,Friday,Friday,2018/06/22
559150,1141,MTS Systems,MTSC,53.3,53.65,52.4,52.75,-0.75,-1.40,"59,696",57.5,42.0,1.20,2.27,17.58,-1.77,Monday,Monday,2018/06/25
559151,1138,MTS Systems,MTSC,52.75,53.25,52.75,52.95,0.20,0.38,"44,235",57.5,42.0,1.20,2.27,17.65,-1.40,Tuesday,Tuesday,2018/06/26
559152,1141,MTS Systems,MTSC,53.0,53.05,51.6,51.65,-1.30,-2.46,"54,549",57.50,42.00,1.20,2.32,17.22,-3.82,Wednesday,Wednesday,2018/06/27
559153,1148,MTS Systems,MTSC,51.7,52.3,51.05,52.15,0.50,0.97,"98,921",57.50,42.00,1.20,2.30,17.38,-2.89,Thursday,Thursday,2018/06/28
559154,1151,MTS Systems,MTSC,52.3,52.95,52.2,52.65,0.50,0.96,"75,619",57.50,42.00,1.20,2.28,17.55,-1.96,Friday,Friday,2018/06/29
559155,1148,MTS Systems,MTSC,52.35,53.25,51.42,53.25,0.60,1.14,"73,393",57.5,42.0,1.20,2.25,17.75,-0.84,Monday,Monday,2018/07/02
559156,1136,MTS Systems,MTSC,53.4,53.6,52.7,52.75,-0.50,-0.94,"29,172",57.5,42.0,1.20,2.27,17.58,-1.77,Tuesday,Tuesday,2018/07/03
559157,1144,MTS Systems,MTSC,53.05,53.95,52.9,53.8,1.05,1.99,"44,294",57.5,42.0,1.20,2.23,17.93,0.19,Thursday,Thursday,2018/07/05
559158,1141,MTS Systems,MTSC,53.85,54.25,53.45,54.15,0.35,0.65,"55,502",57.5,42.0,1.20,2.22,18.05,0.84,Friday,Friday,2018/07/06
559159,1140,MTS Systems,MTSC,54.25,54.6,54.05,54.2,0.05,0.09,"60,422",57.5,42.0,1.20,2.21,18.07,0.93,Monday,Monday,2018/07/09
559160,1146,MTS Systems,MTSC,54.2,54.6,54.1,54.45,0.25,0.46,"54,135",57.5,42.0,1.20,2.20,18.15,1.40,Tuesday,Tuesday,2018/07/10
559161,1135,MTS Systems,MTSC,54.35,54.65,53.9,54.0,-0.45,-0.83,"42,199",57.5,42.0,1.20,2.22,18.00,0.56,Wednesday,Wednesday,2018/07/11
