,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
569479,1171,NBT Bancorp,NBTB,35.72,36.22,35.45,35.48,-0.25,-0.70,"125,392",40.85,31.28,1.00,2.82,18.97,-3.59,Thursday,Thursday,2018/03/29
569480,1154,NBT Bancorp,NBTB,35.78,35.85,35.47,35.66,-0.29,-0.81,"47,062",40.85,31.28,1.00,2.80,19.07,-3.10,Wednesday,Wednesday,2018/04/11
569481,1156,NBT Bancorp,NBTB,35.89,36.3,35.81,36.07,0.41,1.15,"63,780",40.85,31.28,1.00,2.77,19.29,-1.98,Thursday,Thursday,2018/04/12
569482,1161,NBT Bancorp,NBTB,36.19,36.21,35.5,35.78,-0.30,-0.83,"68,121",40.85,31.28,1.00,2.79,19.13,-2.77,Tuesday,Tuesday,2018/04/17
569483,1165,NBT Bancorp,NBTB,35.87,36.01,35.66,35.67,-0.11,-0.31,"83,612",40.85,31.28,1.00,2.80,19.07,-3.07,Wednesday,Wednesday,2018/04/18
569484,1166,NBT Bancorp,NBTB,35.63,36.32,35.63,36.14,0.47,1.32,"83,258",40.85,31.28,1.00,2.77,19.33,-1.79,Thursday,Thursday,2018/04/19
569485,1164,NBT Bancorp,NBTB,36.0,36.34,35.87,36.28,0.14,0.39,"80,526",40.85,31.28,1.00,2.76,19.40,-1.41,Friday,Friday,2018/04/20
569486,1163,NBT Bancorp,NBTB,36.95,37.71,36.0,37.59,1.06,2.90,"143,891",40.85,31.28,1.00,2.66,20.10,2.15,Tuesday,Tuesday,2018/04/24
569487,1166,NBT Bancorp,NBTB,37.36,37.95,37.13,37.31,-0.28,-0.74,"96,692",40.47,31.28,1.00,2.68,18.66,1.39,Wednesday,Wednesday,2018/04/25
569488,1161,NBT Bancorp,NBTB,37.14,37.48,37.0,37.12,0.05,0.13,"55,532",40.47,31.28,1.00,2.69,18.56,0.87,Friday,Friday,2018/04/27
569489,1163,NBT Bancorp,NBTB,37.33,37.33,36.53,36.54,-0.58,-1.56,"67,555",40.47,31.28,1.00,2.74,18.27,-0.71,Monday,Monday,2018/04/30
569490,1160,NBT Bancorp,NBTB,36.53,36.94,35.88,36.88,0.34,0.93,"81,123",40.47,31.28,1.00,2.71,18.44,0.22,Tuesday,Tuesday,2018/05/01
569491,1156,NBT Bancorp,NBTB,36.97,37.08,36.37,36.64,-0.51,-1.37,"64,689",40.47,31.28,1.00,2.73,18.32,-0.43,Thursday,Thursday,2018/05/03
569492,1162,NBT Bancorp,NBTB,36.37,37.44,36.37,36.99,0.35,0.96,"43,243",40.47,31.28,1.00,2.70,18.50,0.52,Friday,Friday,2018/05/04
569493,1167,NBT Bancorp,NBTB,37.17,37.63,36.84,37.3,0.31,0.84,"52,993",40.47,31.28,1.00,2.68,18.65,1.36,Monday,Monday,2018/05/07
569494,1168,NBT Bancorp,NBTB,37.11,37.8,37.11,37.75,0.45,1.21,"72,607",40.47,31.28,1.00,2.65,18.88,2.58,Tuesday,Tuesday,2018/05/08
569495,1168,NBT Bancorp,NBTB,37.85,38.31,37.56,38.03,0.28,0.74,"67,978",40.47,31.28,1.00,2.63,19.02,3.34,Wednesday,Wednesday,2018/05/09
569496,1159,NBT Bancorp,NBTB,38.04,38.15,37.68,37.95,-0.08,-0.21,"58,960",40.47,31.28,1.00,2.64,18.98,3.13,Thursday,Thursday,2018/05/10
569497,1166,NBT Bancorp,NBTB,38.04,38.06,37.72,37.8,-0.15,-0.40,"49,322",40.47,31.28,1.00,2.65,18.90,2.72,Friday,Friday,2018/05/11
569498,1167,NBT Bancorp,NBTB,38.24,38.24,37.28,37.37,-0.43,-1.14,"48,584",40.47,31.28,1.00,2.68,18.68,1.55,Monday,Monday,2018/05/14
569499,1166,NBT Bancorp,NBTB,37.31,37.98,37.31,37.73,0.36,0.96,"62,324",40.47,31.28,1.00,2.65,18.86,2.53,Tuesday,Tuesday,2018/05/15
569500,1172,NBT Bancorp,NBTB,37.79,37.98,37.51,37.79,0.06,0.16,"88,924",40.47,31.28,1.00,2.65,18.89,2.69,Wednesday,Wednesday,2018/05/16
569501,1165,NBT Bancorp,NBTB,37.84,38.39,37.71,38.23,0.44,1.16,"53,010",40.47,31.28,1.00,2.62,19.11,3.89,Thursday,Thursday,2018/05/17
569502,1164,NBT Bancorp,NBTB,38.4,38.4,37.84,38.1,-0.13,-0.34,"77,377",40.47,31.28,1.00,2.62,19.05,3.53,Friday,Friday,2018/05/18
569503,1163,NBT Bancorp,NBTB,38.25,38.52,37.88,38.47,0.37,0.97,"60,506",40.47,31.28,1.00,2.60,19.23,4.54,Monday,Monday,2018/05/21
569504,1167,NBT Bancorp,NBTB,38.61,39.01,38.33,38.59,0.12,0.31,"60,346",40.47,31.28,1.00,2.59,19.30,4.86,Tuesday,Tuesday,2018/05/22
569505,1163,NBT Bancorp,NBTB,38.56,38.79,38.29,38.53,-0.06,-0.16,"49,451",40.47,31.28,1.00,2.60,19.27,4.70,Wednesday,Wednesday,2018/05/23
569506,1165,NBT Bancorp,NBTB,38.54,38.54,37.8,38.36,-0.17,-0.44,"58,140",40.47,31.28,1.00,2.61,19.18,4.24,Thursday,Thursday,2018/05/24
569507,1169,NBT Bancorp,NBTB,38.29,38.54,38.22,38.36,...,...,"46,164",40.47,31.28,1.00,2.61,19.18,4.24,Friday,Friday,2018/05/25
569508,1163,NBT Bancorp,NBTB,38.1,38.41,37.56,37.93,-0.43,-1.12,"108,008",40.47,31.28,1.00,2.64,18.96,3.07,Tuesday,Tuesday,2018/05/29
569509,1169,NBT Bancorp,NBTB,38.18,38.79,38.11,38.63,0.70,1.85,"79,763",40.47,31.28,1.00,2.59,19.32,4.97,Wednesday,Wednesday,2018/05/30
569510,1163,NBT Bancorp,NBTB,38.38,38.6,38.02,38.1,-0.28,-0.73,"77,250",40.47,31.28,1.00,2.62,19.05,3.53,Thursday,Thursday,2018/05/31
569511,1170,NBT Bancorp,NBTB,38.34,38.79,38.33,38.53,0.43,1.13,"95,995",40.47,31.28,1.00,2.60,19.27,4.70,Friday,Friday,2018/06/01
569512,1172,NBT Bancorp,NBTB,38.72,39.07,38.38,39.04,0.51,1.32,"97,638",40.47,31.28,1.00,2.56,19.52,6.09,Monday,Monday,2018/06/04
569513,1167,NBT Bancorp,NBTB,38.95,39.3,38.69,39.22,0.18,0.46,"77,847",40.47,31.28,1.00,2.55,19.61,6.58,Tuesday,Tuesday,2018/06/05
569514,1177,NBT Bancorp,NBTB,39.29,39.82,39.29,39.79,0.57,1.45,"75,172",40.47,31.28,1.00,2.51,19.89,8.13,Wednesday,Wednesday,2018/06/06
569515,1174,NBT Bancorp,NBTB,39.79,39.99,39.55,39.59,-0.20,-0.50,"68,309",40.47,31.28,1.00,2.53,19.80,7.58,Thursday,Thursday,2018/06/07
569516,1171,NBT Bancorp,NBTB,39.47,39.78,38.87,39.45,-0.14,-0.35,"97,764",40.47,31.28,1.00,2.53,19.73,7.20,Friday,Friday,2018/06/08
569517,1170,NBT Bancorp,NBTB,39.52,39.52,38.93,39.17,-0.28,-0.71,"61,042",40.47,31.28,1.00,2.55,19.59,6.44,Monday,Monday,2018/06/11
569518,1167,NBT Bancorp,NBTB,39.18,39.18,38.63,38.84,-0.33,-0.84,"41,015",40.47,31.28,1.00,2.57,19.42,5.54,Tuesday,Tuesday,2018/06/12
569519,1168,NBT Bancorp,NBTB,38.89,39.16,38.58,38.79,-0.05,-0.13,"66,660",40.47,31.28,1.00,2.58,19.39,5.41,Wednesday,Wednesday,2018/06/13
569520,1169,NBT Bancorp,NBTB,38.85,38.96,38.41,38.93,0.14,0.36,"62,902",40.47,31.28,1.00,2.57,19.46,5.79,Thursday,Thursday,2018/06/14
569521,1166,NBT Bancorp,NBTB,38.96,39.3,38.51,38.94,0.01,0.03,"270,911",40.47,31.28,1.00,2.57,19.47,5.82,Friday,Friday,2018/06/15
569522,1169,NBT Bancorp,NBTB,38.83,39.3,38.54,39.3,0.36,0.92,"76,109",40.47,31.28,1.00,2.54,19.65,6.79,Monday,Monday,2018/06/18
569523,1164,NBT Bancorp,NBTB,39.14,39.85,38.54,39.76,0.46,1.17,"63,681",40.47,31.28,1.00,2.52,19.88,8.04,Tuesday,Tuesday,2018/06/19
569524,1163,NBT Bancorp,NBTB,39.92,40.0,39.52,39.96,0.20,0.50,"58,803",40.47,31.28,1.00,2.50,19.98,8.59,Wednesday,Wednesday,2018/06/20
569525,1169,NBT Bancorp,NBTB,39.82,40.24,39.51,39.88,-0.08,-0.20,"81,673",40.47,31.28,1.00,2.51,19.94,8.37,Thursday,Thursday,2018/06/21
569526,1175,NBT Bancorp,NBTB,40.01,40.22,39.41,39.78,-0.10,-0.25,"163,389",40.47,31.28,1.00,2.51,19.89,8.10,Friday,Friday,2018/06/22
569527,1172,NBT Bancorp,NBTB,39.7,39.7,39.09,39.34,-0.44,-1.11,"82,190",40.47,31.28,1.00,2.54,19.67,6.90,Monday,Monday,2018/06/25
569528,1169,NBT Bancorp,NBTB,39.43,39.7,39.0,39.42,0.08,0.20,"53,422",40.47,31.28,1.00,2.54,19.71,7.12,Tuesday,Tuesday,2018/06/26
569529,1172,NBT Bancorp,NBTB,39.4,39.4,38.38,38.38,-1.04,-2.64,"50,138",40.47,31.28,1.00,2.61,19.19,4.29,Wednesday,Wednesday,2018/06/27
569530,1179,NBT Bancorp,NBTB,38.37,38.77,38.3,38.36,-0.02,-0.05,"47,339",40.47,31.28,1.00,2.61,19.18,4.24,Thursday,Thursday,2018/06/28
569531,1182,NBT Bancorp,NBTB,38.55,38.77,38.03,38.15,-0.21,-0.55,"115,323",40.47,31.28,1.00,2.62,19.07,3.67,Friday,Friday,2018/06/29
569532,1179,NBT Bancorp,NBTB,37.85,38.72,37.85,38.71,0.56,1.47,"75,269",40.47,31.28,1.00,2.58,19.36,5.19,Monday,Monday,2018/07/02
569533,1166,NBT Bancorp,NBTB,38.7,38.94,38.53,38.62,-0.09,-0.23,"37,546",40.47,31.28,1.00,2.59,19.31,4.95,Tuesday,Tuesday,2018/07/03
569534,1174,NBT Bancorp,NBTB,38.68,38.98,38.38,38.96,0.34,0.88,"91,087",40.47,31.28,1.00,2.57,19.48,5.87,Thursday,Thursday,2018/07/05
569535,1172,NBT Bancorp,NBTB,38.94,39.33,38.45,39.11,0.15,0.39,"44,409",40.47,31.28,1.00,2.56,19.55,6.28,Friday,Friday,2018/07/06
569536,1171,NBT Bancorp,NBTB,39.3,39.79,39.29,39.71,0.60,1.53,"60,464",40.47,31.28,1.00,2.52,19.86,7.91,Monday,Monday,2018/07/09
569537,1177,NBT Bancorp,NBTB,39.9,39.9,38.86,39.21,-0.50,-1.26,"59,220",40.47,31.28,1.00,2.55,19.61,6.55,Tuesday,Tuesday,2018/07/10
569538,1166,NBT Bancorp,NBTB,39.06,39.51,39.05,39.12,-0.09,-0.23,"46,121",40.47,31.28,1.00,2.56,19.56,6.30,Wednesday,Wednesday,2018/07/11
