,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
575724,1313,Netshoes (Cayman),NETS,5.94,5.96,4.59,5.92,-0.29,-4.67,"142,520",26.96,4.59,...,...,...,-25.06,Thursday,Thursday,2018/03/29
575725,1305,Netshoes (Cayman),NETS,5.42,5.56,5.32,5.42,...,...,"41,813",26.96,4.59,...,...,...,-31.39,Wednesday,Wednesday,2018/04/11
575726,1309,Netshoes (Cayman),NETS,5.4,5.6,5.33,5.52,0.10,1.85,"47,839",26.96,4.59,...,...,...,-30.13,Thursday,Thursday,2018/04/12
575727,1300,Netshoes (Cayman),NETS,5.37,5.61,5.36,5.49,0.10,1.86,"58,712",26.96,4.59,...,...,...,-30.51,Tuesday,Tuesday,2018/04/17
575728,1304,Netshoes (Cayman),NETS,5.48,5.58,5.35,5.48,-0.01,-0.18,"51,892",26.96,4.59,...,...,...,-30.63,Wednesday,Wednesday,2018/04/18
575729,1309,Netshoes (Cayman),NETS,5.47,5.5,5.25,5.35,-0.13,-2.37,"65,507",26.96,4.59,...,...,...,-32.28,Thursday,Thursday,2018/04/19
575730,1301,Netshoes (Cayman),NETS,5.3,5.33,4.97,5.07,-0.28,-5.23,"62,207",26.96,4.59,...,...,...,-35.82,Friday,Friday,2018/04/20
575731,1306,Netshoes (Cayman),NETS,4.99,5.08,4.74,4.97,0.06,1.22,"40,434",26.96,4.59,...,...,...,-37.09,Tuesday,Tuesday,2018/04/24
575732,1310,Netshoes (Cayman),NETS,4.96,5.07,4.88,4.93,-0.04,-0.80,"103,076",26.96,4.59,...,...,...,-37.59,Wednesday,Wednesday,2018/04/25
575733,1306,Netshoes (Cayman),NETS,4.91,5.04,4.76,4.86,-0.04,-0.82,"25,833",26.96,4.59,...,...,...,-38.48,Friday,Friday,2018/04/27
575734,1305,Netshoes (Cayman),NETS,4.86,4.86,4.62,4.68,-0.18,-3.70,"44,907",26.96,4.59,...,...,...,-40.76,Monday,Monday,2018/04/30
575735,1317,Netshoes (Cayman),NETS,4.74,4.95,4.6,4.9,0.22,4.70,"32,576",26.96,4.59,...,...,...,-37.97,Tuesday,Tuesday,2018/05/01
575736,1306,Netshoes (Cayman),NETS,4.76,4.97,4.5,4.93,0.14,2.92,"37,114",26.96,4.50,...,...,...,-37.59,Thursday,Thursday,2018/05/03
575737,1308,Netshoes (Cayman),NETS,4.96,5.2,4.96,5.05,0.12,2.43,"18,877",26.96,4.50,...,...,...,-36.08,Friday,Friday,2018/05/04
575738,1314,Netshoes (Cayman),NETS,5.13,5.24,4.92,4.94,-0.11,-2.18,"24,135",26.96,4.50,...,...,...,-37.47,Monday,Monday,2018/05/07
575739,1304,Netshoes (Cayman),NETS,4.94,4.98,4.9,4.98,0.04,0.81,"1,622",26.96,4.5,...,...,...,-36.96,Tuesday,Tuesday,2018/05/08
575740,1316,Netshoes (Cayman),NETS,4.96,4.98,4.5,4.59,-0.39,-7.83,"28,332",26.96,4.50,...,...,...,-41.90,Wednesday,Wednesday,2018/05/09
575741,1312,Netshoes (Cayman),NETS,4.63,4.77,4.49,4.71,0.13,2.72,"33,408",26.96,4.49,...,...,...,-40.32,Thursday,Thursday,2018/05/10
575742,1310,Netshoes (Cayman),NETS,4.62,5.04,4.62,4.95,0.23,4.98,"11,561",26.96,4.49,...,...,...,-37.34,Friday,Friday,2018/05/11
575743,1313,Netshoes (Cayman),NETS,4.98,5.17,4.87,5.1,0.15,3.03,"53,882",26.96,4.49,...,...,...,-35.44,Monday,Monday,2018/05/14
575744,1313,Netshoes (Cayman),NETS,4.4,4.55,2.81,2.87,-2.23,-43.73,"1,281,067",26.96,2.81,...,...,...,-63.67,Tuesday,Tuesday,2018/05/15
575745,1315,Netshoes (Cayman),NETS,2.88,2.88,2.0,2.14,-0.73,-25.44,"4,358,582",26.96,2.00,...,...,...,-72.91,Wednesday,Wednesday,2018/05/16
575746,1313,Netshoes (Cayman),NETS,2.14,2.42,2.03,2.34,0.20,9.35,"2,087,936",26.96,2.00,...,...,...,-70.38,Thursday,Thursday,2018/05/17
575747,1314,Netshoes (Cayman),NETS,2.37,2.56,2.28,2.45,0.11,4.70,"1,692,239",26.96,2.00,...,...,...,-68.99,Friday,Friday,2018/05/18
575748,1315,Netshoes (Cayman),NETS,2.45,2.8,2.31,2.71,0.26,10.61,"886,325",26.96,2.00,...,...,...,-65.70,Monday,Monday,2018/05/21
575749,1310,Netshoes (Cayman),NETS,2.77,2.87,2.62,2.8,0.09,3.32,"619,921",26.96,2.00,...,...,...,-64.56,Tuesday,Tuesday,2018/05/22
575750,1314,Netshoes (Cayman),NETS,2.8,2.92,2.65,2.9,0.10,3.57,"368,226",26.96,2.00,...,...,...,-63.29,Wednesday,Wednesday,2018/05/23
