,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
577640,1322,New Frontier,NFC,9.6,9.6,9.6,9.6,...,...,"100,000",...,...,...,...,...,...,Friday,Friday,2018/07/27
577641,1324,New Frontier,NFC,9.6,9.6,9.6,9.6,...,...,"500,000",9.6,9.60,...,...,...,...,Tuesday,Tuesday,2018/07/31
577642,1327,New Frontier,NFC,9.75,9.75,9.6,9.6,...,...,300,9.75,9.6,...,...,...,...,Wednesday,Wednesday,2018/08/01
577643,1326,New Frontier,NFC,9.58,9.87,9.58,9.58,-0.02,-0.21,"15,937",9.87,9.58,...,...,...,...,Thursday,Thursday,2018/08/02
577644,1328,New Frontier,NFC,9.65,9.65,9.65,9.65,0.07,0.73,381,9.87,9.58,...,...,...,...,Monday,Monday,2018/08/06
577645,1325,New Frontier,NFC,9.66,9.66,9.6,9.6,-0.05,-0.52,"151,200",9.87,9.58,...,...,...,...,Tuesday,Tuesday,2018/08/07
577646,1320,New Frontier,NFC,9.63,9.66,9.61,9.61,0.01,0.10,"7,500",9.87,9.58,...,...,...,...,Wednesday,Wednesday,2018/08/08
577647,1329,New Frontier,NFC,9.6,9.6,9.6,9.6,-0.01,-0.10,"316,306",9.87,9.58,...,...,...,...,Tuesday,Tuesday,2018/08/14
577648,1329,New Frontier,NFC,9.62,9.62,9.6,9.6,...,...,"1,000",9.87,9.58,...,...,...,...,Monday,Monday,2018/08/20
577649,1330,New Frontier,NFC,9.61,9.61,9.6,9.6,...,...,"50,600",9.87,9.58,...,...,...,...,Tuesday,Tuesday,2018/08/21
577650,1324,New Frontier,NFC,9.6,9.6,9.6,9.6,...,...,"9,579",9.87,9.58,...,...,...,...,Wednesday,Wednesday,2018/08/22
577651,1327,New Frontier,NFC,9.6,9.61,9.6,9.61,0.01,0.08,"3,500",9.87,9.58,...,...,...,...,Thursday,Thursday,2018/08/23
577652,1321,New Frontier,NFC,9.65,9.65,9.65,9.65,0.04,0.44,200,9.87,9.58,...,...,...,...,Friday,Friday,2018/08/24
577653,1324,New Frontier,NFC,9.65,9.65,9.65,9.65,...,...,"5,000",9.87,9.58,...,...,...,...,Tuesday,Tuesday,2018/09/04
577654,1324,New Frontier,NFC,9.65,9.65,9.65,9.65,...,...,100,9.87,9.58,...,...,...,...,Wednesday,Wednesday,2018/09/05
577655,1326,New Frontier,NFC,9.63,9.63,9.62,9.62,-0.03,-0.31,400,9.87,9.58,...,...,...,...,Thursday,Thursday,2018/09/13
577656,1324,New Frontier,NFC,9.60,9.60,9.6,9.6,-0.02,-0.21,"150,000",9.87,9.58,...,...,...,...,Monday,Monday,2018/09/17
577657,1322,New Frontier,NFC,9.60,9.62,9.6,9.62,0.02,0.16,"50,150",9.87,9.58,...,...,...,...,Tuesday,Tuesday,2018/09/18
577658,1332,New Frontier,NFC,9.62,9.62,9.62,9.62,...,0.05,"150,000",9.87,9.58,...,...,...,...,Monday,Monday,2018/09/24
577659,1329,New Frontier,NFC,9.85,9.85,9.62,9.64,0.02,0.21,"53,457",9.87,9.58,...,...,...,...,Tuesday,Tuesday,2018/09/25
577660,1335,New Frontier,NFC,9.64,9.64,9.62,9.62,-0.02,-0.21,"276,140",9.87,9.58,...,...,...,...,Friday,Friday,2018/09/28
577661,1329,New Frontier,NFC,9.62,9.63,9.62,9.63,0.01,0.10,"74,429",9.87,9.58,...,...,...,...,Monday,Monday,2018/10/01
577662,1325,New Frontier,NFC,9.63,9.64,9.63,9.63,...,...,"19,700",9.87,9.58,...,...,...,...,Tuesday,Tuesday,2018/10/02
577663,1328,New Frontier,NFC,9.63,9.64,9.63,9.63,...,...,"582,826",9.87,9.58,...,...,...,...,Wednesday,Wednesday,2018/10/03
577664,1331,New Frontier,NFC,9.63,9.63,9.63,9.63,...,...,"106,000",9.87,9.58,...,...,...,...,Thursday,Thursday,2018/10/04
577665,1325,New Frontier,NFC,9.62,9.67,9.62,9.66,0.03,0.26,402,9.87,9.58,...,...,...,...,Friday,Friday,2018/10/05
577666,1326,New Frontier,NFC,9.63,9.63,9.6,9.63,-0.03,-0.26,"2,380",9.87,9.58,...,...,...,...,Tuesday,Tuesday,2018/10/09
577667,1325,New Frontier,NFC,9.65,9.65,9.63,9.63,-0.00,-0.00,"2,500",9.87,9.58,...,...,...,...,Wednesday,Wednesday,2018/10/10
577668,1327,New Frontier,NFC,9.63,9.63,9.62,9.62,-0.01,-0.10,"1,960",9.87,9.58,...,...,...,...,Friday,Friday,2018/10/12
577669,1326,New Frontier,NFC,9.44,9.61,9.44,9.6,-0.02,-0.21,600,9.87,9.44,...,...,...,...,Monday,Monday,2018/10/15
577670,1329,New Frontier,NFC,9.55,9.62,9.55,9.62,0.02,0.21,700,9.87,9.44,...,...,...,...,Tuesday,Tuesday,2018/10/16
577671,1330,New Frontier,NFC,9.60,9.61,9.6,9.6,-0.02,-0.21,"80,705",9.87,9.44,...,...,...,...,Thursday,Thursday,2018/10/18
577672,1323,New Frontier,NFC,9.57,9.62,9.57,9.62,0.02,0.21,"6,723",9.87,9.44,...,...,...,...,Friday,Friday,2018/10/19
577673,1332,New Frontier,NFC,9.63,9.63,9.63,9.63,0.01,0.10,500,9.87,9.44,...,...,...,...,Monday,Monday,2018/10/22
577674,1327,New Frontier,NFC,9.60,9.61,9.6,9.61,-0.02,-0.21,400,9.87,9.44,...,...,...,...,Tuesday,Tuesday,2018/10/23
577675,1329,New Frontier,NFC,9.63,9.63,9.6,9.63,0.02,0.21,"107,150",9.87,9.44,...,...,...,...,Wednesday,Wednesday,2018/10/24
577676,1336,New Frontier,NFC,9.63,9.63,9.63,9.63,...,...,250,9.87,9.44,...,...,...,...,Wednesday,Wednesday,2018/10/31
577677,1335,New Frontier,NFC,9.63,9.63,9.63,9.63,-0.00,-0.00,"1,000",9.87,9.44,...,...,...,...,Thursday,Thursday,2018/11/01
