,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
580403,490,National Holdings WT,NHLDW,1.25,1.35,1.25,1.3,0.04,2.83,"10,702",2.60,0.14,...,...,...,44.44,Thursday,Thursday,2018/03/29
580404,480,National Holdings WT,NHLDW,1.05,1.46,1.01,1.22,0.17,16.19,"4,306",2.6,0.14,...,...,...,35.56,Tuesday,Tuesday,2018/04/17
580405,486,National Holdings WT,NHLDW,0.9,0.9,0.75,0.76,-0.46,-37.70,"2,617",2.60,0.14,...,...,...,-15.56,Wednesday,Wednesday,2018/04/18
580406,470,National Holdings WT,NHLDW,1.0,1.2,1.0,1.2,0.44,57.89,"3,247",2.6,0.14,...,...,...,33.33,Thursday,Thursday,2018/04/19
580407,473,National Holdings WT,NHLDW,1.42,1.42,1.42,1.42,0.22,18.33,100,2.60,0.14,...,...,...,57.78,Friday,Friday,2018/04/20
580408,473,National Holdings WT,NHLDW,0.8,1.3,0.8,1.3,-0.12,-8.45,800,2.60,0.14,...,...,...,44.44,Wednesday,Wednesday,2018/04/25
580409,480,National Holdings WT,NHLDW,0.82,1.27,0.8,1.26,-0.04,-3.08,"1,800",2.6,0.21,...,...,...,40.00,Monday,Monday,2018/05/14
580410,482,National Holdings WT,NHLDW,1.25,1.25,1.0,1.0,-0.26,-20.63,335,2.6,0.21,...,...,...,11.11,Monday,Monday,2018/05/21
580411,488,National Holdings WT,NHLDW,1.15,1.15,1.15,1.15,0.15,15.02,100,2.60,0.21,...,...,...,27.80,Wednesday,Wednesday,2018/06/06
580412,476,National Holdings WT,NHLDW,1.03,1.04,1.0,1.04,-0.11,-9.15,"14,800",2.6,0.21,...,...,...,16.11,Friday,Friday,2018/06/08
580413,478,National Holdings WT,NHLDW,1.3,1.3,1.3,1.3,0.25,24.40,"1,000",2.60,0.21,...,...,...,44.44,Monday,Monday,2018/06/11
580414,483,National Holdings WT,NHLDW,1.00,1.00,1.0,1.0,-0.30,-23.08,321,2.60,0.21,...,...,...,11.11,Wednesday,Wednesday,2018/06/20
580415,465,National Holdings WT,NHLDW,0.51,0.51,0.5,0.5,-0.50,-50.00,"1,099",2.6,0.21,...,...,...,-44.44,Monday,Monday,2018/07/02
580416,460,National Holdings WT,NHLDW,1.0,1.1,1.0,1.1,0.60,120.00,"1,075",2.60,0.21,...,...,...,22.22,Tuesday,Tuesday,2018/07/03
580417,483,National Holdings WT,NHLDW,0.52,1.1,0.52,1.0,-0.10,-9.09,"2,480",2.6,0.21,...,...,...,11.11,Wednesday,Wednesday,2018/07/11
580418,498,National Holdings WT,NHLDW,0.52,1.05,0.5,1.0,...,...,"3,500",2.60,0.21,...,...,...,11.11,Thursday,Thursday,2018/07/19
580419,475,National Holdings WT,NHLDW,1.0,1.0,1.0,1.0,...,...,"1,400",2.6,0.21,...,...,...,11.11,Friday,Friday,2018/07/20
580420,496,National Holdings WT,NHLDW,1.0,1.0,1.0,1.0,...,0.05,"23,925",2.6,0.21,...,...,...,11.17,Tuesday,Tuesday,2018/07/31
580421,487,National Holdings WT,NHLDW,1.1,1.1,1.1,1.1,0.10,9.95,348,2.60,0.21,...,...,...,22.22,Thursday,Thursday,2018/08/09
580422,513,National Holdings WT,NHLDW,0.75,0.75,0.65,0.75,-0.35,-31.81,500,2.6,0.21,...,...,...,-16.66,Thursday,Thursday,2018/09/20
580423,515,National Holdings WT,NHLDW,0.52,0.52,0.52,0.52,-0.23,-30.62,166,2.6,0.21,...,...,...,-42.18,Tuesday,Tuesday,2018/09/25
580424,515,National Holdings WT,NHLDW,0.52,0.52,0.5,0.5,-0.02,-3.92,"7,290",2.6,0.21,...,...,...,-44.44,Wednesday,Wednesday,2018/10/10
580425,513,National Holdings WT,NHLDW,0.5,0.5,0.5,0.5,...,...,"1,100",2.6,0.21,...,...,...,-44.44,Thursday,Thursday,2018/10/11
