,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
590745,1294,National Storage Affiliates Trust,NSA,25.32,25.41,24.93,25.08,-0.22,-0.87,"262,063",28.55,21.17,1.12,4.47,2508.00,-8.00,Thursday,Thursday,2018/03/29
590746,1286,National Storage Affiliates Trust,NSA,25.33,25.61,25.25,25.54,0.18,0.71,"156,622",28.55,21.17,1.12,4.39,2554.00,-6.31,Wednesday,Wednesday,2018/04/11
590747,1290,National Storage Affiliates Trust,NSA,25.56,25.56,25.05,25.14,-0.40,-1.57,"190,450",28.55,21.17,1.12,4.46,2514.00,-7.78,Thursday,Thursday,2018/04/12
590748,1281,National Storage Affiliates Trust,NSA,25.64,26.07,25.59,25.99,0.49,1.92,"256,608",28.55,21.17,1.12,4.31,2599.00,-4.66,Tuesday,Tuesday,2018/04/17
590749,1285,National Storage Affiliates Trust,NSA,26.0,26.13,25.94,25.95,-0.04,-0.15,"142,650",28.55,21.17,1.12,4.32,2595.00,-4.81,Wednesday,Wednesday,2018/04/18
590750,1291,National Storage Affiliates Trust,NSA,25.84,25.84,25.29,25.45,-0.50,-1.93,"121,549",28.55,21.17,1.12,4.40,2545.00,-6.64,Thursday,Thursday,2018/04/19
590751,1282,National Storage Affiliates Trust,NSA,25.44,25.51,25.05,25.18,-0.27,-1.06,"201,720",28.55,21.17,1.12,4.45,2518.00,-7.63,Friday,Friday,2018/04/20
590752,1288,National Storage Affiliates Trust,NSA,25.17,25.62,25.17,25.51,0.36,1.43,"199,359",28.55,21.17,1.12,4.39,2551.00,-6.42,Tuesday,Tuesday,2018/04/24
590753,1291,National Storage Affiliates Trust,NSA,25.45,25.62,25.17,25.43,-0.08,-0.31,"161,174",28.55,21.17,1.12,4.40,2543.00,-6.71,Wednesday,Wednesday,2018/04/25
590754,1287,National Storage Affiliates Trust,NSA,25.9,26.17,25.7,26.1,0.26,1.01,"261,351",28.55,21.17,1.12,4.29,2610.00,-4.26,Friday,Friday,2018/04/27
590755,1286,National Storage Affiliates Trust,NSA,26.18,26.41,26.16,26.32,0.22,0.84,"235,014",28.55,21.17,1.12,4.26,2632.00,-3.45,Monday,Monday,2018/04/30
590756,1298,National Storage Affiliates Trust,NSA,26.27,26.85,26.1,26.74,0.42,1.60,"303,654",28.55,21.17,1.12,4.19,2674.00,-1.91,Tuesday,Tuesday,2018/05/01
590757,1287,National Storage Affiliates Trust,NSA,27.0,27.35,26.53,26.69,-0.03,-0.11,"380,441",28.55,21.17,1.12,4.20,2669.00,-2.09,Thursday,Thursday,2018/05/03
590758,1290,National Storage Affiliates Trust,NSA,26.66,26.87,26.57,26.63,-0.06,-0.22,"395,103",28.55,21.17,1.12,4.21,337.94,-2.31,Friday,Friday,2018/05/04
590759,1295,National Storage Affiliates Trust,NSA,26.74,27.36,26.69,27.27,0.64,2.40,"309,410",28.55,21.17,1.12,4.11,346.07,0.04,Monday,Monday,2018/05/07
590760,1285,National Storage Affiliates Trust,NSA,27.25,27.42,27.02,27.1,-0.17,-0.62,"265,523",28.55,21.17,1.12,4.13,301.11,-0.59,Tuesday,Tuesday,2018/05/08
590761,1297,National Storage Affiliates Trust,NSA,27.19,27.53,27.14,27.46,0.36,1.33,"210,787",28.55,21.17,1.12,4.08,305.11,0.73,Wednesday,Wednesday,2018/05/09
