,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
590941,1354,Norfolk Southern,NSC,134.89,137.5,134.49,135.78,1.81,1.35,"1,528,192",157.15,111.07,2.88,2.12,7.25,-6.29,Thursday,Thursday,2018/03/29
590942,1346,Norfolk Southern,NSC,129.21,131.96,129.0,131.05,1.05,0.81,"1,685,498",157.15,111.07,2.88,2.20,7.00,-9.56,Wednesday,Wednesday,2018/04/11
590943,1350,Norfolk Southern,NSC,131.64,133.91,131.5,133.17,2.12,1.62,"1,412,549",157.15,111.07,2.88,2.16,7.11,-8.10,Thursday,Thursday,2018/04/12
590944,1341,Norfolk Southern,NSC,137.23,137.23,134.8,135.55,-0.93,-0.68,"1,302,710",157.15,111.21,2.88,2.12,7.24,-6.45,Tuesday,Tuesday,2018/04/17
590945,1345,Norfolk Southern,NSC,137.11,140.32,137.11,138.61,3.06,2.26,"2,128,839",157.15,111.21,2.88,2.08,7.40,-4.34,Wednesday,Wednesday,2018/04/18
590946,1350,Norfolk Southern,NSC,137.81,139.25,136.37,138.86,0.25,0.18,"1,614,915",157.15,111.21,2.88,2.07,7.42,-4.17,Thursday,Thursday,2018/04/19
590947,1341,Norfolk Southern,NSC,138.66,139.45,136.09,136.75,-2.11,-1.52,"1,274,591",157.15,111.21,2.88,2.11,7.30,-5.62,Friday,Friday,2018/04/20
590948,1347,Norfolk Southern,NSC,138.3,139.47,133.47,134.97,-2.79,-2.03,"2,644,163",157.15,111.21,2.88,2.13,7.21,-6.85,Tuesday,Tuesday,2018/04/24
590949,1351,Norfolk Southern,NSC,140.77,146.41,139.53,145.96,10.99,8.14,"4,961,547",157.15,111.21,2.88,1.97,7.80,0.73,Wednesday,Wednesday,2018/04/25
590950,1347,Norfolk Southern,NSC,144.69,146.96,143.32,146.62,1.93,1.33,"1,393,286",157.15,111.21,2.88,1.96,7.65,1.19,Friday,Friday,2018/04/27
590951,1346,Norfolk Southern,NSC,147.0,147.74,143.13,143.47,-3.15,-2.15,"2,230,853",157.15,111.21,2.88,2.01,7.48,-0.99,Monday,Monday,2018/04/30
590952,1358,Norfolk Southern,NSC,143.18,144.1,140.63,142.49,-0.98,-0.68,"1,809,687",157.15,111.21,2.88,2.02,7.43,-1.66,Tuesday,Tuesday,2018/05/01
590953,1347,Norfolk Southern,NSC,141.46,141.82,138.34,140.94,-0.74,-0.52,"1,750,462",157.15,111.21,2.88,2.04,7.35,-2.73,Thursday,Thursday,2018/05/03
590954,1349,Norfolk Southern,NSC,140.32,144.91,140.19,143.92,2.98,2.11,"1,325,534",157.15,111.21,2.88,2.00,7.51,-0.68,Friday,Friday,2018/05/04
