,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
593345,1847,Tortoise MLP Fund Rt,NTG$,0.43,0.48,0.43,0.43,-0.02,-4.42,"1,591",0.5,0.35,...,...,...,...,Wednesday,Wednesday,2018/06/20
593346,1842,Tortoise MLP Fund Rt,NTG$,0.38,0.5,0.38,0.49,0.06,13.93,"76,077",0.5,0.35,...,...,...,...,Thursday,Thursday,2018/06/21
593347,1842,Tortoise MLP Fund Rt,NTG$,0.45,0.5,0.39,0.41,-0.08,-16.33,"84,300",0.5,0.35,...,...,...,...,Friday,Friday,2018/06/22
593348,1846,Tortoise MLP Fund Rt,NTG$,0.39,0.43,0.36,0.42,0.01,3.02,"960,904",0.50,0.35,...,...,...,...,Monday,Monday,2018/06/25
593349,1852,Tortoise MLP Fund Rt,NTG$,0.4,0.44,0.37,0.44,0.02,4.17,"717,667",0.50,0.35,...,...,...,...,Tuesday,Tuesday,2018/06/26
593350,1854,Tortoise MLP Fund Rt,NTG$,0.39,0.43,0.39,0.43,-0.01,-1.14,"832,744",0.50,0.35,...,...,...,...,Wednesday,Wednesday,2018/06/27
593351,1849,Tortoise MLP Fund Rt,NTG$,0.4,0.42,0.35,0.35,-0.08,-18.83,"1,746,879",0.50,0.35,...,...,...,...,Thursday,Thursday,2018/06/28
593352,1854,Tortoise MLP Fund Rt,NTG$,0.34,0.39,0.34,0.37,0.02,5.49,"1,755,007",0.5,0.34,...,...,...,...,Friday,Friday,2018/06/29
593353,1851,Tortoise MLP Fund Rt,NTG$,0.35,0.36,0.28,0.33,-0.04,-11.41,"2,487,800",0.5,0.28,...,...,...,...,Monday,Monday,2018/07/02
593354,1841,Tortoise MLP Fund Rt,NTG$,0.30,0.35,0.30,0.32,-0.01,-2.30,"1,007,929",0.50,0.28,...,...,...,...,Tuesday,Tuesday,2018/07/03
593355,1855,Tortoise MLP Fund Rt,NTG$,0.30,0.37,0.30,0.37,0.05,14.76,"2,335,130",0.5,0.28,...,...,...,...,Thursday,Thursday,2018/07/05
593356,1853,Tortoise MLP Fund Rt,NTG$,0.34,0.37,0.34,0.36,-0.01,-2.03,"1,733,540",0.5,0.28,...,...,...,...,Friday,Friday,2018/07/06
593357,1858,Tortoise MLP Fund Rt,NTG$,0.34,0.35,0.30,0.31,-0.05,-13.13,"2,288,511",0.5,0.28,...,...,...,...,Monday,Monday,2018/07/09
593358,1850,Tortoise MLP Fund Rt,NTG$,0.27,0.28,0.21,0.26,-0.06,-17.75,"3,153,005",0.5,0.21,...,...,...,...,Tuesday,Tuesday,2018/07/10
593359,1847,Tortoise MLP Fund Rt,NTG$,0.23,0.30,0.20,0.3,0.04,15.83,"2,377,877",0.5,0.20,...,...,...,...,Wednesday,Wednesday,2018/07/11
593360,1854,Tortoise MLP Fund Rt,NTG$,0.27,0.37,0.26,0.37,0.07,23.00,"1,953,136",0.5,0.20,...,...,...,...,Thursday,Thursday,2018/07/12
593361,1852,Tortoise MLP Fund Rt,NTG$,0.34,0.37,0.30,0.34,-0.03,-9.21,"3,243,183",0.5,0.20,...,...,...,...,Friday,Friday,2018/07/13
593362,1844,Tortoise MLP Fund Rt,NTG$,0.31,0.32,0.19,0.19,-0.14,-42.33,"3,683,322",0.5,0.19,...,...,...,...,Monday,Monday,2018/07/16
593363,1843,Tortoise MLP Fund Rt,NTG$,0.18,0.24,0.18,0.19,-0.00,-1.14,"3,616,632",0.5,0.18,...,...,...,...,Tuesday,Tuesday,2018/07/17
