,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
596681,1218,NuVasive,NUVA,51.17,52.64,51.17,52.21,0.71,1.38,"589,736",81.68,44.62,...,...,33.90,-10.74,Thursday,Thursday,2018/03/29
596682,1201,NuVasive,NUVA,55.2,56.11,54.54,55.79,0.37,0.67,"798,277",81.68,44.62,...,...,36.23,-4.62,Wednesday,Wednesday,2018/04/11
596683,1203,NuVasive,NUVA,56.02,56.34,54.57,55.32,-0.47,-0.84,"826,540",81.68,44.62,...,...,35.92,-5.42,Thursday,Thursday,2018/04/12
596684,1208,NuVasive,NUVA,55.07,55.07,51.06,52.32,-2.60,-4.73,"1,584,424",81.68,44.62,...,...,33.97,-10.55,Tuesday,Tuesday,2018/04/17
596685,1212,NuVasive,NUVA,52.54,53.27,52.17,52.87,0.55,1.05,"712,889",81.68,44.62,...,...,34.33,-9.61,Wednesday,Wednesday,2018/04/18
596686,1213,NuVasive,NUVA,52.89,53.97,51.64,52.45,-0.42,-0.79,"777,675",81.68,44.62,...,...,34.06,-10.33,Thursday,Thursday,2018/04/19
596687,1211,NuVasive,NUVA,52.27,53.15,51.83,52.89,0.44,0.84,"467,431",81.68,44.62,...,...,34.34,-9.57,Friday,Friday,2018/04/20
596688,1210,NuVasive,NUVA,53.18,53.3,51.56,52.22,-0.80,-1.51,"487,721",81.68,44.62,...,...,33.91,-10.72,Tuesday,Tuesday,2018/04/24
596689,1212,NuVasive,NUVA,51.97,53.34,51.93,53.31,1.09,2.09,"624,371",81.68,44.62,...,...,34.62,-8.86,Wednesday,Wednesday,2018/04/25
596690,1209,NuVasive,NUVA,54.13,54.53,53.56,53.91,0.05,0.09,"537,466",81.68,44.62,...,...,35.01,-7.83,Friday,Friday,2018/04/27
596691,1211,NuVasive,NUVA,53.9,54.55,52.98,53.21,-0.70,-1.30,"547,091",81.68,44.62,...,...,34.55,-9.03,Monday,Monday,2018/04/30
596692,1208,NuVasive,NUVA,53.08,53.69,52.01,53.14,-0.07,-0.13,"845,715",81.68,44.62,...,...,34.51,-9.15,Tuesday,Tuesday,2018/05/01
596693,1204,NuVasive,NUVA,47.51,49.62,46.72,49.54,1.39,2.89,"1,648,431",81.68,44.62,...,...,62.71,-15.30,Thursday,Thursday,2018/05/03
596694,1209,NuVasive,NUVA,49.53,50.37,48.47,49.95,0.41,0.83,"973,112",81.68,44.62,...,...,63.23,-14.60,Friday,Friday,2018/05/04
596695,1215,NuVasive,NUVA,50.0,50.15,49.32,49.44,-0.51,-1.02,"446,531",81.68,44.62,...,...,62.58,-15.47,Monday,Monday,2018/05/07
596696,1215,NuVasive,NUVA,49.45,49.8,48.98,49.3,-0.14,-0.28,"357,656",81.68,44.62,...,...,62.41,-15.71,Tuesday,Tuesday,2018/05/08
596697,1216,NuVasive,NUVA,49.44,49.71,48.26,49.56,0.26,0.53,"498,641",81.68,44.62,...,...,62.73,-15.27,Wednesday,Wednesday,2018/05/09
596698,1207,NuVasive,NUVA,49.72,50.4,49.58,49.64,0.08,0.16,"450,752",81.68,44.62,...,...,62.84,-15.13,Thursday,Thursday,2018/05/10
596699,1214,NuVasive,NUVA,49.78,50.04,49.24,49.61,-0.03,-0.06,"265,814",81.68,44.62,...,...,62.80,-15.18,Friday,Friday,2018/05/11
596700,1215,NuVasive,NUVA,49.6,49.97,49.01,49.37,-0.24,-0.48,"378,118",81.68,44.62,...,...,62.49,-15.59,Monday,Monday,2018/05/14
