,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
602159,1205,Northwest Pipe,NWPX,17.88,18.66,17.22,17.3,-0.41,-2.32,"42,580",21.36,12.41,...,...,...,-9.61,Thursday,Thursday,2018/03/29
602160,1188,Northwest Pipe,NWPX,19.73,19.9,19.32,19.6,-0.27,-1.36,"48,511",21.36,12.41,...,...,...,2.40,Wednesday,Wednesday,2018/04/11
602161,1190,Northwest Pipe,NWPX,19.98,20.14,19.01,19.14,-0.46,-2.35,"46,304",21.36,12.41,...,...,...,...,Thursday,Thursday,2018/04/12
602162,1195,Northwest Pipe,NWPX,19.67,20.02,19.01,19.78,0.26,1.33,"33,807",21.36,12.41,...,...,...,3.34,Tuesday,Tuesday,2018/04/17
602163,1199,Northwest Pipe,NWPX,19.86,19.91,19.14,19.44,-0.34,-1.72,"65,569",21.36,12.44,...,...,...,1.57,Wednesday,Wednesday,2018/04/18
602164,1200,Northwest Pipe,NWPX,19.45,20.11,19.44,19.75,0.31,1.59,"50,287",21.36,12.62,...,...,...,3.19,Thursday,Thursday,2018/04/19
602165,1198,Northwest Pipe,NWPX,19.81,20.12,19.21,20.01,0.26,1.32,"19,459",21.36,13.00,...,...,...,4.55,Friday,Friday,2018/04/20
602166,1197,Northwest Pipe,NWPX,20.05,20.1,19.45,19.99,-0.01,-0.05,"19,347",21.36,13.33,...,...,...,4.44,Tuesday,Tuesday,2018/04/24
602167,1199,Northwest Pipe,NWPX,19.95,20.11,19.73,19.96,-0.03,-0.15,"17,089",21.36,13.33,...,...,...,4.28,Wednesday,Wednesday,2018/04/25
602168,1196,Northwest Pipe,NWPX,20.37,20.37,19.56,19.95,-0.44,-2.16,"15,972",21.36,13.33,...,...,...,4.23,Friday,Friday,2018/04/27
602169,1198,Northwest Pipe,NWPX,19.99,20.27,19.68,19.73,-0.22,-1.10,"19,332",21.36,13.33,...,...,...,3.08,Monday,Monday,2018/04/30
602170,1195,Northwest Pipe,NWPX,19.72,19.72,19.23,19.69,-0.04,-0.20,"7,306",21.36,13.33,...,...,...,2.87,Tuesday,Tuesday,2018/05/01
602171,1191,Northwest Pipe,NWPX,19.26,19.39,18.92,19.04,-0.20,-1.04,"21,363",21.36,13.36,...,...,...,-0.52,Thursday,Thursday,2018/05/03
602172,1196,Northwest Pipe,NWPX,19.03,19.96,19.03,19.67,0.63,3.31,"44,112",21.36,13.36,...,...,...,2.77,Friday,Friday,2018/05/04
602173,1202,Northwest Pipe,NWPX,19.67,20.08,18.82,19.93,0.26,1.32,"42,386",21.36,13.36,...,...,...,4.13,Monday,Monday,2018/05/07
602174,1202,Northwest Pipe,NWPX,19.96,20.14,19.48,19.98,0.05,0.25,"42,252",21.36,13.36,...,...,...,4.39,Tuesday,Tuesday,2018/05/08
602175,1203,Northwest Pipe,NWPX,20.12,20.33,19.11,20.3,0.32,1.60,"21,313",21.36,13.36,...,...,...,6.06,Wednesday,Wednesday,2018/05/09
602176,1194,Northwest Pipe,NWPX,20.37,20.72,19.95,20.28,-0.02,-0.10,"37,610",21.36,13.36,...,...,...,5.96,Thursday,Thursday,2018/05/10
602177,1201,Northwest Pipe,NWPX,20.29,20.87,19.84,20.13,-0.15,-0.74,"47,540",21.36,13.36,...,...,...,5.17,Friday,Friday,2018/05/11
602178,1202,Northwest Pipe,NWPX,20.24,20.91,20.2,20.44,0.31,1.54,"39,059",21.36,13.36,...,...,...,6.79,Monday,Monday,2018/05/14
602179,1201,Northwest Pipe,NWPX,20.4,20.77,19.9,20.74,0.30,1.47,"43,336",21.36,13.36,...,...,...,8.36,Tuesday,Tuesday,2018/05/15
