,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
602551,1185,News Corp Cl A,NWSA,15.56,15.95,15.44,15.8,0.37,2.40,"1,838,150",17.29,12.19,0.20,1.27,...,-2.53,Thursday,Thursday,2018/03/29
602552,1168,News Corp Cl A,NWSA,15.83,15.93,15.76,15.8,-0.15,-0.94,"1,347,375",17.29,12.19,0.20,1.27,...,-2.53,Wednesday,Wednesday,2018/04/11
602553,1170,News Corp Cl A,NWSA,15.88,15.97,15.76,15.91,0.11,0.70,"909,118",17.29,12.19,0.20,1.26,...,-1.85,Thursday,Thursday,2018/04/12
602554,1175,News Corp Cl A,NWSA,16.02,16.13,15.93,16.1,0.15,0.94,"1,028,638",17.29,12.19,0.20,1.24,...,-0.68,Tuesday,Tuesday,2018/04/17
602555,1179,News Corp Cl A,NWSA,16.1,16.19,15.99,16.03,-0.07,-0.43,"1,137,220",17.29,12.26,0.20,1.25,...,-1.11,Wednesday,Wednesday,2018/04/18
602556,1180,News Corp Cl A,NWSA,15.98,16.22,15.95,16.19,0.16,1.00,"1,477,741",17.29,12.26,0.20,1.24,...,-0.12,Thursday,Thursday,2018/04/19
602557,1178,News Corp Cl A,NWSA,16.23,16.23,16.09,16.17,-0.02,-0.12,"2,357,149",17.29,12.26,0.20,1.24,...,-0.25,Friday,Friday,2018/04/20
602558,1177,News Corp Cl A,NWSA,16.24,16.29,15.87,15.9,-0.28,-1.73,"1,096,104",17.29,12.26,0.20,1.26,...,-1.91,Tuesday,Tuesday,2018/04/24
602559,1180,News Corp Cl A,NWSA,15.87,15.95,15.74,15.88,-0.02,-0.13,"902,299",17.29,12.26,0.20,1.26,...,-2.04,Wednesday,Wednesday,2018/04/25
602560,1175,News Corp Cl A,NWSA,15.95,16.29,15.86,16.01,0.04,0.25,"846,864",17.29,12.26,0.20,1.25,...,-1.23,Friday,Friday,2018/04/27
602561,1177,News Corp Cl A,NWSA,16.06,16.16,15.92,15.98,-0.03,-0.19,"1,138,346",17.29,12.26,0.20,1.25,...,-1.42,Monday,Monday,2018/04/30
602562,1174,News Corp Cl A,NWSA,15.94,16.03,15.81,16.01,0.03,0.19,"1,411,769",17.29,12.26,0.20,1.25,...,-1.23,Tuesday,Tuesday,2018/05/01
602563,1170,News Corp Cl A,NWSA,15.7,15.91,15.55,15.88,0.17,1.08,"1,254,635",17.29,12.26,0.20,1.26,...,-2.04,Thursday,Thursday,2018/05/03
602564,1176,News Corp Cl A,NWSA,15.81,16.15,15.77,16.14,0.26,1.64,"1,168,545",17.29,12.26,0.20,1.24,...,-0.43,Friday,Friday,2018/05/04
602565,1181,News Corp Cl A,NWSA,16.16,16.45,16.09,16.39,0.25,1.55,"1,433,718",17.29,12.26,0.20,1.22,...,1.11,Monday,Monday,2018/05/07
602566,1182,News Corp Cl A,NWSA,16.31,16.47,16.31,16.37,-0.02,-0.12,"2,029,742",17.29,12.26,0.20,1.22,...,0.99,Tuesday,Tuesday,2018/05/08
602567,1182,News Corp Cl A,NWSA,16.44,16.52,16.02,16.51,0.14,0.86,"1,576,124",17.29,12.26,0.20,1.21,...,1.85,Wednesday,Wednesday,2018/05/09
