,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
603290,508,Nexeo Solutions Un,NXEOU,11.05,11.05,11.05,11.05,-0.05,-0.45,104,13.00,5.76,...,...,...,14.86,Thursday,Thursday,2018/03/29
603291,504,Nexeo Solutions Un,NXEOU,11.5,11.5,11.5,11.5,0.41,3.70,333,13.00,5.76,...,...,...,19.54,Wednesday,Wednesday,2018/04/18
603292,491,Nexeo Solutions Un,NXEOU,10.62,10.62,10.62,10.62,-0.88,-7.65,159,13.00,5.76,...,...,...,10.40,Wednesday,Wednesday,2018/04/25
603293,482,Nexeo Solutions Un,NXEOU,12.0,12.0,12.0,12.0,0.25,2.13,400,13.0,5.76,...,...,...,24.74,Friday,Friday,2018/04/27
603294,490,Nexeo Solutions Un,NXEOU,10.35,10.35,10.35,10.35,-1.65,-13.75,203,13.00,5.76,...,...,...,7.59,Friday,Friday,2018/05/04
603295,490,Nexeo Solutions Un,NXEOU,11.0,11.0,10.5,10.5,0.15,1.45,302,13.0,5.76,...,...,...,9.15,Friday,Friday,2018/05/18
603296,503,Nexeo Solutions Un,NXEOU,10.25,10.25,10.25,10.25,-0.25,-2.38,"2,602",13.00,5.76,...,...,...,6.55,Wednesday,Wednesday,2018/05/30
603297,507,Nexeo Solutions Un,NXEOU,10.05,10.05,9.05,9.69,-0.56,-5.46,800,13.00,5.76,...,...,...,0.73,Thursday,Thursday,2018/05/31
603298,493,Nexeo Solutions Un,NXEOU,8.6,9.9,8.44,9.9,0.21,2.17,"1,106",13.0,6.12,...,...,...,2.91,Friday,Friday,2018/06/22
603299,502,Nexeo Solutions Un,NXEOU,9.65,9.65,9.65,9.65,-0.25,-2.53,117,13.0,6.12,...,...,...,0.31,Monday,Monday,2018/06/25
603300,492,Nexeo Solutions Un,NXEOU,10.1,10.1,10.1,10.1,0.45,4.66,102,13.0,6.12,...,...,...,4.99,Wednesday,Wednesday,2018/06/27
603301,512,Nexeo Solutions Un,NXEOU,10.45,11.0,10.45,11.0,0.90,8.91,200,13.00,6.12,...,...,...,14.35,Thursday,Thursday,2018/06/28
603302,495,Nexeo Solutions Un,NXEOU,9.9,9.9,9.9,9.9,-1.10,-10.00,105,13.0,6.12,...,...,...,2.91,Thursday,Thursday,2018/07/05
603303,504,Nexeo Solutions Un,NXEOU,9.75,9.75,9.75,9.75,-0.15,-1.52,302,13.0,6.12,...,...,...,1.35,Monday,Monday,2018/07/09
603304,502,Nexeo Solutions Un,NXEOU,8.78,8.78,8.78,8.78,-0.97,-9.95,100,13.0,6.12,...,...,...,-8.73,Thursday,Thursday,2018/07/12
603305,496,Nexeo Solutions Un,NXEOU,9.75,9.75,9.75,9.75,0.97,11.05,"1,005",13.00,6.12,...,...,...,1.35,Monday,Monday,2018/07/16
603306,510,Nexeo Solutions Un,NXEOU,9.75,9.75,9.75,9.75,...,...,100,13.00,6.12,...,...,...,1.35,Tuesday,Tuesday,2018/07/24
603307,516,Nexeo Solutions Un,NXEOU,9.25,9.25,9.25,9.25,-0.50,-5.13,250,13.00,6.12,...,...,...,-3.85,Thursday,Thursday,2018/08/02
603308,507,Nexeo Solutions Un,NXEOU,10.25,10.5,10.03,10.5,1.25,13.51,"30,701",13.00,6.12,...,...,...,9.15,Thursday,Thursday,2018/08/09
603309,508,Nexeo Solutions Un,NXEOU,9.97,10.99,9.97,10.79,0.29,2.76,"2,282",13.00,6.12,...,...,...,12.16,Friday,Friday,2018/08/10
603310,521,Nexeo Solutions Un,NXEOU,10.3,10.3,10.3,10.3,-0.49,-4.54,400,13.00,6.12,...,...,...,7.07,Monday,Monday,2018/08/13
603311,516,Nexeo Solutions Un,NXEOU,10.82,10.82,10.82,10.82,0.52,5.05,406,13.00,6.12,...,...,...,12.47,Tuesday,Tuesday,2018/08/14
603312,521,Nexeo Solutions Un,NXEOU,10.75,11.71,10.75,11.45,0.63,5.82,"18,006",13.00,6.76,...,...,...,19.02,Wednesday,Wednesday,2018/08/15
603313,508,Nexeo Solutions Un,NXEOU,11.25,11.50,11.25,11.5,0.05,0.44,"3,252",13.0,6.76,...,...,...,19.54,Wednesday,Wednesday,2018/08/29
603314,517,Nexeo Solutions Un,NXEOU,10.50,10.50,10.50,10.5,-1.00,-8.70,706,13.0,6.76,...,...,...,9.15,Tuesday,Tuesday,2018/09/04
603315,535,Nexeo Solutions Un,NXEOU,11.65,12.00,11.65,12.0,1.50,14.29,"17,405",13.0,7.35,...,...,...,24.74,Tuesday,Tuesday,2018/09/18
