,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
605038,1366,NRG Yield Cl A,NYLDA,16.75,16.83,16.44,16.44,-0.26,-1.56,"227,654",19.91,15.30,1.19,7.25,...,-12.79,Thursday,Thursday,2018/03/29
605039,1358,NRG Yield Cl A,NYLDA,16.79,17.05,16.73,16.76,-0.03,-0.18,"94,739",19.91,15.30,1.19,7.11,...,-11.09,Wednesday,Wednesday,2018/04/11
605040,1362,NRG Yield Cl A,NYLDA,16.77,16.78,16.5,16.52,-0.24,-1.43,"129,791",19.91,15.30,1.19,7.22,...,-12.36,Thursday,Thursday,2018/04/12
605041,1353,NRG Yield Cl A,NYLDA,17.04,17.21,16.95,17.18,0.20,1.18,"122,296",19.91,15.30,1.19,6.94,...,-8.86,Tuesday,Tuesday,2018/04/17
605042,1357,NRG Yield Cl A,NYLDA,17.22,17.4,17.2,17.21,0.03,0.17,"88,906",19.91,15.3,1.19,6.93,...,-8.70,Wednesday,Wednesday,2018/04/18
605043,1362,NRG Yield Cl A,NYLDA,17.18,17.28,17.07,17.18,-0.03,-0.17,"94,864",19.91,15.30,1.19,6.94,...,-8.86,Thursday,Thursday,2018/04/19
605044,1353,NRG Yield Cl A,NYLDA,17.21,17.34,17.1,17.28,0.10,0.58,"111,443",19.91,15.30,1.19,6.90,...,-8.33,Friday,Friday,2018/04/20
605045,1359,NRG Yield Cl A,NYLDA,17.41,17.69,17.31,17.54,0.14,0.80,"145,262",19.91,15.30,1.19,6.80,...,-6.95,Tuesday,Tuesday,2018/04/24
605046,1363,NRG Yield Cl A,NYLDA,17.5,17.5,17.14,17.32,-0.22,-1.25,"135,025",19.91,15.30,1.19,6.88,...,-8.12,Wednesday,Wednesday,2018/04/25
605047,1359,NRG Yield Cl A,NYLDA,17.64,17.84,17.6,17.71,0.08,0.45,"119,198",19.91,15.30,1.19,6.73,...,-6.05,Friday,Friday,2018/04/27
605048,1358,NRG Yield Cl A,NYLDA,17.75,17.84,17.61,17.61,-0.10,-0.56,"71,386",19.91,15.30,1.19,6.77,...,-6.58,Monday,Monday,2018/04/30
605049,1370,NRG Yield Cl A,NYLDA,17.55,17.61,17.41,17.55,-0.06,-0.34,"94,399",19.91,15.30,1.19,6.79,...,-6.90,Tuesday,Tuesday,2018/05/01
