,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
4529,152,Ares Commercial Real Estate,ACRE,12.39,12.45,12.35,12.35,...,...,"95,623",14.22,11.96,1.12,9.07,11.44,-4.26,Thursday,Thursday,3/29/2018
4530,152,Ares Commercial Real Estate,ACRE,12.45,12.49,12.37,12.46,...,...,"75,192",14.22,11.96,1.12,8.99,11.54,-3.41,Wednesday,Wednesday,4/11/2018
4531,151,Ares Commercial Real Estate,ACRE,12.5,12.55,12.42,12.44,-0.02,-0.16,"43,458",14.22,11.96,1.12,9,11.52,-3.57,Thursday,Thursday,4/12/2018
4532,150,Ares Commercial Real Estate,ACRE,12.37,12.38,12.29,12.37,0.01,0.08,"60,717",14.22,11.96,1.12,9.05,11.45,-4.11,Tuesday,Tuesday,4/17/2018
4533,150,Ares Commercial Real Estate,ACRE,12.38,12.47,12.38,12.42,0.05,0.4,"69,170",14.22,11.96,1.12,9.02,11.5,-3.72,Wednesday,Wednesday,4/18/2018
4534,151,Ares Commercial Real Estate,ACRE,12.41,12.45,12.32,12.36,-0.06,-0.48,"61,259",14.22,11.96,1.12,9.06,11.44,-4.19,Thursday,Thursday,4/19/2018
4535,150,Ares Commercial Real Estate,ACRE,12.33,12.4,12.25,12.27,-0.09,-0.73,"82,220",14.22,11.96,1.12,9.13,11.36,-4.88,Friday,Friday,4/20/2018
4536,150,Ares Commercial Real Estate,ACRE,12.18,12.25,12.17,12.22,0.03,0.25,"60,148",14.22,11.96,1.12,9.17,11.31,-5.27,Tuesday,Tuesday,4/24/2018
4537,151,Ares Commercial Real Estate,ACRE,12.17,12.22,12.08,12.17,-0.05,-0.41,"75,438",14.22,11.96,1.12,9.2,11.27,-5.66,Wednesday,Wednesday,4/25/2018
4538,150,Ares Commercial Real Estate,ACRE,12.25,12.29,12.22,12.24,0.01,0.08,"71,259",14.22,11.96,1.12,9.15,11.33,-5.12,Friday,Friday,4/27/2018
4539,151,Ares Commercial Real Estate,ACRE,12.27,12.31,12.21,12.23,-0.01,-0.08,"50,667",14.22,11.96,1.12,9.16,11.32,-5.19,Monday,Monday,4/30/2018
4540,151,Ares Commercial Real Estate,ACRE,12.29,12.42,12.13,12.41,0.18,1.47,"86,267",14.11,11.96,1.12,9.02,11.49,-3.8,Tuesday,Tuesday,5/1/2018
4541,151,Ares Commercial Real Estate,ACRE,12.95,13.21,12.87,13.18,0.22,1.7,"201,179",13.86,11.96,1.12,8.5,11.17,2.17,Thursday,Thursday,5/3/2018
4542,151,Ares Commercial Real Estate,ACRE,13.2,13.49,13.12,13.42,0.24,1.82,"235,392",13.86,11.96,1.12,8.35,11.37,4.03,Friday,Friday,5/4/2018
4543,151,Ares Commercial Real Estate,ACRE,13.4,13.46,13.37,13.43,0.01,0.07,"161,742",13.86,11.96,1.12,8.34,11.38,4.11,Monday,Monday,5/7/2018
4544,150,Ares Commercial Real Estate,ACRE,13.39,13.49,13.34,13.36,-0.07,-0.52,"119,257",13.86,11.96,1.12,8.38,11.32,3.57,Tuesday,Tuesday,5/8/2018
4545,152,Ares Commercial Real Estate,ACRE,13.44,13.44,13.33,13.39,0.03,0.22,"76,248",13.86,11.96,1.12,8.36,11.35,3.8,Wednesday,Wednesday,5/9/2018
4546,151,Ares Commercial Real Estate,ACRE,13.4,13.48,13.4,13.43,0.04,0.3,"140,558",13.86,11.96,1.12,8.34,11.38,4.11,Thursday,Thursday,5/10/2018
4547,152,Ares Commercial Real Estate,ACRE,13.41,13.49,13.41,13.44,0.01,0.07,"78,376",13.86,11.96,1.12,8.33,11.39,4.19,Friday,Friday,5/11/2018
4548,151,Ares Commercial Real Estate,ACRE,13.45,13.49,13.4,13.43,-0.01,-0.07,"123,022",13.86,11.96,1.12,8.34,11.38,4.11,Monday,Monday,5/14/2018
4549,152,Ares Commercial Real Estate,ACRE,13.35,13.57,13.35,13.53,0.1,0.74,"146,260",13.86,11.96,1.12,8.28,11.47,4.88,Tuesday,Tuesday,5/15/2018
4550,152,Ares Commercial Real Estate,ACRE,13.51,13.56,13.43,13.54,0.01,0.07,"146,820",13.86,11.96,1.12,8.27,11.47,4.96,Wednesday,Wednesday,5/16/2018
