,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
40256,232,Baxter International,BAX,64.2,65.89,63.94,65.04,1.19,1.86,"3,569,897",72.58,51.57,0.64,0.98,50.49,0.62,Thursday,Thursday,3/29/2018
40257,233,Baxter International,BAX,65.5,65.73,64.77,64.94,-1.26,-1.9,"3,793,353",72.58,52.27,0.64,0.99,50.41,0.46,Wednesday,Wednesday,4/11/2018
40258,232,Baxter International,BAX,65.34,66.03,65.26,65.77,0.83,1.28,"2,196,248",72.58,52.27,0.64,0.97,51.06,1.75,Thursday,Thursday,4/12/2018
40259,231,Baxter International,BAX,66.68,66.94,66.01,66.86,0.57,0.86,"2,391,243",72.58,52.38,0.64,0.96,51.9,3.43,Tuesday,Tuesday,4/17/2018
40260,230,Baxter International,BAX,66.85,67.68,65.41,67.22,0.36,0.54,"3,417,395",72.58,52.38,0.64,0.95,52.18,3.99,Wednesday,Wednesday,4/18/2018
40261,231,Baxter International,BAX,67.1,67.48,66.7,66.98,-0.24,-0.36,"1,840,160",72.58,52.38,0.64,0.96,52,3.62,Thursday,Thursday,4/19/2018
40262,230,Baxter International,BAX,67.06,67.4,66.75,67.05,0.07,0.1,"2,661,236",72.58,52.59,0.64,0.95,52.05,3.73,Friday,Friday,4/20/2018
40263,229,Baxter International,BAX,67.25,67.86,65.81,66.15,-1.03,-1.53,"3,397,110",72.58,53.04,0.64,0.97,51.35,2.34,Tuesday,Tuesday,4/24/2018
40264,231,Baxter International,BAX,65.9,66.58,65.2,66.52,0.37,0.56,"2,767,384",72.58,53.75,0.64,0.96,51.64,2.91,Wednesday,Wednesday,4/25/2018
40265,230,Baxter International,BAX,70.04,70.58,69.37,70.21,0.22,0.31,"3,322,744",72.58,55.31,0.64,0.91,46.67,8.62,Friday,Friday,4/27/2018
40266,231,Baxter International,BAX,70.18,70.8,69.49,69.5,-0.71,-1.01,"3,922,720",72.58,55.34,0.64,0.92,46.19,7.52,Monday,Monday,4/30/2018
40267,231,Baxter International,BAX,69.48,70.43,69.27,70.15,0.65,0.94,"2,822,207",72.58,55.35,0.64,0.91,46.63,8.52,Tuesday,Tuesday,5/1/2018
40268,231,Baxter International,BAX,69.89,70.06,68.97,69.76,-0.67,-0.95,"2,655,856",72.58,55.56,0.64,0.92,46.37,7.92,Thursday,Thursday,5/3/2018
40269,230,Baxter International,BAX,69.38,70.67,69.17,70.38,0.62,0.89,"1,615,548",72.58,55.56,0.64,0.91,46.78,8.88,Friday,Friday,5/4/2018
40270,232,Baxter International,BAX,70.52,70.93,70.19,70.33,-0.05,-0.07,"1,562,679",72.58,55.56,0.64,0.91,46.75,8.8,Monday,Monday,5/7/2018
