,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
44932,800,Franklin Resources,BEN,34.35,34.9,34.27,34.68,0.57,1.67,"4,845,636",47.65,33.58,0.92,2.65,29.64,-19.96,Thursday,Thursday,3/29/2018
44933,793,Franklin Resources,BEN,32.66,32.88,32.41,32.48,-0.61,-1.84,"4,202,223",47.65,32.41,0.92,2.83,27.76,-25.04,Wednesday,Wednesday,4/11/2018
44934,795,Franklin Resources,BEN,32.95,33.8,32.84,33.34,0.86,2.65,"5,019,375",47.65,32.41,0.92,2.76,28.5,-23.06,Thursday,Thursday,4/12/2018
44935,789,Franklin Resources,BEN,33.96,34.06,33.53,33.97,0.13,0.38,"4,234,137",47.65,32.41,0.92,2.71,29.03,-21.6,Tuesday,Tuesday,4/17/2018
44936,791,Franklin Resources,BEN,34.07,34.62,33.91,34.05,0.08,0.24,"5,679,980",47.65,32.41,0.92,2.7,29.1,-21.42,Wednesday,Wednesday,4/18/2018
44937,795,Franklin Resources,BEN,34.05,34.32,33.81,34.17,0.12,0.35,"3,354,940",47.65,32.41,0.92,2.69,29.21,-21.14,Thursday,Thursday,4/19/2018
44938,791,Franklin Resources,BEN,34.15,34.31,33.6,34.04,-0.13,-0.38,"4,059,734",47.65,32.41,0.92,2.7,29.09,-21.44,Friday,Friday,4/20/2018
44939,792,Franklin Resources,BEN,33.83,34.02,33.09,33.31,-0.33,-0.98,"3,327,871",47.65,32.41,0.92,2.76,28.47,-23.12,Tuesday,Tuesday,4/24/2018
44940,797,Franklin Resources,BEN,33.19,33.88,33.17,33.58,0.27,0.81,"3,690,484",47.65,32.41,0.92,2.74,28.7,-22.5,Wednesday,Wednesday,4/25/2018
44941,794,Franklin Resources,BEN,33.83,34.44,33.67,34.28,0.5,1.48,"3,960,402",47.65,32.41,0.92,2.68,27.59,-20.89,Friday,Friday,4/27/2018
44942,793,Franklin Resources,BEN,34.47,34.5,33.64,33.64,-0.64,-1.87,"5,089,361",47.65,32.41,0.92,2.73,27.07,-22.36,Monday,Monday,4/30/2018
44943,798,Franklin Resources,BEN,33.59,33.8,32.74,33.03,-0.61,-1.81,"4,153,849",47.65,32.41,0.92,2.79,27.3,-23.77,Tuesday,Tuesday,5/1/2018
44944,796,Franklin Resources,BEN,32.38,32.46,31.67,32.35,-0.18,-0.55,"2,909,016",47.65,31.67,0.92,2.84,26.74,-25.34,Thursday,Thursday,5/3/2018
44945,795,Franklin Resources,BEN,32.13,33.17,32.03,32.86,0.51,1.58,"2,300,900",47.65,31.67,0.92,2.8,27.16,-24.16,Friday,Friday,5/4/2018
44946,798,Franklin Resources,BEN,32.95,33.54,32.74,33.49,0.63,1.92,"4,347,643",47.65,31.67,0.92,2.75,27.68,-22.71,Monday,Monday,5/7/2018
