,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
49003,255,Big Lots,BIG,42.64,43.67,42.48,43.53,1.12,2.64,"1,802,686",64.42,42.36,1.2,2.76,9.94,-22.48,Thursday,Thursday,3/29/2018
49004,256,Big Lots,BIG,42,43,41.76,42.3,0.02,0.05,"1,257,442",64.42,41.76,1.2,2.84,9.66,-24.67,Wednesday,Wednesday,4/11/2018
49005,255,Big Lots,BIG,42.51,43,42.33,42.47,0.17,0.4,"945,202",64.42,41.76,1.2,2.83,9.7,-24.36,Thursday,Thursday,4/12/2018
49006,254,Big Lots,BIG,43.23,43.92,43.08,43.72,0.93,2.17,"1,947,282",64.42,41.04,1.2,2.74,9.98,-22.14,Tuesday,Tuesday,4/17/2018
49007,253,Big Lots,BIG,43.74,44.44,43.47,43.74,0.02,0.05,"1,514,461",64.42,41.04,1.2,2.74,9.99,-22.1,Wednesday,Wednesday,4/18/2018
49008,254,Big Lots,BIG,43.56,43.63,42.02,42.38,-1.36,-3.11,"1,344,988",64.42,41.04,1.2,2.83,9.68,-24.52,Thursday,Thursday,4/19/2018
49009,253,Big Lots,BIG,42.28,42.69,41.76,42.04,-0.34,-0.8,"1,433,872",64.42,41.04,1.2,2.85,9.6,-25.13,Friday,Friday,4/20/2018
49010,252,Big Lots,BIG,42.14,42.76,41.85,42.27,0.33,0.79,"1,155,099",64.42,41.04,1.2,2.84,9.65,-24.72,Tuesday,Tuesday,4/24/2018
49011,254,Big Lots,BIG,42.17,42.55,41.74,42.46,0.19,0.45,"928,958",64.42,41.04,1.2,2.83,9.69,-24.38,Wednesday,Wednesday,4/25/2018
49012,253,Big Lots,BIG,42.72,43.34,42.68,43.21,0.52,1.22,"667,021",64.42,41.04,1.2,2.78,9.87,-23.05,Friday,Friday,4/27/2018
49013,254,Big Lots,BIG,43.2,43.5,42.44,42.45,-0.76,-1.76,"959,835",64.42,41.04,1.2,2.83,9.69,-24.4,Monday,Monday,4/30/2018
49014,255,Big Lots,BIG,42.52,42.98,41.86,42.21,-0.24,-0.57,"908,497",64.42,41.04,1.2,2.84,9.64,-24.83,Tuesday,Tuesday,5/1/2018
49015,255,Big Lots,BIG,42.26,42.56,41.89,42.34,0.07,0.17,"602,528",64.42,41.04,1.2,2.83,9.67,-24.59,Thursday,Thursday,5/3/2018
