,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
63232,440,Citigroup Wt 2019,C%A,0.06,0.06,0.05,0.05,-0.01,-23.97,"1,337,841",0.18,0.04,...,...,...,-54.05,Thursday,Thursday,3/29/2018
63233,439,Citigroup Wt 2019,C%A,0.05,0.05,0.04,0.04,-0.01,-20.8,"6,685,250",0.18,0.04,...,...,...,-60.44,Wednesday,Wednesday,4/11/2018
63234,439,Citigroup Wt 2019,C%A,0.04,0.05,0.04,0.05,0.01,23.74,"904,080",0.18,0.04,...,...,...,-51.05,Thursday,Thursday,4/12/2018
63235,438,Citigroup Wt 2019,C%A,0.06,0.06,0.05,0.05,-0.01,-18.18,"177,700",0.18,0.03,...,...,...,-55.04,Tuesday,Tuesday,4/17/2018
63236,438,Citigroup Wt 2019,C%A,0.05,0.05,0.04,0.04,-0.01,-17.78,"503,598",0.18,0.03,...,...,...,-63.04,Wednesday,Wednesday,4/18/2018
63237,440,Citigroup Wt 2019,C%A,0.04,0.04,0.03,0.03,-0.01,-18.92,"1,284,850",0.18,0.03,...,...,...,-70.03,Thursday,Thursday,4/19/2018
63238,437,Citigroup Wt 2019,C%A,0.03,0.03,0.03,0.03,...,6.67,"3,177,963",0.18,0.03,...,...,...,-68.03,Friday,Friday,4/20/2018
63239,439,Citigroup Wt 2019,C%A,0.03,0.04,0.03,0.03,-0.01,-24.81,"561,400",0.18,0.03,...,...,...,-70.03,Tuesday,Tuesday,4/24/2018
63240,441,Citigroup Wt 2019,C%A,0.03,0.03,0.02,0.03,-0.01,-16.67,"332,866",0.18,0.02,...,...,...,-75.02,Wednesday,Wednesday,4/25/2018
63241,440,Citigroup Wt 2019,C%A,0.02,0.03,0.02,0.03,0.01,66.11,"1,271,994",0.18,0.01,...,...,...,-70.13,Friday,Friday,4/27/2018
63242,440,Citigroup Wt 2019,C%A,0.02,0.03,0.02,0.02,-0.01,-26.42,"161,322",0.18,0.01,...,...,...,-78.02,Monday,Monday,4/30/2018
63243,444,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,0,-10.91,"33,711",0.18,0.01,...,...,...,-80.42,Tuesday,Tuesday,5/1/2018
63244,442,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,2.56,"127,096",0.18,0.01,...,...,...,-80.02,Thursday,Thursday,5/3/2018
63245,439,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,...,"313,800",0.18,0.01,...,...,...,-80.02,Friday,Friday,5/4/2018
63246,442,Citigroup Wt 2019,C%A,0.02,0.04,0.02,0.04,0.02,75,"288,012",0.18,0.01,...,...,...,-65.03,Tuesday,Tuesday,5/8/2018
63247,444,Citigroup Wt 2019,C%A,0.04,0.04,0.04,0.04,...,...,"695,669",0.18,0.01,...,...,...,-65.03,Wednesday,Wednesday,5/9/2018
63248,444,Citigroup Wt 2019,C%A,0.04,0.04,0.04,0.04,...,...,"44,300",0.18,0.01,...,...,...,-65.03,Thursday,Thursday,5/10/2018
63249,443,Citigroup Wt 2019,C%A,0.04,0.04,0.03,0.03,-0.01,-14.29,"53,482",0.18,0.01,...,...,...,-70.03,Friday,Friday,5/11/2018
63250,442,Citigroup Wt 2019,C%A,0.04,0.04,0.04,0.04,0.01,30,"6,000",0.18,0.01,...,...,...,-61.04,Monday,Monday,5/14/2018
63251,443,Citigroup Wt 2019,C%A,0.04,0.04,0.03,0.04,0,-10.26,"56,829",0.18,0.01,...,...,...,-65.03,Tuesday,Tuesday,5/15/2018
63252,444,Citigroup Wt 2019,C%A,0.03,0.03,0.02,0.03,-0.01,-20,"9,800",0.18,0.01,...,...,...,-72.03,Wednesday,Wednesday,5/16/2018
63253,443,Citigroup Wt 2019,C%A,0.03,0.03,0.03,0.03,...,...,"1,160",0.18,0.01,...,...,...,-72.03,Thursday,Thursday,5/17/2018
63254,443,Citigroup Wt 2019,C%A,0.03,0.03,0.03,0.03,...,...,"10,600",0.18,0.01,...,...,...,-72.03,Friday,Friday,5/18/2018
63255,442,Citigroup Wt 2019,C%A,0.03,0.03,0.03,0.03,...,10.71,"102,687",0.18,0.01,...,...,...,-69.03,Monday,Monday,5/21/2018
63256,444,Citigroup Wt 2019,C%A,0.03,0.03,0.03,0.03,0,-3.23,"18,359",0.18,0.01,...,...,...,-70.03,Tuesday,Tuesday,5/22/2018
63257,444,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,-0.01,-43.33,"263,700",0.18,0.01,...,...,...,-83.02,Wednesday,Wednesday,5/23/2018
63258,443,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,0,-11.76,"11,000",0.18,0.01,...,...,...,-85.01,Thursday,Thursday,5/24/2018
63259,446,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.02,...,32.67,"117,065",0.18,0.01,...,...,...,-80.12,Friday,Friday,5/25/2018
63260,443,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.02,0,-24.62,"111,300",0.18,0.01,...,...,...,-85.01,Tuesday,Tuesday,5/29/2018
63261,445,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.01,0,-21.33,"1,838,704",0.18,0.01,...,...,...,-88.21,Wednesday,Wednesday,5/30/2018
63262,445,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.01,0,-6.78,"369,160",0.18,0.01,...,...,...,-89.01,Thursday,Thursday,5/31/2018
63263,445,Citigroup Wt 2019,C%A,0.01,0.02,0.01,0.01,...,27.27,"3,847,200",0.18,0.01,...,...,...,-86.01,Friday,Friday,6/1/2018
63264,445,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.01,0,-3.57,"50,300",0.18,0.01,...,...,...,-86.51,Monday,Monday,6/4/2018
63265,443,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,3.7,"63,394",0.18,0.01,...,...,...,-86.01,Tuesday,Tuesday,6/5/2018
63266,446,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0,-28.57,"60,000",0.18,0.01,...,...,...,-90.01,Wednesday,Wednesday,6/6/2018
63267,445,Citigroup Wt 2019,C%A,0.01,0.02,0.01,0.01,...,40,"463,300",0.18,0.01,...,...,...,-86.01,Thursday,Thursday,6/7/2018
63268,444,Citigroup Wt 2019,C%A,0.01,0.02,0.01,0.01,-0.01,-42.86,"959,099",0.18,0.01,...,...,...,-92.01,Friday,Friday,6/8/2018
63269,444,Citigroup Wt 2019,C%A,0.01,0.02,0.01,0.01,...,25,"234,336",0.18,0.01,...,...,...,-90.01,Monday,Monday,6/11/2018
63270,441,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,5,"188,300",0.18,0.01,...,...,...,-89.51,Tuesday,Tuesday,6/12/2018
63271,443,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0,-31.43,"5,160,200",0.18,0.01,...,...,...,-92.81,Wednesday,Wednesday,6/13/2018
63272,442,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0,-2.78,"9,200",0.18,0.01,...,...,...,-93.01,Thursday,Thursday,6/14/2018
63273,442,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,...,"100,000",0.18,0.01,...,...,...,-93.01,Friday,Friday,6/15/2018
63274,443,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,...,"763,905",0.18,0.01,...,...,...,-93.01,Monday,Monday,6/18/2018
63275,444,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0,-14.29,"397,576",0.18,0.01,...,...,...,-94.01,Tuesday,Tuesday,6/19/2018
63276,443,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,26.67,"190,164",0.18,0.01,...,...,...,-92.41,Wednesday,Wednesday,6/20/2018
63277,445,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,31.58,"711,177",0.18,0.01,...,...,...,-90.01,Thursday,Thursday,6/21/2018
63278,445,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0,-20,"109,350",0.18,0.01,...,...,...,-92.01,Friday,Friday,6/22/2018
63279,447,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0.01,75,"306,162",0.18,0.01,...,...,...,-86.01,Monday,Monday,6/25/2018
63280,443,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0,-28.57,"40,714",0.18,0.01,...,...,...,-90.01,Tuesday,Tuesday,6/26/2018
63281,448,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,20,"174,000",0.18,0.01,...,...,...,-88.01,Wednesday,Wednesday,6/27/2018
63282,451,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0,-16.67,"1,253",0.18,0.01,...,...,...,-90.01,Thursday,Thursday,6/28/2018
63283,446,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,25,"163,372",0.18,0.01,...,...,...,-87.51,Friday,Friday,6/29/2018
63284,447,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,...,"21,655",0.18,0.01,...,...,...,-87.51,Monday,Monday,7/2/2018
63285,446,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,0,-10.4,600,0.18,0.01,...,...,...,-88.81,Tuesday,Tuesday,7/3/2018
63286,448,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,0.89,"13,800",0.18,0.01,...,...,...,-88.71,Thursday,Thursday,7/5/2018
63287,447,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,...,15.04,"56,941",0.18,0.01,...,...,...,-87.01,Friday,Friday,7/6/2018
63288,450,Citigroup Wt 2019,C%A,0.01,0.02,0.01,0.02,...,15.38,"56,187",0.18,0.01,...,...,...,-85.01,Monday,Monday,7/9/2018
63289,449,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.02,...,6.67,"397,300",0.18,0.01,...,...,...,-84.02,Tuesday,Tuesday,7/10/2018
63290,448,Citigroup Wt 2019,C%A,0.01,0.02,0.01,0.02,...,12.5,"179,595",0.18,0.01,...,...,...,-82.02,Thursday,Thursday,7/12/2018
63291,449,Citigroup Wt 2019,C%A,0.01,0.01,0.01,0.01,-0.01,-33.89,"345,637",0.18,0.01,...,...,...,-88.11,Friday,Friday,7/13/2018
63292,448,Citigroup Wt 2019,C%A,0.01,0.02,0.01,0.02,0.01,51.26,"2,133,987",0.18,0.01,...,...,...,-82.02,Monday,Monday,7/16/2018
63293,448,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,...,"187,405",0.18,0.01,...,...,...,-82.02,Tuesday,Tuesday,7/17/2018
63294,449,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,0.11,"7,177",0.18,0.01,...,...,...,-82,Wednesday,Wednesday,7/18/2018
63295,447,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,10.99,"41,080",0.18,0.01,...,...,...,-80.02,Thursday,Thursday,7/19/2018
63296,446,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,0,-10,"26,868",0.18,0.01,...,...,...,-82.02,Friday,Friday,7/20/2018
63297,448,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,11.11,"163,968",0.18,0.01,...,...,...,-80.02,Monday,Monday,7/23/2018
63298,449,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,...,"153,500",0.18,0.01,...,...,...,-80.02,Tuesday,Tuesday,7/24/2018
63299,450,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.01,-0.01,-50,"259,225",0.18,0.01,...,...,...,-90.01,Wednesday,Wednesday,7/25/2018
63300,451,Citigroup Wt 2019,C%A,0.01,0.02,0.01,0.02,0.01,98,"50,600",0.18,0.01,...,...,...,-80.22,Thursday,Thursday,7/26/2018
63301,451,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.02,...,1.01,"102,500",0.18,0.01,...,...,...,-80.02,Friday,Friday,7/27/2018
63302,448,Citigroup Wt 2019,C%A,0.02,0.02,0.01,0.02,0,-0.5,"172,165",0.18,0.01,...,...,...,-80.12,Monday,Monday,7/30/2018
63303,450,Citigroup Wt 2019,C%A,0.02,0.03,0.02,0.03,0.01,25.63,"1,074,955",0.18,0.01,...,...,...,-75.02,Tuesday,Tuesday,7/31/2018
63304,451,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,-0.01,-24,"265,050",0.18,0.01,...,...,...,-81.02,Wednesday,Wednesday,8/1/2018
63305,449,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,5.26,"14,358",0.18,0.01,...,...,...,-80.02,Thursday,Thursday,8/2/2018
63306,453,Citigroup Wt 2019,C%A,0.02,0.02,0.02,0.02,...,...,"4,275",0.18,0.01,...,...,...,-80.02,Friday,Friday,8/3/2018
