,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
64560,353,Cardinal Health,CAH,62.46,62.95,61.87,62.68,0.58,0.94,"2,144,264",82.8,54.66,1.85,2.95,10.9,2.3,Thursday,Thursday,3/29/2018
64561,353,Cardinal Health,CAH,63.84,64.86,63.63,63.97,-0.37,-0.58,"2,129,946",81.98,54.66,1.85,2.89,11.13,4.41,Wednesday,Wednesday,4/11/2018
64562,353,Cardinal Health,CAH,64.22,64.67,61.94,62.26,-1.71,-2.67,"3,625,391",81.98,54.66,1.85,2.97,10.83,1.62,Thursday,Thursday,4/12/2018
64563,353,Cardinal Health,CAH,62.68,63.33,62.36,63.19,0.9,1.44,"1,616,242",80.37,54.66,1.85,2.93,10.99,3.13,Tuesday,Tuesday,4/17/2018
64564,352,Cardinal Health,CAH,63.49,64.68,62.99,63.89,0.7,1.11,"2,139,618",80.37,54.66,1.85,2.89,11.11,4.28,Wednesday,Wednesday,4/18/2018
64565,354,Cardinal Health,CAH,63.39,63.4,61.9,62.31,-1.58,-2.47,"1,653,188",80.37,54.66,1.85,2.97,10.84,1.7,Thursday,Thursday,4/19/2018
64566,351,Cardinal Health,CAH,62.42,62.74,61.18,62.07,-0.24,-0.39,"2,594,494",80.37,54.66,1.85,2.98,10.79,1.31,Friday,Friday,4/20/2018
64567,353,Cardinal Health,CAH,63.68,64.89,61.85,62.36,0.14,0.23,"2,962,839",80.37,54.66,1.85,2.97,10.85,1.78,Tuesday,Tuesday,4/24/2018
64568,355,Cardinal Health,CAH,62.05,63.84,62.05,63.57,1.21,1.94,"2,950,297",80.37,54.66,1.85,2.91,11.06,3.75,Wednesday,Wednesday,4/25/2018
64569,353,Cardinal Health,CAH,64.14,65.98,64.14,65.82,1.63,2.54,"1,783,271",80.37,54.66,1.85,2.81,11.45,7.43,Friday,Friday,4/27/2018
64570,353,Cardinal Health,CAH,65.73,65.8,64.16,64.17,-1.65,-2.51,"2,223,895",80.37,54.66,1.85,2.88,11.16,4.73,Monday,Monday,4/30/2018
64571,357,Cardinal Health,CAH,63.67,64.09,62.7,63.6,-0.57,-0.89,"1,764,622",80.37,54.66,1.85,2.91,11.06,3.8,Tuesday,Tuesday,5/1/2018
64572,355,Cardinal Health,CAH,53.89,55.59,50.79,50.8,-13.85,-21.42,"15,519,090",80.37,50.79,1.85,3.64,8.83,-17.09,Thursday,Thursday,5/3/2018
64573,353,Cardinal Health,CAH,51.01,53.37,51,53.01,2.21,4.35,"7,322,054",80.37,50.79,1.85,3.49,9.89,-13.48,Friday,Friday,5/4/2018
64574,358,Cardinal Health,CAH,53.02,53.7,52.47,52.77,-0.24,-0.45,"4,269,033",80.37,50.79,1.85,3.51,9.85,-13.87,Monday,Monday,5/7/2018
64575,355,Cardinal Health,CAH,52.63,52.91,51.71,52.5,-0.27,-0.51,"3,881,622",80.37,50.79,1.85,3.52,9.79,-14.31,Tuesday,Tuesday,5/8/2018
64576,358,Cardinal Health,CAH,52.7,53.51,52.35,52.76,0.26,0.5,"3,959,613",80.37,50.79,1.85,3.51,9.84,-13.89,Wednesday,Wednesday,5/9/2018
64577,357,Cardinal Health,CAH,53.13,55.93,53.03,54.74,1.98,3.75,"4,859,731",80.37,50.79,1.85,3.38,10.21,-10.66,Thursday,Thursday,5/10/2018
64578,357,Cardinal Health,CAH,54.57,55.74,53.73,55.3,0.56,1.02,"3,789,062",80.37,50.79,1.91,3.45,10.32,-9.74,Friday,Friday,5/11/2018
64579,356,Cardinal Health,CAH,55.44,55.75,54.56,55.16,-0.14,-0.25,"2,846,098",80.37,50.79,1.91,3.45,10.29,-9.97,Monday,Monday,5/14/2018
64580,357,Cardinal Health,CAH,54.92,55.16,53.9,54.02,-1.14,-2.07,"2,753,866",80.37,50.79,1.91,3.53,10.08,-11.83,Tuesday,Tuesday,5/15/2018
64581,358,Cardinal Health,CAH,54.21,54.94,54.08,54.51,0.49,0.91,"2,064,100",80.37,50.79,1.91,3.5,10.17,-11.03,Wednesday,Wednesday,5/16/2018
64582,357,Cardinal Health,CAH,54.48,54.61,53.57,54.33,-0.18,-0.33,"2,321,497",80.37,50.79,1.91,3.51,10.14,-11.33,Thursday,Thursday,5/17/2018
64583,357,Cardinal Health,CAH,54.48,54.56,53.23,53.33,-1,-1.84,"3,765,825",80.37,50.79,1.91,3.57,9.95,-12.96,Friday,Friday,5/18/2018
64584,357,Cardinal Health,CAH,53.61,54.07,53.03,53.13,-0.2,-0.38,"3,090,123",80.37,50.79,1.91,3.59,9.91,-13.29,Monday,Monday,5/21/2018
64585,358,Cardinal Health,CAH,53.12,53.43,52.57,52.83,-0.3,-0.56,"3,004,997",80.37,50.79,1.91,3.61,9.86,-13.78,Tuesday,Tuesday,5/22/2018
64586,358,Cardinal Health,CAH,52.8,53.02,52.34,52.69,-0.14,-0.27,"2,143,828",80.37,50.79,1.91,3.62,9.83,-14,Wednesday,Wednesday,5/23/2018
64587,357,Cardinal Health,CAH,52.42,53.19,51.4,52.44,-0.25,-0.47,"3,371,634",80.37,50.79,1.91,3.63,9.78,-14.41,Thursday,Thursday,5/24/2018
64588,360,Cardinal Health,CAH,52.36,53.22,52.1,52.44,...,...,"2,662,202",80.37,50.79,1.91,3.63,9.78,-14.41,Friday,Friday,5/25/2018
64589,358,Cardinal Health,CAH,52.21,52.47,51.08,51.75,-0.69,-1.32,"2,473,470",80.37,50.79,1.91,3.68,9.65,-15.54,Tuesday,Tuesday,5/29/2018
64590,359,Cardinal Health,CAH,51.93,52.63,51.55,52.46,0.71,1.37,"2,895,609",80.37,50.79,1.91,3.63,9.79,-14.38,Wednesday,Wednesday,5/30/2018
64591,359,Cardinal Health,CAH,52.54,52.61,51.98,52.09,-0.37,-0.71,"4,076,368",80.37,50.79,1.91,3.66,9.72,-14.98,Thursday,Thursday,5/31/2018
64592,359,Cardinal Health,CAH,53.02,53.38,52.32,52.66,0.57,1.09,"2,418,326",80.37,50.79,1.91,3.62,9.82,-14.05,Friday,Friday,6/1/2018
64593,360,Cardinal Health,CAH,52.73,53.03,52.39,52.64,-0.02,-0.04,"2,002,392",80.37,50.79,1.91,3.62,9.82,-14.09,Monday,Monday,6/4/2018
64594,358,Cardinal Health,CAH,52.83,53.32,52.5,52.81,0.17,0.32,"2,650,972",80.37,50.79,1.91,3.61,9.85,-13.81,Tuesday,Tuesday,6/5/2018
