,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
65540,352,Cango ADR,CANG,12.5,13.9,11.89,12.52,1.52,13.82,"853,071",13.9,11,...,...,...,...,Thursday,Thursday,7/26/2018
65541,353,Cango ADR,CANG,12.55,13.3,11.8,12.08,-0.44,-3.51,"103,803",13.9,11.8,...,...,...,...,Friday,Friday,7/27/2018
65542,352,Cango ADR,CANG,12.06,12.06,10.5,10.79,-1.29,-10.68,"216,393",13.9,10.5,...,...,...,...,Monday,Monday,7/30/2018
65543,352,Cango ADR,CANG,10.79,11,10.74,10.75,-0.04,-0.37,"33,198",13.9,10.5,...,...,...,...,Tuesday,Tuesday,7/31/2018
65544,352,Cango ADR,CANG,10.83,11,10.5,11,0.25,2.33,"59,174",13.9,10.5,...,...,...,...,Wednesday,Wednesday,8/1/2018
65545,352,Cango ADR,CANG,10.96,10.96,10.25,10.75,-0.25,-2.27,"38,577",13.9,10.25,...,...,...,...,Thursday,Thursday,8/2/2018
65546,354,Cango ADR,CANG,10.8,11.1,10.8,10.94,0.19,1.77,"38,135",13.9,10.25,...,...,...,...,Friday,Friday,8/3/2018
65547,354,Cango ADR,CANG,10.81,11.18,10.81,11,0.06,0.55,"11,473",13.9,10.25,...,...,...,...,Monday,Monday,8/6/2018
65548,354,Cango ADR,CANG,11.1,11.1,10.95,10.95,-0.05,-0.45,"8,430",13.9,10.25,...,...,...,...,Tuesday,Tuesday,8/7/2018
65549,353,Cango ADR,CANG,10.95,10.99,10.88,10.97,0.02,0.18,"21,543",13.9,10.25,...,...,...,...,Wednesday,Wednesday,8/8/2018
65550,352,Cango ADR,CANG,10.92,11.07,10.57,11.01,0.04,0.37,"48,272",13.9,10.25,...,...,...,...,Thursday,Thursday,8/9/2018
65551,353,Cango ADR,CANG,10.9,11.04,10.87,11,-0.01,-0.09,"39,644",13.9,10.25,...,...,...,...,Friday,Friday,8/10/2018
65552,352,Cango ADR,CANG,10.95,11.09,10.31,10.5,-0.5,-4.55,"86,849",13.9,10.25,...,...,...,...,Monday,Monday,8/13/2018
65553,353,Cango ADR,CANG,10.6,10.65,10.18,10.18,-0.32,-3.04,"9,074",13.9,10.18,...,...,...,...,Tuesday,Tuesday,8/14/2018
65554,354,Cango ADR,CANG,10,10,8.74,8.74,-1.44,-14.15,"23,416",13.9,8.74,...,...,...,...,Wednesday,Wednesday,8/15/2018
65555,354,Cango ADR,CANG,8.65,8.79,8.24,8.7,-0.04,-0.46,"7,015",13.9,8.24,...,...,...,...,Thursday,Thursday,8/16/2018
65556,354,Cango ADR,CANG,8.65,8.69,8.5,8.6,-0.1,-1.15,"12,499",13.9,8.24,...,...,...,...,Friday,Friday,8/17/2018
65557,354,Cango ADR,CANG,8.6,8.73,8.6,8.6,...,...,"4,612",13.9,8.24,...,...,...,...,Monday,Monday,8/20/2018
65558,354,Cango ADR,CANG,8.68,8.76,8.57,8.65,0.05,0.58,"5,935",13.9,8.24,...,...,...,...,Tuesday,Tuesday,8/21/2018
65559,354,Cango ADR,CANG,8.62,8.62,8.2,8.21,-0.44,-5.09,"8,715",13.9,8.2,...,...,...,...,Wednesday,Wednesday,8/22/2018
65560,353,Cango ADR,CANG,8.32,9.57,8.28,9.55,1.34,16.34,"37,766",13.9,8.2,...,...,...,...,Thursday,Thursday,8/23/2018
65561,354,Cango ADR,CANG,9.55,10.5,9.55,10.3,0.75,7.84,"58,571",13.9,8.2,...,...,...,...,Friday,Friday,8/24/2018
65562,353,Cango ADR,CANG,10.5,10.58,9.83,10.24,-0.06,-0.58,"22,149",13.9,8.2,...,...,...,...,Monday,Monday,8/27/2018
65563,353,Cango ADR,CANG,10.16,10.39,9.95,9.96,-0.28,-2.71,"12,182",13.9,8.2,...,...,...,...,Tuesday,Tuesday,8/28/2018
65564,355,Cango ADR,CANG,9.81,9.96,9.81,9.88,-0.08,-0.83,"10,614",13.9,8.2,...,...,...,...,Wednesday,Wednesday,8/29/2018
65565,352,Cango ADR,CANG,9.88,10.08,9.86,9.9,0.02,0.2,"21,966",13.9,8.2,...,...,...,...,Thursday,Thursday,8/30/2018
65566,352,Cango ADR,CANG,9.7,10.5,8.34,10.4,0.5,5.05,"40,153",13.9,8.2,...,...,...,...,Friday,Friday,8/31/2018
65567,353,Cango ADR,CANG,10.32,10.32,9.65,9.71,-0.69,-6.63,"6,068",13.9,8.2,...,...,...,...,Tuesday,Tuesday,9/4/2018
65568,353,Cango ADR,CANG,9.65,9.67,9.03,9.15,-0.56,-5.77,"9,072",13.9,8.2,...,...,...,...,Wednesday,Wednesday,9/5/2018
65569,352,Cango ADR,CANG,9.15,9.23,9.02,9.04,-0.12,-1.26,"2,851",13.9,8.2,...,...,...,...,Thursday,Thursday,9/6/2018
65570,353,Cango ADR,CANG,8.96,8.96,8.8,8.81,-0.23,-2.49,"2,231",13.9,8.2,...,...,...,...,Friday,Friday,9/7/2018
65571,354,Cango ADR,CANG,9.1,9.1,9.02,9.02,0.21,2.36,"1,175",13.9,8.2,...,...,...,...,Monday,Monday,9/10/2018
65572,354,Cango ADR,CANG,8.96,9.06,8.93,8.93,-0.09,-1,740,13.9,8.2,...,...,...,...,Tuesday,Tuesday,9/11/2018
65573,353,Cango ADR,CANG,8.88,8.91,8.81,8.9,-0.03,-0.33,"1,063",13.9,8.2,...,...,...,...,Wednesday,Wednesday,9/12/2018
65574,353,Cango ADR,CANG,9.03,9.18,9,9.12,0.22,2.48,"4,354",13.9,8.2,...,...,...,...,Thursday,Thursday,9/13/2018
65575,353,Cango ADR,CANG,9.04,9.28,9,9,-0.12,-1.3,"4,378",13.9,8.2,...,...,...,...,Friday,Friday,9/14/2018
65576,353,Cango ADR,CANG,8.85,8.89,8.8,8.84,-0.16,-1.73,"3,493",13.9,8.2,...,...,...,...,Tuesday,Tuesday,9/18/2018
65577,353,Cango ADR,CANG,8.8,8.97,8.77,8.97,0.13,1.47,"3,487",13.9,8.2,...,...,...,...,Wednesday,Wednesday,9/19/2018
65578,353,Cango ADR,CANG,8.79,8.94,8.7,8.79,-0.18,-2,"3,375",13.9,8.2,...,...,...,...,Thursday,Thursday,9/20/2018
65579,353,Cango ADR,CANG,8.8,8.8,8.7,8.72,-0.07,-0.81,"1,946",13.9,8.2,...,...,...,...,Friday,Friday,9/21/2018
65580,352,Cango ADR,CANG,8.65,8.79,8.65,8.79,0.07,0.77,719,13.9,8.2,...,...,...,...,Monday,Monday,9/24/2018
65581,352,Cango ADR,CANG,8.8,8.8,8.7,8.7,-0.09,-1.02,"4,273",13.9,8.2,...,...,...,...,Tuesday,Tuesday,9/25/2018
65582,352,Cango ADR,CANG,8.78,9.5,8.7,9.29,0.59,6.74,"23,673",13.9,8.2,...,...,...,...,Wednesday,Wednesday,9/26/2018
65583,352,Cango ADR,CANG,9.28,9.97,9.14,9.97,0.69,7.4,"34,000",13.9,8.2,...,...,...,...,Thursday,Thursday,9/27/2018
65584,352,Cango ADR,CANG,9.96,11.33,9.47,11.33,1.36,13.61,"33,799",13.9,8.2,...,...,...,...,Friday,Friday,9/28/2018
65585,352,Cango ADR,CANG,11.5,12.69,11.5,11.88,0.55,4.85,"16,746",13.9,8.2,...,...,...,...,Monday,Monday,10/1/2018
65586,352,Cango ADR,CANG,11.68,11.68,11.28,11.28,-0.6,-5.05,"21,147",13.9,8.2,...,...,...,...,Tuesday,Tuesday,10/2/2018
65587,352,Cango ADR,CANG,11.15,11.47,10.93,11.47,0.19,1.68,"14,120",13.9,8.2,...,...,...,...,Wednesday,Wednesday,10/3/2018
65588,352,Cango ADR,CANG,11.29,11.8,10.94,11.5,0.03,0.26,"16,030",13.9,8.2,...,...,...,...,Thursday,Thursday,10/4/2018
65589,352,Cango ADR,CANG,11.39,11.39,11.06,11.06,-0.44,-3.83,824,13.9,8.2,...,...,...,...,Friday,Friday,10/5/2018
65590,351,Cango ADR,CANG,11.61,11.61,10.36,10.42,-0.64,-5.79,"1,565",13.9,8.2,...,...,...,...,Monday,Monday,10/8/2018
