,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
67048,426,Christopher&Banks,CBK,1.05,1.09,1.04,1.07,0.02,1.9,"171,449",1.62,0.95,...,...,...,-15.75,Thursday,Thursday,3/29/2018
67049,425,Christopher&Banks,CBK,1.11,1.12,1.1,1.11,-0.01,-1.32,"36,283",1.55,0.95,...,...,...,-12.98,Wednesday,Wednesday,4/11/2018
67050,425,Christopher&Banks,CBK,1.1,1.11,1.09,1.1,-0.01,-0.47,"51,518",1.55,0.95,...,...,...,-13.39,Thursday,Thursday,4/12/2018
67051,424,Christopher&Banks,CBK,1.13,1.15,1.13,1.14,0.02,1.79,"28,281",1.55,0.95,...,...,...,-10.24,Tuesday,Tuesday,4/17/2018
67052,424,Christopher&Banks,CBK,1.15,1.15,1.11,1.11,-0.03,-2.63,"24,176",1.55,0.95,...,...,...,-12.6,Wednesday,Wednesday,4/18/2018
67053,426,Christopher&Banks,CBK,1.11,1.16,1.1,1.15,0.04,3.6,"41,699",1.55,0.95,...,...,...,-9.45,Thursday,Thursday,4/19/2018
67054,423,Christopher&Banks,CBK,1.13,1.14,1.12,1.12,-0.03,-2.61,"29,007",1.55,0.95,...,...,...,-11.81,Friday,Friday,4/20/2018
67055,425,Christopher&Banks,CBK,1.11,1.12,1.09,1.1,-0.01,-0.9,"65,531",1.55,0.95,...,...,...,-13.39,Tuesday,Tuesday,4/24/2018
67056,427,Christopher&Banks,CBK,1.09,1.09,1.03,1.03,-0.07,-6.36,"230,396",1.55,0.95,...,...,...,-18.9,Wednesday,Wednesday,4/25/2018
67057,426,Christopher&Banks,CBK,1.06,1.1,1.04,1.1,0.03,2.8,"156,451",1.55,0.95,...,...,...,-13.39,Friday,Friday,4/27/2018
67058,426,Christopher&Banks,CBK,1.09,1.09,1.05,1.06,-0.04,-3.64,"85,922",1.55,0.95,...,...,...,-16.54,Monday,Monday,4/30/2018
67059,430,Christopher&Banks,CBK,1.05,1.07,1.02,1.06,...,...,"55,038",1.55,0.95,...,...,...,-16.54,Tuesday,Tuesday,5/1/2018
67060,428,Christopher&Banks,CBK,1.05,1.05,1.02,1.02,-0.03,-2.86,"83,658",1.55,0.95,...,...,...,-19.69,Thursday,Thursday,5/3/2018
67061,425,Christopher&Banks,CBK,1.02,1.08,1.02,1.05,0.03,2.94,"14,785",1.55,0.95,...,...,...,-17.32,Friday,Friday,5/4/2018
67062,430,Christopher&Banks,CBK,1.05,1.06,1.04,1.06,0.01,0.95,"15,155",1.55,0.95,...,...,...,-16.54,Monday,Monday,5/7/2018
67063,428,Christopher&Banks,CBK,1.07,1.07,1.04,1.05,-0.01,-0.94,"38,916",1.55,0.95,...,...,...,-17.32,Tuesday,Tuesday,5/8/2018
67064,430,Christopher&Banks,CBK,1.04,1.06,1.04,1.06,0.01,0.95,"20,520",1.55,0.95,...,...,...,-16.54,Wednesday,Wednesday,5/9/2018
67065,430,Christopher&Banks,CBK,1.04,1.07,1.03,1.05,-0.01,-0.94,"28,990",1.55,0.95,...,...,...,-17.32,Thursday,Thursday,5/10/2018
67066,429,Christopher&Banks,CBK,1.05,1.06,1.04,1.06,0.01,0.95,"66,889",1.55,0.95,...,...,...,-16.54,Friday,Friday,5/11/2018
67067,428,Christopher&Banks,CBK,1.05,1.07,1.04,1.05,-0.01,-0.94,"33,426",1.55,0.95,...,...,...,-17.32,Monday,Monday,5/14/2018
67068,429,Christopher&Banks,CBK,1.04,1.06,1.04,1.05,...,...,"37,515",1.55,0.95,...,...,...,-17.32,Tuesday,Tuesday,5/15/2018
67069,430,Christopher&Banks,CBK,1.06,1.07,1.04,1.05,...,...,"82,885",1.55,0.95,...,...,...,-17.32,Wednesday,Wednesday,5/16/2018
67070,429,Christopher&Banks,CBK,1.05,1.09,1.04,1.08,0.03,3.33,"108,258",1.55,0.95,...,...,...,-14.57,Thursday,Thursday,5/17/2018
67071,429,Christopher&Banks,CBK,1.09,1.09,1.06,1.07,-0.01,-1.38,"29,099",1.55,0.95,...,...,...,-15.75,Friday,Friday,5/18/2018
67072,428,Christopher&Banks,CBK,1.07,1.09,1.06,1.07,...,...,"32,605",1.55,0.95,...,...,...,-15.75,Monday,Monday,5/21/2018
67073,430,Christopher&Banks,CBK,1.07,1.07,1.03,1.04,-0.03,-2.8,"138,600",1.55,0.95,...,...,...,-18.11,Tuesday,Tuesday,5/22/2018
67074,430,Christopher&Banks,CBK,1.03,1.04,0.99,1.02,-0.02,-1.46,"135,422",1.55,0.95,...,...,...,-19.31,Wednesday,Wednesday,5/23/2018
67075,429,Christopher&Banks,CBK,1.02,1.06,1.02,1.04,0.02,1.68,"52,842",1.55,0.95,...,...,...,-17.95,Thursday,Thursday,5/24/2018
67076,432,Christopher&Banks,CBK,1.05,1.08,1.04,1.08,0.04,3.65,"64,500",1.55,0.95,...,...,...,-14.96,Friday,Friday,5/25/2018
67077,429,Christopher&Banks,CBK,1.08,1.1,1.06,1.1,0.02,1.85,"167,524",1.55,0.95,...,...,...,-13.39,Tuesday,Tuesday,5/29/2018
67078,431,Christopher&Banks,CBK,1.1,1.1,1.08,1.08,-0.02,-1.82,"102,855",1.55,0.95,...,...,...,-14.96,Wednesday,Wednesday,5/30/2018
67079,431,Christopher&Banks,CBK,0.88,0.93,0.75,0.84,-0.24,-22.33,"2,003,800",1.55,0.75,...,...,...,-33.95,Thursday,Thursday,5/31/2018
