,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
69002,400,Chemours,CC,46.67,49,46.67,48.71,2.51,5.43,"3,762,580",58.08,34.7,0.68,1.4,12.31,-2.7,Thursday,Thursday,3/29/2018
69003,399,Chemours,CC,49.7,50.24,49.42,49.66,-0.46,-0.92,"1,026,571",58.08,34.7,0.68,1.37,12.55,-0.8,Wednesday,Wednesday,4/11/2018
69004,399,Chemours,CC,50.07,50.88,49.91,50.62,0.96,1.93,"1,597,855",58.08,34.7,0.68,1.34,12.8,1.12,Thursday,Thursday,4/12/2018
69005,398,Chemours,CC,51.75,52.7,51.5,52.28,1,1.95,"1,728,514",58.08,34.84,0.68,1.3,13.21,4.43,Tuesday,Tuesday,4/17/2018
69006,398,Chemours,CC,52.65,52.99,52.32,52.62,0.34,0.65,"1,781,506",58.08,34.84,0.68,1.29,13.3,5.11,Wednesday,Wednesday,4/18/2018
69007,400,Chemours,CC,52.53,52.82,51.24,51.92,-0.7,-1.33,"1,212,014",58.08,34.84,0.68,1.31,13.12,3.72,Thursday,Thursday,4/19/2018
69008,397,Chemours,CC,51.72,52.16,51.23,51.92,...,...,"970,571",58.08,34.84,0.68,1.31,13.12,3.72,Friday,Friday,4/20/2018
69009,399,Chemours,CC,52.46,52.86,49.88,51.01,-1.31,-2.5,"1,482,081",58.08,34.84,0.68,1.33,12.89,1.9,Tuesday,Tuesday,4/24/2018
69010,401,Chemours,CC,50.78,51.21,50.23,50.92,-0.09,-0.18,"861,955",58.08,34.84,0.68,1.34,12.87,1.72,Wednesday,Wednesday,4/25/2018
69011,400,Chemours,CC,51.31,51.6,49.78,50.22,-1,-1.95,"826,132",58.08,34.84,0.68,1.35,12.69,0.32,Friday,Friday,4/27/2018
69012,400,Chemours,CC,50.07,50.57,48.41,48.41,-1.81,-3.6,"1,140,301",58.08,34.84,0.68,1.4,12.24,-3.3,Monday,Monday,4/30/2018
69013,404,Chemours,CC,48.23,48.68,46.91,48.25,-0.16,-0.33,"1,860,840",58.08,34.84,0.68,1.41,12.2,-3.62,Tuesday,Tuesday,5/1/2018
69014,402,Chemours,CC,48.12,48.71,47.2,48.51,0.04,0.08,"1,741,980",58.08,34.84,0.68,1.4,12.26,-3.1,Thursday,Thursday,5/3/2018
69015,399,Chemours,CC,50.5,50.75,49.19,50.67,2.16,4.45,"2,396,515",58.08,34.84,0.68,1.34,12.81,1.22,Friday,Friday,5/4/2018
69016,404,Chemours,CC,50.75,51.07,49.81,50.42,-0.25,-0.49,"1,614,616",58.08,34.84,0.68,1.35,10.62,0.72,Monday,Monday,5/7/2018
69017,402,Chemours,CC,50,50.9,49.97,50.58,0.16,0.32,"1,864,379",58.08,34.84,0.68,1.34,10.66,1.04,Tuesday,Tuesday,5/8/2018
69018,404,Chemours,CC,50.59,50.8,49.89,50.67,0.09,0.18,"1,117,070",58.08,34.84,0.68,1.34,10.68,1.22,Wednesday,Wednesday,5/9/2018
69019,404,Chemours,CC,51,51.36,50.76,50.85,0.18,0.36,"1,830,777",58.08,34.84,0.68,1.34,10.71,1.58,Thursday,Thursday,5/10/2018
69020,404,Chemours,CC,51.01,51.47,50.37,50.76,-0.09,-0.18,"1,238,361",58.08,34.84,0.68,1.34,10.69,1.4,Friday,Friday,5/11/2018
69021,403,Chemours,CC,51.18,51.86,50.68,50.99,0.23,0.45,"1,474,047",58.08,34.84,0.68,1.33,10.74,1.86,Monday,Monday,5/14/2018
69022,404,Chemours,CC,50.8,51.79,50.66,51.32,0.33,0.65,"1,143,440",58.08,34.84,0.68,1.33,10.81,2.52,Tuesday,Tuesday,5/15/2018
