,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
78445,350,Capitol Investment IV Cl A,CIC,9.68,9.68,9.67,9.67,-0.02,-0.21,"1,180",10.1,9.6,...,...,...,-0.1,Thursday,Thursday,4/12/2018
78446,349,Capitol Investment IV Cl A,CIC,9.77,9.78,9.75,9.77,0.02,0.21,"7,285",10.1,9.6,...,...,...,0.93,Tuesday,Tuesday,4/24/2018
78447,352,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,0.03,0.31,"1,000",10.1,9.6,...,...,...,1.24,Wednesday,Wednesday,4/25/2018
78448,349,Capitol Investment IV Cl A,CIC,9.79,9.79,9.79,9.79,0.03,0.31,775,10.1,9.6,...,...,...,1.14,Friday,Friday,4/27/2018
78449,349,Capitol Investment IV Cl A,CIC,9.79,9.79,9.79,9.79,...,...,"1,484",10.1,9.6,...,...,...,1.14,Monday,Monday,4/30/2018
78450,354,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,0.01,0.1,"1,000",10.1,9.6,...,...,...,1.24,Monday,Monday,5/7/2018
78451,352,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,...,...,"2,101",10.1,9.6,...,...,...,1.24,Tuesday,Tuesday,5/8/2018
78452,354,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,...,...,100,10.1,9.6,...,...,...,1.24,Wednesday,Wednesday,5/16/2018
78453,354,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,...,...,100,10.1,9.6,...,...,...,1.24,Friday,Friday,5/18/2018
78454,353,Capitol Investment IV Cl A,CIC,9.79,9.8,9.79,9.79,-0.01,-0.1,"119,157",10.1,9.6,...,...,...,1.14,Monday,Monday,5/21/2018
78455,354,Capitol Investment IV Cl A,CIC,9.82,9.82,9.82,9.82,0.03,0.31,346,10.1,9.6,...,...,...,1.45,Tuesday,Tuesday,5/22/2018
78456,354,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,-0.02,-0.2,200,10.1,9.6,...,...,...,1.24,Wednesday,Wednesday,5/23/2018
78457,355,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,...,...,200,10.1,9.6,...,...,...,1.24,Wednesday,Wednesday,5/30/2018
78458,356,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,...,...,750,10.1,9.6,...,...,...,1.24,Monday,Monday,6/4/2018
78459,354,Capitol Investment IV Cl A,CIC,9.79,9.79,9.76,9.76,-0.04,-0.41,603,10.1,9.6,...,...,...,0.83,Tuesday,Tuesday,6/5/2018
78460,356,Capitol Investment IV Cl A,CIC,9.76,9.76,9.76,9.76,...,...,153,10.1,9.6,...,...,...,0.83,Wednesday,Wednesday,6/6/2018
78461,353,Capitol Investment IV Cl A,CIC,9.76,9.78,9.76,9.78,0.02,0.2,"12,247",10.1,9.6,...,...,...,1.03,Tuesday,Tuesday,6/12/2018
78462,354,Capitol Investment IV Cl A,CIC,9.79,9.79,9.79,9.79,0.01,0.1,400,10.1,9.6,...,...,...,1.14,Friday,Friday,6/15/2018
78463,354,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,0.01,0.1,"50,400",10.1,9.6,...,...,...,1.24,Monday,Monday,6/18/2018
78464,356,Capitol Investment IV Cl A,CIC,9.81,9.81,9.81,9.81,0.01,0.1,975,10.1,9.6,...,...,...,1.34,Tuesday,Tuesday,6/19/2018
78465,354,Capitol Investment IV Cl A,CIC,9.8,9.8,9.8,9.8,-0.01,-0.1,"71,200",10.1,9.6,...,...,...,1.24,Wednesday,Wednesday,6/20/2018
78466,356,Capitol Investment IV Cl A,CIC,9.8,9.85,9.8,9.85,0.05,0.51,"116,911",10.1,9.6,...,...,...,1.76,Thursday,Thursday,6/21/2018
78467,357,Capitol Investment IV Cl A,CIC,9.85,9.86,9.85,9.86,0.01,0.1,"7,662",10.1,9.6,...,...,...,1.86,Monday,Monday,6/25/2018
78468,354,Capitol Investment IV Cl A,CIC,9.86,9.86,9.85,9.85,-0.01,-0.1,"1,100",10.1,9.6,...,...,...,1.76,Tuesday,Tuesday,6/26/2018
78469,358,Capitol Investment IV Cl A,CIC,9.85,9.85,9.85,9.85,...,...,"1,600",10.1,9.6,...,...,...,1.76,Wednesday,Wednesday,6/27/2018
78470,361,Capitol Investment IV Cl A,CIC,9.85,9.9,9.84,9.87,0.02,0.2,"13,549",10.1,9.6,...,...,...,1.96,Thursday,Thursday,6/28/2018
78471,358,Capitol Investment IV Cl A,CIC,9.86,9.86,9.86,9.86,-0.01,-0.1,600,10.1,9.6,...,...,...,1.86,Monday,Monday,7/2/2018
78472,358,Capitol Investment IV Cl A,CIC,9.89,9.9,9.89,9.9,0.04,0.4,600,10.1,9.6,...,...,...,2.27,Tuesday,Tuesday,7/3/2018
78473,358,Capitol Investment IV Cl A,CIC,9.88,9.9,9.88,9.9,...,...,200,10.1,9.6,...,...,...,2.27,Friday,Friday,7/6/2018
78474,360,Capitol Investment IV Cl A,CIC,9.87,9.87,9.87,9.87,-0.03,-0.3,300,10.1,9.6,...,...,...,1.96,Monday,Monday,7/9/2018
78475,358,Capitol Investment IV Cl A,CIC,9.87,9.87,9.85,9.87,...,...,"2,600",10.1,9.6,...,...,...,1.96,Thursday,Thursday,7/12/2018
78476,360,Capitol Investment IV Cl A,CIC,9.86,9.86,9.86,9.86,-0.01,-0.1,300,10.1,9.6,...,...,...,1.86,Friday,Friday,7/13/2018
78477,358,Capitol Investment IV Cl A,CIC,9.86,9.86,9.83,9.86,...,...,"551,098",10.1,9.6,...,...,...,1.86,Tuesday,Tuesday,7/17/2018
78478,359,Capitol Investment IV Cl A,CIC,9.84,9.92,9.83,9.9,0.04,0.41,"801,726",10.1,9.6,...,...,...,2.27,Wednesday,Wednesday,7/18/2018
78479,358,Capitol Investment IV Cl A,CIC,9.86,9.86,9.85,9.85,-0.05,-0.51,"3,700",10.1,9.6,...,...,...,1.76,Thursday,Thursday,7/19/2018
78480,358,Capitol Investment IV Cl A,CIC,9.86,9.86,9.83,9.83,-0.02,-0.2,"5,603",10.1,9.6,...,...,...,1.55,Tuesday,Tuesday,7/24/2018
78481,359,Capitol Investment IV Cl A,CIC,9.85,9.85,9.85,9.85,0.02,0.2,"18,568",10.1,9.6,...,...,...,1.76,Wednesday,Wednesday,7/25/2018
78482,360,Capitol Investment IV Cl A,CIC,9.85,9.85,9.85,9.85,0,-0.01,"13,400",10.1,9.6,...,...,...,1.75,Thursday,Thursday,7/26/2018
78483,361,Capitol Investment IV Cl A,CIC,9.85,9.86,9.84,9.85,...,0.01,"279,545",10.1,9.6,...,...,...,1.76,Wednesday,Wednesday,8/1/2018
78484,360,Capitol Investment IV Cl A,CIC,9.87,9.87,9.87,9.87,0.02,0.2,"3,000",10.1,9.6,...,...,...,1.96,Thursday,Thursday,8/2/2018
78485,363,Capitol Investment IV Cl A,CIC,9.87,9.87,9.87,9.87,...,...,"35,100",10.1,9.6,...,...,...,1.96,Friday,Friday,8/3/2018
78486,362,Capitol Investment IV Cl A,CIC,9.87,9.87,9.87,9.87,...,...,"30,918",10.1,9.6,...,...,...,1.96,Monday,Monday,8/6/2018
78487,361,Capitol Investment IV Cl A,CIC,9.85,9.87,9.85,9.87,...,...,805,10.1,9.6,...,...,...,1.96,Wednesday,Wednesday,8/8/2018
78488,360,Capitol Investment IV Cl A,CIC,9.87,9.87,9.87,9.87,...,...,452,10.1,9.6,...,...,...,1.96,Thursday,Thursday,8/9/2018
78489,363,Capitol Investment IV Cl A,CIC,9.84,9.84,9.84,9.84,-0.03,-0.3,108,10.1,9.6,...,...,...,1.65,Wednesday,Wednesday,8/15/2018
78490,362,Capitol Investment IV Cl A,CIC,9.84,9.86,9.84,9.85,0.01,0.1,"101,486",10.1,9.6,...,...,...,1.76,Monday,Monday,8/20/2018
78491,360,Capitol Investment IV Cl A,CIC,9.87,9.87,9.85,9.85,...,...,"12,899",10.1,9.6,...,...,...,1.76,Thursday,Thursday,8/23/2018
78492,362,Capitol Investment IV Cl A,CIC,9.87,9.87,9.87,9.87,0.02,0.2,"2,468",10.1,9.6,...,...,...,1.96,Friday,Friday,8/24/2018
