,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
84388,472,Comerica,CMA,94.77,96.29,93.85,95.93,1.66,1.76,"1,584,733",102.66,64.04,1.2,1.25,23.16,10.51,Thursday,Thursday,3/29/2018
84389,471,Comerica,CMA,96.32,97.23,95.9,96.26,-1.12,-1.15,"781,852",102.66,64.04,1.2,1.25,23.24,10.89,Wednesday,Wednesday,4/11/2018
84390,471,Comerica,CMA,97.19,99.1,96.76,98.48,2.22,2.31,"1,172,904",102.66,64.04,1.2,1.22,23.77,13.44,Thursday,Thursday,4/12/2018
84391,470,Comerica,CMA,94.6,94.9,91.95,92.74,-3.37,-3.51,"4,042,573",102.66,64.04,1.2,1.29,22.39,6.83,Tuesday,Tuesday,4/17/2018
84392,470,Comerica,CMA,92.92,94.54,92.11,93.28,0.54,0.58,"2,168,322",102.66,64.04,1.2,1.29,20.18,7.45,Wednesday,Wednesday,4/18/2018
84393,472,Comerica,CMA,93.51,95.43,93.25,95.04,1.76,1.89,"1,708,191",102.66,64.04,1.2,1.26,20.56,9.48,Thursday,Thursday,4/19/2018
84394,469,Comerica,CMA,95.02,96.27,94.86,95.49,0.45,0.47,"1,529,780",102.66,64.04,1.2,1.26,20.66,10,Friday,Friday,4/20/2018
84395,471,Comerica,CMA,96.83,98.25,95.11,96.27,0.26,0.27,"1,455,259",102.66,64.04,1.2,1.25,20.83,10.9,Tuesday,Tuesday,4/24/2018
84396,473,Comerica,CMA,95.86,96.81,94.71,96.07,-0.2,-0.21,"1,057,188",102.66,64.04,1.36,1.42,20.78,10.67,Wednesday,Wednesday,4/25/2018
84397,472,Comerica,CMA,95.41,96.48,95.3,96.29,0.59,0.62,"1,207,092",102.66,64.04,1.36,1.41,20.83,10.92,Friday,Friday,4/27/2018
84398,472,Comerica,CMA,96.62,97.4,94.57,94.58,-1.71,-1.78,"841,110",102.66,64.04,1.36,1.44,20.46,8.95,Monday,Monday,4/30/2018
84399,476,Comerica,CMA,94.42,95.06,93.45,94.85,0.27,0.29,"987,116",102.66,64.04,1.36,1.43,20.52,9.26,Tuesday,Tuesday,5/1/2018
84400,474,Comerica,CMA,93.91,94.02,91.53,92.98,-1.32,-1.4,"1,430,853",102.66,64.04,1.36,1.46,20.11,7.11,Thursday,Thursday,5/3/2018
84401,471,Comerica,CMA,92.07,94.7,91.49,94.08,1.1,1.18,"877,573",102.66,64.04,1.36,1.45,20.35,8.37,Friday,Friday,5/4/2018
84402,475,Comerica,CMA,94.37,94.63,93.29,94.05,-0.03,-0.03,"1,120,002",102.66,64.04,1.36,1.45,20.35,8.34,Monday,Monday,5/7/2018
84403,474,Comerica,CMA,94.28,96.81,94.21,95.77,1.72,1.83,"1,580,963",102.66,64.04,1.36,1.42,20.72,10.32,Tuesday,Tuesday,5/8/2018
84404,476,Comerica,CMA,96.29,97.77,95.73,97.32,1.55,1.62,"949,468",102.66,64.04,1.36,1.4,21.05,12.11,Wednesday,Wednesday,5/9/2018
84405,476,Comerica,CMA,97.24,98.58,96.74,97.91,0.59,0.61,"836,144",102.66,64.04,1.36,1.39,21.18,12.79,Thursday,Thursday,5/10/2018
84406,475,Comerica,CMA,98.15,98.62,97.28,97.9,-0.01,-0.01,"956,051",102.66,64.04,1.36,1.39,21.18,12.78,Friday,Friday,5/11/2018
84407,474,Comerica,CMA,98.36,98.6,97.46,98.02,0.12,0.12,"962,275",102.66,64.04,1.36,1.39,21.2,12.91,Monday,Monday,5/14/2018
84408,475,Comerica,CMA,97.73,99.25,97.73,98.4,0.38,0.39,"1,137,085",102.66,64.04,1.36,1.38,21.29,13.35,Tuesday,Tuesday,5/15/2018
84409,476,Comerica,CMA,98.1,99.6,98.1,99.02,0.62,0.63,"1,158,026",102.66,64.04,1.36,1.37,21.42,14.07,Wednesday,Wednesday,5/16/2018
84410,475,Comerica,CMA,98.68,99.48,98.14,99.37,0.35,0.35,"1,269,807",102.66,64.04,1.36,1.37,21.5,14.47,Thursday,Thursday,5/17/2018
84411,475,Comerica,CMA,99.03,99.27,98.11,98.36,-1.01,-1.02,"965,642",102.66,64.04,1.36,1.38,21.28,13.3,Friday,Friday,5/18/2018
84412,474,Comerica,CMA,98.69,99.65,98.58,98.8,0.44,0.45,"1,202,700",102.66,64.04,1.36,1.38,21.37,13.81,Monday,Monday,5/21/2018
84413,476,Comerica,CMA,99.1,101.05,99,100.31,1.51,1.53,"1,294,691",102.66,64.04,1.36,1.36,21.7,15.55,Tuesday,Tuesday,5/22/2018
84414,476,Comerica,CMA,99.6,100.25,98.45,98.99,-1.32,-1.32,"1,341,032",102.66,64.04,1.36,1.37,21.41,14.03,Wednesday,Wednesday,5/23/2018
84415,475,Comerica,CMA,98.66,99.19,97.04,99,0.01,0.01,"933,118",102.66,64.04,1.36,1.37,21.42,14.04,Thursday,Thursday,5/24/2018
84416,478,Comerica,CMA,98.07,98.71,97.46,97.76,-1.24,-1.25,"1,007,812",102.66,64.04,1.36,1.39,21.15,12.61,Friday,Friday,5/25/2018
84417,475,Comerica,CMA,96.37,96.81,93.15,93.76,-4,-4.09,"1,942,772",102.66,64.04,1.36,1.45,20.28,8.01,Tuesday,Tuesday,5/29/2018
84418,477,Comerica,CMA,95.13,95.57,94.02,95,1.24,1.32,"1,393,122",102.66,64.04,1.36,1.43,20.55,9.43,Wednesday,Wednesday,5/30/2018
84419,477,Comerica,CMA,94.92,95.54,94,94.29,-0.71,-0.75,"1,701,463",102.66,64.04,1.36,1.44,20.4,8.62,Thursday,Thursday,5/31/2018
84420,477,Comerica,CMA,95.7,96.3,95.27,95.75,1.46,1.55,"1,306,944",102.66,64.04,1.36,1.42,20.71,10.3,Friday,Friday,6/1/2018
84421,477,Comerica,CMA,96.12,96.64,95.86,96.62,0.87,0.91,"1,404,185",102.66,64.04,1.36,1.41,20.9,11.3,Monday,Monday,6/4/2018
84422,475,Comerica,CMA,96.4,96.42,95.29,95.67,-0.95,-0.98,"918,556",102.66,64.04,1.36,1.42,20.7,10.21,Tuesday,Tuesday,6/5/2018
84423,478,Comerica,CMA,96.4,98.25,96.16,97.43,1.76,1.84,"1,957,456",102.66,64.04,1.36,1.4,21.08,12.23,Wednesday,Wednesday,6/6/2018
84424,477,Comerica,CMA,97.85,98.3,96.27,96.72,-0.71,-0.73,"1,948,728",102.66,64.04,1.36,1.41,20.92,11.42,Thursday,Thursday,6/7/2018
84425,476,Comerica,CMA,96.91,97.18,95.96,96.47,-0.25,-0.26,"1,217,674",102.66,64.04,1.36,1.41,20.87,11.13,Friday,Friday,6/8/2018
84426,476,Comerica,CMA,96.62,97.04,94.48,94.71,-1.76,-1.82,"2,125,931",102.66,64.04,1.36,1.44,20.49,9.1,Monday,Monday,6/11/2018
84427,473,Comerica,CMA,95.33,96.52,94.92,95.77,1.06,1.12,"2,008,632",102.66,64.04,1.36,1.42,20.72,10.32,Tuesday,Tuesday,6/12/2018
84428,475,Comerica,CMA,96.31,97.79,95.5,95.88,0.11,0.11,"1,460,364",102.66,64.04,1.36,1.42,20.74,10.45,Wednesday,Wednesday,6/13/2018
84429,474,Comerica,CMA,96.18,96.96,94.41,95.18,-0.36,-0.38,"1,482,680",102.66,64.04,1.36,1.43,20.59,9.64,Thursday,Thursday,6/14/2018
84430,474,Comerica,CMA,94.68,95.19,93.17,94.57,-0.61,-0.64,"2,049,896",102.66,64.04,1.36,1.44,20.46,8.94,Friday,Friday,6/15/2018
84431,475,Comerica,CMA,93.71,95.17,93.05,94.68,0.11,0.12,"1,501,654",102.66,64.04,1.36,1.44,20.48,9.07,Monday,Monday,6/18/2018
84432,476,Comerica,CMA,93.75,95.57,93.64,95.31,0.63,0.67,"1,586,767",102.66,64.04,1.36,1.43,20.62,9.79,Tuesday,Tuesday,6/19/2018
84433,475,Comerica,CMA,96.11,96.35,95.44,95.54,0.23,0.24,"1,325,652",102.66,64.04,1.36,1.42,20.67,10.06,Wednesday,Wednesday,6/20/2018
84434,477,Comerica,CMA,95.45,96.47,94.7,96.01,0.47,0.49,"1,568,807",102.66,64.04,1.36,1.42,20.77,10.6,Thursday,Thursday,6/21/2018
84435,477,Comerica,CMA,97.25,98.25,94.84,95.44,-0.57,-0.59,"3,041,790",102.66,64.04,1.36,1.42,20.65,9.94,Friday,Friday,6/22/2018
84436,479,Comerica,CMA,94.71,94.84,92.71,93.99,-1.45,-1.52,"1,701,024",102.66,64.04,1.36,1.45,20.33,8.27,Monday,Monday,6/25/2018
