,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
86233,455,CMS Energy,CMS,45.16,45.58,45.1,45.29,0.22,0.49,"3,385,331",50.85,40.48,1.43,3.16,27.62,-4.25,Thursday,Thursday,3/29/2018
86234,454,CMS Energy,CMS,44.57,44.75,44.27,44.55,-0.08,-0.18,"2,122,963",50.85,40.48,1.43,3.21,27.16,-5.81,Wednesday,Wednesday,4/11/2018
86235,454,CMS Energy,CMS,44.67,44.73,43.79,43.96,-0.59,-1.32,"2,861,119",50.85,40.48,1.43,3.25,26.8,-7.06,Thursday,Thursday,4/12/2018
86236,453,CMS Energy,CMS,45.09,45.5,44.84,45.26,0.26,0.58,"2,605,124",50.85,40.48,1.43,3.16,27.6,-4.31,Tuesday,Tuesday,4/17/2018
86237,453,CMS Energy,CMS,45.26,45.61,45.06,45.07,-0.19,-0.42,"1,853,961",50.85,40.48,1.43,3.17,27.48,-4.71,Wednesday,Wednesday,4/18/2018
86238,455,CMS Energy,CMS,44.99,45.38,44.81,45.37,0.3,0.67,"3,371,610",50.85,40.48,1.43,3.15,27.66,-4.08,Thursday,Thursday,4/19/2018
86239,452,CMS Energy,CMS,45.4,45.5,45.03,45.19,-0.18,-0.4,"2,723,672",50.85,40.48,1.43,3.16,27.55,-4.46,Friday,Friday,4/20/2018
86240,454,CMS Energy,CMS,45.48,46.05,45.34,45.75,0.38,0.84,"2,999,852",50.85,40.48,1.43,3.13,27.9,-3.28,Tuesday,Tuesday,4/24/2018
86241,456,CMS Energy,CMS,45.66,46.01,45.46,45.86,0.11,0.24,"2,450,769",50.85,40.48,1.43,3.12,27.96,-3.04,Wednesday,Wednesday,4/25/2018
86242,455,CMS Energy,CMS,46.53,47.39,46.31,47.18,0.74,1.59,"2,814,746",50.85,40.48,1.43,3.03,26.45,-0.25,Friday,Friday,4/27/2018
86243,455,CMS Energy,CMS,47.23,47.48,47.05,47.19,0.01,0.02,"3,298,957",50.85,40.48,1.43,3.03,26.45,-0.23,Monday,Monday,4/30/2018
