,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
93075,522,CPFL Energia ADR,CPL,14.82,15.07,14.77,15,0.31,2.11,"81,206",17.69,10.63,0.27,1.82,28.85,30.43,Thursday,Thursday,3/29/2018
93076,521,CPFL Energia ADR,CPL,14.27,14.42,14.23,14.36,0.12,0.84,"69,120",17.69,10.63,0.27,1.9,27.62,24.87,Wednesday,Wednesday,4/11/2018
93077,522,CPFL Energia ADR,CPL,14.37,14.39,14.24,14.28,-0.08,-0.56,"37,224",17.69,10.63,0.27,1.91,27.47,24.17,Thursday,Thursday,4/12/2018
93078,519,CPFL Energia ADR,CPL,14.23,14.34,14.19,14.25,0.08,0.56,"13,295",17.69,10.63,0.27,1.91,27.41,23.91,Tuesday,Tuesday,4/17/2018
93079,521,CPFL Energia ADR,CPL,14.39,14.47,14.37,14.37,0.12,0.84,"18,553",17.69,10.63,0.27,1.9,27.64,24.96,Wednesday,Wednesday,4/18/2018
93080,521,CPFL Energia ADR,CPL,14.23,14.31,14.23,14.24,-0.13,-0.9,"15,906",17.69,10.63,0.27,1.91,27.39,23.83,Thursday,Thursday,4/19/2018
93081,518,CPFL Energia ADR,CPL,14.29,14.29,14.02,14.02,-0.22,-1.54,"15,094",17.69,10.63,0.27,1.94,26.97,21.91,Friday,Friday,4/20/2018
93082,520,CPFL Energia ADR,CPL,13.85,13.91,13.75,13.78,-0.07,-0.51,"15,776",17.69,10.63,0.32,2.35,26.51,19.83,Tuesday,Tuesday,4/24/2018
93083,523,CPFL Energia ADR,CPL,13.65,13.67,13.51,13.61,-0.17,-1.23,"14,875",17.69,10.63,0.32,2.37,26.18,18.35,Wednesday,Wednesday,4/25/2018
93084,522,CPFL Energia ADR,CPL,13.94,14.1,13.94,14.03,0.18,1.3,"18,324",17.69,10.63,0.32,2.3,26.99,22,Friday,Friday,4/27/2018
93085,522,CPFL Energia ADR,CPL,13.89,13.89,13.62,13.69,-0.18,-1.29,"20,021",17.69,10.63,0.32,2.36,26.33,19.04,Monday,Monday,4/30/2018
93086,525,CPFL Energia ADR,CPL,13.69,13.73,13.39,13.7,0.01,0.07,"5,511",17.69,10.63,0.32,2.36,26.35,19.13,Tuesday,Tuesday,5/1/2018
93087,524,CPFL Energia ADR,CPL,13.45,13.45,12.86,13.1,-0.32,-2.38,"37,795",17.69,10.63,0.32,2.47,25.2,13.91,Thursday,Thursday,5/3/2018
93088,522,CPFL Energia ADR,CPL,13.03,13.13,12.85,12.88,-0.22,-1.68,"35,541",17.69,10.63,0.32,2.51,24.77,12,Friday,Friday,5/4/2018
93089,525,CPFL Energia ADR,CPL,12.85,13.15,12.76,12.77,-0.11,-0.85,"51,492",17.69,10.63,0.32,2.53,24.56,11.04,Monday,Monday,5/7/2018
