,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
101355,529,Covia Holdings,CVIA,28,30,24.25,24.5,-3.5,-12.5,"123,471",...,...,...,...,...,...,Friday,Friday,6/1/2018
101356,530,Covia Holdings,CVIA,24.87,25,22.39,24.05,-0.45,-1.84,"307,306",30,22.39,...,...,11.45,...,Monday,Monday,6/4/2018
101357,526,Covia Holdings,CVIA,23.95,24.1,22.5,23.08,-0.97,-4.03,"303,971",30,22.39,...,...,10.99,...,Tuesday,Tuesday,6/5/2018
101358,531,Covia Holdings,CVIA,22.9,23.46,20.97,23.25,0.17,0.74,"832,831",30,20.97,...,...,11.07,...,Wednesday,Wednesday,6/6/2018
101359,528,Covia Holdings,CVIA,23.25,24.55,22.84,24.3,1.05,4.52,"751,929",30,20.97,...,...,11.57,...,Thursday,Thursday,6/7/2018
101360,527,Covia Holdings,CVIA,24.3,24.5,21.82,22.28,-2.02,-8.31,"732,607",30,20.97,...,...,10.61,...,Friday,Friday,6/8/2018
101361,528,Covia Holdings,CVIA,22.29,22.57,21.27,21.66,-0.62,-2.78,"488,881",30,20.97,...,...,10.31,...,Monday,Monday,6/11/2018
101362,525,Covia Holdings,CVIA,21.78,22.5,21.52,21.8,0.14,0.65,"525,580",30,20.97,...,...,10.38,...,Tuesday,Tuesday,6/12/2018
101363,526,Covia Holdings,CVIA,21.95,22.28,21.6,21.85,0.05,0.23,"342,019",30,20.97,...,...,10.4,...,Wednesday,Wednesday,6/13/2018
101364,525,Covia Holdings,CVIA,21.85,22.09,21.59,21.79,-0.06,-0.27,"231,651",30,20.97,...,...,10.38,...,Thursday,Thursday,6/14/2018
101365,526,Covia Holdings,CVIA,21.55,21.69,20.35,20.76,-1.03,-4.73,"784,537",30,20.35,...,...,9.89,...,Friday,Friday,6/15/2018
101366,526,Covia Holdings,CVIA,20.66,21.28,20.44,20.97,0.21,1.01,"248,974",30,20.35,...,...,9.99,...,Monday,Monday,6/18/2018
101367,528,Covia Holdings,CVIA,20.74,20.96,20.5,20.91,-0.06,-0.29,"170,783",30,20.35,...,...,9.96,...,Tuesday,Tuesday,6/19/2018
101368,528,Covia Holdings,CVIA,20.95,21.35,19.85,19.97,-0.94,-4.5,"328,610",30,19.85,...,...,9.51,...,Wednesday,Wednesday,6/20/2018
101369,527,Covia Holdings,CVIA,19.98,20,18.44,18.95,-1.02,-5.11,"567,441",30,18.44,...,...,9.02,...,Thursday,Thursday,6/21/2018
101370,529,Covia Holdings,CVIA,19.45,20.5,19.45,19.74,0.79,4.17,"453,221",30,18.44,...,...,9.4,...,Friday,Friday,6/22/2018
101371,530,Covia Holdings,CVIA,19.2,19.35,18.79,19.08,-0.66,-3.34,"276,589",30,18.44,...,...,9.09,...,Monday,Monday,6/25/2018
101372,527,Covia Holdings,CVIA,19.37,19.92,18.55,19.28,0.2,1.05,"363,030",30,18.44,...,...,9.18,...,Tuesday,Tuesday,6/26/2018
101373,532,Covia Holdings,CVIA,19.75,19.84,18.85,18.95,-0.33,-1.71,"350,662",30,18.44,...,...,9.02,...,Wednesday,Wednesday,6/27/2018
101374,536,Covia Holdings,CVIA,18.85,19.06,18.57,18.8,-0.15,-0.79,"323,341",30,18.44,...,...,8.95,...,Thursday,Thursday,6/28/2018
101375,531,Covia Holdings,CVIA,19.02,19.02,18.36,18.56,-0.24,-1.28,"245,210",30,18.36,...,...,8.84,...,Friday,Friday,6/29/2018
101376,531,Covia Holdings,CVIA,18.4,18.62,18.11,18.56,...,...,"128,591",30,18.11,...,...,8.84,...,Monday,Monday,7/2/2018
101377,527,Covia Holdings,CVIA,19.42,19.43,18.21,18.26,-0.3,-1.62,"97,191",30,18.11,...,...,8.7,...,Tuesday,Tuesday,7/3/2018
101378,532,Covia Holdings,CVIA,18.33,18.49,18.05,18.45,0.19,1.04,"197,303",30,18.05,...,...,8.79,...,Thursday,Thursday,7/5/2018
101379,530,Covia Holdings,CVIA,18.06,18.13,17.53,17.66,-0.79,-4.28,"272,003",30,17.53,...,...,8.41,...,Friday,Friday,7/6/2018
101380,534,Covia Holdings,CVIA,17.66,17.96,17.61,17.94,0.28,1.59,"199,452",30,17.53,...,...,8.54,...,Monday,Monday,7/9/2018
101381,533,Covia Holdings,CVIA,18,18.22,17.36,17.39,-0.55,-3.07,"146,293",30,17.36,...,...,8.28,...,Tuesday,Tuesday,7/10/2018
101382,530,Covia Holdings,CVIA,16.92,17.2,16.57,16.66,-0.73,-4.2,"686,375",30,16.57,...,...,7.93,...,Wednesday,Wednesday,7/11/2018
101383,532,Covia Holdings,CVIA,16.65,16.77,16.25,16.59,-0.07,-0.42,"250,117",30,16.25,...,...,7.9,...,Thursday,Thursday,7/12/2018
101384,534,Covia Holdings,CVIA,16.51,17.13,16.51,16.79,0.2,1.21,"143,043",30,16.25,...,...,8,...,Friday,Friday,7/13/2018
101385,532,Covia Holdings,CVIA,16.67,17.04,16.5,16.94,0.15,0.89,"160,074",30,16.25,...,...,8.07,...,Monday,Monday,7/16/2018
101386,531,Covia Holdings,CVIA,16.84,17.22,16.61,16.69,-0.25,-1.48,"152,346",30,16.25,...,...,7.95,...,Tuesday,Tuesday,7/17/2018
101387,534,Covia Holdings,CVIA,16.65,17.31,16.28,16.71,0.02,0.12,"217,154",30,16.25,...,...,7.96,...,Wednesday,Wednesday,7/18/2018
101388,530,Covia Holdings,CVIA,16.66,16.94,15.96,16.06,-0.65,-3.89,"592,042",30,15.96,...,...,7.65,...,Thursday,Thursday,7/19/2018
101389,530,Covia Holdings,CVIA,16.1,16.3,15.83,15.96,-0.1,-0.62,"327,586",30,15.83,...,...,7.6,...,Friday,Friday,7/20/2018
101390,532,Covia Holdings,CVIA,16.1,16.23,15.71,15.86,-0.1,-0.63,"361,819",30,15.71,...,...,7.55,...,Monday,Monday,7/23/2018
101391,531,Covia Holdings,CVIA,15.86,16.43,15.47,15.57,-0.29,-1.83,"241,561",30,15.47,...,...,7.41,...,Tuesday,Tuesday,7/24/2018
101392,533,Covia Holdings,CVIA,15.52,16.14,15.52,16.05,0.48,3.08,"301,002",30,15.47,...,...,7.64,...,Wednesday,Wednesday,7/25/2018
101393,533,Covia Holdings,CVIA,16.09,17.18,15.74,17.09,1.04,6.48,"168,999",30,15.47,...,...,8.14,...,Thursday,Thursday,7/26/2018
101394,535,Covia Holdings,CVIA,17.19,18.09,17.11,17.9,0.81,4.74,"360,829",30,15.47,...,...,8.52,...,Friday,Friday,7/27/2018
101395,531,Covia Holdings,CVIA,17.98,18.79,17.91,18,0.1,0.56,"287,263",30,15.47,...,...,8.57,...,Monday,Monday,7/30/2018
101396,533,Covia Holdings,CVIA,18.03,18.28,17.66,18.03,0.03,0.17,"182,093",30,15.47,...,...,8.59,...,Tuesday,Tuesday,7/31/2018
101397,533,Covia Holdings,CVIA,17.79,18.2,17.58,18.03,...,...,"234,153",30,15.47,...,...,8.59,...,Wednesday,Wednesday,8/1/2018
101398,532,Covia Holdings,CVIA,17.74,18.5,17.35,17.38,-0.65,-3.61,"272,596",30,15.47,...,...,8.28,...,Thursday,Thursday,8/2/2018
101399,537,Covia Holdings,CVIA,17.38,17.91,16.84,16.96,-0.42,-2.42,"192,491",30,15.47,...,...,8.08,...,Friday,Friday,8/3/2018
101400,536,Covia Holdings,CVIA,17.05,17.37,16.77,16.85,-0.11,-0.65,"156,726",30,15.47,...,...,8.02,...,Monday,Monday,8/6/2018
101401,535,Covia Holdings,CVIA,17,17.41,16.66,16.71,-0.14,-0.83,"257,906",30,15.47,...,...,8.13,...,Tuesday,Tuesday,8/7/2018
101402,533,Covia Holdings,CVIA,16.68,16.99,16.34,16.58,-0.13,-0.78,"371,715",30,15.47,...,...,7.9,...,Wednesday,Wednesday,8/8/2018
101403,532,Covia Holdings,CVIA,16.6,16.92,16.45,16.7,0.12,0.72,"396,369",30,15.47,...,...,7.95,...,Thursday,Thursday,8/9/2018
101404,535,Covia Holdings,CVIA,16.61,16.99,16.46,16.95,0.25,1.5,"651,637",30,15.47,...,...,8.07,...,Friday,Friday,8/10/2018
101405,533,Covia Holdings,CVIA,16.8,16.99,15.88,16.54,-0.41,-2.42,"600,630",30,15.47,...,...,7.88,...,Monday,Monday,8/13/2018
101406,536,Covia Holdings,CVIA,15.8,15.8,13.47,13.71,-2.83,-17.11,"1,926,117",30,13.47,...,...,6.53,...,Tuesday,Tuesday,8/14/2018
