,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
101715,549,CVR Refining,CVRR,12.75,13.1,12.61,13.05,0.3,2.35,"403,279",18.25,6.7,1.8,13.79,22.12,-21.15,Thursday,Thursday,3/29/2018
101716,547,CVR Refining,CVRR,15.05,15.5,14.8,15.45,0.35,2.32,"572,587",18.25,6.7,1.8,11.65,26.19,-6.65,Wednesday,Wednesday,4/11/2018
101717,548,CVR Refining,CVRR,15.5,15.65,15.1,15.6,0.15,0.97,"524,905",18.25,6.7,1.8,11.54,26.44,-5.74,Thursday,Thursday,4/12/2018
101718,545,CVR Refining,CVRR,15.9,16.1,15.8,15.95,0.05,0.31,"244,371",18.25,6.7,1.8,11.29,27.03,-3.63,Tuesday,Tuesday,4/17/2018
101719,547,CVR Refining,CVRR,16,16.4,15.9,16.1,0.15,0.94,"320,485",18.25,6.7,1.8,11.18,27.29,-2.72,Wednesday,Wednesday,4/18/2018
101720,547,CVR Refining,CVRR,16.1,16.3,15.95,16.1,...,...,"216,619",18.25,6.7,1.8,11.18,27.29,-2.72,Thursday,Thursday,4/19/2018
101721,544,CVR Refining,CVRR,16.05,16.25,15.7,16.1,...,...,"307,321",18.25,6.7,1.8,11.18,27.29,-2.72,Friday,Friday,4/20/2018
101722,546,CVR Refining,CVRR,16.05,16.6,16.05,16.6,0.5,3.11,"453,383",18.25,6.7,1.8,10.84,28.14,0.3,Tuesday,Tuesday,4/24/2018
101723,549,CVR Refining,CVRR,16.5,17,16.25,17,0.4,2.41,"525,415",18.25,6.7,1.8,10.59,28.81,2.72,Wednesday,Wednesday,4/25/2018
101724,548,CVR Refining,CVRR,17.75,17.75,16.8,17,-0.65,-3.68,"666,431",18.25,6.7,2.04,12,15.04,2.72,Friday,Friday,4/27/2018
101725,548,CVR Refining,CVRR,17.4,17.85,17.15,17.2,0.2,1.18,"745,037",18.25,6.7,2.04,11.86,15.22,3.93,Monday,Monday,4/30/2018
