,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
106331,597,Donaldson,DCI,44.21,45.43,44.21,45.05,1.34,3.07,"518,320",52.2,42.59,0.72,1.6,44.38,-7.97,Thursday,Thursday,3/29/2018
106332,595,Donaldson,DCI,44.26,44.44,44,44.36,-0.21,-0.47,"419,156",52.2,42.59,0.72,1.62,43.7,-9.38,Wednesday,Wednesday,4/11/2018
106333,596,Donaldson,DCI,44.56,44.71,44.28,44.53,0.17,0.38,"265,915",52.2,42.59,0.72,1.62,43.87,-9.03,Thursday,Thursday,4/12/2018
106334,593,Donaldson,DCI,45.35,45.62,45.22,45.4,0.26,0.58,"235,005",52.2,42.59,0.72,1.59,44.73,-7.25,Tuesday,Tuesday,4/17/2018
106335,595,Donaldson,DCI,45.57,46.01,45.38,45.71,0.31,0.68,"562,436",52.2,42.59,0.72,1.58,45.03,-6.62,Wednesday,Wednesday,4/18/2018
106336,595,Donaldson,DCI,45.61,45.75,45.15,45.54,-0.17,-0.37,"179,577",52.2,42.59,0.72,1.58,44.87,-6.97,Thursday,Thursday,4/19/2018
106337,592,Donaldson,DCI,45.56,45.67,45.33,45.55,0.01,0.02,"221,124",52.2,42.59,0.72,1.58,44.88,-6.95,Friday,Friday,4/20/2018
106338,594,Donaldson,DCI,45.82,45.88,44.45,44.92,-0.59,-1.3,"747,232",52.2,42.59,0.72,1.6,44.26,-8.23,Tuesday,Tuesday,4/24/2018
106339,597,Donaldson,DCI,44.82,45.37,44.62,45.09,0.17,0.38,"429,839",52.2,42.59,0.72,1.6,44.42,-7.89,Wednesday,Wednesday,4/25/2018
106340,596,Donaldson,DCI,45,45.3,44.62,45.13,0.04,0.09,"288,067",52.2,42.59,0.72,1.6,44.46,-7.8,Friday,Friday,4/27/2018
106341,596,Donaldson,DCI,45.2,45.38,44.24,44.26,-0.87,-1.93,"645,983",52.2,42.59,0.72,1.63,43.61,-9.58,Monday,Monday,4/30/2018
106342,599,Donaldson,DCI,44.05,44.33,43.66,44.33,0.07,0.16,"391,122",52.2,42.59,0.72,1.62,43.67,-9.44,Tuesday,Tuesday,5/1/2018
106343,598,Donaldson,DCI,44.34,44.73,43.75,44.47,0.01,0.02,"516,562",52.2,42.59,0.72,1.62,43.81,-9.15,Thursday,Thursday,5/3/2018
106344,596,Donaldson,DCI,44.29,45.51,44.16,45.28,0.81,1.82,"170,943",52.2,42.59,0.72,1.59,44.61,-7.5,Friday,Friday,5/4/2018
106345,599,Donaldson,DCI,45.4,46.43,45.35,46.32,1.04,2.3,"560,207",52.2,42.59,0.72,1.55,45.64,-5.37,Monday,Monday,5/7/2018
106346,598,Donaldson,DCI,46.29,46.69,46.26,46.57,0.25,0.54,"287,442",52.2,42.59,0.72,1.55,45.88,-4.86,Tuesday,Tuesday,5/8/2018
106347,600,Donaldson,DCI,46.76,46.94,46.44,46.91,0.34,0.73,"274,587",52.2,42.59,0.72,1.53,46.22,-4.17,Wednesday,Wednesday,5/9/2018
106348,598,Donaldson,DCI,47,47.38,46.94,47.01,0.1,0.21,"283,701",52.2,42.59,0.72,1.53,46.32,-3.96,Thursday,Thursday,5/10/2018
106349,599,Donaldson,DCI,47.1,47.41,46.98,47.37,0.36,0.77,"260,059",52.2,42.59,0.72,1.52,46.67,-3.23,Friday,Friday,5/11/2018
106350,599,Donaldson,DCI,47.37,47.49,46.97,47.12,-0.25,-0.53,"365,539",52.2,42.59,0.72,1.53,46.42,-3.74,Monday,Monday,5/14/2018
106351,600,Donaldson,DCI,46.88,47.39,46.78,47.38,0.26,0.55,"200,524",52.2,42.59,0.72,1.52,46.68,-3.21,Tuesday,Tuesday,5/15/2018
106352,601,Donaldson,DCI,47.47,47.63,47.23,47.42,0.04,0.08,"281,747",52.2,42.59,0.72,1.52,46.72,-3.13,Wednesday,Wednesday,5/16/2018
106353,598,Donaldson,DCI,47.42,47.93,47.36,47.4,-0.02,-0.04,"319,660",52.2,42.59,0.72,1.52,46.7,-3.17,Thursday,Thursday,5/17/2018
106354,600,Donaldson,DCI,47.42,47.77,47.41,47.61,0.21,0.44,"265,623",52.2,42.59,0.72,1.51,46.91,-2.74,Friday,Friday,5/18/2018
106355,600,Donaldson,DCI,47.93,48.45,47.92,48.27,0.66,1.39,"408,798",52.2,42.59,0.72,1.49,47.56,-1.39,Monday,Monday,5/21/2018
106356,599,Donaldson,DCI,48.37,48.59,47.64,47.66,-0.61,-1.26,"300,746",52.2,42.59,0.72,1.51,46.96,-2.64,Tuesday,Tuesday,5/22/2018
106357,600,Donaldson,DCI,47.44,47.94,47.15,47.6,-0.06,-0.13,"598,949",52.2,42.59,0.72,1.51,46.9,-2.76,Wednesday,Wednesday,5/23/2018
106358,599,Donaldson,DCI,47.49,47.71,47.2,47.56,-0.04,-0.08,"351,633",52.2,42.59,0.76,1.6,46.86,-2.84,Thursday,Thursday,5/24/2018
106359,604,Donaldson,DCI,47.39,47.73,47.23,47.41,-0.15,-0.32,"258,731",52.2,42.59,0.76,1.6,46.71,-3.15,Friday,Friday,5/25/2018
106360,601,Donaldson,DCI,46.93,47.37,46.65,46.88,-0.53,-1.12,"278,223",52.2,42.59,0.76,1.62,46.19,-4.23,Tuesday,Tuesday,5/29/2018
106361,601,Donaldson,DCI,47.14,47.94,47.1,47.62,0.74,1.58,"477,191",52.2,42.59,0.76,1.6,46.92,-2.72,Wednesday,Wednesday,5/30/2018
106362,603,Donaldson,DCI,47.77,48.14,46.84,47.2,-0.42,-0.88,"589,751",52.2,42.59,0.76,1.61,46.5,-3.58,Thursday,Thursday,5/31/2018
106363,604,Donaldson,DCI,47.52,47.59,46.16,46.22,-0.98,-2.08,"649,755",52.2,42.59,0.76,1.64,42.21,-5.58,Friday,Friday,6/1/2018
106364,605,Donaldson,DCI,46.51,46.93,46.3,46.68,0.46,1,"497,934",52.2,42.59,0.76,1.63,42.63,-4.64,Monday,Monday,6/4/2018
106365,601,Donaldson,DCI,46.74,47.17,46.48,47.07,0.39,0.84,"358,350",52.2,42.59,0.76,1.61,42.99,-3.84,Tuesday,Tuesday,6/5/2018
106366,606,Donaldson,DCI,47.13,47.7,46.9,47.7,0.63,1.34,"367,513",52.2,42.59,0.76,1.59,43.56,-2.55,Wednesday,Wednesday,6/6/2018
106367,603,Donaldson,DCI,47.8,48.23,47.77,48.09,0.39,0.82,"466,812",52.2,42.59,0.76,1.58,43.92,-1.76,Thursday,Thursday,6/7/2018
106368,602,Donaldson,DCI,47.9,48.21,47.87,48.18,0.28,0.58,"417,407",52.2,42.59,0.76,1.58,44,-1.57,Friday,Friday,6/8/2018
106369,603,Donaldson,DCI,48.18,48.7,48.08,48.54,0.36,0.75,"323,716",52.2,42.59,0.76,1.57,44.33,-0.84,Monday,Monday,6/11/2018
106370,600,Donaldson,DCI,48.54,48.72,48.15,48.65,0.11,0.23,"267,516",52.2,42.59,0.76,1.56,44.43,-0.61,Tuesday,Tuesday,6/12/2018
106371,601,Donaldson,DCI,48.63,48.76,47.79,47.93,-0.72,-1.48,"448,014",52.2,42.59,0.76,1.59,43.77,-2.08,Wednesday,Wednesday,6/13/2018
106372,600,Donaldson,DCI,48.08,48.19,47.66,47.98,0.05,0.1,"286,760",52.2,42.59,0.76,1.58,43.82,-1.98,Thursday,Thursday,6/14/2018
106373,601,Donaldson,DCI,47.8,48.04,47.19,47.95,-0.03,-0.06,"726,460",52.2,42.59,0.76,1.58,43.79,-2.04,Friday,Friday,6/15/2018
106374,601,Donaldson,DCI,47.63,47.87,47.34,47.79,-0.16,-0.33,"360,036",52.2,42.59,0.76,1.59,43.64,-2.37,Monday,Monday,6/18/2018
106375,603,Donaldson,DCI,47.3,47.45,46.16,46.8,-0.99,-2.07,"588,845",52.2,42.59,0.76,1.62,42.74,-4.39,Tuesday,Tuesday,6/19/2018
106376,603,Donaldson,DCI,46.92,47.12,46.5,46.84,0.04,0.09,"310,993",52.2,42.59,0.76,1.62,42.78,-4.31,Wednesday,Wednesday,6/20/2018
106377,602,Donaldson,DCI,46.67,46.7,45.65,45.75,-1.09,-2.33,"475,696",52.2,42.59,0.76,1.66,41.78,-6.54,Thursday,Thursday,6/21/2018
106378,604,Donaldson,DCI,46.16,46.22,45.73,45.82,0.07,0.15,"611,961",52.2,42.59,0.76,1.66,41.84,-6.39,Friday,Friday,6/22/2018
106379,605,Donaldson,DCI,45.63,45.65,44.84,45.37,-0.45,-0.98,"656,135",52.2,42.59,0.76,1.68,41.43,-7.31,Monday,Monday,6/25/2018
106380,603,Donaldson,DCI,45.5,45.86,45.42,45.52,0.15,0.33,"678,120",52.2,42.59,0.76,1.67,41.57,-7.01,Tuesday,Tuesday,6/26/2018
106381,607,Donaldson,DCI,45.68,46.07,45.2,45.25,-0.27,-0.59,"466,055",52.2,42.59,0.76,1.68,41.32,-7.56,Wednesday,Wednesday,6/27/2018
106382,611,Donaldson,DCI,45.23,45.45,44.92,45.11,-0.14,-0.31,"595,000",52.2,42.59,0.76,1.68,41.2,-7.84,Thursday,Thursday,6/28/2018
106383,607,Donaldson,DCI,45.22,45.61,45.11,45.12,0.01,0.02,"520,210",52.2,42.59,0.76,1.68,41.21,-7.82,Friday,Friday,6/29/2018
106384,606,Donaldson,DCI,44.73,44.9,44.36,44.65,-0.47,-1.04,"401,763",52.2,42.59,0.76,1.7,40.78,-8.78,Monday,Monday,7/2/2018
106385,604,Donaldson,DCI,44.8,45.22,44.42,44.49,-0.16,-0.36,"167,989",52.2,42.59,0.76,1.71,40.63,-9.11,Tuesday,Tuesday,7/3/2018
106386,609,Donaldson,DCI,44.75,44.95,44.48,44.92,0.43,0.97,"200,398",52.2,42.59,0.76,1.69,41.02,-8.23,Thursday,Thursday,7/5/2018
106387,607,Donaldson,DCI,44.81,45.29,44.42,45.06,0.14,0.31,"255,447",52.2,42.59,0.76,1.69,41.15,-7.95,Friday,Friday,7/6/2018
106388,611,Donaldson,DCI,45.2,46.04,45.2,45.85,0.79,1.75,"430,968",52.2,42.59,0.76,1.66,41.87,-6.33,Monday,Monday,7/9/2018
106389,610,Donaldson,DCI,45.93,46.31,45.7,46,0.15,0.33,"254,334",52.2,42.59,0.76,1.65,42.01,-6.03,Tuesday,Tuesday,7/10/2018
106390,607,Donaldson,DCI,45.58,45.95,45,45.23,-0.77,-1.67,"244,126",52.2,42.59,0.76,1.68,41.31,-7.6,Wednesday,Wednesday,7/11/2018
106391,609,Donaldson,DCI,45.44,45.52,45.04,45.4,0.17,0.38,"201,004",52.2,42.59,0.76,1.67,41.46,-7.25,Thursday,Thursday,7/12/2018
106392,611,Donaldson,DCI,45.42,46.02,45.39,45.76,0.36,0.79,"156,122",52.2,42.59,0.76,1.66,41.79,-6.52,Friday,Friday,7/13/2018
106393,609,Donaldson,DCI,45.68,45.8,45.35,45.43,-0.33,-0.72,"185,289",52.2,42.59,0.76,1.67,41.49,-7.19,Monday,Monday,7/16/2018
106394,608,Donaldson,DCI,45.44,45.83,45.21,45.43,...,...,"413,025",52.2,42.59,0.76,1.67,41.49,-7.19,Tuesday,Tuesday,7/17/2018
