,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
111578,567,Delek US Holdings,DK,39.72,40.9,39.53,40.7,1.3,3.3,"1,402,825",41.19,20.65,0.8,1.97,11.94,16.49,Thursday,Thursday,3/29/2018
111579,565,Delek US Holdings,DK,44.29,44.95,43.59,44.54,0.43,0.97,"1,481,393",44.95,20.65,0.8,1.8,13.06,27.48,Wednesday,Wednesday,4/11/2018
111580,566,Delek US Holdings,DK,44.49,44.52,42.04,42.64,-1.9,-4.27,"2,667,878",44.95,20.65,0.8,1.88,12.51,22.04,Thursday,Thursday,4/12/2018
111581,563,Delek US Holdings,DK,46,46.41,45.11,46.27,0.55,1.2,"1,101,409",46.41,20.65,0.8,1.73,13.57,32.43,Tuesday,Tuesday,4/17/2018
111582,565,Delek US Holdings,DK,46.5,47.18,46.01,46.62,0.35,0.76,"1,272,865",47.18,20.65,0.8,1.72,13.67,33.43,Wednesday,Wednesday,4/18/2018
111583,565,Delek US Holdings,DK,46.61,46.61,45.68,46.29,-0.33,-0.71,"1,091,818",47.18,20.65,0.8,1.73,13.58,32.48,Thursday,Thursday,4/19/2018
111584,562,Delek US Holdings,DK,46.27,46.83,45.77,46.76,0.47,1.02,"980,073",47.18,20.65,0.8,1.71,13.72,33.83,Friday,Friday,4/20/2018
111585,564,Delek US Holdings,DK,47.33,49.17,47.2,47.47,0.22,0.47,"2,188,834",49.17,20.65,0.8,1.69,13.92,35.86,Tuesday,Tuesday,4/24/2018
111586,567,Delek US Holdings,DK,47.47,47.54,45.93,47.25,-0.22,-0.46,"2,546,366",49.17,20.65,0.8,1.69,13.86,35.23,Wednesday,Wednesday,4/25/2018
111587,566,Delek US Holdings,DK,48.06,48.16,46.14,46.58,-1.79,-3.7,"1,242,558",49.17,20.65,0.8,1.72,13.66,33.31,Friday,Friday,4/27/2018
111588,566,Delek US Holdings,DK,47.5,49.29,47.28,47.37,0.79,1.7,"2,159,919",49.29,20.65,0.8,1.69,13.89,35.58,Monday,Monday,4/30/2018
111589,569,Delek US Holdings,DK,47,47.47,46.46,47.35,-0.02,-0.04,"1,891,928",49.29,20.65,0.8,1.69,13.89,35.52,Tuesday,Tuesday,5/1/2018
111590,568,Delek US Holdings,DK,48.11,50.36,48.1,49.84,1.52,3.15,"2,893,824",50.36,20.65,0.8,1.61,14.62,42.64,Thursday,Thursday,5/3/2018
111591,566,Delek US Holdings,DK,49.61,49.77,48.85,49.4,-0.44,-0.88,"1,326,507",50.36,20.65,0.8,1.62,14.49,41.39,Friday,Friday,5/4/2018
111592,569,Delek US Holdings,DK,50,50.25,48.12,48.17,-1.23,-2.49,"2,314,962",50.36,20.65,0.8,1.66,14.13,37.86,Monday,Monday,5/7/2018
111593,568,Delek US Holdings,DK,47.97,49.96,46.13,49.47,1.3,2.7,"2,660,010",50.36,20.65,0.8,1.62,14.51,41.59,Tuesday,Tuesday,5/8/2018
