,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
115658,606,DRDGOLD ADR,DRD,2.73,2.78,2.68,2.73,-0.02,-0.73,"103,922",5.23,2.65,0.17,6.06,21.5,-16.26,Thursday,Thursday,3/29/2018
115659,604,DRDGOLD ADR,DRD,2.75,2.78,2.65,2.75,0.09,3.38,"178,803",5.14,2.63,0.17,6.02,21.65,-15.64,Wednesday,Wednesday,4/11/2018
115660,605,DRDGOLD ADR,DRD,2.82,2.82,2.6,2.66,-0.09,-3.27,"114,623",5.11,2.6,0.17,6.22,20.94,-18.4,Thursday,Thursday,4/12/2018
115661,602,DRDGOLD ADR,DRD,2.57,2.58,2.47,2.54,-0.1,-3.79,"169,490",4.85,2.47,0.17,6.51,20,-22.09,Tuesday,Tuesday,4/17/2018
115662,604,DRDGOLD ADR,DRD,2.58,2.64,2.52,2.59,0.05,1.97,"124,873",4.72,2.47,0.17,6.39,20.39,-20.55,Wednesday,Wednesday,4/18/2018
115663,604,DRDGOLD ADR,DRD,2.61,2.63,2.52,2.58,-0.01,-0.39,"55,245",4.6,2.47,0.17,6.41,20.31,-20.86,Thursday,Thursday,4/19/2018
115664,601,DRDGOLD ADR,DRD,2.53,2.54,2.45,2.47,-0.11,-4.26,"94,336",4.6,2.45,0.17,6.7,19.45,-24.23,Friday,Friday,4/20/2018
115665,603,DRDGOLD ADR,DRD,2.41,2.42,2.35,2.41,0.03,1.26,"90,265",4.3,2.35,0.17,6.87,18.98,-26.07,Tuesday,Tuesday,4/24/2018
115666,606,DRDGOLD ADR,DRD,2.41,2.43,2.37,2.38,-0.03,-1.24,"31,886",4.17,2.35,0.17,6.95,18.74,-26.99,Wednesday,Wednesday,4/25/2018
115667,605,DRDGOLD ADR,DRD,2.35,2.39,2.32,2.35,-0.01,-0.59,"63,013",4.17,2.32,0.17,7.05,18.47,-28.03,Friday,Friday,4/27/2018
115668,605,DRDGOLD ADR,DRD,2.33,2.35,2.25,2.29,-0.06,-2.39,"138,018",4.17,2.25,0.17,7.23,18.03,-29.75,Monday,Monday,4/30/2018
115669,609,DRDGOLD ADR,DRD,2.29,2.33,2.23,2.25,-0.04,-1.75,"158,302",4.17,2.23,0.17,7.35,17.72,-30.98,Tuesday,Tuesday,5/1/2018
115670,607,DRDGOLD ADR,DRD,2.42,2.55,2.42,2.55,0.15,6.25,"102,238",4.17,2.23,0.17,6.49,20.08,-21.78,Thursday,Thursday,5/3/2018
115671,606,DRDGOLD ADR,DRD,2.51,2.57,2.48,2.5,-0.05,-1.96,"39,334",4.17,2.23,0.17,6.62,19.69,-23.31,Friday,Friday,5/4/2018
115672,608,DRDGOLD ADR,DRD,2.5,2.51,2.39,2.47,-0.03,-1.2,"31,551",4.11,2.23,0.17,6.7,19.45,-24.23,Monday,Monday,5/7/2018
115673,608,DRDGOLD ADR,DRD,2.4,2.52,2.37,2.47,...,...,"43,079",4.11,2.23,0.17,6.7,19.45,-24.23,Tuesday,Tuesday,5/8/2018
115674,609,DRDGOLD ADR,DRD,2.45,2.56,2.41,2.52,0.05,2.02,"43,579",4.11,2.23,0.17,6.57,19.84,-22.7,Wednesday,Wednesday,5/9/2018
115675,607,DRDGOLD ADR,DRD,2.61,2.63,2.51,2.61,0.09,3.57,"59,379",4.11,2.23,0.17,6.34,20.55,-19.94,Thursday,Thursday,5/10/2018
115676,608,DRDGOLD ADR,DRD,2.65,2.68,2.57,2.59,-0.02,-0.77,"61,041",4.11,2.23,0.17,6.39,20.39,-20.55,Friday,Friday,5/11/2018
115677,608,DRDGOLD ADR,DRD,2.63,2.63,2.48,2.51,-0.08,-3.09,"47,555",4.11,2.23,0.17,6.59,19.76,-23.01,Monday,Monday,5/14/2018
115678,609,DRDGOLD ADR,DRD,2.43,2.52,2.43,2.48,-0.03,-1.2,"56,712",4.11,2.23,0.17,6.67,19.53,-23.93,Tuesday,Tuesday,5/15/2018
115679,610,DRDGOLD ADR,DRD,2.46,2.51,2.43,2.44,-0.04,-1.61,"22,338",4.11,2.23,0.17,6.78,19.21,-25.15,Wednesday,Wednesday,5/16/2018
115680,607,DRDGOLD ADR,DRD,2.44,2.53,2.43,2.44,...,0.2,"34,211",4.11,2.23,0.17,6.77,19.25,-25,Thursday,Thursday,5/17/2018
115681,609,DRDGOLD ADR,DRD,2.46,2.62,2.46,2.6,0.16,6.34,"77,151",4.11,2.23,0.17,6.36,20.47,-20.25,Friday,Friday,5/18/2018
115682,609,DRDGOLD ADR,DRD,2.46,2.51,2.42,2.48,-0.12,-4.62,"46,007",4.11,2.23,0.17,6.67,19.53,-23.93,Monday,Monday,5/21/2018
115683,608,DRDGOLD ADR,DRD,2.51,2.6,2.5,2.53,0.05,2.02,"41,100",4.11,2.23,0.17,6.54,19.92,-22.39,Tuesday,Tuesday,5/22/2018
115684,609,DRDGOLD ADR,DRD,2.55,2.57,2.5,2.54,0.01,0.4,"44,234",4.11,2.23,0.17,6.51,20,-22.09,Wednesday,Wednesday,5/23/2018
115685,608,DRDGOLD ADR,DRD,2.53,2.62,2.53,2.62,0.08,3.15,"58,448",4.11,2.23,0.17,6.32,20.63,-19.63,Thursday,Thursday,5/24/2018
115686,613,DRDGOLD ADR,DRD,2.6,2.77,2.6,2.68,0.06,2.29,"65,836",4.11,2.23,0.17,6.17,21.1,-17.79,Friday,Friday,5/25/2018
115687,610,DRDGOLD ADR,DRD,2.72,2.76,2.65,2.69,0.01,0.37,"72,795",4.11,2.23,0.17,6.15,21.18,-17.48,Tuesday,Tuesday,5/29/2018
115688,610,DRDGOLD ADR,DRD,2.67,2.73,2.6,2.63,-0.06,-2.23,"59,344",4.11,2.23,0.17,6.29,20.71,-19.33,Wednesday,Wednesday,5/30/2018
115689,612,DRDGOLD ADR,DRD,2.66,2.79,2.65,2.73,0.1,3.8,"70,362",4.11,2.23,0.17,6.06,21.5,-16.26,Thursday,Thursday,5/31/2018
115690,613,DRDGOLD ADR,DRD,2.72,2.8,2.72,2.79,0.06,2.2,"63,283",4.11,2.23,0.17,5.93,21.97,-14.42,Friday,Friday,6/1/2018
115691,614,DRDGOLD ADR,DRD,2.79,2.79,2.64,2.7,-0.09,-3.23,"35,720",4.11,2.23,0.17,6.13,21.26,-17.18,Monday,Monday,6/4/2018
115692,610,DRDGOLD ADR,DRD,2.65,2.71,2.61,2.67,-0.03,-1.11,"46,872",4.11,2.23,0.17,6.2,21.02,-18.1,Tuesday,Tuesday,6/5/2018
115693,615,DRDGOLD ADR,DRD,2.67,2.78,2.63,2.71,0.04,1.49,"39,724",4.11,2.23,0.17,6.11,21.34,-16.87,Wednesday,Wednesday,6/6/2018
115694,612,DRDGOLD ADR,DRD,2.75,2.88,2.65,2.65,-0.06,-2.21,"108,337",4.11,2.23,0.17,6.24,20.87,-18.71,Thursday,Thursday,6/7/2018
115695,611,DRDGOLD ADR,DRD,2.76,2.83,2.6,2.73,0.08,3.02,"85,532",4.11,2.23,0.17,6.06,21.5,-16.26,Friday,Friday,6/8/2018
