,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
120135,296,Brinker International,EAT,36.18,36.58,36.08,36.1,0.01,0.03,"686,313",45.81,29.5,1.52,4.21,13.78,-7.05,Thursday,Thursday,3/29/2018
120136,297,Brinker International,EAT,38.08,39.01,38.03,38.46,0.21,0.55,"652,717",45.81,29.5,1.52,3.95,14.68,-0.98,Wednesday,Wednesday,4/11/2018
120137,295,Brinker International,EAT,38.6,38.72,37.76,37.85,-0.61,-1.59,"864,951",45.81,29.5,1.52,4.02,14.45,-2.55,Thursday,Thursday,4/12/2018
120138,295,Brinker International,EAT,38.84,39.85,38.72,39.34,0.62,1.6,"1,961,209",45.81,29.5,1.52,3.86,15.02,1.29,Tuesday,Tuesday,4/17/2018
120139,294,Brinker International,EAT,39.33,40.63,39.23,39.87,0.53,1.35,"1,109,581",45.81,29.5,1.52,3.81,15.22,2.65,Wednesday,Wednesday,4/18/2018
120140,296,Brinker International,EAT,39.59,40.03,39.22,39.51,-0.36,-0.9,"770,898",45.81,29.5,1.52,3.85,15.08,1.73,Thursday,Thursday,4/19/2018
120141,293,Brinker International,EAT,39.46,39.97,39.27,39.83,0.32,0.81,"955,819",45.81,29.5,1.52,3.82,15.2,2.55,Friday,Friday,4/20/2018
120142,294,Brinker International,EAT,40.7,41.01,40.46,40.56,0.13,0.32,"943,071",45.54,29.5,1.52,3.75,15.48,4.43,Tuesday,Tuesday,4/24/2018
120143,296,Brinker International,EAT,40.58,40.85,40.06,40.62,0.06,0.15,"962,815",45.54,29.5,1.52,3.74,15.5,4.58,Wednesday,Wednesday,4/25/2018
120144,294,Brinker International,EAT,42.73,44.78,42.42,44.65,3.28,7.93,"2,526,916",44.88,29.5,1.52,3.4,17.04,14.96,Friday,Friday,4/27/2018
120145,295,Brinker International,EAT,44.84,45.16,43.32,43.59,-1.06,-2.37,"2,136,887",45.16,29.5,1.52,3.49,16.64,12.23,Monday,Monday,4/30/2018
120146,298,Brinker International,EAT,43.38,46.42,42,44.87,1.28,2.94,"2,987,737",46.42,29.5,1.52,3.39,17.13,15.53,Tuesday,Tuesday,5/1/2018
120147,297,Brinker International,EAT,46.38,46.39,44.49,44.73,-1.71,-3.68,"1,650,737",46.87,29.5,1.52,3.4,16.09,15.16,Thursday,Thursday,5/3/2018
120148,295,Brinker International,EAT,44.85,44.87,44.09,44.25,-0.48,-1.07,"1,772,847",46.87,29.5,1.52,3.44,15.92,13.93,Friday,Friday,5/4/2018
120149,299,Brinker International,EAT,44.46,45.87,44.36,45.63,1.38,3.12,"1,659,741",46.87,29.5,1.52,3.33,16.41,17.48,Monday,Monday,5/7/2018
120150,296,Brinker International,EAT,45.63,46.67,45.47,46.46,0.83,1.82,"899,682",46.87,29.5,1.52,3.27,16.71,19.62,Tuesday,Tuesday,5/8/2018
120151,299,Brinker International,EAT,46.48,47.04,45.87,46.09,-0.37,-0.8,"969,209",47.04,29.5,1.52,3.3,16.58,18.67,Wednesday,Wednesday,5/9/2018
120152,298,Brinker International,EAT,46.07,46.98,46.06,46.51,0.42,0.91,"1,010,947",47.04,29.5,1.52,3.27,16.73,19.75,Thursday,Thursday,5/10/2018
120153,298,Brinker International,EAT,46.61,46.8,44.93,45.3,-1.21,-2.6,"1,321,077",47.04,29.5,1.52,3.36,16.29,16.63,Friday,Friday,5/11/2018
120154,297,Brinker International,EAT,45.27,45.27,43.19,43.53,-1.77,-3.91,"1,970,506",47.04,29.5,1.52,3.49,15.66,12.08,Monday,Monday,5/14/2018
120155,298,Brinker International,EAT,43.36,43.86,42.75,43.85,0.32,0.74,"1,599,781",47.04,29.5,1.52,3.47,15.77,12.9,Tuesday,Tuesday,5/15/2018
120156,298,Brinker International,EAT,43.98,45.01,43.98,44.48,0.63,1.44,"966,936",47.04,29.5,1.52,3.42,16,14.52,Wednesday,Wednesday,5/16/2018
120157,299,Brinker International,EAT,44.4,45.45,44.4,45,0.52,1.17,"769,787",47.04,29.5,1.52,3.38,16.19,15.86,Thursday,Thursday,5/17/2018
120158,299,Brinker International,EAT,45.01,45.05,43.3,43.44,-1.56,-3.47,"1,621,154",47.04,29.5,1.52,3.5,15.63,11.84,Friday,Friday,5/18/2018
120159,298,Brinker International,EAT,43.53,44.39,43.35,44.03,0.59,1.36,"1,226,607",47.04,29.5,1.52,3.45,15.84,13.36,Monday,Monday,5/21/2018
120160,299,Brinker International,EAT,44.1,44.62,43.86,43.99,-0.04,-0.09,"765,312",47.04,29.5,1.52,3.46,15.82,13.26,Tuesday,Tuesday,5/22/2018
