,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
120810,658,Emergent Biosolutions,EBS,52.42,53.55,51.55,52.65,0.66,1.27,"481,336",54.87,27.94,...,...,31.15,13.3,Thursday,Thursday,3/29/2018
120811,653,Emergent Biosolutions,EBS,54.14,54.43,53.22,53.59,-0.83,-1.53,"213,103",54.87,28.11,...,...,31.71,15.32,Wednesday,Wednesday,4/11/2018
120812,656,Emergent Biosolutions,EBS,54.1,54.61,53.32,54.16,0.57,1.06,"203,046",54.87,28.11,...,...,32.05,16.55,Thursday,Thursday,4/12/2018
120813,650,Emergent Biosolutions,EBS,54.02,55.25,53.66,55.07,1.34,2.49,"190,032",55.25,28.11,...,...,32.59,18.51,Tuesday,Tuesday,4/17/2018
120814,652,Emergent Biosolutions,EBS,55.37,55.91,54.82,55.08,0.01,0.02,"276,151",55.91,28.28,...,...,32.59,18.53,Wednesday,Wednesday,4/18/2018
120815,654,Emergent Biosolutions,EBS,55,55.21,53.86,54.37,-0.71,-1.29,"222,475",55.91,28.52,...,...,32.17,17,Thursday,Thursday,4/19/2018
120816,651,Emergent Biosolutions,EBS,54.2,54.35,53.69,54.25,-0.12,-0.22,"179,599",55.91,28.52,...,...,32.1,16.74,Friday,Friday,4/20/2018
120817,651,Emergent Biosolutions,EBS,54.8,55.14,54,54.52,-0.06,-0.11,"234,323",55.91,28.85,...,...,32.26,17.32,Tuesday,Tuesday,4/24/2018
120818,656,Emergent Biosolutions,EBS,52.09,53.03,51.24,52.28,-2.24,-4.11,"277,056",55.91,28.85,...,...,30.93,12.5,Wednesday,Wednesday,4/25/2018
120819,654,Emergent Biosolutions,EBS,52.28,52.52,51.94,52.34,0.14,0.27,"156,673",55.91,28.85,...,...,30.97,12.63,Friday,Friday,4/27/2018
120820,653,Emergent Biosolutions,EBS,52.55,52.77,51.83,51.86,-0.48,-0.92,"185,891",55.91,28.85,...,...,30.69,11.6,Monday,Monday,4/30/2018
120821,658,Emergent Biosolutions,EBS,51.7,52.19,51.41,51.6,-0.26,-0.5,"244,829",55.91,28.85,...,...,30.53,11.04,Tuesday,Tuesday,5/1/2018
120822,657,Emergent Biosolutions,EBS,51,51.69,50.18,50.53,-0.74,-1.44,"227,626",55.91,28.85,...,...,29.9,8.74,Thursday,Thursday,5/3/2018
