,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
122683,1322,New Oriental Education&Technology Group ADR,EDU,86.81,88.77,85.5,87.65,1.4,1.62,"1,026,114",108.4,58.47,...,...,48.69,-6.76,Thursday,Thursday,3/29/2018
122684,1314,New Oriental Education&Technology Group ADR,EDU,94.8,96.55,93.81,95.47,0.08,0.08,"1,338,504",108.4,58.92,...,...,53.04,1.56,Wednesday,Wednesday,4/11/2018
122685,1318,New Oriental Education&Technology Group ADR,EDU,95.76,96.28,93.64,94.12,-1.35,-1.41,"966,676",108.4,58.92,...,...,52.29,0.13,Thursday,Thursday,4/12/2018
122686,1309,New Oriental Education&Technology Group ADR,EDU,91.6,93.16,91.18,92.4,0.97,1.06,"1,064,160",108.4,59.83,...,...,51.33,-1.7,Tuesday,Tuesday,4/17/2018
122687,1313,New Oriental Education&Technology Group ADR,EDU,92.77,94.04,91.5,93.65,1.25,1.35,"1,056,327",108.4,60.05,...,...,52.02,-0.37,Wednesday,Wednesday,4/18/2018
122688,1318,New Oriental Education&Technology Group ADR,EDU,94.29,94.68,91.2,91.62,-2.03,-2.17,"1,010,905",108.4,61.77,...,...,50.9,-2.53,Thursday,Thursday,4/19/2018
122689,1310,New Oriental Education&Technology Group ADR,EDU,91.89,92,90.3,91.11,-0.51,-0.56,"2,806,581",108.4,61.77,...,...,50.61,-3.07,Friday,Friday,4/20/2018
122690,1315,New Oriental Education&Technology Group ADR,EDU,94,96.39,88,90.27,3.45,3.97,"5,627,305",108.4,63,...,...,50.15,-3.97,Tuesday,Tuesday,4/24/2018
122691,1319,New Oriental Education&Technology Group ADR,EDU,89.01,90.99,87.25,88.47,-1.8,-1.99,"2,052,019",108.4,63.25,...,...,49.15,-5.88,Wednesday,Wednesday,4/25/2018
122692,1315,New Oriental Education&Technology Group ADR,EDU,90.44,91.14,89.29,90.09,-0.2,-0.22,"665,183",108.4,63.25,...,...,50.05,-4.16,Friday,Friday,4/27/2018
122693,1314,New Oriental Education&Technology Group ADR,EDU,90.68,92.17,89.16,89.84,-0.25,-0.28,"850,010",108.4,63.25,...,...,49.91,-4.43,Monday,Monday,4/30/2018
122694,1326,New Oriental Education&Technology Group ADR,EDU,90.23,91.63,89.01,91.36,1.52,1.69,"381,738",108.4,63.25,...,...,50.26,-2.81,Tuesday,Tuesday,5/1/2018
122695,1315,New Oriental Education&Technology Group ADR,EDU,91.2,92.2,88.2,91.57,0.06,0.07,"901,303",108.4,63.25,...,...,50.38,-2.59,Thursday,Thursday,5/3/2018
122696,1317,New Oriental Education&Technology Group ADR,EDU,91.5,91.68,89.43,90.78,-0.79,-0.86,"801,726",108.4,63.25,...,...,49.94,-3.43,Friday,Friday,5/4/2018
122697,1323,New Oriental Education&Technology Group ADR,EDU,90.86,92.98,90,91.67,0.89,0.98,"878,297",108.4,65.38,...,...,50.43,-2.48,Monday,Monday,5/7/2018
122698,1313,New Oriental Education&Technology Group ADR,EDU,92.47,92.76,90.86,92.25,0.58,0.63,"603,668",108.4,66.26,...,...,50.75,-1.86,Tuesday,Tuesday,5/8/2018
122699,1325,New Oriental Education&Technology Group ADR,EDU,92.37,93.9,91.86,91.99,-0.26,-0.28,"712,202",108.4,66.26,...,...,50.61,-2.14,Wednesday,Wednesday,5/9/2018
122700,1321,New Oriental Education&Technology Group ADR,EDU,92.34,95,92.17,94.4,2.41,2.62,"1,177,839",108.4,66.26,...,...,51.93,0.43,Thursday,Thursday,5/10/2018
122701,1319,New Oriental Education&Technology Group ADR,EDU,95,95.38,92.32,93.25,-1.15,-1.22,"562,454",108.4,66.26,...,...,51.3,-0.8,Friday,Friday,5/11/2018
122702,1322,New Oriental Education&Technology Group ADR,EDU,93.5,94.92,93.34,93.52,0.27,0.29,"475,350",108.4,66.26,...,...,51.45,-0.51,Monday,Monday,5/14/2018
122703,1322,New Oriental Education&Technology Group ADR,EDU,93.4,93.82,92.51,93.21,-0.31,-0.33,"600,322",108.4,66.26,...,...,51.28,-0.84,Tuesday,Tuesday,5/15/2018
122704,1324,New Oriental Education&Technology Group ADR,EDU,93.16,94.35,92.67,93.2,-0.01,-0.01,"942,387",108.4,66.26,...,...,51.27,-0.85,Wednesday,Wednesday,5/16/2018
122705,1322,New Oriental Education&Technology Group ADR,EDU,92.82,94.45,92.5,93.66,0.46,0.49,"982,678",108.4,66.26,...,...,51.53,-0.36,Thursday,Thursday,5/17/2018
122706,1323,New Oriental Education&Technology Group ADR,EDU,93.83,94.68,93.44,94.04,0.38,0.41,"783,754",108.4,68.8,...,...,51.74,0.04,Friday,Friday,5/18/2018
122707,1324,New Oriental Education&Technology Group ADR,EDU,95.5,98.67,95.46,95.91,1.87,1.99,"1,563,402",108.4,69.91,...,...,52.76,2.03,Monday,Monday,5/21/2018
122708,1319,New Oriental Education&Technology Group ADR,EDU,96,97.78,95.83,96.49,0.58,0.6,"1,085,670",108.4,69.91,...,...,53.08,2.65,Tuesday,Tuesday,5/22/2018
122709,1323,New Oriental Education&Technology Group ADR,EDU,96.6,102.13,96.49,101.33,4.84,5.02,"2,137,618",108.4,69.91,...,...,55.75,7.8,Wednesday,Wednesday,5/23/2018
122710,1325,New Oriental Education&Technology Group ADR,EDU,100.31,105,100.02,104.3,2.97,2.93,"2,715,099",108.4,69.91,...,...,57.38,10.96,Thursday,Thursday,5/24/2018
122711,1327,New Oriental Education&Technology Group ADR,EDU,104.27,105.66,100.12,100.68,-3.62,-3.47,"1,278,507",108.4,69.91,...,...,55.39,7.11,Friday,Friday,5/25/2018
122712,1326,New Oriental Education&Technology Group ADR,EDU,97.66,99.76,96.7,98.27,-2.41,-2.39,"1,809,722",108.4,69.91,...,...,54.06,4.54,Tuesday,Tuesday,5/29/2018
122713,1328,New Oriental Education&Technology Group ADR,EDU,98.67,100.16,97.18,97.63,-0.64,-0.65,"930,597",108.4,69.91,...,...,53.71,3.86,Wednesday,Wednesday,5/30/2018
122714,1325,New Oriental Education&Technology Group ADR,EDU,97.86,101.2,97.86,99.47,1.84,1.88,"1,799,491",108.4,69.91,...,...,54.72,5.82,Thursday,Thursday,5/31/2018
122715,1328,New Oriental Education&Technology Group ADR,EDU,99.42,102.05,98.53,101.4,1.93,1.94,"1,008,415",108.4,69.91,...,...,55.78,7.87,Friday,Friday,6/1/2018
122716,1321,New Oriental Education&Technology Group ADR,EDU,102.01,103.49,98.83,101.05,-0.35,-0.35,"1,413,655",108.4,69.91,...,...,55.59,7.5,Monday,Monday,6/4/2018
122717,1320,New Oriental Education&Technology Group ADR,EDU,101.35,103.78,100.74,102.53,1.48,1.46,"1,151,202",108.4,69.91,...,...,56.41,9.07,Tuesday,Tuesday,6/5/2018
122718,1326,New Oriental Education&Technology Group ADR,EDU,103.18,105.02,102.86,104.41,1.88,1.83,"1,350,236",108.4,69.91,...,...,57.44,11.07,Wednesday,Wednesday,6/6/2018
122719,1324,New Oriental Education&Technology Group ADR,EDU,104.68,104.96,102.76,104.33,-0.08,-0.08,"933,721",108.4,69.91,...,...,57.4,10.99,Thursday,Thursday,6/7/2018
122720,1318,New Oriental Education&Technology Group ADR,EDU,104.04,105.54,102.75,105,0.67,0.64,"985,221",108.4,69.91,...,...,57.77,11.7,Friday,Friday,6/8/2018
122721,1325,New Oriental Education&Technology Group ADR,EDU,105.12,106.17,103.69,105.4,0.4,0.38,"1,237,653",108.4,69.91,...,...,57.99,12.13,Monday,Monday,6/11/2018
122722,1320,New Oriental Education&Technology Group ADR,EDU,105.72,108.23,105.05,106.27,0.87,0.83,"1,403,250",108.4,69.91,...,...,58.46,13.05,Tuesday,Tuesday,6/12/2018
122723,1319,New Oriental Education&Technology Group ADR,EDU,106.51,106.97,100.05,102.82,-3.45,-3.25,"2,842,295",108.4,69.91,...,...,56.57,9.38,Wednesday,Wednesday,6/13/2018
122724,1320,New Oriental Education&Technology Group ADR,EDU,102.31,104.32,102,103.99,1.17,1.14,"1,482,112",108.4,69.91,...,...,57.21,10.63,Thursday,Thursday,6/14/2018
122725,1318,New Oriental Education&Technology Group ADR,EDU,104,104.67,102.58,103.81,-0.18,-0.17,"2,038,926",108.4,69.91,...,...,57.11,10.44,Friday,Friday,6/15/2018
122726,1319,New Oriental Education&Technology Group ADR,EDU,102.37,105.18,101.01,104.97,1.16,1.12,"587,352",108.4,69.91,...,...,57.75,11.67,Monday,Monday,6/18/2018
122727,1320,New Oriental Education&Technology Group ADR,EDU,102.43,105.79,102.3,105.69,0.72,0.69,"1,008,183",108.4,69.91,...,...,58.14,12.44,Tuesday,Tuesday,6/19/2018
122728,1324,New Oriental Education&Technology Group ADR,EDU,106.64,106.72,103.49,103.88,-1.81,-1.71,"963,630",108.4,69.91,...,...,57.15,10.51,Wednesday,Wednesday,6/20/2018
122729,1319,New Oriental Education&Technology Group ADR,EDU,103.87,104.11,101.46,102.53,-1.35,-1.3,"859,800",108.4,69.91,...,...,56.41,9.07,Thursday,Thursday,6/21/2018
122730,1320,New Oriental Education&Technology Group ADR,EDU,103.6,103.9,99.25,100.92,-1.61,-1.57,"1,499,555",108.4,69.91,...,...,55.52,7.36,Friday,Friday,6/22/2018
122731,1324,New Oriental Education&Technology Group ADR,EDU,99.17,99.54,94.58,95.45,-5.47,-5.42,"2,087,712",108.4,69.91,...,...,52.51,1.54,Monday,Monday,6/25/2018
122732,1326,New Oriental Education&Technology Group ADR,EDU,96.72,97.11,94.9,95.13,-0.32,-0.34,"1,168,604",108.4,69.91,...,...,52.34,1.2,Tuesday,Tuesday,6/26/2018
122733,1331,New Oriental Education&Technology Group ADR,EDU,94.55,95.69,92.35,92.65,-2.48,-2.61,"1,598,695",108.4,69.91,...,...,50.97,-1.44,Wednesday,Wednesday,6/27/2018
122734,1326,New Oriental Education&Technology Group ADR,EDU,92.6,93.95,90.88,93.88,1.23,1.33,"1,527,322",108.4,69.91,...,...,51.65,-0.13,Thursday,Thursday,6/28/2018
122735,1333,New Oriental Education&Technology Group ADR,EDU,94.94,96.53,93.35,94.66,0.78,0.83,"1,552,922",108.4,69.97,...,...,52.08,0.7,Friday,Friday,6/29/2018
122736,1327,New Oriental Education&Technology Group ADR,EDU,92.52,94.42,92.33,94.42,-0.24,-0.25,"992,149",108.4,70.37,...,...,51.94,0.45,Monday,Monday,7/2/2018
122737,1321,New Oriental Education&Technology Group ADR,EDU,95.5,95.5,93.26,94.58,0.16,0.17,"451,772",108.4,70.37,...,...,52.03,0.62,Tuesday,Tuesday,7/3/2018
