,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
124745,629,EastGroup Properties,EGP,83.4,83.66,82.45,82.66,-0.43,-0.52,"192,506",95.03,71.88,2.56,3.1,34.02,-6.47,Thursday,Thursday,3/29/2018
124746,625,EastGroup Properties,EGP,81.68,82.63,81.68,82.19,0.22,0.27,"132,044",95.03,76.44,2.56,3.11,33.82,-7,Wednesday,Wednesday,4/11/2018
124747,626,EastGroup Properties,EGP,82.36,82.41,81.08,81.14,-1.05,-1.28,"174,736",95.03,76.44,2.56,3.16,33.39,-8.19,Thursday,Thursday,4/12/2018
124748,622,EastGroup Properties,EGP,83.07,85.22,82.86,84.72,1.87,2.26,"228,825",95.03,76.44,2.56,3.02,34.86,-4.14,Tuesday,Tuesday,4/17/2018
124749,624,EastGroup Properties,EGP,84.76,85.64,84.44,85.04,0.32,0.38,"236,122",95.03,76.44,2.56,3.01,35,-3.78,Wednesday,Wednesday,4/18/2018
124750,624,EastGroup Properties,EGP,84.71,85.11,83.84,84.32,-0.72,-0.85,"354,012",95.03,76.44,2.56,3.04,34.7,-4.59,Thursday,Thursday,4/19/2018
124751,621,EastGroup Properties,EGP,84.38,85.97,84.33,84.64,0.32,0.38,"346,823",95.03,76.44,2.56,3.02,29.39,-4.23,Friday,Friday,4/20/2018
124752,623,EastGroup Properties,EGP,85.44,85.98,84.92,85.65,0.5,0.59,"332,479",95.03,76.44,2.56,2.99,29.74,-3.09,Tuesday,Tuesday,4/24/2018
124753,626,EastGroup Properties,EGP,85.35,86,84.72,85.84,0.19,0.22,"189,033",95.03,76.44,2.56,2.98,29.81,-2.87,Wednesday,Wednesday,4/25/2018
124754,625,EastGroup Properties,EGP,87.87,89.31,87.59,88.55,0.94,1.07,"261,448",95.03,76.44,2.56,2.89,30.75,0.19,Friday,Friday,4/27/2018
124755,625,EastGroup Properties,EGP,89.02,91.28,89.02,89.78,1.23,1.39,"400,841",95.03,76.44,2.56,2.85,31.17,1.58,Monday,Monday,4/30/2018
124756,629,EastGroup Properties,EGP,89.72,90.05,89.11,89.76,-0.02,-0.02,"287,528",95.03,76.44,2.56,2.85,31.17,1.56,Tuesday,Tuesday,5/1/2018
124757,627,EastGroup Properties,EGP,89.7,90.53,89.53,90.1,0.22,0.24,"237,319",95.03,76.44,2.56,2.84,31.28,1.95,Thursday,Thursday,5/3/2018
124758,626,EastGroup Properties,EGP,90.1,90.9,89.94,90.53,0.43,0.48,"265,010",95.03,76.88,2.56,2.83,31.43,2.43,Friday,Friday,5/4/2018
124759,628,EastGroup Properties,EGP,91.11,93,90.8,92.84,2.31,2.55,"306,227",95.03,76.88,2.56,2.76,32.24,5.05,Monday,Monday,5/7/2018
124760,628,EastGroup Properties,EGP,92,93.24,92,92.75,-0.09,-0.1,"409,539",95.03,76.88,2.56,2.76,32.2,4.94,Tuesday,Tuesday,5/8/2018
124761,629,EastGroup Properties,EGP,92.46,92.91,92.11,92.52,-0.23,-0.25,"246,524",95.03,76.88,2.56,2.77,32.13,4.68,Wednesday,Wednesday,5/9/2018
124762,627,EastGroup Properties,EGP,93.02,93.24,92.65,93.17,0.65,0.7,"178,844",95.03,76.88,2.56,2.75,32.35,5.42,Thursday,Thursday,5/10/2018
124763,628,EastGroup Properties,EGP,93.31,93.4,92.48,92.61,-0.56,-0.6,"104,743",95.03,76.97,2.56,2.76,32.16,4.79,Friday,Friday,5/11/2018
124764,628,EastGroup Properties,EGP,92.68,92.94,91.38,91.76,-0.85,-0.92,"116,702",95.03,77.58,2.56,2.79,31.86,3.82,Monday,Monday,5/14/2018
124765,629,EastGroup Properties,EGP,90.8,91.4,90.45,90.53,-1.23,-1.34,"274,607",95.03,77.7,2.56,2.83,31.43,2.43,Tuesday,Tuesday,5/15/2018
124766,630,EastGroup Properties,EGP,90.81,90.81,89.43,89.58,-0.95,-1.05,"252,929",95.03,77.74,2.56,2.86,31.1,1.36,Wednesday,Wednesday,5/16/2018
124767,627,EastGroup Properties,EGP,89.63,90.08,88.48,88.83,-0.75,-0.84,"236,263",95.03,77.74,2.56,2.88,30.84,0.51,Thursday,Thursday,5/17/2018
124768,629,EastGroup Properties,EGP,89.19,89.86,88.5,89.54,0.71,0.8,"340,126",95.03,77.74,2.56,2.86,31.09,1.31,Friday,Friday,5/18/2018
124769,629,EastGroup Properties,EGP,89.88,90.77,89.39,90.43,0.89,0.99,"171,909",95.03,77.74,2.56,2.83,31.4,2.32,Monday,Monday,5/21/2018
124770,628,EastGroup Properties,EGP,90.34,90.77,89.77,89.98,-0.45,-0.5,"180,407",95.03,77.74,2.56,2.85,31.24,1.81,Tuesday,Tuesday,5/22/2018
124771,629,EastGroup Properties,EGP,90.05,92.07,90.05,91.25,1.27,1.41,"142,138",95.03,77.74,2.56,2.81,31.68,3.25,Wednesday,Wednesday,5/23/2018
124772,628,EastGroup Properties,EGP,91.17,91.6,90.7,91.32,0.07,0.08,"333,658",95.03,77.74,2.56,2.8,31.71,3.33,Thursday,Thursday,5/24/2018
124773,634,EastGroup Properties,EGP,91.5,91.92,91.28,91.41,0.09,0.1,"157,461",95.03,77.74,2.56,2.8,31.74,3.43,Friday,Friday,5/25/2018
124774,631,EastGroup Properties,EGP,91.07,92.66,91,92.31,0.9,0.98,"238,079",95.03,77.74,2.56,2.77,32.05,4.45,Tuesday,Tuesday,5/29/2018
124775,631,EastGroup Properties,EGP,92.33,93.98,92.32,93.63,1.32,1.43,"156,583",95.03,77.74,2.56,2.73,32.51,5.94,Wednesday,Wednesday,5/30/2018
124776,633,EastGroup Properties,EGP,93.63,94.12,92.56,93.23,-0.4,-0.43,"168,977",95.03,77.74,2.56,2.75,32.37,5.49,Thursday,Thursday,5/31/2018
124777,633,EastGroup Properties,EGP,94.61,95.44,93.29,95.19,1.96,2.1,"273,206",95.44,77.74,2.56,2.69,33.05,7.71,Friday,Friday,6/1/2018
124778,634,EastGroup Properties,EGP,95.43,95.97,94.53,95.95,0.76,0.8,"225,764",95.97,77.74,2.56,2.67,33.32,8.57,Monday,Monday,6/4/2018
124779,630,EastGroup Properties,EGP,96.01,96.3,94.88,95.05,-0.9,-0.94,"203,631",96.3,77.74,2.56,2.69,33,7.55,Tuesday,Tuesday,6/5/2018
124780,635,EastGroup Properties,EGP,94.97,95.61,94.32,95.05,...,...,"136,513",96.3,77.74,2.56,2.69,33,7.55,Wednesday,Wednesday,6/6/2018
124781,632,EastGroup Properties,EGP,94.95,95.17,94.17,94.69,-0.36,-0.38,"179,616",96.3,77.74,2.56,2.7,32.88,7.14,Thursday,Thursday,6/7/2018
124782,631,EastGroup Properties,EGP,94.65,95.31,94.61,95.03,0.34,0.36,"169,566",96.3,77.74,2.56,2.69,33,7.52,Friday,Friday,6/8/2018
124783,632,EastGroup Properties,EGP,95.06,95.36,94.59,94.95,-0.08,-0.08,"151,072",96.3,77.74,2.56,2.7,32.97,7.43,Monday,Monday,6/11/2018
124784,629,EastGroup Properties,EGP,94.88,95.72,94.54,94.98,0.03,0.03,"140,199",96.3,77.74,2.56,2.7,32.98,7.47,Tuesday,Tuesday,6/12/2018
124785,630,EastGroup Properties,EGP,95.07,95.39,93.21,93.28,-1.7,-1.79,"195,114",96.3,77.74,2.56,2.74,32.39,5.54,Wednesday,Wednesday,6/13/2018
124786,629,EastGroup Properties,EGP,93.63,94.55,93.54,94.41,1.13,1.21,"127,932",96.3,77.74,2.56,2.71,32.78,6.82,Thursday,Thursday,6/14/2018
124787,630,EastGroup Properties,EGP,94.63,95.59,94.5,94.7,0.29,0.31,"327,816",96.3,77.74,2.56,2.7,32.88,7.15,Friday,Friday,6/15/2018
124788,630,EastGroup Properties,EGP,94.29,95.21,94.07,95.05,0.35,0.37,"161,925",96.3,77.74,2.56,2.69,33,7.55,Monday,Monday,6/18/2018
124789,632,EastGroup Properties,EGP,94.3,94.61,93.63,93.79,-0.62,-0.66,"187,396",96.3,77.74,2.56,2.73,32.57,6.12,Tuesday,Tuesday,6/19/2018
124790,632,EastGroup Properties,EGP,93.92,94.56,93.44,93.97,0.18,0.19,"183,258",96.3,77.74,2.56,2.72,32.63,6.32,Wednesday,Wednesday,6/20/2018
124791,631,EastGroup Properties,EGP,94.26,94.26,93.37,93.84,-0.13,-0.14,"144,710",96.3,77.74,2.56,2.73,32.58,6.18,Thursday,Thursday,6/21/2018
124792,633,EastGroup Properties,EGP,93.96,95.06,93.64,94.76,0.92,0.98,"338,020",96.3,77.74,2.56,2.7,32.9,7.22,Friday,Friday,6/22/2018
124793,634,EastGroup Properties,EGP,94.76,95.11,93.86,94.84,0.08,0.08,"192,049",96.3,77.74,2.56,2.7,32.93,7.31,Monday,Monday,6/25/2018
124794,632,EastGroup Properties,EGP,94.87,95.62,94.56,95.17,0.33,0.35,"230,912",96.3,77.74,2.56,2.69,33.05,7.68,Tuesday,Tuesday,6/26/2018
124795,636,EastGroup Properties,EGP,95.41,95.96,94.64,94.69,-0.48,-0.5,"127,944",96.3,77.74,2.56,2.7,32.88,7.14,Wednesday,Wednesday,6/27/2018
124796,640,EastGroup Properties,EGP,94.81,95.56,94.21,95.33,0.64,0.68,"183,766",96.3,77.74,2.56,2.69,33.1,7.86,Thursday,Thursday,6/28/2018
124797,636,EastGroup Properties,EGP,95.32,96.26,94.41,95.56,0.23,0.24,"208,504",96.3,77.74,2.56,2.68,33.18,8.12,Friday,Friday,6/29/2018
124798,635,EastGroup Properties,EGP,95.33,95.79,93.93,95.3,-0.26,-0.27,"249,304",96.3,77.74,2.56,2.69,33.09,7.83,Monday,Monday,7/2/2018
124799,633,EastGroup Properties,EGP,95.33,97.34,95.3,96.29,0.99,1.04,"155,377",97.34,77.74,2.56,2.66,33.43,8.95,Tuesday,Tuesday,7/3/2018
124800,638,EastGroup Properties,EGP,96.23,97.61,96.23,97.61,1.32,1.37,"366,560",97.61,77.74,2.56,2.62,33.89,10.44,Thursday,Thursday,7/5/2018
124801,636,EastGroup Properties,EGP,97.78,98.17,97.39,97.84,0.23,0.24,"141,479",98.17,77.74,2.56,2.62,33.97,10.7,Friday,Friday,7/6/2018
124802,640,EastGroup Properties,EGP,97.93,97.99,96.38,96.94,-0.9,-0.92,"189,447",98.17,77.74,2.56,2.64,33.66,9.69,Monday,Monday,7/9/2018
124803,638,EastGroup Properties,EGP,97.05,97.36,96.03,96.32,-0.62,-0.64,"223,020",98.17,77.74,2.56,2.66,33.44,8.98,Tuesday,Tuesday,7/10/2018
124804,635,EastGroup Properties,EGP,95.54,97.09,95.54,96.45,0.13,0.13,"105,724",98.17,77.74,2.56,2.65,33.49,9.13,Wednesday,Wednesday,7/11/2018
124805,637,EastGroup Properties,EGP,96.55,97.65,96.07,96.77,0.32,0.33,"179,771",98.17,77.74,2.56,2.65,33.6,9.49,Thursday,Thursday,7/12/2018
124806,639,EastGroup Properties,EGP,96.72,97.48,95.92,96.93,0.16,0.17,"162,147",98.17,77.74,2.56,2.64,33.66,9.67,Friday,Friday,7/13/2018
124807,637,EastGroup Properties,EGP,96.78,97.23,95.9,97.04,0.11,0.11,"364,290",98.17,77.74,2.56,2.64,33.69,9.8,Monday,Monday,7/16/2018
124808,636,EastGroup Properties,EGP,97.29,97.29,95.14,95.31,-1.73,-1.78,"275,502",98.17,77.74,2.56,2.69,33.09,7.84,Tuesday,Tuesday,7/17/2018
124809,639,EastGroup Properties,EGP,94.96,95.63,94.4,94.79,-0.52,-0.55,"159,119",98.17,77.74,2.56,2.7,32.91,7.25,Wednesday,Wednesday,7/18/2018
124810,635,EastGroup Properties,EGP,94.57,96.02,94.57,95.78,0.99,1.04,"312,276",98.17,77.74,2.56,2.67,33.26,8.37,Thursday,Thursday,7/19/2018
124811,635,EastGroup Properties,EGP,96.01,96.01,92.5,92.67,-3.11,-3.25,"446,103",98.17,77.74,2.56,2.76,39.94,4.85,Friday,Friday,7/20/2018
124812,637,EastGroup Properties,EGP,92.75,92.79,91.3,92.54,-0.13,-0.14,"225,551",98.17,77.74,2.56,2.77,39.89,4.71,Monday,Monday,7/23/2018
124813,636,EastGroup Properties,EGP,92.77,92.8,91.59,92.16,-0.38,-0.41,"249,620",98.17,77.74,2.56,2.78,39.72,4.28,Tuesday,Tuesday,7/24/2018
124814,639,EastGroup Properties,EGP,92.35,93.64,92.35,93.6,1.44,1.56,"201,892",98.17,77.74,2.56,2.74,40.34,5.91,Wednesday,Wednesday,7/25/2018
124815,639,EastGroup Properties,EGP,93.82,95.38,93.82,95.14,1.54,1.65,"130,798",98.17,77.74,2.56,2.69,41.01,7.65,Thursday,Thursday,7/26/2018
124816,640,EastGroup Properties,EGP,95.35,95.35,93.97,94.15,-0.99,-1.04,"106,133",98.17,77.74,2.56,2.72,40.58,6.53,Friday,Friday,7/27/2018
124817,637,EastGroup Properties,EGP,94.13,94.46,93.64,93.81,-0.34,-0.36,"158,864",98.17,77.74,2.56,2.73,40.44,6.14,Monday,Monday,7/30/2018
124818,639,EastGroup Properties,EGP,94.42,96.01,93.8,95.32,1.51,1.61,"188,123",98.17,77.74,2.56,2.69,41.09,7.85,Tuesday,Tuesday,7/31/2018
124819,637,EastGroup Properties,EGP,95.08,95.75,94.14,95.73,0.41,0.43,"144,080",98.17,77.74,2.56,2.67,41.26,8.32,Wednesday,Wednesday,8/1/2018
124820,637,EastGroup Properties,EGP,95.63,96.5,95.4,96.41,0.68,0.71,"227,749",98.17,77.74,2.56,2.66,41.56,9.09,Thursday,Thursday,8/2/2018
124821,642,EastGroup Properties,EGP,96.61,97.56,96.09,97.56,1.15,1.19,"144,897",98.17,77.74,2.56,2.62,42.05,10.39,Friday,Friday,8/3/2018
124822,641,EastGroup Properties,EGP,97.66,97.87,96.48,96.58,-0.98,-1,"132,121",98.17,77.74,2.56,2.65,41.63,9.28,Monday,Monday,8/6/2018
124823,638,EastGroup Properties,EGP,96.57,96.57,95.58,95.85,-0.73,-0.76,"110,482",98.17,77.74,2.56,2.67,41.31,8.45,Tuesday,Tuesday,8/7/2018
124824,638,EastGroup Properties,EGP,95.82,96.66,95.39,96.29,0.44,0.46,"105,037",98.17,77.74,2.56,2.66,41.5,8.95,Wednesday,Wednesday,8/8/2018
124825,637,EastGroup Properties,EGP,96.5,97.01,96.32,96.67,0.38,0.39,"110,400",98.17,77.74,2.56,2.65,41.67,9.38,Thursday,Thursday,8/9/2018
124826,639,EastGroup Properties,EGP,96.55,96.93,96.13,96.26,-0.41,-0.42,"176,281",98.17,77.74,2.56,2.66,41.49,8.92,Friday,Friday,8/10/2018
124827,638,EastGroup Properties,EGP,96.09,96.76,95.4,95.68,-0.58,-0.6,"114,342",98.17,77.74,2.56,2.68,41.24,8.26,Monday,Monday,8/13/2018
124828,641,EastGroup Properties,EGP,95.77,96.67,95.64,96.28,0.6,0.63,"128,836",98.17,77.74,2.56,2.66,41.5,8.94,Tuesday,Tuesday,8/14/2018
124829,641,EastGroup Properties,EGP,96.18,97,95.81,96.4,0.12,0.12,"100,808",98.17,77.74,2.56,2.66,41.55,9.07,Wednesday,Wednesday,8/15/2018
124830,639,EastGroup Properties,EGP,96.53,97.42,96.3,97.17,0.77,0.8,"117,047",98.17,77.74,2.56,2.63,41.88,9.95,Thursday,Thursday,8/16/2018
124831,641,EastGroup Properties,EGP,97.13,99.01,97.13,98.97,1.8,1.85,"117,526",99.01,77.74,2.56,2.59,42.66,11.98,Friday,Friday,8/17/2018
124832,640,EastGroup Properties,EGP,99.12,99.39,98.17,98.2,-0.77,-0.78,"122,497",99.39,77.74,2.56,2.61,42.33,11.11,Monday,Monday,8/20/2018
124833,642,EastGroup Properties,EGP,98.2,98.2,96.82,97.05,-1.15,-1.17,"174,851",99.39,77.74,2.56,2.64,41.83,9.81,Tuesday,Tuesday,8/21/2018
124834,638,EastGroup Properties,EGP,96.78,97.11,95.95,96.25,-0.8,-0.82,"106,425",99.39,77.74,2.56,2.66,41.49,8.9,Wednesday,Wednesday,8/22/2018
124835,639,EastGroup Properties,EGP,96.11,96.85,95.83,96.02,-0.23,-0.24,"154,802",99.39,77.74,2.56,2.67,41.39,8.64,Thursday,Thursday,8/23/2018
124836,640,EastGroup Properties,EGP,96.16,97.13,95.87,96.93,0.91,0.95,"124,670",99.39,77.74,2.56,2.64,41.78,9.67,Friday,Friday,8/24/2018
124837,638,EastGroup Properties,EGP,97.02,97.06,96.13,96.87,-0.06,-0.06,"124,267",99.39,77.74,2.56,2.64,41.75,9.61,Monday,Monday,8/27/2018
124838,635,EastGroup Properties,EGP,97.02,98.11,96.59,97.8,0.93,0.96,"177,920",99.39,77.74,2.56,2.62,42.16,10.66,Tuesday,Tuesday,8/28/2018
