,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
135111,663,Empire State Realty Trust,ESRT,16.86,16.96,16.7,16.79,-0.05,-0.3,"609,941",21.72,16.26,0.42,2.5,43.05,-18.22,Thursday,Thursday,3/29/2018
135112,657,Empire State Realty Trust,ESRT,16.45,16.66,16.45,16.58,0.12,0.73,"641,279",21.72,16.26,0.42,2.53,42.51,-19.24,Wednesday,Wednesday,4/11/2018
135113,660,Empire State Realty Trust,ESRT,16.58,16.58,16.23,16.36,-0.22,-1.33,"726,586",21.72,16.23,0.42,2.57,41.95,-20.31,Thursday,Thursday,4/12/2018
135114,654,Empire State Realty Trust,ESRT,16.64,16.8,16.53,16.65,0.04,0.24,"671,153",21.72,16.23,0.42,2.52,42.69,-18.9,Tuesday,Tuesday,4/17/2018
135115,656,Empire State Realty Trust,ESRT,16.69,16.79,16.66,16.74,0.09,0.54,"1,273,963",21.71,16.23,0.42,2.51,42.92,-18.46,Wednesday,Wednesday,4/18/2018
135116,659,Empire State Realty Trust,ESRT,16.73,16.79,16.43,16.67,-0.07,-0.42,"1,427,851",21.71,16.23,0.42,2.52,42.74,-18.8,Thursday,Thursday,4/19/2018
135117,656,Empire State Realty Trust,ESRT,16.72,16.74,16.37,16.51,-0.16,-0.96,"1,066,671",21.71,16.23,0.42,2.54,42.33,-19.58,Friday,Friday,4/20/2018
135118,656,Empire State Realty Trust,ESRT,16.69,17.08,16.64,17.05,0.4,2.4,"3,087,300",21.71,16.23,0.42,2.46,43.72,-16.95,Tuesday,Tuesday,4/24/2018
135119,661,Empire State Realty Trust,ESRT,17.01,17.2,16.84,17.12,0.07,0.41,"3,531,238",21.66,16.23,0.42,2.45,43.9,-16.61,Wednesday,Wednesday,4/25/2018
135120,659,Empire State Realty Trust,ESRT,17.36,17.62,17.28,17.51,0.11,0.63,"2,450,775",21.66,16.23,0.42,2.4,48.25,-14.71,Friday,Friday,4/27/2018
135121,657,Empire State Realty Trust,ESRT,17.55,17.64,17.4,17.42,-0.09,-0.51,"1,708,031",21.66,16.23,0.42,2.41,48,-15.15,Monday,Monday,4/30/2018
135122,662,Empire State Realty Trust,ESRT,17.43,17.62,17.34,17.57,0.15,0.86,"1,742,845",21.66,16.23,0.42,2.39,48.42,-14.42,Tuesday,Tuesday,5/1/2018
135123,660,Empire State Realty Trust,ESRT,17.27,17.38,17.18,17.26,-0.02,-0.12,"1,065,429",21.66,16.23,0.42,2.43,47.56,-15.93,Thursday,Thursday,5/3/2018
135124,659,Empire State Realty Trust,ESRT,17.3,17.46,17.27,17.41,0.15,0.87,"1,251,831",21.66,16.23,0.42,2.41,47.97,-15.2,Friday,Friday,5/4/2018
135125,662,Empire State Realty Trust,ESRT,17.45,17.59,17.35,17.47,0.06,0.34,"1,133,016",21.66,16.23,0.42,2.4,44.79,-14.91,Monday,Monday,5/7/2018
135126,660,Empire State Realty Trust,ESRT,17.47,17.47,17.32,17.35,-0.12,-0.69,"1,207,407",21.66,16.23,0.42,2.42,44.49,-15.49,Tuesday,Tuesday,5/8/2018
135127,664,Empire State Realty Trust,ESRT,17.34,17.45,17.29,17.41,0.06,0.35,"822,141",21.66,16.23,0.42,2.41,44.64,-15.2,Wednesday,Wednesday,5/9/2018
135128,661,Empire State Realty Trust,ESRT,17.5,17.53,17.34,17.36,-0.05,-0.29,"1,054,891",21.66,16.23,0.42,2.42,44.51,-15.44,Thursday,Thursday,5/10/2018
135129,661,Empire State Realty Trust,ESRT,17.39,17.51,17.31,17.31,-0.05,-0.29,"688,496",21.66,16.23,0.42,2.43,44.38,-15.68,Friday,Friday,5/11/2018
135130,662,Empire State Realty Trust,ESRT,17.28,17.33,16.92,16.98,-0.33,-1.91,"1,165,856",21.66,16.23,0.42,2.47,43.54,-17.29,Monday,Monday,5/14/2018
135131,663,Empire State Realty Trust,ESRT,16.92,16.95,16.55,16.59,-0.39,-2.3,"922,247",21.66,16.23,0.42,2.53,42.54,-19.19,Tuesday,Tuesday,5/15/2018
135132,662,Empire State Realty Trust,ESRT,16.64,16.64,16.27,16.29,-0.3,-1.81,"1,468,032",21.66,16.23,0.42,2.58,41.77,-20.65,Wednesday,Wednesday,5/16/2018
135133,660,Empire State Realty Trust,ESRT,16.31,16.4,16.08,16.12,-0.17,-1.04,"1,455,314",21.66,16.08,0.42,2.61,41.33,-21.48,Thursday,Thursday,5/17/2018
135134,663,Empire State Realty Trust,ESRT,16.17,16.17,15.94,16,-0.12,-0.74,"1,347,036",21.66,15.94,0.42,2.63,41.03,-22.07,Friday,Friday,5/18/2018
135135,662,Empire State Realty Trust,ESRT,16.05,16.18,15.94,16.08,0.08,0.5,"1,212,165",21.66,15.94,0.42,2.61,41.23,-21.68,Monday,Monday,5/21/2018
135136,660,Empire State Realty Trust,ESRT,16.12,16.25,16.07,16.15,0.07,0.44,"1,245,522",21.66,15.94,0.42,2.6,41.41,-21.33,Tuesday,Tuesday,5/22/2018
135137,664,Empire State Realty Trust,ESRT,16.19,16.59,16.17,16.53,0.38,2.35,"1,525,690",21.66,15.94,0.42,2.54,42.38,-19.48,Wednesday,Wednesday,5/23/2018
135138,662,Empire State Realty Trust,ESRT,16.54,16.59,16.34,16.43,-0.1,-0.6,"500,459",21.66,15.94,0.42,2.56,42.13,-19.97,Thursday,Thursday,5/24/2018
135139,667,Empire State Realty Trust,ESRT,16.39,16.57,16.39,16.55,0.12,0.73,"901,397",21.66,15.94,0.42,2.54,42.44,-19.39,Friday,Friday,5/25/2018
135140,666,Empire State Realty Trust,ESRT,16.52,16.69,16.42,16.63,0.08,0.48,"1,137,645",21.66,15.94,0.42,2.53,42.64,-19,Tuesday,Tuesday,5/29/2018
135141,665,Empire State Realty Trust,ESRT,16.68,16.97,16.57,16.97,0.34,2.04,"1,443,545",21.66,15.94,0.42,2.47,43.51,-17.34,Wednesday,Wednesday,5/30/2018
135142,667,Empire State Realty Trust,ESRT,16.98,17.02,16.79,16.96,-0.01,-0.06,"1,440,660",21.66,15.94,0.42,2.48,43.49,-17.39,Thursday,Thursday,5/31/2018
135143,668,Empire State Realty Trust,ESRT,16.96,17.18,16.9,17.11,0.15,0.88,"1,586,384",21.66,15.94,0.42,2.45,43.87,-16.66,Friday,Friday,6/1/2018
135144,666,Empire State Realty Trust,ESRT,17.19,17.28,17.04,17.27,0.16,0.94,"1,695,758",21.66,15.94,0.42,2.43,44.28,-15.88,Monday,Monday,6/4/2018
135145,663,Empire State Realty Trust,ESRT,17.3,17.33,17.09,17.15,-0.12,-0.69,"1,246,123",21.66,15.94,0.42,2.45,43.97,-16.46,Tuesday,Tuesday,6/5/2018
135146,668,Empire State Realty Trust,ESRT,17.24,17.25,17.09,17.19,0.04,0.23,"711,182",21.66,15.94,0.42,2.44,44.08,-16.27,Wednesday,Wednesday,6/6/2018
135147,667,Empire State Realty Trust,ESRT,17.21,17.25,17.04,17.22,0.03,0.17,"840,650",21.66,15.94,0.42,2.44,44.15,-16.12,Thursday,Thursday,6/7/2018
135148,662,Empire State Realty Trust,ESRT,17.2,17.34,17.11,17.26,0.04,0.23,"1,270,464",21.66,15.94,0.42,2.43,44.26,-15.93,Friday,Friday,6/8/2018
135149,665,Empire State Realty Trust,ESRT,17.02,17.24,17.02,17.14,-0.12,-0.7,"1,446,996",21.66,15.94,0.42,2.45,43.95,-16.51,Monday,Monday,6/11/2018
135150,661,Empire State Realty Trust,ESRT,17.09,17.22,17.02,17.11,-0.03,-0.18,"1,555,584",21.52,15.94,0.42,2.45,43.87,-16.66,Tuesday,Tuesday,6/12/2018
135151,662,Empire State Realty Trust,ESRT,17.15,17.17,16.78,16.78,-0.33,-1.93,"1,409,937",21.52,15.94,0.42,2.5,43.03,-18.27,Wednesday,Wednesday,6/13/2018
135152,662,Empire State Realty Trust,ESRT,16.75,16.99,16.75,16.91,0.23,1.41,"837,422",21.46,15.94,0.42,2.48,43.36,-17.63,Thursday,Thursday,6/14/2018
135153,663,Empire State Realty Trust,ESRT,16.93,17.11,16.93,16.95,0.04,0.24,"835,430",21.34,15.94,0.42,2.48,43.46,-17.44,Friday,Friday,6/15/2018
135154,663,Empire State Realty Trust,ESRT,16.88,17.02,16.82,16.89,-0.06,-0.35,"577,721",21.28,15.94,0.42,2.49,43.31,-17.73,Monday,Monday,6/18/2018
135155,662,Empire State Realty Trust,ESRT,16.82,17.06,16.77,16.77,-0.12,-0.71,"2,223,922",21.28,15.94,0.42,2.5,43,-18.31,Tuesday,Tuesday,6/19/2018
135156,667,Empire State Realty Trust,ESRT,16.79,17.17,16.79,17.14,0.37,2.21,"2,791,316",21.26,15.94,0.42,2.45,43.95,-16.51,Wednesday,Wednesday,6/20/2018
135157,664,Empire State Realty Trust,ESRT,17.22,17.24,17.06,17.1,-0.04,-0.23,"1,399,072",21.25,15.94,0.42,2.46,43.85,-16.71,Thursday,Thursday,6/21/2018
135158,667,Empire State Realty Trust,ESRT,17.14,17.26,17.09,17.14,0.04,0.23,"1,653,094",21.25,15.94,0.42,2.45,43.95,-16.51,Friday,Friday,6/22/2018
135159,668,Empire State Realty Trust,ESRT,17.09,17.2,17.02,17.15,0.01,0.06,"1,327,751",21.25,15.94,0.42,2.45,43.97,-16.46,Monday,Monday,6/25/2018
135160,665,Empire State Realty Trust,ESRT,17.2,17.25,17.07,17.1,-0.05,-0.29,"869,633",21.25,15.94,0.42,2.46,43.85,-16.71,Tuesday,Tuesday,6/26/2018
