,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
140562,759,First American Financial,FAF,58.41,59.1,58.23,58.68,0.57,0.98,"381,033",62.71,37.8,1.52,2.59,15.61,4.71,Thursday,Thursday,3/29/2018
140563,752,First American Financial,FAF,55.49,55.81,55.14,55.36,-0.56,-1,"644,294",62.71,38.19,1.52,2.75,14.72,-1.21,Wednesday,Wednesday,4/11/2018
140564,754,First American Financial,FAF,55.63,56.15,55.42,55.47,0.11,0.2,"679,476",62.71,38.19,1.52,2.74,14.75,-1.02,Thursday,Thursday,4/12/2018
140565,748,First American Financial,FAF,55.29,55.6,54.86,55.28,0.42,0.77,"804,413",62.71,38.76,1.52,2.75,14.7,-1.36,Tuesday,Tuesday,4/17/2018
140566,750,First American Financial,FAF,55.45,55.45,54.52,54.62,-0.66,-1.19,"733,563",62.71,38.9,1.52,2.78,14.53,-2.53,Wednesday,Wednesday,4/18/2018
140567,754,First American Financial,FAF,54.57,54.67,54.05,54.37,-0.25,-0.46,"885,125",62.71,39.15,1.52,2.8,14.46,-2.98,Thursday,Thursday,4/19/2018
140568,750,First American Financial,FAF,54.59,55.03,54.3,54.57,0.2,0.37,"602,757",62.71,39.17,1.52,2.79,14.51,-2.62,Friday,Friday,4/20/2018
140569,751,First American Financial,FAF,54.25,55.14,53.93,54.39,0.13,0.24,"869,484",62.71,39.97,1.52,2.79,14.47,-2.94,Tuesday,Tuesday,4/24/2018
140570,756,First American Financial,FAF,54.46,54.85,54.2,54.63,0.24,0.44,"1,008,886",62.71,40.48,1.52,2.78,14.53,-2.52,Wednesday,Wednesday,4/25/2018
140571,753,First American Financial,FAF,51.97,52.27,51.41,51.51,-0.72,-1.38,"824,194",62.71,41.51,1.52,2.95,13.17,-8.08,Friday,Friday,4/27/2018
140572,752,First American Financial,FAF,51.66,51.86,50.83,51.11,-0.4,-0.78,"742,656",62.71,41.51,1.52,2.97,13.07,-8.8,Monday,Monday,4/30/2018
140573,757,First American Financial,FAF,51.04,51.96,50.95,51.88,0.77,1.51,"947,200",62.71,41.51,1.52,2.93,13.27,-7.42,Tuesday,Tuesday,5/1/2018
140574,755,First American Financial,FAF,50.93,52.31,50.84,52.13,0.93,1.82,"978,642",62.71,41.51,1.52,2.92,13.33,-6.98,Thursday,Thursday,5/3/2018
140575,754,First American Financial,FAF,52.06,52.77,51.9,52.46,0.33,0.63,"514,487",62.71,41.51,1.52,2.9,13.42,-6.39,Friday,Friday,5/4/2018
140576,757,First American Financial,FAF,52.52,53.05,52.45,52.64,0.18,0.34,"479,307",62.71,41.51,1.52,2.89,13.46,-6.07,Monday,Monday,5/7/2018
