,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
146443,801,Frank's International,FI,5.5,5.57,5.36,5.43,-0.04,-0.73,"1,685,520",10.66,4.93,0.3,5.52,...,-18.35,Thursday,Thursday,3/29/2018
146444,794,Frank's International,FI,5.85,6.22,5.85,6.17,0.31,5.29,"999,955",10.34,4.93,0.3,4.86,...,-7.22,Wednesday,Wednesday,4/11/2018
146445,796,Frank's International,FI,6.11,6.33,6.03,6.27,0.1,1.62,"664,162",10.2,4.93,0.3,4.78,...,-5.71,Thursday,Thursday,4/12/2018
146446,790,Frank's International,FI,6.46,6.64,6.33,6.62,0.21,3.28,"827,408",9.87,4.93,0.3,4.53,...,-0.45,Tuesday,Tuesday,4/17/2018
146447,792,Frank's International,FI,6.69,7.14,6.66,6.97,0.35,5.29,"1,254,633",9.81,4.93,0.3,4.3,...,4.81,Wednesday,Wednesday,4/18/2018
146448,796,Frank's International,FI,6.99,7.09,6.87,7,0.03,0.43,"864,629",9.59,4.93,0.3,4.29,...,5.26,Thursday,Thursday,4/19/2018
146449,792,Frank's International,FI,6.99,6.99,6.75,6.84,-0.16,-2.29,"600,951",9.5,4.93,0.3,4.39,...,2.86,Friday,Friday,4/20/2018
146450,793,Frank's International,FI,6.84,6.92,6.69,6.77,-0.02,-0.29,"788,117",9.5,4.93,0.3,4.43,...,1.8,Tuesday,Tuesday,4/24/2018
146451,798,Frank's International,FI,6.71,6.9,6.69,6.82,0.05,0.74,"542,985",9.5,4.93,0.3,4.4,...,2.56,Wednesday,Wednesday,4/25/2018
146452,795,Frank's International,FI,7.11,7.27,7.08,7.27,0.12,1.68,"736,655",9.28,4.93,0.3,4.13,...,9.32,Friday,Friday,4/27/2018
146453,794,Frank's International,FI,7.25,7.3,6.87,6.99,-0.28,-3.85,"1,448,559",9.19,4.93,0.3,4.29,...,5.11,Monday,Monday,4/30/2018
146454,799,Frank's International,FI,6.95,6.97,6.76,6.95,-0.04,-0.57,"602,762",9.19,4.93,0.3,4.32,...,4.51,Tuesday,Tuesday,5/1/2018
146455,797,Frank's International,FI,7.23,7.23,7.01,7.11,-0.16,-2.2,"554,929",9.15,4.93,0.3,4.22,...,6.92,Thursday,Thursday,5/3/2018
146456,796,Frank's International,FI,7.07,7.36,7.02,7.32,0.21,2.95,"690,977",9.15,4.93,0.3,4.1,...,10.08,Friday,Friday,5/4/2018
146457,799,Frank's International,FI,7.4,7.7,7.34,7.39,0.07,0.96,"876,288",9.15,4.93,0.3,4.06,...,11.13,Monday,Monday,5/7/2018
146458,795,Frank's International,FI,6.97,7.5,6.63,7.22,-0.17,-2.3,"1,570,675",9.15,4.93,0.3,4.16,...,8.57,Tuesday,Tuesday,5/8/2018
146459,801,Frank's International,FI,7.29,8.49,7.29,7.96,0.74,10.25,"2,128,298",9.15,4.93,0.3,3.77,...,19.7,Wednesday,Wednesday,5/9/2018
146460,798,Frank's International,FI,7.95,7.99,7.45,7.49,-0.47,-5.9,"1,353,417",9.15,4.93,0.3,4.01,...,12.63,Thursday,Thursday,5/10/2018
146461,798,Frank's International,FI,7.49,7.51,7.3,7.33,-0.16,-2.14,"814,187",9.15,4.93,0.3,4.09,...,10.23,Friday,Friday,5/11/2018
