,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
157804,887,Greif Cl B,GEFB,57.48,58.6,57.48,58.25,1.05,1.84,"9,248",71.95,52.5,2.52,4.33,14.54,-16.01,Thursday,Thursday,3/29/2018
157805,883,Greif Cl B,GEFB,60.52,60.95,60.52,60.95,...,...,"1,289",71.95,52.5,2.52,4.13,15.22,-12.11,Wednesday,Wednesday,4/11/2018
157806,884,Greif Cl B,GEFB,61.7,61.8,60.5,61.8,0.85,1.39,"1,847",71.95,52.5,2.52,4.08,15.43,-10.89,Thursday,Thursday,4/12/2018
157807,876,Greif Cl B,GEFB,62.25,63.1,62.1,63.1,1.1,1.77,"6,859",71.95,52.5,2.52,3.99,15.75,-9.01,Tuesday,Tuesday,4/17/2018
157808,879,Greif Cl B,GEFB,62.35,62.55,62.05,62.3,-0.8,-1.27,"4,401",71.95,52.5,2.52,4.04,15.55,-10.17,Wednesday,Wednesday,4/18/2018
157809,885,Greif Cl B,GEFB,62.35,64.05,62.35,64.05,1.75,2.81,"2,862",71.95,52.5,2.52,3.93,15.99,-7.64,Thursday,Thursday,4/19/2018
157810,878,Greif Cl B,GEFB,63.55,64.65,63.35,64.45,0.4,0.62,"6,067",71.95,52.5,2.52,3.91,16.09,-7.07,Friday,Friday,4/20/2018
157811,882,Greif Cl B,GEFB,64.25,65,64.25,64.55,0.95,1.49,"3,697",71.95,52.5,2.52,3.9,16.12,-6.92,Tuesday,Tuesday,4/24/2018
157812,885,Greif Cl B,GEFB,64.5,65.7,64.15,64.6,0.05,0.08,"1,609",71.95,52.5,2.52,3.9,16.13,-6.85,Wednesday,Wednesday,4/25/2018
157813,884,Greif Cl B,GEFB,65.25,65.25,63.9,63.9,-1.05,-1.62,"2,968",71.95,52.5,2.52,3.94,15.95,-7.86,Friday,Friday,4/27/2018
157814,882,Greif Cl B,GEFB,64.03,64.03,62.95,62.95,-0.95,-1.49,"1,659",71.95,52.5,2.52,4,15.72,-9.23,Monday,Monday,4/30/2018
157815,888,Greif Cl B,GEFB,63.4,63.65,62.7,63.65,0.7,1.11,"1,450",71.95,52.5,2.52,3.96,15.89,-8.22,Tuesday,Tuesday,5/1/2018
157816,886,Greif Cl B,GEFB,62.65,62.73,62.15,62.15,-0.7,-1.11,"2,307",71.95,52.5,2.52,4.05,15.52,-10.38,Thursday,Thursday,5/3/2018
157817,884,Greif Cl B,GEFB,62.17,64,62.17,64,1.85,2.98,"4,446",71.95,52.5,2.52,3.94,15.98,-7.71,Friday,Friday,5/4/2018
157818,888,Greif Cl B,GEFB,64,64,63.2,63.25,-0.75,-1.17,"1,566",71.95,52.5,2.52,3.98,15.79,-8.8,Monday,Monday,5/7/2018
157819,883,Greif Cl B,GEFB,62.75,64.65,62.75,64.65,1.4,2.21,"3,623",71.95,52.5,2.52,3.9,16.14,-6.78,Tuesday,Tuesday,5/8/2018
157820,892,Greif Cl B,GEFB,65,65.45,63.85,65.05,0.4,0.62,"5,621",71.95,52.5,2.52,3.87,16.24,-6.2,Wednesday,Wednesday,5/9/2018
157821,888,Greif Cl B,GEFB,65.05,65.15,63.5,65.1,0.05,0.08,"4,879",71.95,52.5,2.52,3.87,16.25,-6.13,Thursday,Thursday,5/10/2018
157822,885,Greif Cl B,GEFB,64.65,65.2,63.7,65.2,0.1,0.15,"3,958",71.95,52.5,2.52,3.87,16.28,-5.98,Friday,Friday,5/11/2018
157823,885,Greif Cl B,GEFB,64.7,64.81,63.5,63.5,-1.7,-2.61,"2,509",71.95,52.5,2.52,3.97,15.85,-8.44,Monday,Monday,5/14/2018
