,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
159149,864,Gold Fields ADR,GFI,4,4.06,3.98,4.02,-0.04,-0.99,"3,186,133",4.7,3.06,0.08,2.1,...,-6.51,Thursday,Thursday,3/29/2018
159150,859,Gold Fields ADR,GFI,3.85,3.95,3.81,3.84,0.12,3.23,"7,315,995",4.7,3.06,0.08,2.2,...,-10.7,Wednesday,Wednesday,4/11/2018
159151,860,Gold Fields ADR,GFI,3.82,3.82,3.75,3.77,-0.07,-1.82,"3,762,660",4.7,3.06,0.08,2.24,...,-12.33,Thursday,Thursday,4/12/2018
159152,853,Gold Fields ADR,GFI,3.9,3.9,3.86,3.88,-0.04,-1.02,"3,673,296",4.7,3.06,0.08,2.17,...,-9.77,Tuesday,Tuesday,4/17/2018
159153,856,Gold Fields ADR,GFI,3.92,4,3.89,3.92,0.04,1.03,"5,610,386",4.7,3.06,0.08,2.15,...,-8.84,Wednesday,Wednesday,4/18/2018
159154,861,Gold Fields ADR,GFI,4.08,4.09,3.95,4,0.08,2.04,"5,256,626",4.7,3.06,0.08,2.11,...,-6.98,Thursday,Thursday,4/19/2018
159155,855,Gold Fields ADR,GFI,3.94,4.02,3.91,4.02,0.02,0.5,"3,630,611",4.7,3.06,0.08,2.1,...,-6.51,Friday,Friday,4/20/2018
159156,858,Gold Fields ADR,GFI,3.93,3.99,3.91,3.95,0.02,0.51,"2,965,996",4.7,3.06,0.08,2.14,...,-8.14,Tuesday,Tuesday,4/24/2018
159157,862,Gold Fields ADR,GFI,3.64,3.76,3.59,3.73,-0.22,-5.57,"7,281,872",4.7,3.06,0.08,2.26,...,-13.26,Wednesday,Wednesday,4/25/2018
159158,859,Gold Fields ADR,GFI,3.73,3.78,3.7,3.78,0.05,1.34,"1,523,189",4.7,3.06,0.08,2.23,...,-12.09,Friday,Friday,4/27/2018
159159,857,Gold Fields ADR,GFI,3.69,3.83,3.67,3.82,0.04,1.06,"4,270,773",4.7,3.06,0.08,2.21,...,-11.16,Monday,Monday,4/30/2018
159160,864,Gold Fields ADR,GFI,3.78,3.88,3.71,3.87,0.05,1.31,"2,727,830",4.7,3.06,0.08,2.18,...,-10,Tuesday,Tuesday,5/1/2018
