,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
167570,868,GP Strategies,GPX,21.85,22.8,21.65,22.65,0.8,3.66,"181,762",31.25,20.3,...,...,29.8,-2.37,Thursday,Thursday,3/29/2018
167571,863,GP Strategies,GPX,22.2,22.2,21.85,22.05,-0.25,-1.12,"22,228",31.25,20.3,...,...,29.01,-4.96,Wednesday,Wednesday,4/11/2018
167572,864,GP Strategies,GPX,22.2,22.35,22,22.1,0.05,0.23,"15,864",31.25,20.3,...,...,29.08,-4.74,Thursday,Thursday,4/12/2018
167573,857,GP Strategies,GPX,22.6,22.65,22.05,22.4,-0.1,-0.44,"34,061",31.25,20.3,...,...,29.47,-3.45,Tuesday,Tuesday,4/17/2018
167574,860,GP Strategies,GPX,22.4,22.97,22.4,22.8,0.4,1.79,"24,617",31.25,20.3,...,...,30,-1.72,Wednesday,Wednesday,4/18/2018
167575,865,GP Strategies,GPX,22.75,22.95,22.55,22.9,0.1,0.44,"26,372",31.25,20.3,...,...,30.13,-1.29,Thursday,Thursday,4/19/2018
167576,859,GP Strategies,GPX,22.75,22.75,22.4,22.55,-0.35,-1.53,"18,073",31.25,20.3,...,...,29.67,-2.8,Friday,Friday,4/20/2018
167577,862,GP Strategies,GPX,22.25,22.25,21.7,21.85,-0.5,-2.24,"39,763",31.25,20.3,...,...,28.75,-5.82,Tuesday,Tuesday,4/24/2018
167578,866,GP Strategies,GPX,21.8,21.85,21.6,21.7,-0.15,-0.69,"25,318",31.25,20.3,...,...,28.55,-6.47,Wednesday,Wednesday,4/25/2018
167579,863,GP Strategies,GPX,21.85,21.85,21.2,21.25,-0.5,-2.3,"24,148",31.25,20.3,...,...,27.96,-8.41,Friday,Friday,4/27/2018
167580,861,GP Strategies,GPX,21.25,21.3,20.8,20.85,-0.4,-1.88,"22,147",31.25,20.3,...,...,27.43,-10.13,Monday,Monday,4/30/2018
167581,868,GP Strategies,GPX,20.8,22.3,20.7,22.15,1.3,6.24,"97,698",31.25,20.3,...,...,29.14,-4.53,Tuesday,Tuesday,5/1/2018
167582,865,GP Strategies,GPX,22.2,22.2,19.25,19.8,-2.7,-12,"99,667",31.25,19.25,...,...,26.05,-14.66,Thursday,Thursday,5/3/2018
167583,863,GP Strategies,GPX,19.7,20.35,19.45,20.1,0.3,1.52,"54,597",31.25,19.25,...,...,29.56,-13.36,Friday,Friday,5/4/2018
167584,867,GP Strategies,GPX,20.15,20.9,20.15,20.4,0.3,1.49,"75,849",31.25,19.25,...,...,30,-12.07,Monday,Monday,5/7/2018
167585,862,GP Strategies,GPX,20.4,20.4,19.3,19.55,-0.85,-4.17,"49,335",31.25,19.25,...,...,28.75,-15.73,Tuesday,Tuesday,5/8/2018
167586,871,GP Strategies,GPX,19.6,20.25,19.5,20.2,0.65,3.32,"52,822",31.25,19.25,...,...,29.71,-12.93,Wednesday,Wednesday,5/9/2018
167587,867,GP Strategies,GPX,20.25,20.25,19.85,20.15,-0.05,-0.25,"42,325",31.25,19.25,...,...,29.63,-13.15,Thursday,Thursday,5/10/2018
167588,865,GP Strategies,GPX,20.25,20.25,20.13,20.15,...,...,"43,654",31.25,19.25,...,...,29.63,-13.15,Friday,Friday,5/11/2018
167589,865,GP Strategies,GPX,20.1,20.1,19.35,19.35,-0.8,-3.97,"39,269",31.25,19.25,...,...,28.46,-16.59,Monday,Monday,5/14/2018
167590,867,GP Strategies,GPX,19.3,19.38,19,19.1,-0.25,-1.29,"33,238",31.25,19,...,...,28.09,-17.67,Tuesday,Tuesday,5/15/2018
167591,867,GP Strategies,GPX,19.05,19.85,19.05,19.8,0.7,3.66,"49,581",31.25,19,...,...,29.12,-14.66,Wednesday,Wednesday,5/16/2018
167592,865,GP Strategies,GPX,20,20.15,19.65,19.95,0.15,0.76,"24,263",31.25,19,...,...,29.34,-14.01,Thursday,Thursday,5/17/2018
167593,868,GP Strategies,GPX,20.05,20.05,19.4,19.4,-0.55,-2.76,"41,812",31.25,19,...,...,28.53,-16.38,Friday,Friday,5/18/2018
167594,868,GP Strategies,GPX,19.4,19.8,19.4,19.65,0.25,1.29,"24,886",31.25,19,...,...,28.9,-15.3,Monday,Monday,5/21/2018
167595,864,GP Strategies,GPX,19.65,19.75,19.25,19.35,-0.3,-1.53,"21,046",31.25,19,...,...,28.46,-16.59,Tuesday,Tuesday,5/22/2018
167596,870,GP Strategies,GPX,19.25,19.65,19.2,19.55,0.2,1.03,"23,318",31.25,19,...,...,28.75,-15.73,Wednesday,Wednesday,5/23/2018
167597,869,GP Strategies,GPX,19.5,19.9,19.15,19.75,0.2,1.02,"39,002",31.25,19,...,...,29.04,-14.87,Thursday,Thursday,5/24/2018
167598,873,GP Strategies,GPX,19.65,19.95,19.6,19.9,0.15,0.76,"27,392",31.25,19,...,...,29.26,-14.22,Friday,Friday,5/25/2018
167599,871,GP Strategies,GPX,19.7,19.9,19.35,19.4,-0.5,-2.51,"16,885",31.25,19,...,...,28.53,-16.38,Tuesday,Tuesday,5/29/2018
167600,871,GP Strategies,GPX,19.45,19.8,19.45,19.7,0.3,1.55,"16,254",31.25,19,...,...,28.97,-15.09,Wednesday,Wednesday,5/30/2018
167601,872,GP Strategies,GPX,19.65,19.7,19.05,19.25,-0.45,-2.28,"20,976",31.25,19,...,...,28.31,-17.03,Thursday,Thursday,5/31/2018
167602,873,GP Strategies,GPX,19.35,19.4,19.15,19.25,...,...,"35,186",31.25,19,...,...,28.31,-17.03,Friday,Friday,6/1/2018
167603,869,GP Strategies,GPX,19.3,19.5,19.05,19.15,-0.1,-0.52,"43,766",31.25,19,...,...,28.16,-17.46,Monday,Monday,6/4/2018
167604,867,GP Strategies,GPX,19.35,19.4,19,19.1,-0.05,-0.26,"73,418",31.25,19,...,...,28.09,-17.67,Tuesday,Tuesday,6/5/2018
167605,872,GP Strategies,GPX,19.1,19.95,19.1,19.75,0.65,3.4,"33,952",31.25,19,...,...,29.04,-14.87,Wednesday,Wednesday,6/6/2018
167606,871,GP Strategies,GPX,19.8,19.85,19.3,19.34,-0.41,-2.08,"16,533",31.25,19,...,...,28.44,-16.64,Thursday,Thursday,6/7/2018
