,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
175455,916,Hawaiian Electric Industries,HE,34.5,34.62,34.35,34.38,0.03,0.09,"220,159",38.72,31.71,1.24,3.61,22.62,-4.9,Thursday,Thursday,3/29/2018
175456,911,Hawaiian Electric Industries,HE,34.42,34.56,34.15,34.43,-0.02,-0.06,"353,029",38.72,31.71,1.24,3.6,22.65,-4.76,Wednesday,Wednesday,4/11/2018
175457,912,Hawaiian Electric Industries,HE,34.45,34.63,33.79,33.92,-0.51,-1.48,"385,187",38.72,31.71,1.24,3.66,22.32,-6.17,Thursday,Thursday,4/12/2018
175458,905,Hawaiian Electric Industries,HE,34.72,35.08,34.59,34.92,0.3,0.87,"207,127",38.72,31.71,1.24,3.55,22.97,-3.4,Tuesday,Tuesday,4/17/2018
175459,909,Hawaiian Electric Industries,HE,34.85,35.08,34.46,34.47,-0.45,-1.29,"388,004",38.72,31.71,1.24,3.6,22.68,-4.65,Wednesday,Wednesday,4/18/2018
175460,914,Hawaiian Electric Industries,HE,34.43,34.54,34.22,34.3,-0.17,-0.49,"440,621",38.72,31.71,1.24,3.62,22.57,-5.12,Thursday,Thursday,4/19/2018
175461,907,Hawaiian Electric Industries,HE,34.34,34.42,34.15,34.3,...,...,"235,801",38.72,31.71,1.24,3.62,22.57,-5.12,Friday,Friday,4/20/2018
175462,910,Hawaiian Electric Industries,HE,34.58,34.91,34.38,34.51,-0.01,-0.03,"541,163",38.72,31.71,1.24,3.59,22.7,-4.54,Tuesday,Tuesday,4/24/2018
175463,914,Hawaiian Electric Industries,HE,34.5,34.61,34.24,34.41,-0.1,-0.29,"351,040",38.72,31.71,1.24,3.6,22.64,-4.81,Wednesday,Wednesday,4/25/2018
175464,914,Hawaiian Electric Industries,HE,34.53,34.97,34.45,34.89,0.34,0.98,"380,378",38.72,31.71,1.24,3.55,22.95,-3.49,Friday,Friday,4/27/2018
175465,910,Hawaiian Electric Industries,HE,34.94,35,34.66,34.69,-0.2,-0.57,"387,627",38.72,31.71,1.24,3.57,22.82,-4.04,Monday,Monday,4/30/2018
175466,918,Hawaiian Electric Industries,HE,34.75,34.92,34.62,34.71,0.02,0.06,"355,864",38.72,31.71,1.24,3.57,22.84,-3.98,Tuesday,Tuesday,5/1/2018
175467,916,Hawaiian Electric Industries,HE,34.65,34.94,34.37,34.75,0.1,0.29,"401,339",38.72,31.71,1.24,3.57,22.86,-3.87,Thursday,Thursday,5/3/2018
175468,914,Hawaiian Electric Industries,HE,34.78,35.2,34.73,35.07,0.32,0.92,"374,687",38.72,31.71,1.24,3.54,23.07,-2.99,Friday,Friday,5/4/2018
175469,917,Hawaiian Electric Industries,HE,35.08,35.12,34.8,34.88,-0.19,-0.54,"444,873",38.72,31.71,1.24,3.56,22.95,-3.51,Monday,Monday,5/7/2018
175470,911,Hawaiian Electric Industries,HE,34.92,34.92,34.09,34.22,-0.66,-1.89,"441,063",38.72,31.71,1.24,3.62,22.51,-5.34,Tuesday,Tuesday,5/8/2018
175471,920,Hawaiian Electric Industries,HE,34.17,34.28,33.65,33.87,-0.35,-1.02,"368,462",38.72,31.71,1.24,3.66,22.28,-6.31,Wednesday,Wednesday,5/9/2018
175472,917,Hawaiian Electric Industries,HE,34.15,34.41,33.79,34.16,0.29,0.86,"375,803",38.72,31.71,1.24,3.63,22.47,-5.5,Thursday,Thursday,5/10/2018
175473,915,Hawaiian Electric Industries,HE,34.12,34.31,33.76,33.84,-0.32,-0.94,"304,815",38.72,31.71,1.24,3.66,21.42,-6.39,Friday,Friday,5/11/2018
175474,914,Hawaiian Electric Industries,HE,33.95,33.98,33.52,33.74,-0.1,-0.3,"428,867",38.72,31.71,1.24,3.68,21.35,-6.67,Monday,Monday,5/14/2018
175475,916,Hawaiian Electric Industries,HE,33.7,33.7,33.36,33.53,-0.21,-0.62,"342,267",38.72,31.71,1.24,3.7,21.22,-7.25,Tuesday,Tuesday,5/15/2018
175476,917,Hawaiian Electric Industries,HE,33.54,33.62,33.12,33.25,-0.28,-0.84,"400,542",38.72,31.71,1.24,3.73,21.04,-8.02,Wednesday,Wednesday,5/16/2018
175477,916,Hawaiian Electric Industries,HE,33.32,33.39,33.08,33.14,-0.11,-0.33,"432,665",38.72,31.71,1.24,3.74,20.97,-8.33,Thursday,Thursday,5/17/2018
175478,916,Hawaiian Electric Industries,HE,33.18,33.33,32.88,32.98,-0.16,-0.48,"515,776",38.72,31.71,1.24,3.76,20.87,-8.77,Friday,Friday,5/18/2018
175479,916,Hawaiian Electric Industries,HE,33.12,33.52,33.07,33.45,0.47,1.43,"443,204",38.72,31.71,1.24,3.71,21.17,-7.47,Monday,Monday,5/21/2018
175480,913,Hawaiian Electric Industries,HE,33.19,33.48,33.05,33.41,0.27,0.81,"354,499",38.72,31.71,1.24,3.71,21.15,-7.58,Tuesday,Tuesday,5/22/2018
175481,919,Hawaiian Electric Industries,HE,33.45,33.74,33.41,33.59,0.18,0.54,"533,720",38.72,31.71,1.24,3.69,21.26,-7.08,Wednesday,Wednesday,5/23/2018
175482,919,Hawaiian Electric Industries,HE,33.6,33.85,33.54,33.83,0.24,0.71,"355,806",38.72,31.71,1.24,3.67,21.41,-6.42,Thursday,Thursday,5/24/2018
175483,922,Hawaiian Electric Industries,HE,33.85,33.92,33.69,33.88,0.05,0.15,"255,146",38.72,31.71,1.24,3.66,21.44,-6.28,Friday,Friday,5/25/2018
175484,920,Hawaiian Electric Industries,HE,33.8,34.13,33.73,33.9,0.02,0.06,"320,268",38.72,31.71,1.24,3.66,21.46,-6.22,Tuesday,Tuesday,5/29/2018
175485,922,Hawaiian Electric Industries,HE,33.93,34.34,33.93,34.24,0.34,1,"488,562",38.72,31.71,1.24,3.62,21.67,-5.28,Wednesday,Wednesday,5/30/2018
175486,922,Hawaiian Electric Industries,HE,34.25,34.5,34.08,34.33,0.09,0.26,"314,001",38.72,31.71,1.24,3.61,21.73,-5.03,Thursday,Thursday,5/31/2018
175487,922,Hawaiian Electric Industries,HE,34.37,34.37,33.69,33.98,-0.35,-1.02,"432,500",38.72,31.71,1.24,3.65,21.51,-6,Friday,Friday,6/1/2018
175488,916,Hawaiian Electric Industries,HE,34.09,34.16,33.71,33.96,-0.02,-0.06,"396,128",38.72,31.71,1.24,3.65,21.49,-6.06,Monday,Monday,6/4/2018
175489,916,Hawaiian Electric Industries,HE,33.95,34,33.59,33.66,-0.3,-0.88,"470,254",38.72,31.71,1.24,3.68,21.3,-6.89,Tuesday,Tuesday,6/5/2018
175490,920,Hawaiian Electric Industries,HE,33.61,33.64,32.89,32.92,-0.74,-2.2,"504,466",38.72,31.71,1.24,3.77,20.84,-8.93,Wednesday,Wednesday,6/6/2018
175491,919,Hawaiian Electric Industries,HE,32.99,33.31,32.85,32.96,0.04,0.12,"654,829",38.72,31.71,1.24,3.76,20.86,-8.82,Thursday,Thursday,6/7/2018
175492,915,Hawaiian Electric Industries,HE,33.07,33.28,33.03,33.1,0.14,0.42,"601,316",38.72,31.71,1.24,3.75,20.95,-8.44,Friday,Friday,6/8/2018
175493,920,Hawaiian Electric Industries,HE,33.06,33.2,32.68,32.69,-0.41,-1.24,"547,789",38.72,31.71,1.24,3.79,20.69,-9.57,Monday,Monday,6/11/2018
175494,914,Hawaiian Electric Industries,HE,32.69,32.91,32.62,32.87,0.18,0.55,"511,055",38.72,31.71,1.24,3.77,20.8,-9.07,Tuesday,Tuesday,6/12/2018
175495,913,Hawaiian Electric Industries,HE,32.89,32.96,32.6,32.73,-0.14,-0.43,"383,795",38.72,31.71,1.24,3.79,20.72,-9.46,Wednesday,Wednesday,6/13/2018
175496,915,Hawaiian Electric Industries,HE,32.78,32.9,32.63,32.79,0.06,0.18,"604,335",38.72,31.71,1.24,3.78,20.75,-9.29,Thursday,Thursday,6/14/2018
175497,915,Hawaiian Electric Industries,HE,32.76,33.08,32.59,33.01,0.22,0.67,"1,069,882",38.72,31.71,1.24,3.76,20.89,-8.69,Friday,Friday,6/15/2018
175498,914,Hawaiian Electric Industries,HE,33.04,33.13,32.78,33.13,0.12,0.36,"438,020",38.72,31.71,1.24,3.74,20.97,-8.35,Monday,Monday,6/18/2018
175499,914,Hawaiian Electric Industries,HE,33.14,33.55,33.14,33.54,0.41,1.24,"415,666",38.72,31.71,1.24,3.7,21.23,-7.22,Tuesday,Tuesday,6/19/2018
175500,919,Hawaiian Electric Industries,HE,33.56,33.64,33.36,33.48,-0.06,-0.18,"253,750",38.72,31.71,1.24,3.7,21.19,-7.39,Wednesday,Wednesday,6/20/2018
175501,915,Hawaiian Electric Industries,HE,33.53,33.65,33.4,33.53,0.05,0.15,"219,104",38.72,31.71,1.24,3.7,21.22,-7.25,Thursday,Thursday,6/21/2018
175502,918,Hawaiian Electric Industries,HE,33.64,33.91,33.49,33.82,0.29,0.86,"603,409",38.72,31.71,1.24,3.67,21.41,-6.45,Friday,Friday,6/22/2018
175503,922,Hawaiian Electric Industries,HE,33.89,34.18,33.88,34.05,0.23,0.68,"466,337",38.72,31.71,1.24,3.64,21.55,-5.81,Monday,Monday,6/25/2018
175504,918,Hawaiian Electric Industries,HE,33.94,34.18,33.84,33.88,-0.17,-0.5,"202,181",38.72,31.71,1.24,3.66,21.44,-6.28,Tuesday,Tuesday,6/26/2018
175505,925,Hawaiian Electric Industries,HE,33.86,34.1,33.71,34.01,0.13,0.38,"408,187",38.72,31.71,1.24,3.65,21.53,-5.92,Wednesday,Wednesday,6/27/2018
175506,926,Hawaiian Electric Industries,HE,34.02,34.51,33.97,34.29,0.28,0.82,"472,027",38.72,31.71,1.24,3.62,21.7,-5.15,Thursday,Thursday,6/28/2018
175507,926,Hawaiian Electric Industries,HE,34.24,34.48,34.04,34.3,0.01,0.03,"439,151",38.72,31.71,1.24,3.62,21.71,-5.12,Friday,Friday,6/29/2018
