,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
183213,976,Hudson Pacific Properties,HPP,32.55,32.71,32.33,32.53,0.01,0.03,"1,028,394",36.14,28.25,1,3.07,73.93,-5.02,Thursday,Thursday,3/29/2018
183214,970,Hudson Pacific Properties,HPP,31.32,31.65,31.29,31.41,0.06,0.19,"1,526,629",36.14,28.25,1,3.18,71.39,-8.29,Wednesday,Wednesday,4/11/2018
183215,972,Hudson Pacific Properties,HPP,31.42,31.43,30.82,31.13,-0.28,-0.89,"1,026,362",36.14,28.25,1,3.21,70.75,-9.11,Thursday,Thursday,4/12/2018
183216,965,Hudson Pacific Properties,HPP,31.61,32.22,31.43,31.9,0.41,1.3,"985,910",36.14,28.25,1,3.13,72.5,-6.86,Tuesday,Tuesday,4/17/2018
183217,968,Hudson Pacific Properties,HPP,31.9,32.03,31.63,31.63,-0.27,-0.85,"475,163",36.14,28.25,1,3.16,71.89,-7.65,Wednesday,Wednesday,4/18/2018
183218,974,Hudson Pacific Properties,HPP,31.59,31.69,31.05,31.36,-0.27,-0.85,"668,417",36.14,28.25,1,3.19,71.27,-8.44,Thursday,Thursday,4/19/2018
183219,966,Hudson Pacific Properties,HPP,31.47,31.53,31.09,31.13,-0.23,-0.73,"498,589",36.14,28.25,1,3.21,70.75,-9.11,Friday,Friday,4/20/2018
183220,970,Hudson Pacific Properties,HPP,31.34,31.73,31.3,31.47,0.2,0.64,"523,079",36.14,28.25,1,3.18,71.52,-8.12,Tuesday,Tuesday,4/24/2018
183221,973,Hudson Pacific Properties,HPP,31.42,31.88,31.3,31.74,0.27,0.86,"581,739",36.14,28.25,1,3.15,72.14,-7.33,Wednesday,Wednesday,4/25/2018
183222,973,Hudson Pacific Properties,HPP,32.2,32.94,31.96,32.75,0.56,1.74,"476,102",36.14,28.25,1,3.05,74.43,-4.38,Friday,Friday,4/27/2018
183223,969,Hudson Pacific Properties,HPP,32.84,32.96,32.68,32.87,0.12,0.37,"975,256",36.14,28.25,1,3.04,74.7,-4.03,Monday,Monday,4/30/2018
183224,977,Hudson Pacific Properties,HPP,32.9,33.13,32.7,33.05,0.18,0.55,"633,339",36.14,28.25,1,3.03,75.11,-3.5,Tuesday,Tuesday,5/1/2018
183225,974,Hudson Pacific Properties,HPP,32.54,33.31,32.26,33.21,0.15,0.45,"665,836",36.14,28.25,1,3.01,75.48,-3.04,Thursday,Thursday,5/3/2018
183226,972,Hudson Pacific Properties,HPP,33.32,33.99,33.13,33.95,0.74,2.23,"935,957",36.14,28.25,1,2.95,55.66,-0.88,Friday,Friday,5/4/2018
183227,976,Hudson Pacific Properties,HPP,34.13,34.53,33.38,34.46,0.51,1.5,"809,897",36.14,28.25,1,2.9,56.49,0.61,Monday,Monday,5/7/2018
183228,970,Hudson Pacific Properties,HPP,34.54,34.81,34.3,34.56,0.1,0.29,"2,403,402",36.14,28.25,1,2.89,56.66,0.91,Tuesday,Tuesday,5/8/2018
183229,979,Hudson Pacific Properties,HPP,34.56,34.94,34.51,34.78,0.22,0.64,"750,244",36.14,28.25,1,2.88,57.02,1.55,Wednesday,Wednesday,5/9/2018
183230,976,Hudson Pacific Properties,HPP,34.96,35.14,34.91,35.03,0.25,0.72,"544,977",36.14,28.25,1,2.85,57.43,2.28,Thursday,Thursday,5/10/2018
183231,974,Hudson Pacific Properties,HPP,35,35.22,34.81,34.89,-0.14,-0.4,"739,031",36.14,28.25,1,2.87,57.2,1.87,Friday,Friday,5/11/2018
183232,973,Hudson Pacific Properties,HPP,35.03,35.07,34.44,34.52,-0.37,-1.06,"769,524",36.14,28.25,1,2.9,56.59,0.79,Monday,Monday,5/14/2018
183233,974,Hudson Pacific Properties,HPP,34.28,34.37,33.76,33.86,-0.66,-1.91,"1,009,850",36.14,28.25,1,2.95,55.51,-1.14,Tuesday,Tuesday,5/15/2018
183234,976,Hudson Pacific Properties,HPP,33.92,34.12,33.3,33.36,-0.5,-1.48,"1,150,631",36.14,28.25,1,3,54.69,-2.6,Wednesday,Wednesday,5/16/2018
183235,974,Hudson Pacific Properties,HPP,33.36,33.64,33.06,33.09,-0.27,-0.81,"651,300",36.14,28.25,1,3.02,54.25,-3.39,Thursday,Thursday,5/17/2018
